C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,C01001I_001M,C01001I_001EA,C01001I_001MA,C01001I_002M,C01001I_002EA,C01001I_002MA,C01001I_003M,C01001I_003EA,C01001I_003MA,C01001I_004M,C01001I_004EA,C01001I_004MA,C01001I_005M,C01001I_005EA,C01001I_005MA,C01001I_006M,C01001I_006EA,C01001I_006MA,C01001I_007M,C01001I_007EA,C01001I_007MA,C01001I_008M,C01001I_008EA,C01001I_008MA,C01001I_009M,C01001I_009EA,C01001I_009MA,state
586730,252,303836,1984,99736,1558,192887,1520,11213,679,282894,1991,95262,1449,171158,1491,16474,880,252,null,null,1984,null,null,1558,null,null,1520,null,null,679,null,null,1991,null,null,1449,null,null,1491,null,null,880,null,null,24
779696,1053,387781,1349,125750,1071,243573,892,18458,465,391915,1165,119654,1071,246346,577,25915,410,1053,null,null,1349,null,null,1071,null,null,892,null,null,465,null,null,1165,null,null,1071,null,null,577,null,null,410,null,null,25
491430,741,249225,2198,90259,1754,146281,1366,12685,870,242205,2072,88821,1860,139635,1141,13749,844,741,null,null,2198,null,null,1754,null,null,1366,null,null,870,null,null,2072,null,null,1860,null,null,1141,null,null,844,null,null,26
288460,788,149287,1763,57470,1513,86822,1318,4995,819,139173,1599,54784,1415,79179,1482,5210,712,788,null,null,1763,null,null,1513,null,null,1318,null,null,819,null,null,1599,null,null,1415,null,null,1482,null,null,712,null,null,27
86733,2997,46540,2629,16805,2205,28279,2058,1456,731,40193,2125,15637,2054,23326,1786,1230,512,2997,null,null,2629,null,null,2205,null,null,2058,null,null,731,null,null,2125,null,null,2054,null,null,1786,null,null,512,null,null,28
243567,1739,126102,2087,47531,1646,72367,1732,6204,1019,117465,1831,42774,1365,67784,1583,6907,843,1739,null,null,2087,null,null,1646,null,null,1732,null,null,1019,null,null,1831,null,null,1365,null,null,1583,null,null,843,null,null,29
37090,1084,18859,1584,7924,990,10073,1197,862,456,18231,1336,5900,961,11340,935,991,330,1084,null,null,1584,null,null,990,null,null,1197,null,null,456,null,null,1336,null,null,961,null,null,935,null,null,330,null,null,30
202449,391,104521,2088,40961,1653,59947,1451,3613,677,97928,2010,40316,1700,54295,1306,3317,658,391,null,null,2088,null,null,1653,null,null,1451,null,null,677,null,null,2010,null,null,1700,null,null,1306,null,null,658,null,null,31
836626,-555555555,421995,1395,138950,1153,261907,801,21138,831,414631,1393,137900,1152,251446,889,25285,556,-555555555,null,*****,1395,null,null,1153,null,null,801,null,null,831,null,null,1393,null,null,1152,null,null,889,null,null,556,null,null,32
47271,886,27063,1125,9460,929,16547,944,1056,499,20208,800,5857,696,13229,647,1122,356,886,null,null,1125,null,null,929,null,null,944,null,null,499,null,null,800,null,null,696,null,null,647,null,null,356,null,null,33
1786669,-555555555,896915,1016,265649,951,574824,405,56442,429,889754,1014,255884,948,556913,441,76957,340,-555555555,null,*****,1016,null,null,951,null,null,405,null,null,429,null,null,1014,null,null,948,null,null,441,null,null,340,null,null,34
1009876,-555555555,500574,2163,149469,2104,301238,642,49867,564,509302,2163,145608,2104,302350,541,61344,475,-555555555,null,*****,2163,null,null,2104,null,null,642,null,null,564,null,null,2163,null,null,2104,null,null,541,null,null,475,null,null,35
3747614,416,1851112,2408,524607,2239,1194444,1953,132061,890,1896502,2459,502248,2131,1196805,1567,197449,1055,416,null,null,2408,null,null,2239,null,null,1953,null,null,890,null,null,2459,null,null,2131,null,null,1567,null,null,1055,null,null,36
931110,1223,480267,4840,184349,4076,281086,3222,14832,1914,450843,4851,175046,3626,259377,3033,16420,1883,1223,null,null,4840,null,null,4076,null,null,3222,null,null,1914,null,null,4851,null,null,3626,null,null,3033,null,null,1883,null,null,37
26434,1861,15323,1773,5302,1102,9688,1671,333,359,11111,1307,4666,906,5866,850,579,441,1861,null,null,1773,null,null,1102,null,null,1671,null,null,359,null,null,1307,null,null,906,null,null,850,null,null,441,null,null,38
420081,1636,212424,3089,77287,2936,125234,1980,9903,961,207657,3029,75988,2520,119748,1815,11921,1215,1636,null,null,3089,null,null,2936,null,null,1980,null,null,961,null,null,3029,null,null,2520,null,null,1815,null,null,1215,null,null,39
403936,-555555555,212086,1745,83273,1548,122585,914,6228,743,191850,1746,76675,1489,107331,920,7844,795,-555555555,null,*****,1745,null,null,1548,null,null,914,null,null,743,null,null,1746,null,null,1489,null,null,920,null,null,795,null,null,40
522568,-555555555,269690,2121,96636,1790,162899,1477,10155,1001,252878,2120,93412,1722,148119,1424,11347,737,-555555555,null,*****,2121,null,null,1790,null,null,1477,null,null,1001,null,null,2120,null,null,1722,null,null,1424,null,null,737,null,null,41
900002,1330,460436,2189,160135,1675,278864,1691,21437,978,439566,2367,151720,1506,262895,1568,24951,936,1330,null,null,2189,null,null,1675,null,null,1691,null,null,978,null,null,2367,null,null,1506,null,null,1568,null,null,936,null,null,42
157352,-555555555,77369,786,26306,494,47583,717,3480,188,79983,786,25326,512,49735,765,4922,625,-555555555,null,*****,786,null,null,494,null,null,717,null,null,188,null,null,786,null,null,512,null,null,765,null,null,625,null,null,44
272791,3468,143079,3198,51000,2402,87280,1899,4799,1040,129712,2948,48839,2166,73573,1920,7300,1074,3468,null,null,3198,null,null,2402,null,null,1899,null,null,1040,null,null,2948,null,null,2166,null,null,1920,null,null,1074,null,null,45
32227,1422,16586,1402,6381,1003,10054,1079,151,137,15641,1254,7117,896,7630,932,894,475,1422,null,null,1402,null,null,1003,null,null,1079,null,null,137,null,null,1254,null,null,896,null,null,932,null,null,475,null,null,46
347442,2164,185019,3435,75202,2450,105194,1984,4623,868,162423,3163,64580,2891,91282,2049,6561,1030,2164,null,null,3435,null,null,2450,null,null,1984,null,null,868,null,null,3163,null,null,2891,null,null,2049,null,null,1030,null,null,47
10883279,217,5474723,4880,1833098,4452,3312811,2893,328814,2114,5408556,4879,1763971,4391,3220072,2572,424513,2021,217,null,null,4880,null,null,4452,null,null,2893,null,null,2114,null,null,4879,null,null,4391,null,null,2572,null,null,2021,null,null,48
420440,-555555555,215668,1855,81683,1346,126929,1759,7056,777,204772,1854,78106,1301,117285,1082,9381,1113,-555555555,null,*****,1855,null,null,1346,null,null,1759,null,null,777,null,null,1854,null,null,1301,null,null,1082,null,null,1113,null,null,49
12546,1061,5717,776,1875,574,3572,721,270,170,6829,1035,1919,601,4164,837,746,352,1061,null,null,776,null,null,574,null,null,721,null,null,170,null,null,1035,null,null,601,null,null,837,null,null,352,null,null,50
760611,3151,390907,3625,126134,2691,253488,3030,11285,1363,369704,4066,117751,2744,233158,3083,18795,1411,3151,null,null,3625,null,null,2691,null,null,3030,null,null,1363,null,null,4066,null,null,2744,null,null,3083,null,null,1411,null,null,51
906451,882,469282,2397,174902,2176,278305,1356,16075,1068,437169,2437,166295,2139,251587,1708,19287,980,882,null,null,2397,null,null,2176,null,null,1356,null,null,1068,null,null,2437,null,null,2139,null,null,1708,null,null,980,null,null,53
26783,2423,13192,1461,4935,925,7495,944,762,466,13591,1888,4477,1353,7563,1039,1551,618,2423,null,null,1461,null,null,925,null,null,944,null,null,466,null,null,1888,null,null,1353,null,null,1039,null,null,618,null,null,54
387015,573,201009,2009,76325,1473,117466,1466,7218,696,186006,1917,72329,1462,105471,1398,8206,818,573,null,null,2009,null,null,1473,null,null,1466,null,null,696,null,null,1917,null,null,1462,null,null,1398,null,null,818,null,null,55
56264,683,29333,1469,9513,1191,18105,1196,1715,365,26931,1434,10036,1191,13942,964,2953,626,683,null,null,1469,null,null,1191,null,null,1196,null,null,365,null,null,1434,null,null,1191,null,null,964,null,null,626,null,null,56
3365841,5205,1601071,4691,353030,3724,970802,2572,277239,799,1764770,4017,333591,3444,1068524,2169,362655,845,5205,null,null,4691,null,null,3724,null,null,2572,null,null,799,null,null,4017,null,null,3444,null,null,2169,null,null,845,null,null,72
199686,1768,101618,3129,39064,2795,59358,1831,3196,1213,98068,3167,40170,2422,52626,1796,5272,1194,1768,null,null,3129,null,null,2795,null,null,1831,null,null,1213,null,null,3167,null,null,2422,null,null,1796,null,null,1194,null,null,01
51304,276,27638,1322,9649,656,17533,1192,456,256,23666,1280,7724,574,15528,1187,414,244,276,null,null,1322,null,null,656,null,null,1192,null,null,256,null,null,1280,null,null,574,null,null,1187,null,null,244,null,null,02
2144775,-555555555,1078223,1713,364642,1703,650223,359,63358,439,1066552,1714,350661,1704,636702,584,79189,478,-555555555,null,*****,1713,null,null,1703,null,null,359,null,null,439,null,null,1714,null,null,1704,null,null,584,null,null,478,null,null,04
214544,1157,112722,2367,44174,2459,64944,1850,3604,948,101822,2359,40997,2008,56581,1612,4244,1125,1157,null,null,2367,null,null,2459,null,null,1850,null,null,948,null,null,2359,null,null,2008,null,null,1612,null,null,1125,null,null,05
15280776,-555555555,7683978,1659,2405962,1474,4824646,1104,453370,673,7596798,1656,2318157,1427,4683033,968,595608,853,-555555555,null,*****,1659,null,null,1474,null,null,1104,null,null,673,null,null,1656,null,null,1427,null,null,968,null,null,853,null,null,06
1181218,-555555555,602654,2313,201901,1962,366765,1373,33988,896,578564,2315,190316,1947,347285,1877,40963,1114,-555555555,null,*****,2313,null,null,1962,null,null,1373,null,null,896,null,null,2315,null,null,1947,null,null,1877,null,null,1114,null,null,08
562347,-555555555,279548,1262,88959,1237,176637,503,13952,429,282799,1261,87375,1155,176152,536,19272,548,-555555555,null,*****,1262,null,null,1237,null,null,503,null,null,429,null,null,1261,null,null,1155,null,null,536,null,null,548,null,null,09
87152,-555555555,44705,536,15944,418,27051,459,1710,388,42447,535,15672,418,24628,339,2147,329,-555555555,null,*****,536,null,null,418,null,null,459,null,null,388,null,null,535,null,null,418,null,null,339,null,null,329,null,null,10
74422,-555555555,37958,-555555555,9901,-555555555,26429,-555555555,1628,-555555555,36464,-555555555,9745,-555555555,24172,-555555555,2547,-555555555,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,-555555555,null,*****,11
