B28009G_001E,B28009G_001M,B28009G_002E,B28009G_002M,B28009G_003E,B28009G_003M,B28009G_004E,B28009G_004M,B28009G_005E,B28009G_005M,B28009G_006E,B28009G_006M,B28009G_001M,B28009G_001EA,B28009G_001MA,B28009G_002M,B28009G_002EA,B28009G_002MA,B28009G_003M,B28009G_003EA,B28009G_003MA,B28009G_004M,B28009G_004EA,B28009G_004MA,B28009G_005M,B28009G_005EA,B28009G_005MA,B28009G_006M,B28009G_006EA,B28009G_006MA,state
26191,2956,25205,2963,33,72,23731,2968,1441,730,986,599,2956,null,null,2963,null,null,72,null,null,2968,null,null,730,null,null,599,null,null,33
233702,12570,225977,12721,0,200,208996,11491,16981,4606,7725,1841,12570,null,null,12721,null,null,200,null,null,11491,null,null,4606,null,null,1841,null,null,34
64995,6303,58098,5843,0,195,53859,5757,4239,1312,6897,1701,6303,null,null,5843,null,null,195,null,null,5757,null,null,1312,null,null,1701,null,null,35
596947,22453,571288,21914,766,537,531841,21180,38681,6334,25659,3617,22453,null,null,21914,null,null,537,null,null,21180,null,null,6334,null,null,3617,null,null,36
259908,13006,252227,13043,474,430,233465,12500,18288,3603,7681,1448,13006,null,null,13043,null,null,430,null,null,12500,null,null,3603,null,null,1448,null,null,37
20752,2903,20356,2868,21,38,17985,2635,2350,1111,396,305,2903,null,null,2868,null,null,38,null,null,2635,null,null,1111,null,null,305,null,null,38
313940,12722,301183,12843,722,606,278366,12015,22095,4247,12757,3012,12722,null,null,12843,null,null,606,null,null,12015,null,null,4247,null,null,3012,null,null,39
295698,8131,276591,8248,343,255,240891,7682,35357,3429,19107,2078,8131,null,null,8248,null,null,255,null,null,7682,null,null,3429,null,null,2078,null,null,40
198843,10670,190720,11164,208,315,175674,10322,14838,4911,8123,3196,10670,null,null,11164,null,null,315,null,null,10322,null,null,4911,null,null,3196,null,null,41
310843,13885,300673,13569,597,677,281141,12324,18935,3763,10170,1922,13885,null,null,13569,null,null,677,null,null,12324,null,null,3763,null,null,1922,null,null,42
31061,4419,30927,4404,0,208,29023,4283,1904,1100,134,143,4419,null,null,4404,null,null,208,null,null,4283,null,null,1100,null,null,143,null,null,44
103533,9132,96518,8904,0,207,87340,8470,9178,2687,7015,1955,9132,null,null,8904,null,null,207,null,null,8470,null,null,2687,null,null,1955,null,null,45
20092,2875,19243,2753,0,157,18416,2759,827,654,849,531,2875,null,null,2753,null,null,157,null,null,2759,null,null,654,null,null,531,null,null,46
136929,9847,129426,9350,341,327,113945,8726,15140,3677,7503,2011,9847,null,null,9350,null,null,327,null,null,8726,null,null,3677,null,null,2011,null,null,47
698051,21700,672454,21485,693,568,627904,20717,43857,5957,25597,3421,21700,null,null,21485,null,null,568,null,null,20717,null,null,5957,null,null,3421,null,null,48
86909,6625,85852,6649,16,29,81736,6563,4100,1197,1057,585,6625,null,null,6649,null,null,29,null,null,6563,null,null,1197,null,null,585,null,null,49
11496,1575,10548,1656,0,151,9892,1622,656,330,948,409,1575,null,null,1656,null,null,151,null,null,1622,null,null,330,null,null,409,null,null,50
302308,12695,294352,12448,180,142,280623,11902,13549,2916,7956,2127,12695,null,null,12448,null,null,142,null,null,11902,null,null,2916,null,null,2127,null,null,51
403694,15455,394251,15608,562,447,377273,15269,16416,3283,9443,1840,15455,null,null,15608,null,null,447,null,null,15269,null,null,3283,null,null,1840,null,null,53
29878,3397,27149,3102,0,193,25318,3126,1831,921,2729,848,3397,null,null,3102,null,null,193,null,null,3126,null,null,921,null,null,848,null,null,54
134744,7901,130269,7755,481,368,118439,7717,11349,2278,4475,1136,7901,null,null,7755,null,null,368,null,null,7717,null,null,2278,null,null,1136,null,null,55
15053,2085,14816,2096,78,130,14461,2075,277,242,237,215,2085,null,null,2096,null,null,130,null,null,2075,null,null,242,null,null,215,null,null,56
144152,10165,116599,8635,125,206,103068,8506,13406,3108,27553,5225,10165,null,null,8635,null,null,206,null,null,8506,null,null,3108,null,null,5225,null,null,72
81835,7163,75328,6906,35,65,69207,6821,6086,1886,6507,1754,7163,null,null,6906,null,null,65,null,null,6821,null,null,1886,null,null,1754,null,null,01
62368,5270,60891,5312,80,78,57709,5094,3102,912,1477,643,5270,null,null,5312,null,null,78,null,null,5094,null,null,912,null,null,643,null,null,02
241099,13740,234812,13710,682,768,216535,13579,17595,3638,6287,1575,13740,null,null,13710,null,null,768,null,null,13579,null,null,3638,null,null,1575,null,null,04
76182,6178,71065,6201,39,81,59501,5102,11525,3669,5117,1340,6178,null,null,6201,null,null,81,null,null,5102,null,null,3669,null,null,1340,null,null,05
1833283,30525,1785265,30491,1277,608,1698777,30935,85211,7605,48018,6052,30525,null,null,30491,null,null,608,null,null,30935,null,null,7605,null,null,6052,null,null,06
181344,9794,177300,9866,356,320,170360,9795,6584,1539,4044,1282,9794,null,null,9866,null,null,320,null,null,9795,null,null,1539,null,null,1282,null,null,08
107193,8311,103283,7869,0,200,97251,7691,6032,2202,3910,2153,8311,null,null,7869,null,null,200,null,null,7691,null,null,2202,null,null,2153,null,null,09
25061,3545,24272,3512,0,193,22017,3417,2255,1057,789,594,3545,null,null,3512,null,null,193,null,null,3417,null,null,1057,null,null,594,null,null,10
16908,2351,16462,2342,0,203,15800,2294,662,444,446,332,2351,null,null,2342,null,null,203,null,null,2294,null,null,444,null,null,332,null,null,11
