B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,B15002B_001M,B15002B_001EA,B15002B_001MA,B15002B_002M,B15002B_002EA,B15002B_002MA,B15002B_003M,B15002B_003EA,B15002B_003MA,B15002B_004M,B15002B_004EA,B15002B_004MA,B15002B_005M,B15002B_005EA,B15002B_005MA,B15002B_006M,B15002B_006EA,B15002B_006MA,B15002B_007M,B15002B_007EA,B15002B_007MA,B15002B_008M,B15002B_008EA,B15002B_008MA,B15002B_009M,B15002B_009EA,B15002B_009MA,B15002B_010M,B15002B_010EA,B15002B_010MA,B15002B_011M,B15002B_011EA,B15002B_011MA,B15002B_012M,B15002B_012EA,B15002B_012MA,B15002B_013M,B15002B_013EA,B15002B_013MA,B15002B_014M,B15002B_014EA,B15002B_014MA,B15002B_015M,B15002B_015EA,B15002B_015MA,B15002B_016M,B15002B_016EA,B15002B_016MA,B15002B_017M,B15002B_017EA,B15002B_017MA,B15002B_018M,B15002B_018EA,B15002B_018MA,B15002B_019M,B15002B_019EA,B15002B_019MA,state
10823,1237,6187,1032,121,151,397,259,1552,765,546,354,1381,566,426,389,647,444,1117,544,4636,721,491,407,211,228,1246,574,197,156,1072,622,0,187,882,605,537,329,1237,null,null,1032,null,null,151,null,null,259,null,null,765,null,null,354,null,null,566,null,null,389,null,null,444,null,null,544,null,null,721,null,null,407,null,null,228,null,null,574,null,null,156,null,null,622,null,null,187,null,null,605,null,null,329,null,null,33
786869,6568,355830,3760,15465,2323,30006,2583,117522,5378,17604,2414,77576,4586,23184,3073,49706,4458,24767,2557,431039,4465,16274,2070,31059,3282,124111,5162,12069,1960,102206,5343,35249,2774,70773,4146,39298,2786,6568,null,null,3760,null,null,2323,null,null,2583,null,null,5378,null,null,2414,null,null,4586,null,null,3073,null,null,4458,null,null,2557,null,null,4465,null,null,2070,null,null,3282,null,null,5162,null,null,1960,null,null,5343,null,null,2774,null,null,4146,null,null,2786,null,null,34
25485,2030,14547,1461,216,243,901,495,3382,959,561,315,4118,949,1224,627,1849,736,2296,802,10938,1279,312,229,565,412,2084,778,476,501,2808,805,1545,706,1953,702,1195,560,2030,null,null,1461,null,null,243,null,null,495,null,null,959,null,null,315,null,null,949,null,null,627,null,null,736,null,null,802,null,null,1279,null,null,229,null,null,412,null,null,778,null,null,501,null,null,805,null,null,706,null,null,702,null,null,560,null,null,35
2045692,11136,905706,6837,51541,3342,108030,5403,232930,7368,68894,4240,191457,5890,71332,4265,120134,6398,61388,3982,1139986,6814,62739,3897,115281,5186,265517,9679,57283,3507,227955,6708,111216,5492,187851,6923,112144,4755,11136,null,null,6837,null,null,3342,null,null,5403,null,null,7368,null,null,4240,null,null,5890,null,null,4265,null,null,6398,null,null,3982,null,null,6814,null,null,3897,null,null,5186,null,null,9679,null,null,3507,null,null,6708,null,null,5492,null,null,6923,null,null,4755,null,null,36
1407993,7353,627065,4371,25995,2718,81108,4756,184444,7352,35269,3494,152025,7260,42627,3932,73683,5074,31914,3244,780928,4962,29101,2787,79810,4618,181574,6778,25507,2293,204591,7476,79933,4644,116256,6258,64156,4414,7353,null,null,4371,null,null,2718,null,null,4756,null,null,7352,null,null,3494,null,null,7260,null,null,3932,null,null,5074,null,null,3244,null,null,4962,null,null,2787,null,null,4618,null,null,6778,null,null,2293,null,null,7476,null,null,4644,null,null,6258,null,null,4414,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
900291,4738,415586,3600,10777,1477,56368,4064,121548,4624,26881,2790,110746,5144,27524,3113,39892,3886,21850,2589,484705,3302,15336,2084,48063,3470,131506,5920,18467,2305,139637,5390,47448,3685,51304,4000,32944,3061,4738,null,null,3600,null,null,1477,null,null,4064,null,null,4624,null,null,2790,null,null,5144,null,null,3113,null,null,3886,null,null,2589,null,null,3302,null,null,2084,null,null,3470,null,null,5920,null,null,2305,null,null,5390,null,null,3685,null,null,4000,null,null,3061,null,null,39
173789,2770,82968,2253,2637,707,7611,1223,24654,1967,5078,937,22017,1876,6242,1528,9677,1204,5052,1059,90821,2090,2313,627,7849,1166,24520,2103,3510,1028,24962,2100,8954,1515,13188,1589,5525,903,2770,null,null,2253,null,null,707,null,null,1223,null,null,1967,null,null,937,null,null,1876,null,null,1528,null,null,1204,null,null,1059,null,null,2090,null,null,627,null,null,1166,null,null,2103,null,null,1028,null,null,2100,null,null,1515,null,null,1589,null,null,903,null,null,40
49212,2155,26557,1397,1636,972,2032,749,6164,1192,1681,656,7101,1530,1843,673,3890,898,2210,922,22655,1545,1237,839,1638,576,4031,991,981,502,7727,1435,2523,979,3137,982,1381,556,2155,null,null,1397,null,null,972,null,null,749,null,null,1192,null,null,656,null,null,1530,null,null,673,null,null,898,null,null,922,null,null,1545,null,null,839,null,null,576,null,null,991,null,null,502,null,null,1435,null,null,979,null,null,982,null,null,556,null,null,41
886334,5400,412691,4301,13676,1647,48552,4088,133076,5775,28871,2626,93435,5507,23814,2752,46622,4406,24645,2773,473643,3370,14638,2239,50996,4008,133147,5314,20255,2249,109513,5110,43494,3361,61034,4703,40566,3054,5400,null,null,4301,null,null,1647,null,null,4088,null,null,5775,null,null,2626,null,null,5507,null,null,2752,null,null,4406,null,null,2773,null,null,3370,null,null,2239,null,null,4008,null,null,5314,null,null,2249,null,null,5110,null,null,3361,null,null,4703,null,null,3054,null,null,42
41620,2101,20654,1126,1172,475,1880,703,3859,1178,1754,600,5258,1068,2316,1100,3037,854,1378,581,20966,1467,1533,606,1631,691,5402,1162,1084,469,4905,1180,2139,892,2156,775,2116,811,2101,null,null,1126,null,null,475,null,null,703,null,null,1178,null,null,600,null,null,1068,null,null,1100,null,null,854,null,null,581,null,null,1467,null,null,606,null,null,691,null,null,1162,null,null,469,null,null,1180,null,null,892,null,null,775,null,null,811,null,null,44
860249,4124,384509,2923,22190,2327,61517,4715,135599,6210,17661,2079,75810,5407,23782,2734,32362,2799,15588,2506,475740,3172,22546,1979,54601,3976,142672,4987,11640,1972,108740,5731,48502,4285,52387,4179,34652,2990,4124,null,null,2923,null,null,2327,null,null,4715,null,null,6210,null,null,2079,null,null,5407,null,null,2734,null,null,2799,null,null,2506,null,null,3172,null,null,1979,null,null,3976,null,null,4987,null,null,1972,null,null,5731,null,null,4285,null,null,4179,null,null,2990,null,null,45
7354,697,4769,724,715,636,187,154,1297,634,534,266,811,426,336,207,812,480,77,150,2585,573,987,315,215,201,115,101,36,83,711,409,172,174,144,130,205,187,697,null,null,724,null,null,636,null,null,154,null,null,634,null,null,266,null,null,426,null,null,207,null,null,480,null,null,150,null,null,573,null,null,315,null,null,201,null,null,101,null,null,83,null,null,409,null,null,174,null,null,130,null,null,187,null,null,46
696665,4988,317509,3211,14385,2019,40810,2979,100705,5178,19633,2466,70204,3938,21890,2827,34206,3806,15676,2565,379156,3455,14708,1726,35630,3389,101934,5795,12082,1681,97511,4959,31759,3279,52867,4236,32665,3266,4988,null,null,3211,null,null,2019,null,null,2979,null,null,5178,null,null,2466,null,null,3938,null,null,2827,null,null,3806,null,null,2565,null,null,3455,null,null,1726,null,null,3389,null,null,5795,null,null,1681,null,null,4959,null,null,3279,null,null,4236,null,null,3266,null,null,47
2097614,8493,972123,5840,29659,3194,87779,5092,267379,8489,56803,3878,251593,8553,77498,5139,141106,6712,60306,4599,1125491,6666,28953,3493,82599,5649,264115,9605,35978,3446,324970,10428,105161,6048,178625,8414,105090,5955,8493,null,null,5840,null,null,3194,null,null,5092,null,null,8489,null,null,3878,null,null,8553,null,null,5139,null,null,6712,null,null,4599,null,null,6666,null,null,3493,null,null,5649,null,null,9605,null,null,3446,null,null,10428,null,null,6048,null,null,8414,null,null,5955,null,null,48
17317,1277,10397,972,1092,503,251,199,1723,715,513,473,3530,969,981,516,1456,587,851,449,6920,869,887,533,522,395,1255,662,405,565,1591,628,695,418,776,382,789,451,1277,null,null,972,null,null,503,null,null,199,null,null,715,null,null,473,null,null,969,null,null,516,null,null,587,null,null,449,null,null,869,null,null,533,null,null,395,null,null,662,null,null,565,null,null,628,null,null,418,null,null,382,null,null,451,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
1050527,6283,487517,4622,20846,2401,52632,3112,129526,6304,32871,2795,115452,5004,34219,3262,64232,4239,37739,3004,563010,4235,21644,2120,52698,3811,136402,5880,18980,2632,137690,6104,52849,4616,80712,4445,62035,3887,6283,null,null,4622,null,null,2401,null,null,3112,null,null,6304,null,null,2795,null,null,5004,null,null,3262,null,null,4239,null,null,3004,null,null,4235,null,null,2120,null,null,3811,null,null,5880,null,null,2632,null,null,6104,null,null,4616,null,null,4445,null,null,3887,null,null,51
169496,4575,92610,2773,4862,1303,6873,1750,18516,2148,4284,1125,25639,2313,8896,1641,14480,1729,9060,1526,76886,2956,7208,1571,5011,1384,13222,1892,2682,1121,19152,2429,10452,1904,12841,1837,6318,1301,4575,null,null,2773,null,null,1303,null,null,1750,null,null,2148,null,null,1125,null,null,2313,null,null,1641,null,null,1729,null,null,1526,null,null,2956,null,null,1571,null,null,1384,null,null,1892,null,null,1121,null,null,2429,null,null,1904,null,null,1837,null,null,1301,null,null,53
