C17010F_001E,C17010F_001M,C17010F_002E,C17010F_002M,C17010F_003E,C17010F_003M,C17010F_004E,C17010F_004M,C17010F_005E,C17010F_005M,C17010F_006E,C17010F_006M,C17010F_007E,C17010F_007M,C17010F_008E,C17010F_008M,C17010F_009E,C17010F_009M,C17010F_010E,C17010F_010M,C17010F_011E,C17010F_011M,C17010F_012E,C17010F_012M,C17010F_013E,C17010F_013M,C17010F_014E,C17010F_014M,C17010F_015E,C17010F_015M,C17010F_016E,C17010F_016M,C17010F_017E,C17010F_017M,C17010F_001M,C17010F_001EA,C17010F_001MA,C17010F_002M,C17010F_002EA,C17010F_002MA,C17010F_003M,C17010F_003EA,C17010F_003MA,C17010F_004M,C17010F_004EA,C17010F_004MA,C17010F_005M,C17010F_005EA,C17010F_005MA,C17010F_006M,C17010F_006EA,C17010F_006MA,C17010F_007M,C17010F_007EA,C17010F_007MA,C17010F_008M,C17010F_008EA,C17010F_008MA,C17010F_009M,C17010F_009EA,C17010F_009MA,C17010F_010M,C17010F_010EA,C17010F_010MA,C17010F_011M,C17010F_011EA,C17010F_011MA,C17010F_012M,C17010F_012EA,C17010F_012MA,C17010F_013M,C17010F_013EA,C17010F_013MA,C17010F_014M,C17010F_014EA,C17010F_014MA,C17010F_015M,C17010F_015EA,C17010F_015MA,C17010F_016M,C17010F_016EA,C17010F_016MA,C17010F_017M,C17010F_017EA,C17010F_017MA,state
65592,4520,14340,2079,3377,867,2128,706,10963,1826,1217,591,772,544,9746,1734,8935,1632,51252,4176,28908,2985,17061,2332,22344,2599,6918,1461,3755,907,15426,2287,10817,1728,4520,null,null,2079,null,null,867,null,null,706,null,null,1826,null,null,591,null,null,544,null,null,1734,null,null,1632,null,null,4176,null,null,2985,null,null,2332,null,null,2599,null,null,1461,null,null,907,null,null,2287,null,null,1728,null,null,25
24824,2391,5987,1306,2484,724,2093,684,3503,1032,902,488,629,339,2601,903,2566,910,18837,2105,12739,1866,8720,1604,6098,1182,1503,558,839,448,4595,1107,3524,1054,2391,null,null,1306,null,null,724,null,null,684,null,null,1032,null,null,488,null,null,339,null,null,903,null,null,910,null,null,2105,null,null,1866,null,null,1604,null,null,1182,null,null,558,null,null,448,null,null,1107,null,null,1054,null,null,26
22705,1807,4203,1002,1930,785,1774,771,2273,966,227,265,227,265,2046,967,1914,866,18502,1782,11366,1662,8139,1428,7136,1298,3680,1030,2863,957,3456,987,2623,934,1807,null,null,1002,null,null,785,null,null,771,null,null,966,null,null,265,null,null,265,null,null,967,null,null,866,null,null,1782,null,null,1662,null,null,1428,null,null,1298,null,null,1030,null,null,957,null,null,987,null,null,934,null,null,27
6195,1273,1848,723,1391,658,884,551,457,430,0,213,0,213,457,430,457,430,4347,1098,3110,1019,1845,806,1237,626,782,495,672,530,455,346,455,346,1273,null,null,723,null,null,658,null,null,551,null,null,430,null,null,213,null,null,213,null,null,430,null,null,430,null,null,1098,null,null,1019,null,null,806,null,null,626,null,null,495,null,null,530,null,null,346,null,null,346,null,null,28
13545,1711,4117,1130,1561,717,1311,682,2556,920,485,372,485,372,2071,870,2057,867,9428,1513,6651,1352,4527,1233,2777,904,1002,574,742,551,1775,689,1423,624,1711,null,null,1130,null,null,717,null,null,682,null,null,920,null,null,372,null,null,372,null,null,870,null,null,867,null,null,1513,null,null,1352,null,null,1233,null,null,904,null,null,574,null,null,551,null,null,689,null,null,624,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
8109,1467,2018,870,1196,848,1196,848,822,399,31,51,31,51,791,389,717,398,6091,1067,3814,841,2146,580,2277,669,654,306,371,167,1623,605,1288,668,1467,null,null,870,null,null,848,null,null,848,null,null,399,null,null,51,null,null,51,null,null,389,null,null,398,null,null,1067,null,null,841,null,null,580,null,null,669,null,null,306,null,null,167,null,null,605,null,null,668,null,null,31
54467,3623,9564,1467,3441,913,2759,766,6123,1105,866,515,738,471,5257,1019,4898,997,44903,3459,27917,2560,17951,1911,16986,2152,6805,1283,4202,1000,10181,1767,6015,1317,3623,null,null,1467,null,null,913,null,null,766,null,null,1105,null,null,515,null,null,471,null,null,1019,null,null,997,null,null,3459,null,null,2560,null,null,1911,null,null,2152,null,null,1283,null,null,1000,null,null,1767,null,null,1317,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
117639,5320,21226,2355,6505,1550,5020,1361,14721,1815,2440,864,2150,870,12281,1625,11287,1683,96413,4951,56937,4000,36313,3275,39476,3072,13958,1935,8330,1713,25518,2962,16288,2471,5320,null,null,2355,null,null,1550,null,null,1361,null,null,1815,null,null,864,null,null,870,null,null,1625,null,null,1683,null,null,4951,null,null,4000,null,null,3275,null,null,3072,null,null,1935,null,null,1713,null,null,2962,null,null,2471,null,null,34
45249,3382,9690,1565,3694,1178,2725,963,5996,1243,945,472,828,412,5051,1154,4180,1085,35559,3070,23047,2269,9943,1717,12512,1939,5454,1498,2883,1029,7058,1496,3904,1078,3382,null,null,1565,null,null,1178,null,null,963,null,null,1243,null,null,472,null,null,412,null,null,1154,null,null,1085,null,null,3070,null,null,2269,null,null,1717,null,null,1939,null,null,1498,null,null,1029,null,null,1496,null,null,1078,null,null,35
373197,9496,90989,5190,28856,2797,21475,2336,62133,4330,9309,1770,6653,1461,52824,3934,43519,3473,282208,8107,151411,7176,91130,5196,130797,6245,39246,3945,21248,2870,91551,5131,51505,4244,9496,null,null,5190,null,null,2797,null,null,2336,null,null,4330,null,null,1770,null,null,1461,null,null,3934,null,null,3473,null,null,8107,null,null,7176,null,null,5196,null,null,6245,null,null,3945,null,null,2870,null,null,5131,null,null,4244,null,null,36
59783,3892,15746,2071,7924,1725,7472,1722,7822,1616,957,564,957,564,6865,1458,6619,1424,44037,3832,30815,3009,21457,2590,13222,2343,7190,1770,4532,1428,6032,1373,4263,1285,3892,null,null,2071,null,null,1725,null,null,1722,null,null,1616,null,null,564,null,null,564,null,null,1458,null,null,1424,null,null,3832,null,null,3009,null,null,2590,null,null,2343,null,null,1770,null,null,1428,null,null,1373,null,null,1285,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
21641,2381,5936,1285,1852,813,1719,785,4084,1116,1490,732,1296,672,2594,825,2498,819,15705,2128,9359,1718,5056,1314,6346,1220,2530,959,1572,862,3816,925,2554,818,2381,null,null,1285,null,null,813,null,null,785,null,null,1116,null,null,732,null,null,672,null,null,825,null,null,819,null,null,2128,null,null,1718,null,null,1314,null,null,1220,null,null,959,null,null,862,null,null,925,null,null,818,null,null,39
20543,1902,5225,982,2631,840,2257,771,2594,708,505,264,459,272,2089,654,2057,650,15318,1871,11053,1590,7375,1275,4265,1027,2508,710,1432,611,1757,644,727,306,1902,null,null,982,null,null,840,null,null,771,null,null,708,null,null,264,null,null,272,null,null,654,null,null,650,null,null,1871,null,null,1590,null,null,1275,null,null,1027,null,null,710,null,null,611,null,null,644,null,null,306,null,null,40
23309,2557,3089,813,1472,660,1216,665,1617,662,184,184,184,184,1433,667,1054,663,20220,2522,14614,2224,9989,1662,5606,1430,3047,1080,1758,900,2559,972,1685,891,2557,null,null,813,null,null,660,null,null,665,null,null,662,null,null,184,null,null,184,null,null,667,null,null,663,null,null,2522,null,null,2224,null,null,1662,null,null,1430,null,null,1080,null,null,900,null,null,972,null,null,891,null,null,41
53573,3873,16271,2445,3425,1063,2724,886,12846,2142,3158,1127,2961,1114,9688,1796,8713,1759,37302,3199,20915,2797,13076,2107,16387,2346,4565,1195,2758,1138,11822,1889,8490,1787,3873,null,null,2445,null,null,1063,null,null,886,null,null,2142,null,null,1127,null,null,1114,null,null,1796,null,null,1759,null,null,3199,null,null,2797,null,null,2107,null,null,2346,null,null,1195,null,null,1138,null,null,1889,null,null,1787,null,null,42
12579,1635,3187,899,677,538,545,519,2510,722,175,201,96,152,2335,714,1875,694,9392,1526,5088,1294,3373,1056,4304,1029,1291,605,788,485,3013,789,1953,798,1635,null,null,899,null,null,538,null,null,519,null,null,722,null,null,201,null,null,152,null,null,714,null,null,694,null,null,1526,null,null,1294,null,null,1056,null,null,1029,null,null,605,null,null,485,null,null,789,null,null,798,null,null,44
16349,2409,3912,1159,2390,866,2390,866,1522,790,157,173,115,155,1365,763,1208,727,12437,1956,7755,1801,3055,953,4682,1387,1932,964,1370,852,2750,1038,1924,952,2409,null,null,1159,null,null,866,null,null,866,null,null,790,null,null,173,null,null,155,null,null,763,null,null,727,null,null,1956,null,null,1801,null,null,953,null,null,1387,null,null,964,null,null,852,null,null,1038,null,null,952,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
13840,1910,3956,1102,1459,653,1289,578,2497,919,369,299,369,299,2128,852,2011,836,9884,1695,6472,1307,4588,1037,3412,1076,1933,654,903,461,1479,713,942,597,1910,null,null,1102,null,null,653,null,null,578,null,null,919,null,null,299,null,null,299,null,null,852,null,null,836,null,null,1695,null,null,1307,null,null,1037,null,null,1076,null,null,654,null,null,461,null,null,713,null,null,597,null,null,47
343491,9049,73854,4409,34592,3514,26479,3079,39262,3450,8156,1488,6220,1396,31106,3086,28026,2872,269637,8609,188371,6558,110239,5430,81266,5287,34923,4133,20556,3238,46343,3955,27697,3458,9049,null,null,4409,null,null,3514,null,null,3079,null,null,3450,null,null,1488,null,null,1396,null,null,3086,null,null,2872,null,null,8609,null,null,6558,null,null,5430,null,null,5287,null,null,4133,null,null,3238,null,null,3955,null,null,3458,null,null,48
33980,2737,6206,1632,1996,708,1771,698,4210,1413,1157,788,1147,788,3053,1228,2902,1208,27774,2412,19168,2325,14059,1937,8606,1660,3693,1242,2800,969,4913,1104,3651,993,2737,null,null,1632,null,null,708,null,null,698,null,null,1413,null,null,788,null,null,788,null,null,1228,null,null,1208,null,null,2412,null,null,2325,null,null,1937,null,null,1660,null,null,1242,null,null,969,null,null,1104,null,null,993,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
44917,3558,8517,1920,3127,1470,2601,1374,5390,1574,793,532,708,509,4597,1466,4417,1442,36400,3553,25119,2977,17118,2552,11281,1911,5987,1484,3349,1171,5294,1268,3709,1163,3558,null,null,1920,null,null,1470,null,null,1374,null,null,1574,null,null,532,null,null,509,null,null,1466,null,null,1442,null,null,3553,null,null,2977,null,null,2552,null,null,1911,null,null,1484,null,null,1171,null,null,1268,null,null,1163,null,null,51
69121,4084,13290,2086,4515,1201,3817,1097,8775,1821,1895,798,1393,684,6880,1570,6543,1573,55831,3897,39966,3493,29935,3153,15865,2397,7471,1862,4992,1515,8394,1731,5832,1343,4084,null,null,2086,null,null,1201,null,null,1097,null,null,1821,null,null,798,null,null,684,null,null,1570,null,null,1573,null,null,3897,null,null,3493,null,null,3153,null,null,2397,null,null,1862,null,null,1515,null,null,1731,null,null,1343,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
25868,2246,5703,1307,2225,827,2169,811,3478,1057,371,265,371,265,3107,990,2739,982,20165,1995,12339,1553,7662,1351,7826,1686,3614,1191,2506,1045,4212,1042,2997,936,2246,null,null,1307,null,null,827,null,null,811,null,null,1057,null,null,265,null,null,265,null,null,990,null,null,982,null,null,1995,null,null,1553,null,null,1351,null,null,1686,null,null,1191,null,null,1045,null,null,1042,null,null,936,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
136973,6166,64077,3938,24623,2545,11386,1929,39454,3188,7683,1536,5094,1249,31771,3016,22767,2700,72896,4542,47333,3349,17200,1932,25563,2775,6111,1351,1905,765,19452,2327,8926,1764,6166,null,null,3938,null,null,2545,null,null,1929,null,null,3188,null,null,1536,null,null,1249,null,null,3016,null,null,2700,null,null,4542,null,null,3349,null,null,1932,null,null,2775,null,null,1351,null,null,765,null,null,2327,null,null,1764,null,null,72
12060,1685,3918,1085,3024,907,2850,893,894,547,19,30,19,30,875,547,875,547,8142,1424,6305,1366,4335,1005,1837,749,1416,702,869,553,421,280,136,138,1685,null,null,1085,null,null,907,null,null,893,null,null,547,null,null,30,null,null,30,null,null,547,null,null,547,null,null,1424,null,null,1366,null,null,1005,null,null,749,null,null,702,null,null,553,null,null,280,null,null,138,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
121395,5269,28750,2724,12121,1846,10516,1740,16629,2113,3695,1020,3223,926,12934,1799,11829,1734,92645,4979,57366,3786,35242,3152,35279,3056,13673,2410,9528,2209,21606,2631,12859,1941,5269,null,null,2724,null,null,1846,null,null,1740,null,null,2113,null,null,1020,null,null,926,null,null,1799,null,null,1734,null,null,4979,null,null,3786,null,null,3152,null,null,3056,null,null,2410,null,null,2209,null,null,2631,null,null,1941,null,null,04
17706,1943,4883,1139,3089,1038,2897,1022,1794,736,504,427,504,427,1290,606,1274,605,12823,1822,9564,1632,7338,1462,3259,1089,1218,676,776,599,2041,855,1529,839,1943,null,null,1139,null,null,1038,null,null,1022,null,null,736,null,null,427,null,null,427,null,null,606,null,null,605,null,null,1822,null,null,1632,null,null,1462,null,null,1089,null,null,676,null,null,599,null,null,855,null,null,839,null,null,05
1127465,13131,210251,6965,91954,4683,75821,4182,118297,5399,27451,2717,22615,2437,90846,4899,81558,4661,917214,12770,602179,11331,380226,9971,315035,8739,129402,5799,71425,5026,185633,7316,111084,5887,13131,null,null,6965,null,null,4683,null,null,4182,null,null,5399,null,null,2717,null,null,2437,null,null,4899,null,null,4661,null,null,12770,null,null,11331,null,null,9971,null,null,8739,null,null,5799,null,null,5026,null,null,7316,null,null,5887,null,null,06
48056,3387,6752,1280,2683,807,2484,782,4069,1005,454,388,454,388,3615,920,2978,954,41304,3118,29690,2588,19915,2155,11614,1787,4158,1162,2192,859,7456,1432,5329,1216,3387,null,null,1280,null,null,807,null,null,782,null,null,1005,null,null,388,null,null,388,null,null,920,null,null,954,null,null,3118,null,null,2588,null,null,2155,null,null,1787,null,null,1162,null,null,859,null,null,1432,null,null,1216,null,null,08
37518,3185,6081,1309,1154,465,951,455,4927,1249,673,370,502,325,4254,1159,3791,1053,31437,3209,15532,2240,8992,1869,15905,2309,4788,1528,2873,1206,11117,2085,8192,1732,3185,null,null,1309,null,null,465,null,null,455,null,null,1249,null,null,370,null,null,325,null,null,1159,null,null,1053,null,null,3209,null,null,2240,null,null,1869,null,null,2309,null,null,1528,null,null,1206,null,null,2085,null,null,1732,null,null,09
3339,1151,1294,764,340,319,114,138,954,688,233,295,233,295,721,620,484,478,2045,845,1219,687,659,487,826,511,203,222,171,216,623,511,347,321,1151,null,null,764,null,null,319,null,null,138,null,null,688,null,null,295,null,null,295,null,null,620,null,null,478,null,null,845,null,null,687,null,null,487,null,null,511,null,null,222,null,null,216,null,null,511,null,null,321,null,null,10
6891,1228,1639,825,227,292,227,292,1412,793,155,253,155,253,1257,757,1257,757,5252,1330,2602,1021,2178,1053,2650,810,1467,609,659,465,1183,558,884,533,1228,null,null,825,null,null,292,null,null,292,null,null,793,null,null,253,null,null,253,null,null,757,null,null,757,null,null,1330,null,null,1021,null,null,1053,null,null,810,null,null,609,null,null,465,null,null,558,null,null,533,null,null,11
