B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,B12002H_001M,B12002H_001EA,B12002H_001MA,B12002H_002M,B12002H_002EA,B12002H_002MA,B12002H_003M,B12002H_003EA,B12002H_003MA,B12002H_004M,B12002H_004EA,B12002H_004MA,B12002H_005M,B12002H_005EA,B12002H_005MA,B12002H_006M,B12002H_006EA,B12002H_006MA,B12002H_007M,B12002H_007EA,B12002H_007MA,B12002H_008M,B12002H_008EA,B12002H_008MA,B12002H_009M,B12002H_009EA,B12002H_009MA,B12002H_010M,B12002H_010EA,B12002H_010MA,B12002H_011M,B12002H_011EA,B12002H_011MA,B12002H_012M,B12002H_012EA,B12002H_012MA,B12002H_013M,B12002H_013EA,B12002H_013MA,state
1264289,1111,643219,849,199379,5328,310996,6290,11129,1963,18573,2024,103142,5059,621070,1127,139965,4938,293562,5592,10044,1871,65286,2887,112213,5135,1111,null,null,849,null,null,5328,null,null,6290,null,null,1963,null,null,2024,null,null,5059,null,null,1127,null,null,4938,null,null,5592,null,null,1871,null,null,2887,null,null,5135,null,null,32
1031281,906,505696,936,161095,4078,268365,5180,5156,1091,14900,1717,56180,3384,525585,551,137240,3731,265895,5978,5348,1290,45795,2636,71307,4742,906,null,null,936,null,null,4078,null,null,5180,null,null,1091,null,null,1717,null,null,3384,null,null,551,null,null,3731,null,null,5978,null,null,1290,null,null,2636,null,null,4742,null,null,33
4219958,3232,2039821,1836,667157,7940,1133787,10680,20728,2298,62727,3394,155422,6010,2180137,1980,573590,6568,1092794,12264,32380,3182,241968,5350,239405,7030,3232,null,null,1836,null,null,7940,null,null,10680,null,null,2298,null,null,3394,null,null,6010,null,null,1980,null,null,6568,null,null,12264,null,null,3182,null,null,5350,null,null,7030,null,null,34
689131,2005,339706,1335,92899,3902,182875,4514,3478,1034,12449,1779,48005,3413,349425,1464,72367,2876,173612,4514,4236,1084,38133,2701,61077,3545,2005,null,null,1335,null,null,3902,null,null,4514,null,null,1034,null,null,1779,null,null,3413,null,null,1464,null,null,2876,null,null,4514,null,null,1084,null,null,2701,null,null,3545,null,null,35
9326576,5043,4526067,3084,1626324,14774,2310946,17839,71296,4801,143063,4638,374438,9366,4800509,2866,1453174,12117,2246669,19532,88991,4945,494085,7495,517590,11627,5043,null,null,3084,null,null,14774,null,null,17839,null,null,4801,null,null,4638,null,null,9366,null,null,2866,null,null,12117,null,null,19532,null,null,4945,null,null,7495,null,null,11627,null,null,36
5449597,2796,2637654,1949,761953,8962,1477582,13977,56011,4644,79941,4216,262167,7969,2811943,2417,630587,8443,1478096,14445,67987,5249,288896,5787,346377,9448,2796,null,null,1949,null,null,8962,null,null,13977,null,null,4644,null,null,4216,null,null,7969,null,null,2417,null,null,8443,null,null,14445,null,null,5249,null,null,5787,null,null,9448,null,null,37
529330,228,269883,500,92371,3573,143466,4081,2373,840,7067,1111,24606,2104,259447,487,64617,2790,143071,4076,1739,662,23550,1584,26470,2349,228,null,null,500,null,null,3573,null,null,4081,null,null,840,null,null,1111,null,null,2104,null,null,487,null,null,2790,null,null,4076,null,null,662,null,null,1584,null,null,2349,null,null,38
7683424,2125,3737762,1867,1198795,10215,1952878,13463,48093,4276,116070,4476,421926,10367,3945662,1605,1003711,10118,1964087,16814,59257,3969,394128,6783,524479,10990,2125,null,null,1867,null,null,10215,null,null,13463,null,null,4276,null,null,4476,null,null,10367,null,null,1605,null,null,10118,null,null,16814,null,null,3969,null,null,6783,null,null,10990,null,null,39
2167527,988,1058642,983,291993,4638,577379,6653,18241,1886,38528,2215,132501,4691,1108885,868,229843,4862,567975,6963,22325,1924,121825,3997,166917,4981,988,null,null,983,null,null,4638,null,null,6653,null,null,1886,null,null,2215,null,null,4691,null,null,868,null,null,4862,null,null,6963,null,null,1924,null,null,3997,null,null,4981,null,null,40
2661046,1441,1299481,1147,403678,6919,681962,8862,15201,1797,35996,3149,162644,5637,1361565,1238,339200,5632,659390,9997,22690,2453,125971,4684,214314,7072,1441,null,null,1147,null,null,6919,null,null,8862,null,null,1797,null,null,3149,null,null,5637,null,null,1238,null,null,5632,null,null,9997,null,null,2453,null,null,4684,null,null,7072,null,null,41
8363030,2708,4058770,1976,1344960,11609,2142554,13240,62463,3129,136911,4798,371882,8764,4304260,1192,1153127,9281,2124415,15285,78988,3755,475669,7399,472061,9827,2708,null,null,1976,null,null,11609,null,null,13240,null,null,3129,null,null,4798,null,null,8764,null,null,1192,null,null,9281,null,null,15285,null,null,3755,null,null,7399,null,null,9827,null,null,42
670931,1349,319938,1053,114798,4191,151350,5302,2736,815,10482,1362,40572,3518,350993,711,110178,3721,150244,5422,5464,1285,37894,2597,47213,3091,1349,null,null,1053,null,null,4191,null,null,5302,null,null,815,null,null,1362,null,null,3518,null,null,711,null,null,3721,null,null,5422,null,null,1285,null,null,2597,null,null,3091,null,null,44
2668384,2100,1293621,1688,374333,6959,710162,9727,24197,2852,43820,3450,141109,6076,1374763,1919,308699,7577,714552,10529,36594,3614,149008,5267,165910,6357,2100,null,null,1688,null,null,6959,null,null,9727,null,null,2852,null,null,3450,null,null,6076,null,null,1919,null,null,7577,null,null,10529,null,null,3614,null,null,5267,null,null,6357,null,null,45
584120,414,291869,762,92367,3142,160038,4016,2802,922,7943,1227,28719,2389,292251,699,70649,2991,156649,4230,2326,661,30679,2222,31948,2461,414,null,null,762,null,null,3142,null,null,4016,null,null,922,null,null,1227,null,null,2389,null,null,699,null,null,2991,null,null,4230,null,null,661,null,null,2222,null,null,2461,null,null,46
4123306,1794,1997441,2041,570734,8266,1091734,11859,31813,3554,63656,3346,239504,8961,2125865,2263,472782,7657,1090539,12947,42475,3943,216657,5279,303412,7786,1794,null,null,2041,null,null,8266,null,null,11859,null,null,3554,null,null,3346,null,null,8961,null,null,2263,null,null,7657,null,null,12947,null,null,3943,null,null,5279,null,null,7786,null,null,47
9923735,4407,4882676,3388,1403767,14922,2747836,21563,59822,4494,142447,4885,528804,13197,5041059,3640,1123856,12560,2652695,20270,89039,5891,486482,10048,688987,12349,4407,null,null,3388,null,null,14922,null,null,21563,null,null,4494,null,null,4885,null,null,13197,null,null,3640,null,null,12560,null,null,20270,null,null,5891,null,null,10048,null,null,12349,null,null,48
1829897,1316,911187,816,283940,5846,524255,7650,9575,1655,15673,1774,77744,4333,918710,1023,230200,5592,523238,8090,14594,2334,53552,3186,97126,4552,1316,null,null,816,null,null,5846,null,null,7650,null,null,1655,null,null,1774,null,null,4333,null,null,1023,null,null,5592,null,null,8090,null,null,2334,null,null,3186,null,null,4552,null,null,49
494657,364,241900,402,81069,2612,122633,3771,2479,660,7242,1039,28477,2615,252757,459,70847,2845,117791,3598,2463,842,24906,1701,36750,2463,364,null,null,402,null,null,2612,null,null,3771,null,null,660,null,null,1039,null,null,2615,null,null,459,null,null,2845,null,null,3598,null,null,842,null,null,1701,null,null,2463,null,null,50
4407521,2540,2163498,2389,665603,9274,1200485,12037,38067,3059,60861,3619,198482,6325,2244023,1760,545299,6355,1171064,12016,51594,4068,211349,5351,264717,7523,2540,null,null,2389,null,null,9274,null,null,12037,null,null,3059,null,null,3619,null,null,6325,null,null,1760,null,null,6355,null,null,12016,null,null,4068,null,null,5351,null,null,7523,null,null,51
4286239,1638,2126020,1238,671497,9166,1139614,11143,25418,2891,53212,3464,236279,7316,2160219,1226,525272,7160,1100503,12829,28281,2702,183637,4754,322526,7721,1638,null,null,1238,null,null,9166,null,null,11143,null,null,2891,null,null,3464,null,null,7316,null,null,1226,null,null,7160,null,null,12829,null,null,2702,null,null,4754,null,null,7721,null,null,53
1410908,1807,688183,1853,213618,6128,351448,6633,9415,1523,25543,2298,88159,4521,722725,1764,162856,3988,351993,6825,12933,1731,85744,3643,109199,4642,1807,null,null,1853,null,null,6128,null,null,6633,null,null,1523,null,null,2298,null,null,4521,null,null,1764,null,null,3988,null,null,6825,null,null,1731,null,null,3643,null,null,4642,null,null,54
3969744,1078,1958376,825,631258,7866,1055646,10732,14562,1733,53143,2411,203767,5900,2011368,553,519379,7116,1054930,11811,15802,1966,186633,5090,234624,6007,1078,null,null,825,null,null,7866,null,null,10732,null,null,1733,null,null,2411,null,null,5900,null,null,553,null,null,7116,null,null,11811,null,null,1966,null,null,5090,null,null,6007,null,null,55
403282,438,204773,839,60189,2906,112565,3347,2617,818,4521,887,24881,2315,198509,905,45581,2515,108356,3906,2247,744,15806,1526,26519,2416,438,null,null,839,null,null,2906,null,null,3347,null,null,818,null,null,887,null,null,2315,null,null,905,null,null,2515,null,null,3906,null,null,744,null,null,1526,null,null,2416,null,null,56
30230,3678,15641,2402,5544,1585,7947,1485,160,275,138,158,1852,820,14589,2121,5618,1465,5782,1341,51,87,1014,481,2124,742,3678,null,null,2402,null,null,1585,null,null,1485,null,null,275,null,null,158,null,null,820,null,null,2121,null,null,1465,null,null,1341,null,null,87,null,null,481,null,null,742,null,null,72
2679336,1104,1299539,1213,359889,6875,717209,8885,16856,2337,44819,3204,160766,6314,1379797,1392,282081,6471,720397,9175,26828,3228,161373,5301,189118,7322,1104,null,null,1213,null,null,6875,null,null,8885,null,null,2337,null,null,3204,null,null,6314,null,null,1392,null,null,6471,null,null,9175,null,null,3228,null,null,5301,null,null,7322,null,null,01
375268,632,201591,986,68846,2774,103064,3465,3528,1137,3839,864,22314,2164,173677,981,45001,2546,94250,3365,2785,806,9567,1073,22074,2315,632,null,null,986,null,null,2774,null,null,3465,null,null,1137,null,null,864,null,null,2164,null,null,981,null,null,2546,null,null,3365,null,null,806,null,null,1073,null,null,2315,null,null,02
3305868,2398,1623625,1311,481024,7501,867604,10542,17465,2575,56954,3274,200578,7552,1682243,1528,372804,7385,840222,9302,22920,2334,179128,6040,267169,9075,2398,null,null,1311,null,null,7501,null,null,10542,null,null,2575,null,null,3274,null,null,7552,null,null,1528,null,null,7385,null,null,9302,null,null,2334,null,null,6040,null,null,9075,null,null,04
1805563,1277,879118,1462,233448,6390,485226,7908,16081,2234,30431,2611,113932,5620,926445,1155,184490,5251,477586,8821,22323,3158,105574,4296,136472,6592,1277,null,null,1462,null,null,6390,null,null,7908,null,null,2234,null,null,2611,null,null,5620,null,null,1155,null,null,5251,null,null,8821,null,null,3158,null,null,4296,null,null,6592,null,null,05
12801830,6158,6368343,4013,2143475,18868,3292361,24158,90370,4787,192581,6952,649556,12920,6433487,3607,1688006,15062,3077784,22316,111059,6084,639854,10536,916784,13828,6158,null,null,4013,null,null,18868,null,null,24158,null,null,4787,null,null,6952,null,null,12920,null,null,3607,null,null,15062,null,null,22316,null,null,6084,null,null,10536,null,null,13828,null,null,06
3205740,1287,1599459,1417,518862,7498,850361,10223,13463,1574,36190,2749,180583,7490,1606281,1377,403768,6547,848409,8747,18880,2471,116419,3906,218805,6687,1287,null,null,1417,null,null,7498,null,null,10223,null,null,1574,null,null,2749,null,null,7490,null,null,1377,null,null,6547,null,null,8747,null,null,2471,null,null,3906,null,null,6687,null,null,08
2077671,2555,1003593,1798,334288,4875,532222,6595,7182,1379,32354,2532,97547,3977,1074078,1171,287894,5311,533353,7847,7752,1493,109839,3504,135240,5080,2555,null,null,1798,null,null,4875,null,null,6595,null,null,1379,null,null,2532,null,null,3977,null,null,1171,null,null,5311,null,null,7847,null,null,1493,null,null,3504,null,null,5080,null,null,09
514323,696,246768,294,78162,2627,131610,3738,2947,868,8280,1514,25769,2304,267555,467,67911,3024,129918,4686,5657,1525,27759,2000,36310,2581,696,null,null,294,null,null,2627,null,null,3738,null,null,868,null,null,1514,null,null,2304,null,null,467,null,null,3024,null,null,4686,null,null,1525,null,null,2000,null,null,2581,null,null,10
223072,524,111316,110,61285,2393,43281,2665,238,246,957,439,5555,1259,111756,504,59822,2690,39246,2755,765,378,3782,845,8141,1330,524,null,null,110,null,null,2393,null,null,2665,null,null,246,null,null,439,null,null,1259,null,null,504,null,null,2690,null,null,2755,null,null,378,null,null,845,null,null,1330,null,null,11
