C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,C15010B_001M,C15010B_001EA,C15010B_001MA,C15010B_002M,C15010B_002EA,C15010B_002MA,C15010B_003M,C15010B_003EA,C15010B_003MA,C15010B_004M,C15010B_004EA,C15010B_004MA,C15010B_005M,C15010B_005EA,C15010B_005MA,C15010B_006M,C15010B_006EA,C15010B_006MA,state
146495,5202,41574,3297,13554,1903,35172,2613,17956,2219,38239,3363,5202,null,null,3297,null,null,1903,null,null,2613,null,null,2219,null,null,3363,null,null,26
37340,2852,14204,1951,5173,1404,6319,1227,2413,730,9231,1638,2852,null,null,1951,null,null,1404,null,null,1227,null,null,730,null,null,1638,null,null,27
104422,4735,23728,2612,11117,1926,21472,2701,26346,2716,21759,2271,4735,null,null,2612,null,null,1926,null,null,2701,null,null,2716,null,null,2271,null,null,28
79951,4766,21712,2295,6451,1194,19525,2426,11678,1894,20585,2943,4766,null,null,2295,null,null,1194,null,null,2426,null,null,1894,null,null,2943,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
11840,1844,3628,1175,2113,1031,2598,844,1185,535,2316,952,1844,null,null,1175,null,null,1031,null,null,844,null,null,535,null,null,952,null,null,31
30779,3013,9254,1689,3014,903,7766,1703,2548,772,8197,1457,3013,null,null,1689,null,null,903,null,null,1703,null,null,772,null,null,1457,null,null,32
3183,1062,1220,623,528,547,572,403,435,307,428,330,1062,null,null,623,null,null,547,null,null,403,null,null,307,null,null,330,null,null,33
184544,7389,61939,5031,18414,2379,39624,3455,21289,2535,43278,3847,7389,null,null,5031,null,null,2379,null,null,3455,null,null,2535,null,null,3847,null,null,34
7293,1355,3422,1112,807,419,850,433,1062,540,1152,515,1355,null,null,1112,null,null,419,null,null,433,null,null,540,null,null,515,null,null,35
481517,11832,145844,6399,63522,4335,101359,5364,45682,3257,125110,5898,11832,null,null,6399,null,null,4335,null,null,5364,null,null,3257,null,null,5898,null,null,36
286009,9736,83796,4923,23628,2648,67874,4234,40019,3960,70692,5249,9736,null,null,4923,null,null,2648,null,null,4234,null,null,3960,null,null,5249,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
145990,7357,38438,3023,18285,2572,35984,3143,18254,2148,35029,3358,7357,null,null,3023,null,null,2572,null,null,3143,null,null,2148,null,null,3358,null,null,39
33442,2409,9025,1426,3141,895,8671,1442,5132,1097,7473,1176,2409,null,null,1426,null,null,895,null,null,1442,null,null,1097,null,null,1176,null,null,40
10618,1512,4164,1082,1226,563,2009,951,380,242,2839,774,1512,null,null,1082,null,null,563,null,null,951,null,null,242,null,null,774,null,null,41
172867,7083,53450,4337,17060,2136,39212,3644,20926,2634,42219,3962,7083,null,null,4337,null,null,2136,null,null,3644,null,null,2634,null,null,3962,null,null,42
8687,1583,3463,980,568,498,1821,613,669,437,2166,924,1583,null,null,980,null,null,498,null,null,613,null,null,437,null,null,924,null,null,44
134989,6637,35598,3819,10741,1724,33793,3290,22805,2190,32052,3464,6637,null,null,3819,null,null,1724,null,null,3290,null,null,2190,null,null,3464,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
135414,7029,42940,4365,12818,2313,31537,3289,17552,2428,30567,3365,7029,null,null,4365,null,null,2313,null,null,3289,null,null,2428,null,null,3365,null,null,47
485127,12982,144705,7536,57925,5472,123021,7077,55150,4676,104326,6449,12982,null,null,7536,null,null,5472,null,null,7077,null,null,4676,null,null,6449,null,null,48
3872,962,1373,665,136,155,1076,526,270,182,1017,413,962,null,null,665,null,null,155,null,null,526,null,null,182,null,null,413,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
244718,7361,78852,4481,23401,2736,61272,3862,27291,3492,53902,3823,7361,null,null,4481,null,null,2736,null,null,3862,null,null,3492,null,null,3823,null,null,51
42699,3070,16531,2116,4069,1135,9618,1543,3328,880,9153,1579,3070,null,null,2116,null,null,1135,null,null,1543,null,null,880,null,null,1579,null,null,53
8714,1670,2491,961,547,350,2192,796,1581,648,1903,589,1670,null,null,961,null,null,350,null,null,796,null,null,648,null,null,589,null,null,54
31364,2584,8838,1632,2434,684,6233,1564,4260,1094,9599,1297,2584,null,null,1632,null,null,684,null,null,1564,null,null,1094,null,null,1297,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
55833,4373,12202,1955,6187,1185,17380,2029,12064,2009,8000,1532,4373,null,null,1955,null,null,1185,null,null,2029,null,null,2009,null,null,1532,null,null,72
145714,6058,40639,4059,14222,1855,37637,4026,24642,2473,28574,2945,6058,null,null,4059,null,null,1855,null,null,4026,null,null,2473,null,null,2945,null,null,01
1822,760,349,294,269,227,622,495,181,194,401,298,760,null,null,294,null,null,227,null,null,495,null,null,194,null,null,298,null,null,02
43326,3927,14017,2104,4699,1072,10542,1944,5499,1286,8569,1521,3927,null,null,2104,null,null,1072,null,null,1944,null,null,1286,null,null,1521,null,null,04
45092,4042,10406,2015,4172,1244,8572,1501,11151,1820,10791,1839,4042,null,null,2015,null,null,1244,null,null,1501,null,null,1820,null,null,1839,null,null,05
370531,10096,130270,6800,32679,2891,80528,4929,27267,2919,99787,5580,10096,null,null,6800,null,null,2891,null,null,4929,null,null,2919,null,null,5580,null,null,06
35745,2952,13565,1721,2792,824,10164,1780,2932,877,6292,1271,2952,null,null,1721,null,null,824,null,null,1780,null,null,877,null,null,1271,null,null,08
47077,4070,15709,2563,4173,1023,10565,1820,4432,1246,12198,1784,4070,null,null,2563,null,null,1023,null,null,1820,null,null,1246,null,null,1784,null,null,09
27506,3192,8283,1976,2685,995,7736,1855,4459,1117,4343,954,3192,null,null,1976,null,null,995,null,null,1855,null,null,1117,null,null,954,null,null,10
55688,3932,19700,2331,2625,803,12090,1887,4533,750,16740,1984,3932,null,null,2331,null,null,803,null,null,1887,null,null,750,null,null,1984,null,null,11
