B18101F_001E,B18101F_001M,B18101F_002E,B18101F_002M,B18101F_003E,B18101F_003M,B18101F_004E,B18101F_004M,B18101F_005E,B18101F_005M,B18101F_006E,B18101F_006M,B18101F_007E,B18101F_007M,B18101F_008E,B18101F_008M,B18101F_009E,B18101F_009M,B18101F_010E,B18101F_010M,B18101F_001M,B18101F_001EA,B18101F_001MA,B18101F_002M,B18101F_002EA,B18101F_002MA,B18101F_003M,B18101F_003EA,B18101F_003MA,B18101F_004M,B18101F_004EA,B18101F_004MA,B18101F_005M,B18101F_005EA,B18101F_005MA,B18101F_006M,B18101F_006EA,B18101F_006MA,B18101F_007M,B18101F_007EA,B18101F_007MA,B18101F_008M,B18101F_008EA,B18101F_008MA,B18101F_009M,B18101F_009EA,B18101F_009MA,B18101F_010M,B18101F_010EA,B18101F_010MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
107563,9198,37279,4662,2196,805,35083,4721,65564,5342,8611,1678,56953,5101,4720,1127,1936,662,2784,907,9198,null,null,4662,null,null,805,null,null,4721,null,null,5342,null,null,1678,null,null,5101,null,null,1127,null,null,662,null,null,907,null,null,39
103976,7633,35970,3805,1285,685,34685,3607,64344,4746,4990,1114,59354,4466,3662,807,1528,520,2134,636,7633,null,null,3805,null,null,685,null,null,3607,null,null,4746,null,null,1114,null,null,4466,null,null,807,null,null,520,null,null,636,null,null,40
119591,10521,37791,5704,2465,1498,35326,5298,77480,6305,3890,951,73590,6151,4320,1080,1885,739,2435,753,10521,null,null,5704,null,null,1498,null,null,5298,null,null,6305,null,null,951,null,null,6151,null,null,1080,null,null,739,null,null,753,null,null,41
255920,13849,85620,7222,5252,1380,80368,7042,160311,7969,25838,3001,134473,7796,9989,1471,4849,961,5140,1204,13849,null,null,7222,null,null,1380,null,null,7042,null,null,7969,null,null,3001,null,null,7796,null,null,1471,null,null,961,null,null,1204,null,null,42
61110,6263,18409,2919,1101,774,17308,2833,39396,3954,3399,984,35997,3793,3305,957,1326,534,1979,765,6263,null,null,2919,null,null,774,null,null,2833,null,null,3954,null,null,984,null,null,3793,null,null,957,null,null,534,null,null,765,null,null,44
75585,9507,25429,4560,883,638,24546,4487,48104,6026,3869,1143,44235,5615,2052,810,713,467,1339,720,9507,null,null,4560,null,null,638,null,null,4487,null,null,6026,null,null,1143,null,null,5615,null,null,810,null,null,467,null,null,720,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
78415,7413,32578,4342,824,454,31754,4396,43901,4147,3036,951,40865,3916,1936,631,781,507,1155,512,7413,null,null,4342,null,null,454,null,null,4396,null,null,4147,null,null,951,null,null,3916,null,null,631,null,null,507,null,null,512,null,null,47
1597871,41142,485797,18934,17519,2370,468278,18376,1017156,27561,85484,6133,931672,25649,94918,5967,41955,3860,52963,4184,41142,null,null,18934,null,null,2370,null,null,18376,null,null,27561,null,null,6133,null,null,25649,null,null,5967,null,null,3860,null,null,4184,null,null,48
163288,9869,58960,5533,1615,871,57345,5350,100428,5469,5032,1322,95396,5434,3900,959,1010,522,2890,782,9869,null,null,5533,null,null,871,null,null,5350,null,null,5469,null,null,1322,null,null,5434,null,null,959,null,null,522,null,null,782,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
224686,12643,67813,6106,2357,1001,65456,5904,151816,8142,6908,1420,144908,7934,5057,1599,1450,690,3607,1392,12643,null,null,6106,null,null,1001,null,null,5904,null,null,8142,null,null,1420,null,null,7934,null,null,1599,null,null,690,null,null,1392,null,null,51
346472,13891,116897,7934,3682,1127,113215,7872,219809,8856,19630,3079,200179,8705,9766,1600,4450,1162,5316,1179,13891,null,null,7934,null,null,1127,null,null,7872,null,null,8856,null,null,3079,null,null,8705,null,null,1600,null,null,1162,null,null,1179,null,null,53
6930,1753,1559,828,236,341,1323,659,4980,1219,991,425,3989,1121,391,412,49,94,342,399,1753,null,null,828,null,null,341,null,null,659,null,null,1219,null,null,425,null,null,1121,null,null,412,null,null,94,null,null,399,null,null,54
124691,7699,44605,4554,2357,890,42248,4591,77066,4375,7600,1551,69466,4427,3020,843,1385,529,1635,618,7699,null,null,4554,null,null,890,null,null,4591,null,null,4375,null,null,1551,null,null,4427,null,null,843,null,null,529,null,null,618,null,null,55
5654,1932,1549,896,47,74,1502,906,3596,1239,113,123,3483,1207,509,331,155,150,354,268,1932,null,null,896,null,null,74,null,null,906,null,null,1239,null,null,123,null,null,1207,null,null,331,null,null,150,null,null,268,null,null,56
571579,19581,132769,7751,12140,2052,120629,7562,352585,13278,56434,4710,296151,12537,86225,4591,42409,3497,43816,3020,19581,null,null,7751,null,null,2052,null,null,7562,null,null,13278,null,null,4710,null,null,12537,null,null,4591,null,null,3497,null,null,3020,null,null,72
69670,6884,28327,3349,1113,451,27214,3318,39706,4390,1545,669,38161,4226,1637,780,314,225,1323,708,6884,null,null,3349,null,null,451,null,null,3318,null,null,4390,null,null,669,null,null,4226,null,null,780,null,null,225,null,null,708,null,null,01
12225,3172,2626,1285,65,93,2561,1306,9460,2397,1519,845,7941,2216,139,159,109,150,30,49,3172,null,null,1285,null,null,93,null,null,1306,null,null,2397,null,null,845,null,null,2216,null,null,159,null,null,150,null,null,49,null,null,02
578485,20554,178003,9233,7724,1697,170279,9242,370288,13503,32834,4213,337454,13009,30194,2972,11442,1845,18752,2353,20554,null,null,9233,null,null,1697,null,null,9242,null,null,13503,null,null,4213,null,null,13009,null,null,2972,null,null,1845,null,null,2353,null,null,04
85843,6098,33912,2913,993,518,32919,2904,49559,3850,3958,1215,45601,3967,2372,835,188,188,2184,791,6098,null,null,2913,null,null,518,null,null,2904,null,null,3850,null,null,1215,null,null,3967,null,null,835,null,null,188,null,null,791,null,null,05
5579896,65537,1634554,29134,57584,5069,1576970,28281,3622047,42694,241506,9119,3380541,41020,323295,9737,126015,5422,197280,8777,65537,null,null,29134,null,null,5069,null,null,28281,null,null,42694,null,null,9119,null,null,41020,null,null,9737,null,null,5422,null,null,8777,null,null,06
226592,12950,67082,5891,1477,954,65605,5726,147085,8186,11282,1838,135803,7957,12425,1535,4732,905,7693,1241,12950,null,null,5891,null,null,954,null,null,5726,null,null,8186,null,null,1838,null,null,7957,null,null,1535,null,null,905,null,null,1241,null,null,08
165687,10806,46398,4369,3356,1210,43042,4135,111340,8018,12430,2458,98910,7617,7949,1352,3404,781,4545,1165,10806,null,null,4369,null,null,1210,null,null,4135,null,null,8018,null,null,2458,null,null,7617,null,null,1352,null,null,781,null,null,1165,null,null,09
15257,4574,4366,1921,269,278,4097,1767,9960,3160,1860,1175,8100,2394,931,708,186,191,745,720,4574,null,null,1921,null,null,278,null,null,1767,null,null,3160,null,null,1175,null,null,2394,null,null,708,null,null,191,null,null,720,null,null,10
37132,4302,12454,1802,222,349,12232,1962,23209,2974,924,618,22285,3059,1469,651,589,475,880,512,4302,null,null,1802,null,null,349,null,null,1962,null,null,2974,null,null,618,null,null,3059,null,null,651,null,null,475,null,null,512,null,null,11
