B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,B25032F_001M,B25032F_001EA,B25032F_001MA,B25032F_002M,B25032F_002EA,B25032F_002MA,B25032F_003M,B25032F_003EA,B25032F_003MA,B25032F_004M,B25032F_004EA,B25032F_004MA,B25032F_005M,B25032F_005EA,B25032F_005MA,B25032F_006M,B25032F_006EA,B25032F_006MA,B25032F_007M,B25032F_007EA,B25032F_007MA,B25032F_008M,B25032F_008EA,B25032F_008MA,B25032F_009M,B25032F_009EA,B25032F_009MA,B25032F_010M,B25032F_010EA,B25032F_010MA,B25032F_011M,B25032F_011EA,B25032F_011MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
16998,1933,9537,1538,613,394,1078,700,1150,646,1466,550,817,494,190,168,503,432,1644,647,0,204,1933,null,null,1538,null,null,394,null,null,700,null,null,646,null,null,550,null,null,494,null,null,168,null,null,432,null,null,647,null,null,204,null,null,47
453839,10991,260861,8359,9572,1822,9392,1802,17866,2226,30735,3293,46016,4152,17589,2485,20220,2867,40772,3696,816,512,10991,null,null,8359,null,null,1822,null,null,1802,null,null,2226,null,null,3293,null,null,4152,null,null,2485,null,null,2867,null,null,3696,null,null,512,null,null,48
40813,2991,19500,2236,1828,610,2204,1208,4888,1411,2346,908,2886,1094,3078,1384,597,381,3480,1215,6,14,2991,null,null,2236,null,null,610,null,null,1208,null,null,1411,null,null,908,null,null,1094,null,null,1384,null,null,381,null,null,1215,null,null,14,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
56514,3408,21449,2359,11289,2426,1139,557,2482,1088,4341,1090,9329,1748,1278,663,1537,636,3636,1061,34,58,3408,null,null,2359,null,null,2426,null,null,557,null,null,1088,null,null,1090,null,null,1748,null,null,663,null,null,636,null,null,1061,null,null,58,null,null,51
88533,3712,37148,3049,2159,730,4775,1293,7459,1434,6854,1670,8226,1402,5615,1361,3450,1081,12577,2033,270,331,3712,null,null,3049,null,null,730,null,null,1293,null,null,1434,null,null,1670,null,null,1402,null,null,1361,null,null,1081,null,null,2033,null,null,331,null,null,53
2177,696,722,431,90,84,48,112,308,224,205,193,420,319,0,193,20,44,364,278,0,193,696,null,null,431,null,null,84,null,null,112,null,null,224,null,null,193,null,null,319,null,null,193,null,null,44,null,null,278,null,null,193,null,null,54
34775,2687,14561,1356,1390,724,8222,1392,1847,645,3901,1164,1185,684,1842,858,376,253,1451,630,0,147,2687,null,null,1356,null,null,724,null,null,1392,null,null,645,null,null,1164,null,null,684,null,null,858,null,null,253,null,null,630,null,null,147,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
200125,6763,136570,5708,25851,2343,5158,1389,6084,1213,8632,1500,8463,1198,3433,981,5570,1154,364,283,0,222,6763,null,null,5708,null,null,2343,null,null,1389,null,null,1213,null,null,1500,null,null,1198,null,null,981,null,null,1154,null,null,283,null,null,222,null,null,72
16541,2001,7059,1453,76,73,185,261,963,548,1099,546,722,404,456,438,78,129,5871,1386,32,61,2001,null,null,1453,null,null,73,null,null,261,null,null,548,null,null,546,null,null,404,null,null,438,null,null,129,null,null,1386,null,null,61,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
156519,5734,95874,4467,5137,1133,2730,1201,7107,1379,8540,1706,9723,1877,5236,1512,4951,1272,17048,2170,173,268,5734,null,null,4467,null,null,1133,null,null,1201,null,null,1379,null,null,1706,null,null,1877,null,null,1512,null,null,1272,null,null,2170,null,null,268,null,null,04
22001,1837,13840,2116,503,305,1470,727,744,518,1732,947,804,690,215,295,221,286,2472,946,0,197,1837,null,null,2116,null,null,305,null,null,727,null,null,518,null,null,947,null,null,690,null,null,295,null,null,286,null,null,946,null,null,197,null,null,05
1364663,15288,704667,12923,88624,5175,43347,3340,105841,5984,105602,5314,92829,5628,85277,4039,80190,5168,56746,4149,1540,782,15288,null,null,12923,null,null,5175,null,null,3340,null,null,5984,null,null,5314,null,null,5628,null,null,4039,null,null,5168,null,null,4149,null,null,782,null,null,06
67693,4228,33038,2669,4281,1164,1410,617,3207,1191,3250,1050,8011,1764,5377,1355,4814,1308,4268,1027,37,63,4228,null,null,2669,null,null,1164,null,null,617,null,null,1191,null,null,1050,null,null,1764,null,null,1355,null,null,1308,null,null,1027,null,null,63,null,null,08
54843,4171,11717,2113,3442,994,11874,2241,12448,2160,5902,1414,3138,1222,2786,1051,3300,892,60,100,176,196,4171,null,null,2113,null,null,994,null,null,2241,null,null,2160,null,null,1414,null,null,1222,null,null,1051,null,null,892,null,null,100,null,null,196,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
11190,1387,817,706,1414,595,383,338,782,451,665,548,3002,1065,2294,790,1833,747,0,203,0,203,1387,null,null,706,null,null,595,null,null,338,null,null,451,null,null,548,null,null,1065,null,null,790,null,null,747,null,null,203,null,null,203,null,null,11
