C17001B_001E,C17001B_001M,C17001B_002E,C17001B_002M,C17001B_003E,C17001B_003M,C17001B_004E,C17001B_004M,C17001B_005E,C17001B_005M,C17001B_006E,C17001B_006M,C17001B_007E,C17001B_007M,C17001B_008E,C17001B_008M,C17001B_009E,C17001B_009M,C17001B_010E,C17001B_010M,C17001B_011E,C17001B_011M,C17001B_012E,C17001B_012M,C17001B_013E,C17001B_013M,C17001B_014E,C17001B_014M,C17001B_015E,C17001B_015M,C17001B_016E,C17001B_016M,C17001B_017E,C17001B_017M,C17001B_018E,C17001B_018M,C17001B_019E,C17001B_019M,C17001B_001M,C17001B_001EA,C17001B_001MA,C17001B_002M,C17001B_002EA,C17001B_002MA,C17001B_003M,C17001B_003EA,C17001B_003MA,C17001B_004M,C17001B_004EA,C17001B_004MA,C17001B_005M,C17001B_005EA,C17001B_005MA,C17001B_006M,C17001B_006EA,C17001B_006MA,C17001B_007M,C17001B_007EA,C17001B_007MA,C17001B_008M,C17001B_008EA,C17001B_008MA,C17001B_009M,C17001B_009EA,C17001B_009MA,C17001B_010M,C17001B_010EA,C17001B_010MA,C17001B_011M,C17001B_011EA,C17001B_011MA,C17001B_012M,C17001B_012EA,C17001B_012MA,C17001B_013M,C17001B_013EA,C17001B_013MA,C17001B_014M,C17001B_014EA,C17001B_014MA,C17001B_015M,C17001B_015EA,C17001B_015MA,C17001B_016M,C17001B_016EA,C17001B_016MA,C17001B_017M,C17001B_017EA,C17001B_017MA,C17001B_018M,C17001B_018EA,C17001B_018MA,C17001B_019M,C17001B_019EA,C17001B_019MA,state
18541,1973,8101,2430,3637,1404,2102,830,1535,787,0,172,4464,1387,2877,994,1587,610,0,172,10440,1993,6277,1167,1326,525,4726,1019,225,246,4163,1244,1500,876,2626,702,37,60,1973,null,null,2430,null,null,1404,null,null,830,null,null,787,null,null,172,null,null,1387,null,null,994,null,null,610,null,null,172,null,null,1993,null,null,1167,null,null,525,null,null,1019,null,null,246,null,null,1244,null,null,876,null,null,702,null,null,60,null,null,23
1742215,9164,236441,12526,105830,6719,40626,3866,55289,4429,9915,1687,130611,8045,38929,4229,75846,4929,15836,1950,1505774,15107,700005,8377,172893,4624,455739,5299,71373,1900,805769,9650,165444,5286,533521,5457,106804,2354,9164,null,null,12526,null,null,6719,null,null,3866,null,null,4429,null,null,1687,null,null,8045,null,null,4229,null,null,4929,null,null,1950,null,null,15107,null,null,8377,null,null,4624,null,null,5299,null,null,1900,null,null,9650,null,null,5286,null,null,5457,null,null,2354,null,null,24
484080,8101,99843,10134,41974,5318,17829,3483,21169,3128,2976,668,57869,6094,18547,2446,33826,3878,5496,1208,384237,11478,191706,5682,46595,3153,129683,3971,15428,1046,192531,7969,42312,3702,127967,5235,22252,1222,8101,null,null,10134,null,null,5318,null,null,3483,null,null,3128,null,null,668,null,null,6094,null,null,2446,null,null,3878,null,null,1208,null,null,11478,null,null,5682,null,null,3153,null,null,3971,null,null,1046,null,null,7969,null,null,3702,null,null,5235,null,null,1222,null,null,25
1311063,9325,377577,14390,165876,6713,68397,4241,89658,4183,7821,1226,211701,9474,73312,5062,124284,6058,14105,1258,933486,14346,441835,7464,104090,4285,282411,5007,55334,1413,491651,9619,92681,4926,318839,6044,80131,1537,9325,null,null,14390,null,null,6713,null,null,4241,null,null,4183,null,null,1226,null,null,9474,null,null,5062,null,null,6058,null,null,1258,null,null,14346,null,null,7464,null,null,4285,null,null,5007,null,null,1413,null,null,9619,null,null,4926,null,null,6044,null,null,1537,null,null,26
317333,5872,94561,8557,44147,4553,20733,3104,21934,2942,1480,548,50414,5399,21416,3236,27091,3248,1907,583,222772,9080,113136,5281,33455,3554,74584,3640,5097,791,109636,5366,34915,3174,67446,3437,7275,996,5872,null,null,8557,null,null,4553,null,null,3104,null,null,2942,null,null,548,null,null,5399,null,null,3236,null,null,3248,null,null,583,null,null,9080,null,null,5281,null,null,3554,null,null,3640,null,null,791,null,null,5366,null,null,3174,null,null,3437,null,null,996,null,null,27
1089418,7000,351387,17224,147309,8827,71153,5566,68011,5358,8145,1342,204078,10563,71136,5591,116253,6061,16689,1643,738031,17959,350263,8917,81586,5534,229894,6036,38783,1750,387768,11820,83393,5772,252376,7123,51999,1935,7000,null,null,17224,null,null,8827,null,null,5566,null,null,5358,null,null,1342,null,null,10563,null,null,5591,null,null,6061,null,null,1643,null,null,17959,null,null,8917,null,null,5534,null,null,6036,null,null,1750,null,null,11820,null,null,5772,null,null,7123,null,null,1935,null,null,28
671986,7697,166964,11466,75861,5789,34833,3859,37235,3523,3793,729,91103,6884,31376,3817,52127,4265,7600,1082,505022,11404,237965,6808,58083,3553,155495,4748,24387,1128,267057,6799,55935,3794,174680,4579,36442,1311,7697,null,null,11466,null,null,5789,null,null,3859,null,null,3523,null,null,729,null,null,6884,null,null,3817,null,null,4265,null,null,1082,null,null,11404,null,null,6808,null,null,3553,null,null,4748,null,null,1128,null,null,6799,null,null,3794,null,null,4579,null,null,1311,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
84615,3000,22526,3857,9892,2078,4691,1454,4876,1153,325,190,12634,2413,4771,1329,7348,1519,515,303,62089,4264,32665,2281,9202,1481,21187,1450,2276,403,29424,2701,8054,1371,18417,1809,2953,408,3000,null,null,3857,null,null,2078,null,null,1454,null,null,1153,null,null,190,null,null,2413,null,null,1329,null,null,1519,null,null,303,null,null,4264,null,null,2281,null,null,1481,null,null,1450,null,null,403,null,null,2701,null,null,1371,null,null,1809,null,null,408,null,null,31
251320,5330,56148,7466,27183,4062,10626,2450,15050,2335,1507,592,28965,4230,9586,2453,17643,2513,1736,496,195172,8807,96632,4996,23637,2723,62246,3040,10749,720,98540,5274,22092,2722,63572,3159,12876,821,5330,null,null,7466,null,null,4062,null,null,2450,null,null,2335,null,null,592,null,null,4230,null,null,2453,null,null,2513,null,null,496,null,null,8807,null,null,4996,null,null,2723,null,null,3040,null,null,720,null,null,5274,null,null,2722,null,null,3159,null,null,821,null,null,32
14483,1665,1968,986,1170,569,183,199,987,485,0,187,798,580,273,339,525,320,0,187,12515,1921,6334,1188,1620,617,4079,811,635,360,6181,1220,1781,646,3891,770,509,286,1665,null,null,986,null,null,569,null,null,199,null,null,485,null,null,187,null,null,580,null,null,339,null,null,320,null,null,187,null,null,1921,null,null,1188,null,null,617,null,null,811,null,null,360,null,null,1220,null,null,646,null,null,770,null,null,286,null,null,33
1147700,11065,199927,13484,86569,7708,29566,3788,50588,4657,6415,1293,113358,8087,33128,4242,67926,4932,12304,1665,947773,14157,441874,8471,106008,4532,291345,6071,44521,1670,505899,8525,102779,4741,332971,5292,70149,2096,11065,null,null,13484,null,null,7708,null,null,3788,null,null,4657,null,null,1293,null,null,8087,null,null,4242,null,null,4932,null,null,1665,null,null,14157,null,null,8471,null,null,4532,null,null,6071,null,null,1670,null,null,8525,null,null,4741,null,null,5292,null,null,2096,null,null,34
37322,2784,6318,1935,3451,1156,1108,614,2107,749,236,152,2867,1189,1086,651,1676,755,105,124,31004,2945,17353,1787,4448,1293,10872,1629,2033,615,13651,1912,2778,937,9206,1379,1667,442,2784,null,null,1935,null,null,1156,null,null,614,null,null,749,null,null,152,null,null,1189,null,null,651,null,null,755,null,null,124,null,null,2945,null,null,1787,null,null,1293,null,null,1629,null,null,615,null,null,1912,null,null,937,null,null,1379,null,null,442,null,null,35
2958214,19132,623674,22384,264237,10264,97970,6333,145838,6649,20429,1789,359437,14548,102269,6226,218679,9128,38489,3248,2334540,24886,1076093,13225,244717,7075,716356,8913,115020,2430,1258447,15394,238778,6948,829830,9578,189839,3513,19132,null,null,22384,null,null,10264,null,null,6333,null,null,6649,null,null,1789,null,null,14548,null,null,6226,null,null,9128,null,null,3248,null,null,24886,null,null,13225,null,null,7075,null,null,8913,null,null,2430,null,null,15394,null,null,6948,null,null,9578,null,null,3513,null,null,36
2104380,13225,493979,17308,215436,9750,89768,5828,111277,6459,14391,1817,278543,11225,86816,5776,164689,7263,27038,2256,1610401,19142,756051,12127,177198,7705,493553,7140,85300,2103,854350,11882,168843,6307,562403,8002,123104,2633,13225,null,null,17308,null,null,9750,null,null,5828,null,null,6459,null,null,1817,null,null,11225,null,null,5776,null,null,7263,null,null,2256,null,null,19142,null,null,12127,null,null,7705,null,null,7140,null,null,2103,null,null,11882,null,null,6307,null,null,8002,null,null,2633,null,null,37
18544,2383,7202,2824,3648,1638,1908,824,1740,1225,0,155,3554,1690,1335,594,2219,1245,0,155,11342,2513,7037,1519,1215,803,5731,1277,91,100,4305,1392,1231,652,2889,1140,185,315,2383,null,null,2824,null,null,1638,null,null,824,null,null,1225,null,null,155,null,null,1690,null,null,594,null,null,1245,null,null,155,null,null,2513,null,null,1519,null,null,803,null,null,1277,null,null,100,null,null,1392,null,null,652,null,null,1140,null,null,315,null,null,38
1380553,11195,427746,15373,189657,8432,84560,5055,96980,5188,8117,1333,238089,9252,82587,5537,138674,5463,16828,1785,952807,15465,457435,9462,104448,5981,297969,5943,55018,1975,495372,8683,102832,5671,314913,5247,77627,2353,11195,null,null,15373,null,null,8432,null,null,5055,null,null,5188,null,null,1333,null,null,9252,null,null,5537,null,null,5463,null,null,1785,null,null,15465,null,null,9462,null,null,5981,null,null,5943,null,null,1975,null,null,8683,null,null,5671,null,null,5247,null,null,2353,null,null,39
272831,4783,79250,7663,33661,3621,14606,2473,17782,2326,1273,380,45589,4932,17507,2422,24869,3022,3213,719,193581,7206,95906,3766,22751,2122,64171,2516,8984,709,97675,4760,19865,1992,65479,3524,12331,854,4783,null,null,7663,null,null,3621,null,null,2473,null,null,2326,null,null,380,null,null,4932,null,null,2422,null,null,3022,null,null,719,null,null,7206,null,null,3766,null,null,2122,null,null,2516,null,null,709,null,null,4760,null,null,1992,null,null,3524,null,null,854,null,null,40
75947,4199,20479,3539,9215,1833,2816,1150,6247,1319,152,188,11264,2380,3586,1387,6530,1608,1148,470,55468,4402,30761,2712,7190,1680,20877,1582,2694,555,24707,2635,6284,1530,16237,1830,2186,562,4199,null,null,3539,null,null,1833,null,null,1150,null,null,1319,null,null,188,null,null,2380,null,null,1387,null,null,1608,null,null,470,null,null,4402,null,null,2712,null,null,1680,null,null,1582,null,null,555,null,null,2635,null,null,1530,null,null,1830,null,null,562,null,null,41
1325237,12060,350149,14923,152525,8815,57789,4991,88370,5913,6366,1202,197624,9798,62526,5598,116564,5932,18534,2387,975088,17895,467260,10439,116943,5544,299237,6766,51080,1927,507828,10637,106353,5852,327301,6051,74174,2511,12060,null,null,14923,null,null,8815,null,null,4991,null,null,5913,null,null,1202,null,null,9798,null,null,5598,null,null,5932,null,null,2387,null,null,17895,null,null,10439,null,null,5544,null,null,6766,null,null,1927,null,null,10637,null,null,5852,null,null,6051,null,null,2511,null,null,42
63996,4155,14323,3280,7205,1912,2329,945,4508,1459,368,331,7118,1876,1724,816,4554,1173,840,460,49673,4533,25710,2656,6679,1323,17036,1868,1995,456,23963,2555,5747,1313,15736,1591,2480,642,4155,null,null,3280,null,null,1912,null,null,945,null,null,1459,null,null,331,null,null,1876,null,null,816,null,null,1173,null,null,460,null,null,4533,null,null,2656,null,null,1323,null,null,1868,null,null,456,null,null,2555,null,null,1313,null,null,1591,null,null,642,null,null,44
1288372,8995,319828,16362,133594,8050,60055,5348,63035,4931,10504,1672,186234,11153,58330,6040,109808,6895,18096,1710,968544,17366,457633,8962,103086,5622,299342,5490,55205,1901,510911,11855,101801,6351,330838,7019,78272,1825,8995,null,null,16362,null,null,8050,null,null,5348,null,null,4931,null,null,1672,null,null,11153,null,null,6040,null,null,6895,null,null,1710,null,null,17366,null,null,8962,null,null,5622,null,null,5490,null,null,1901,null,null,11855,null,null,6351,null,null,7019,null,null,1825,null,null,45
13064,1345,2643,1125,844,524,365,285,479,408,0,157,1799,1029,1060,786,739,435,0,157,10421,1524,6169,929,1871,652,4249,684,49,80,4252,1139,1419,744,2780,647,53,70,1345,null,null,1125,null,null,524,null,null,285,null,null,408,null,null,157,null,null,1029,null,null,786,null,null,435,null,null,157,null,null,1524,null,null,929,null,null,652,null,null,684,null,null,80,null,null,1139,null,null,744,null,null,647,null,null,70,null,null,46
1069474,9440,281853,15599,125388,7794,59625,4919,59696,5067,6067,1335,156465,10339,56569,5787,88301,5891,11595,1512,787621,14838,372085,8048,82692,4952,251159,5857,38234,1403,415536,9818,82478,5293,279883,5839,53175,2095,9440,null,null,15599,null,null,7794,null,null,4919,null,null,5067,null,null,1335,null,null,10339,null,null,5787,null,null,5891,null,null,1512,null,null,14838,null,null,8048,null,null,4952,null,null,5857,null,null,1403,null,null,9818,null,null,5293,null,null,5839,null,null,2095,null,null,47
3218346,18114,656134,22283,291286,12316,127718,8634,144568,7481,19000,2466,364848,14760,121481,7228,212131,8840,31236,2736,2562212,28756,1218222,16293,308858,10659,809402,10080,99962,3319,1343990,16672,309392,8965,890410,10069,144188,3620,18114,null,null,22283,null,null,12316,null,null,8634,null,null,7481,null,null,2466,null,null,14760,null,null,7228,null,null,8840,null,null,2736,null,null,28756,null,null,16293,null,null,10659,null,null,10080,null,null,3319,null,null,16672,null,null,8965,null,null,10069,null,null,3620,null,null,48
31878,2987,12467,3022,6330,1819,3205,1131,3125,1019,0,190,6137,1542,2814,841,3211,939,112,196,19411,2864,11264,1936,3738,1391,6933,1178,593,363,8147,1397,2593,828,5242,966,312,256,2987,null,null,3022,null,null,1819,null,null,1131,null,null,1019,null,null,190,null,null,1542,null,null,841,null,null,939,null,null,196,null,null,2864,null,null,1936,null,null,1391,null,null,1178,null,null,363,null,null,1397,null,null,828,null,null,966,null,null,256,null,null,49
6838,1098,1977,995,1388,879,200,115,1076,828,112,165,589,405,179,197,347,259,63,81,4861,1233,3028,970,991,705,1904,608,133,134,1833,648,866,422,902,437,65,93,1098,null,null,995,null,null,879,null,null,115,null,null,828,null,null,165,null,null,405,null,null,197,null,null,259,null,null,81,null,null,1233,null,null,970,null,null,705,null,null,608,null,null,134,null,null,648,null,null,422,null,null,437,null,null,93,null,null,50
1532156,11998,279869,15842,124984,8080,51413,5135,63965,4374,9606,1439,154885,10397,49159,5254,90010,6188,15716,1683,1252287,16375,591848,9871,132918,6207,393724,6450,65206,2289,660439,10707,132637,5529,434558,7316,93244,2506,11998,null,null,15842,null,null,8080,null,null,5135,null,null,4374,null,null,1439,null,null,10397,null,null,5254,null,null,6188,null,null,1683,null,null,16375,null,null,9871,null,null,6207,null,null,6450,null,null,2289,null,null,10707,null,null,5529,null,null,7316,null,null,2506,null,null,51
257265,8831,59081,7506,29580,4147,11347,2578,17636,2495,597,290,29501,4438,12687,2875,15672,2387,1142,545,198184,8791,104768,4727,21592,2422,74504,3710,8672,832,93416,5606,21103,2822,62627,3556,9686,1023,8831,null,null,7506,null,null,4147,null,null,2578,null,null,2495,null,null,290,null,null,4438,null,null,2875,null,null,2387,null,null,545,null,null,8791,null,null,4727,null,null,2422,null,null,3710,null,null,832,null,null,5606,null,null,2822,null,null,3556,null,null,1023,null,null,53
61311,3305,16633,2931,7629,1606,2887,1080,4045,925,697,432,9004,1899,3281,1278,4997,1145,726,413,44678,3525,22063,2199,3495,955,15485,1841,3083,791,22615,2119,4660,1279,13567,1566,4388,964,3305,null,null,2931,null,null,1606,null,null,1080,null,null,925,null,null,432,null,null,1899,null,null,1278,null,null,1145,null,null,413,null,null,3525,null,null,2199,null,null,955,null,null,1841,null,null,791,null,null,2119,null,null,1279,null,null,1566,null,null,964,null,null,54
343054,4812,112870,8361,50603,4019,22292,3011,26032,2256,2279,787,62267,5420,23032,2701,35952,3412,3283,701,230184,8569,108387,4541,29682,2932,69444,2859,9261,731,121797,5738,31172,3031,78328,3576,12297,1022,4812,null,null,8361,null,null,4019,null,null,3011,null,null,2256,null,null,787,null,null,5420,null,null,2701,null,null,3412,null,null,701,null,null,8569,null,null,4541,null,null,2932,null,null,2859,null,null,731,null,null,5738,null,null,3031,null,null,3576,null,null,1022,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
391105,12342,180217,10298,82116,5726,22241,3184,48525,3813,11350,1701,98101,6364,19823,2511,59834,5091,18444,1737,210888,11364,108650,7035,14796,2207,72606,5008,21248,2366,102238,5595,14293,2244,66618,4267,21327,2218,12342,null,null,10298,null,null,5726,null,null,3184,null,null,3813,null,null,1701,null,null,6364,null,null,2511,null,null,5091,null,null,1737,null,null,11364,null,null,7035,null,null,2207,null,null,5008,null,null,2366,null,null,5595,null,null,2244,null,null,4267,null,null,2218,null,null,72
1253426,7596,343485,14440,147533,7282,68007,4991,72557,4424,6969,1011,195952,9510,63934,4956,113754,6020,18264,1666,909941,14469,430179,8057,98785,5033,283110,5350,48284,1669,479762,9347,91609,4694,320429,6855,67724,2136,7596,null,null,14440,null,null,7282,null,null,4991,null,null,4424,null,null,1011,null,null,9510,null,null,4956,null,null,6020,null,null,1666,null,null,14469,null,null,8057,null,null,5033,null,null,5350,null,null,1669,null,null,9347,null,null,4694,null,null,6855,null,null,2136,null,null,01
22464,1955,2083,999,1221,738,115,150,1012,720,94,106,862,462,202,208,410,270,250,252,20381,2089,11357,1317,2490,913,8360,1065,507,292,9024,1526,2307,826,5790,1001,927,340,1955,null,null,999,null,null,738,null,null,150,null,null,720,null,null,106,null,null,462,null,null,208,null,null,270,null,null,252,null,null,2089,null,null,1317,null,null,913,null,null,1065,null,null,292,null,null,1526,null,null,826,null,null,1001,null,null,340,null,null,02
284728,6627,62904,7274,31932,4167,13561,2765,16682,2580,1689,688,30972,4251,10398,2284,19586,2630,988,490,221824,8898,111810,4917,26476,2608,74678,3331,10656,737,110014,5266,27823,2925,69634,3158,12557,627,6627,null,null,7274,null,null,4167,null,null,2765,null,null,2580,null,null,688,null,null,4251,null,null,2284,null,null,2630,null,null,490,null,null,8898,null,null,4917,null,null,2608,null,null,3331,null,null,737,null,null,5266,null,null,2925,null,null,3158,null,null,627,null,null,04
440768,5026,127234,9123,56695,4638,25890,3501,28049,2748,2756,892,70539,6109,22618,3717,42147,3647,5774,1040,313534,9650,148823,4879,36438,3360,96499,3324,15886,1332,164711,6620,37788,3587,105675,4155,21248,1237,5026,null,null,9123,null,null,4638,null,null,3501,null,null,2748,null,null,892,null,null,6109,null,null,3717,null,null,3647,null,null,1040,null,null,9650,null,null,4879,null,null,3360,null,null,3324,null,null,1332,null,null,6620,null,null,3587,null,null,4155,null,null,1237,null,null,05
2169444,16142,473150,17391,217049,9737,70028,6503,133847,5993,13174,1744,256101,10776,72560,5512,158628,6651,24913,2266,1696294,19178,835571,12145,173415,6994,561938,8972,100218,2338,860723,10611,165290,6378,565354,7121,130079,3073,16142,null,null,17391,null,null,9737,null,null,6503,null,null,5993,null,null,1744,null,null,10776,null,null,5512,null,null,6651,null,null,2266,null,null,19178,null,null,12145,null,null,6994,null,null,8972,null,null,2338,null,null,10611,null,null,6378,null,null,7121,null,null,3073,null,null,06
221622,5790,43244,5029,21023,2909,7980,1851,12075,1888,968,402,22221,3151,6512,1611,14168,2326,1541,613,178378,6826,94380,4328,22816,2712,63205,3124,8359,838,83998,4523,21277,2726,53159,2733,9562,893,5790,null,null,5029,null,null,2909,null,null,1851,null,null,1888,null,null,402,null,null,3151,null,null,1611,null,null,2326,null,null,613,null,null,6826,null,null,4328,null,null,2712,null,null,3124,null,null,838,null,null,4523,null,null,2726,null,null,2733,null,null,893,null,null,08
361881,7654,64525,6465,29973,3495,10804,2061,17263,2556,1906,657,34552,4135,9949,1940,21833,2674,2770,787,297356,8591,141303,4427,35397,2516,93230,3655,12676,888,156053,5601,32703,2725,102908,3379,20442,1087,7654,null,null,6465,null,null,3495,null,null,2061,null,null,2556,null,null,657,null,null,4135,null,null,1940,null,null,2674,null,null,787,null,null,8591,null,null,4427,null,null,2516,null,null,3655,null,null,888,null,null,5601,null,null,2725,null,null,3379,null,null,1087,null,null,09
200782,4309,36736,6201,15077,2994,7267,2121,7257,1464,553,334,21659,3818,8329,2342,11286,1802,2044,619,164046,5772,77639,3060,18955,1957,49827,1806,8857,507,86407,3700,19101,2314,55876,2236,11430,800,4309,null,null,6201,null,null,2994,null,null,2121,null,null,1464,null,null,334,null,null,3818,null,null,2342,null,null,1802,null,null,619,null,null,5772,null,null,3060,null,null,1957,null,null,1806,null,null,507,null,null,3700,null,null,2314,null,null,2236,null,null,800,null,null,10
