C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,C15002D_001M,C15002D_001EA,C15002D_001MA,C15002D_002M,C15002D_002EA,C15002D_002MA,C15002D_003M,C15002D_003EA,C15002D_003MA,C15002D_004M,C15002D_004EA,C15002D_004MA,C15002D_005M,C15002D_005EA,C15002D_005MA,C15002D_006M,C15002D_006EA,C15002D_006MA,C15002D_007M,C15002D_007EA,C15002D_007MA,C15002D_008M,C15002D_008EA,C15002D_008MA,C15002D_009M,C15002D_009EA,C15002D_009MA,C15002D_010M,C15002D_010EA,C15002D_010MA,C15002D_011M,C15002D_011EA,C15002D_011MA,state
367796,4505,166093,2856,14175,2170,18989,2264,26660,2940,106269,3468,201703,3002,27998,2144,28082,2857,32985,2945,112638,3596,4505,null,null,2856,null,null,2170,null,null,2264,null,null,2940,null,null,3468,null,null,3002,null,null,2144,null,null,2857,null,null,2945,null,null,3596,null,null,51
426803,4851,188258,3011,18995,2431,22982,2484,39534,3196,106747,3448,238545,3186,35298,2957,35352,2717,50390,3588,117505,3843,4851,null,null,3011,null,null,2431,null,null,2484,null,null,3196,null,null,3448,null,null,3186,null,null,2957,null,null,2717,null,null,3588,null,null,3843,null,null,53
9521,1349,4146,911,95,88,243,212,467,301,3341,817,5375,853,200,177,1518,619,621,354,3036,749,1349,null,null,911,null,null,88,null,null,212,null,null,301,null,null,817,null,null,853,null,null,177,null,null,619,null,null,354,null,null,749,null,null,54
90165,2064,42773,1541,6198,1049,7935,1409,7115,1545,21525,1652,47392,1450,9066,1495,7966,1330,8388,1396,21972,1606,2064,null,null,1541,null,null,1049,null,null,1409,null,null,1545,null,null,1652,null,null,1450,null,null,1495,null,null,1330,null,null,1396,null,null,1606,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
4434,1353,1332,653,487,456,431,240,80,109,334,251,3102,1047,662,447,1034,530,1013,662,393,290,1353,null,null,653,null,null,456,null,null,240,null,null,109,null,null,251,null,null,1047,null,null,447,null,null,530,null,null,662,null,null,290,null,null,72
42268,2382,18401,1567,2386,863,2891,931,3299,893,9825,1328,23867,1890,3634,854,5611,1196,3940,939,10682,1549,2382,null,null,1567,null,null,863,null,null,931,null,null,893,null,null,1328,null,null,1890,null,null,854,null,null,1196,null,null,939,null,null,1549,null,null,01
31070,1528,13958,1125,1659,718,5206,1262,3999,938,3094,814,17112,968,2424,801,4160,909,5492,918,5036,952,1528,null,null,1125,null,null,718,null,null,1262,null,null,938,null,null,814,null,null,968,null,null,801,null,null,909,null,null,918,null,null,952,null,null,02
153710,2909,68781,1982,5808,1217,8391,1526,14067,1734,40515,2387,84929,1791,14413,2277,11929,1572,15141,2052,43446,2638,2909,null,null,1982,null,null,1217,null,null,1526,null,null,1734,null,null,2387,null,null,1791,null,null,2277,null,null,1572,null,null,2052,null,null,2638,null,null,04
28508,2059,12375,1252,1216,555,1849,542,2371,652,6939,1152,16133,1547,2543,866,3711,1193,3327,914,6552,929,2059,null,null,1252,null,null,555,null,null,542,null,null,652,null,null,1152,null,null,1547,null,null,866,null,null,1193,null,null,914,null,null,929,null,null,05
4086920,10503,1872563,6294,212908,7601,249802,9893,416116,9986,993737,12148,2214357,6501,318759,8384,315235,7782,458451,8899,1121912,12710,10503,null,null,6294,null,null,7601,null,null,9893,null,null,9986,null,null,12148,null,null,6501,null,null,8384,null,null,7782,null,null,8899,null,null,12710,null,null,06
118963,2408,52031,1536,6092,1293,7817,1430,9994,1437,28128,1733,66932,1701,9440,1417,12631,1675,12737,1716,32124,2062,2408,null,null,1536,null,null,1293,null,null,1430,null,null,1437,null,null,1733,null,null,1701,null,null,1417,null,null,1675,null,null,1716,null,null,2062,null,null,08
106420,1941,49015,1431,3335,784,5787,1223,5563,1096,34330,1921,57405,1225,6818,1344,8215,1409,6901,1135,35471,1792,1941,null,null,1431,null,null,784,null,null,1223,null,null,1096,null,null,1921,null,null,1225,null,null,1344,null,null,1409,null,null,1135,null,null,1792,null,null,09
25509,952,12332,471,752,331,635,344,2341,915,8604,978,13177,686,1010,435,2494,713,1959,832,7714,810,952,null,null,471,null,null,331,null,null,344,null,null,915,null,null,978,null,null,686,null,null,435,null,null,713,null,null,832,null,null,810,null,null,10
19965,824,8130,611,400,346,299,277,716,487,6715,769,11835,507,290,229,540,436,634,318,10371,668,824,null,null,611,null,null,346,null,null,277,null,null,487,null,null,769,null,null,507,null,null,229,null,null,436,null,null,318,null,null,668,null,null,11
