C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,C15010_001M,C15010_001EA,C15010_001MA,C15010_002M,C15010_002EA,C15010_002MA,C15010_003M,C15010_003EA,C15010_003MA,C15010_004M,C15010_004EA,C15010_004MA,C15010_005M,C15010_005EA,C15010_005MA,C15010_006M,C15010_006EA,C15010_006MA,state
922506,16150,284926,9141,81485,4441,210899,7259,148266,5908,196930,7322,16150,null,null,9141,null,null,4441,null,null,7259,null,null,5908,null,null,7322,null,null,45
163261,5430,48818,2708,21036,2007,29752,2493,33740,2807,29915,2749,5430,null,null,2708,null,null,2007,null,null,2493,null,null,2807,null,null,2749,null,null,46
1182855,16415,355682,8446,129196,6219,264726,7790,167233,5953,266018,9747,16415,null,null,8446,null,null,6219,null,null,7790,null,null,5953,null,null,9747,null,null,47
5135687,37099,1771811,22020,457374,12478,1206547,17070,649800,13687,1050155,18915,37099,null,null,22020,null,null,12478,null,null,17070,null,null,13687,null,null,18915,null,null,48
580935,10217,191268,6536,58726,3875,110988,5472,82072,4503,137881,5270,10217,null,null,6536,null,null,3875,null,null,5472,null,null,4503,null,null,5270,null,null,49
159855,4939,62929,3517,12151,1193,22458,1871,19912,2251,42405,2511,4939,null,null,3517,null,null,1193,null,null,1871,null,null,2251,null,null,2511,null,null,50
2178685,21913,877360,13173,171380,6491,405473,9727,210979,6790,513493,11038,21913,null,null,13173,null,null,6491,null,null,9727,null,null,6790,null,null,11038,null,null,51
1755710,17017,715432,11820,152394,5159,285501,8554,186850,6086,415533,9599,17017,null,null,11820,null,null,5159,null,null,8554,null,null,6086,null,null,9599,null,null,53
268757,8999,75078,3981,34796,2870,51593,3402,56369,4107,50921,3695,8999,null,null,3981,null,null,2870,null,null,3402,null,null,4107,null,null,3695,null,null,54
1160175,13413,370844,8961,133290,4634,219188,7304,191324,5905,245529,6045,13413,null,null,8961,null,null,4634,null,null,7304,null,null,5905,null,null,6045,null,null,55
105917,4762,36701,2583,13783,2353,14993,2368,19376,2122,21064,2394,4762,null,null,2583,null,null,2353,null,null,2368,null,null,2122,null,null,2394,null,null,56
599891,14150,156277,5711,60478,3746,186723,7488,112736,5259,83677,5413,14150,null,null,5711,null,null,3746,null,null,7488,null,null,5259,null,null,5413,null,null,72
815522,14386,236997,8518,84646,5015,193553,7801,137414,6438,162912,6895,14386,null,null,8518,null,null,5015,null,null,7801,null,null,6438,null,null,6895,null,null,01
141577,5260,54537,3540,14711,1790,20725,2275,18393,1961,33211,2981,5260,null,null,3540,null,null,1790,null,null,2275,null,null,1961,null,null,2981,null,null,02
1335894,17054,440702,9759,139304,5604,285611,7820,192801,7395,277476,8168,17054,null,null,9759,null,null,5604,null,null,7820,null,null,7395,null,null,8168,null,null,04
445833,10983,124669,5792,50278,3619,90440,4924,93667,4644,86779,4631,10983,null,null,5792,null,null,3619,null,null,4924,null,null,4644,null,null,4631,null,null,05
8660470,37042,3575590,27010,692652,13398,1588566,17933,573158,11402,2230504,24678,37042,null,null,27010,null,null,13398,null,null,17933,null,null,11402,null,null,24678,null,null,06
1492881,14649,579354,9668,116557,4820,294260,8880,153462,5619,349248,8132,14649,null,null,9668,null,null,4820,null,null,8880,null,null,5619,null,null,8132,null,null,08
953588,10738,352519,8887,76857,4053,192230,6286,104532,4288,227450,6447,10738,null,null,8887,null,null,4053,null,null,6286,null,null,4288,null,null,6447,null,null,09
205069,6944,74011,4055,20035,2477,43875,3297,29968,2437,37180,3261,6944,null,null,4055,null,null,2477,null,null,3297,null,null,2437,null,null,3261,null,null,10
272875,5107,126875,4844,11014,1899,38504,2928,11951,1459,84531,4098,5107,null,null,4844,null,null,1899,null,null,2928,null,null,1459,null,null,4098,null,null,11
