C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,C23002H_001M,C23002H_001EA,C23002H_001MA,C23002H_002M,C23002H_002EA,C23002H_002MA,C23002H_003M,C23002H_003EA,C23002H_003MA,C23002H_004M,C23002H_004EA,C23002H_004MA,C23002H_005M,C23002H_005EA,C23002H_005MA,C23002H_006M,C23002H_006EA,C23002H_006MA,C23002H_007M,C23002H_007EA,C23002H_007MA,C23002H_008M,C23002H_008EA,C23002H_008MA,C23002H_009M,C23002H_009EA,C23002H_009MA,C23002H_010M,C23002H_010EA,C23002H_010MA,C23002H_011M,C23002H_011EA,C23002H_011MA,C23002H_012M,C23002H_012EA,C23002H_012MA,C23002H_013M,C23002H_013EA,C23002H_013MA,C23002H_014M,C23002H_014EA,C23002H_014MA,C23002H_015M,C23002H_015EA,C23002H_015MA,C23002H_016M,C23002H_016EA,C23002H_016MA,C23002H_017M,C23002H_017EA,C23002H_017MA,C23002H_018M,C23002H_018EA,C23002H_018MA,C23002H_019M,C23002H_019EA,C23002H_019MA,C23002H_020M,C23002H_020EA,C23002H_020MA,C23002H_021M,C23002H_021EA,C23002H_021MA,C23002H_022M,C23002H_022EA,C23002H_022MA,C23002H_023M,C23002H_023EA,C23002H_023MA,C23002H_024M,C23002H_024EA,C23002H_024MA,C23002H_025M,C23002H_025EA,C23002H_025MA,C23002H_026M,C23002H_026EA,C23002H_026MA,C23002H_027M,C23002H_027EA,C23002H_027MA,state
1047287,1570,506754,1177,392824,1155,306551,4431,1299,499,305252,4390,289759,5012,15493,2291,86273,4525,113930,120,26245,1786,25087,1839,1158,530,87685,1788,540533,1078,403479,1070,298533,3485,169,151,298364,3493,287603,3978,10761,1667,104946,3483,137054,135,20228,2006,19627,1987,601,250,116826,2041,1570,null,null,1177,null,null,1155,null,null,4431,null,null,499,null,null,4390,null,null,5012,null,null,2291,null,null,4525,null,null,120,null,null,1786,null,null,1839,null,null,530,null,null,1788,null,null,1078,null,null,1070,null,null,3485,null,null,151,null,null,3493,null,null,3978,null,null,1667,null,null,3483,null,null,135,null,null,2006,null,null,1987,null,null,250,null,null,2041,null,null,23
2584372,2556,1254580,2036,995039,2038,824689,5500,14353,1930,810336,5404,773343,5829,36993,3077,170350,5696,259541,127,73275,3652,71921,3698,1354,408,186266,3667,1329792,1735,1004639,1745,753538,6140,4202,1089,749336,6136,716840,6807,32496,2826,251101,6240,325153,162,58055,2519,56271,2446,1784,631,267098,2510,2556,null,null,2036,null,null,2038,null,null,5500,null,null,1930,null,null,5404,null,null,5829,null,null,3077,null,null,5696,null,null,127,null,null,3652,null,null,3698,null,null,408,null,null,3667,null,null,1735,null,null,1745,null,null,6140,null,null,1089,null,null,6136,null,null,6807,null,null,2826,null,null,6240,null,null,162,null,null,2519,null,null,2446,null,null,631,null,null,2510,null,null,24
4185892,5441,2003412,3663,1599560,3658,1315958,8462,3467,825,1312491,8419,1245383,9997,67108,4370,283602,8563,403852,531,112549,4003,108539,3938,4010,1049,291303,4077,2182480,3178,1653025,2988,1284957,8911,288,243,1284669,8946,1235625,9903,49044,3910,368068,8505,529455,910,98432,3640,94697,3458,3735,828,431023,3602,5441,null,null,3663,null,null,3658,null,null,8462,null,null,825,null,null,8419,null,null,9997,null,null,4370,null,null,8563,null,null,531,null,null,4003,null,null,3938,null,null,1049,null,null,4077,null,null,3178,null,null,2988,null,null,8911,null,null,243,null,null,8946,null,null,9903,null,null,3910,null,null,8505,null,null,910,null,null,3640,null,null,3458,null,null,828,null,null,3602,null,null,25
6186326,4036,3033656,2645,2416020,2614,1893856,8336,2373,728,1891483,8331,1789785,9060,101698,4654,522164,8703,617636,253,113948,3848,110246,3872,3702,594,503688,3856,3152670,2616,2395118,2619,1687045,9844,447,272,1686598,9807,1610916,9643,75682,4016,708073,10283,757552,294,86626,3446,84567,3479,2059,540,670926,3426,4036,null,null,2645,null,null,2614,null,null,8336,null,null,728,null,null,8331,null,null,9060,null,null,4654,null,null,8703,null,null,253,null,null,3848,null,null,3872,null,null,594,null,null,3856,null,null,2616,null,null,2619,null,null,9844,null,null,272,null,null,9807,null,null,9643,null,null,4016,null,null,10283,null,null,294,null,null,3446,null,null,3479,null,null,540,null,null,3426,null,null,26
3648618,3211,1797643,2297,1445369,2200,1234178,5223,1753,610,1232425,5273,1187877,5595,44548,2817,211191,5176,352274,319,79351,2793,77552,2794,1799,422,272923,2793,1850975,2042,1422032,2014,1147610,5643,278,240,1147332,5642,1117576,5796,29756,2493,274422,5630,428943,143,63462,2706,62008,2633,1454,428,365481,2734,3211,null,null,2297,null,null,2200,null,null,5223,null,null,610,null,null,5273,null,null,5595,null,null,2817,null,null,5176,null,null,319,null,null,2793,null,null,2794,null,null,422,null,null,2793,null,null,2042,null,null,2014,null,null,5643,null,null,240,null,null,5642,null,null,5796,null,null,2493,null,null,5630,null,null,143,null,null,2706,null,null,2633,null,null,428,null,null,2734,null,null,27
1386323,2799,673704,2330,530386,2330,400488,5585,6917,1306,393571,5720,371931,5656,21640,2424,129898,6189,143318,592,30522,2394,29648,2346,874,494,112796,2375,712619,2038,532624,2083,335695,7269,1270,484,334425,7263,316695,7284,17730,2306,196929,7359,179995,457,21812,2091,21384,2068,428,217,158183,2192,2799,null,null,2330,null,null,2330,null,null,5585,null,null,1306,null,null,5720,null,null,5656,null,null,2424,null,null,6189,null,null,592,null,null,2394,null,null,2346,null,null,494,null,null,2375,null,null,2038,null,null,2083,null,null,7269,null,null,484,null,null,7263,null,null,7284,null,null,2306,null,null,7359,null,null,457,null,null,2091,null,null,2068,null,null,217,null,null,2192,null,null,28
3962047,3876,1930885,2737,1545322,2695,1220483,8320,12464,1417,1208019,8339,1155484,8892,52535,3309,324839,7805,385563,320,77697,3097,75958,3155,1739,521,307866,3090,2031162,2512,1548759,2455,1105651,9390,1449,785,1104202,9509,1062473,9271,41729,3530,443108,9737,482403,257,69293,3995,68079,3987,1214,466,413110,4014,3876,null,null,2737,null,null,2695,null,null,8320,null,null,1417,null,null,8339,null,null,8892,null,null,3309,null,null,7805,null,null,320,null,null,3097,null,null,3155,null,null,521,null,null,3090,null,null,2512,null,null,2455,null,null,9390,null,null,785,null,null,9509,null,null,9271,null,null,3530,null,null,9737,null,null,257,null,null,3995,null,null,3987,null,null,466,null,null,4014,null,null,29
743339,1227,373926,938,289943,940,234918,3149,1873,620,233045,3199,221946,3684,11099,1801,55025,3133,83983,52,17931,1392,17313,1356,618,296,66052,1402,369413,999,278633,1003,206096,3326,478,254,205618,3315,197584,3111,8034,1305,72537,3446,90780,47,13559,1418,13284,1404,275,248,77221,1421,1227,null,null,938,null,null,940,null,null,3149,null,null,620,null,null,3199,null,null,3684,null,null,1801,null,null,3133,null,null,52,null,null,1392,null,null,1356,null,null,296,null,null,1402,null,null,999,null,null,1003,null,null,3326,null,null,254,null,null,3315,null,null,3111,null,null,1305,null,null,3446,null,null,47,null,null,1418,null,null,1404,null,null,248,null,null,1421,null,null,30
1226625,1415,601507,1197,482324,1210,411038,3506,3866,750,407172,3691,394586,3661,12586,1524,71286,3479,119183,179,33839,1713,33219,1712,620,306,85344,1702,625118,980,477383,1004,379943,4323,873,428,379070,4291,369522,4604,9548,1470,97440,4239,147735,234,24060,1549,23559,1514,501,264,123675,1535,1415,null,null,1197,null,null,1210,null,null,3506,null,null,750,null,null,3691,null,null,3661,null,null,1524,null,null,3479,null,null,179,null,null,1713,null,null,1712,null,null,306,null,null,1702,null,null,980,null,null,1004,null,null,4323,null,null,428,null,null,4291,null,null,4604,null,null,1470,null,null,4239,null,null,234,null,null,1549,null,null,1514,null,null,264,null,null,1535,null,null,31
1251105,1804,636563,1368,481954,1340,378238,3983,3851,849,374387,4149,351007,4619,23380,2543,103716,4357,154609,172,29132,1846,27449,1717,1683,560,125477,1844,614542,1503,451580,1493,312279,5058,797,371,311482,5065,291870,5277,19612,2416,139301,5085,162962,215,23879,1911,22872,1832,1007,573,139083,1890,1804,null,null,1368,null,null,1340,null,null,3983,null,null,849,null,null,4149,null,null,4619,null,null,2543,null,null,4357,null,null,172,null,null,1846,null,null,1717,null,null,560,null,null,1844,null,null,1503,null,null,1493,null,null,5058,null,null,371,null,null,5065,null,null,5277,null,null,2416,null,null,5085,null,null,215,null,null,1911,null,null,1832,null,null,573,null,null,1890,null,null,32
1017480,1455,499336,1305,399467,1305,330404,4112,1982,796,328422,4158,316312,4313,12110,1522,69063,4253,99869,18,26460,1698,25621,1693,839,334,73409,1699,518144,1092,399134,1092,308496,4161,44,73,308452,4164,298652,4121,9800,2014,90638,4326,119010,187,22655,2030,22262,2058,393,276,96355,2030,1455,null,null,1305,null,null,1305,null,null,4112,null,null,796,null,null,4158,null,null,4313,null,null,1522,null,null,4253,null,null,18,null,null,1698,null,null,1693,null,null,334,null,null,1699,null,null,1092,null,null,1092,null,null,4161,null,null,73,null,null,4164,null,null,4121,null,null,2014,null,null,4326,null,null,187,null,null,2030,null,null,2058,null,null,276,null,null,2030,null,null,33
4159531,4380,2008402,2601,1576921,2541,1288681,7648,5030,894,1283651,7746,1210351,7792,73300,3756,288240,7761,431481,489,117305,4216,112286,4105,5019,868,314176,4284,2151129,2941,1584856,2865,1167163,8358,676,364,1166487,8332,1110151,7983,56336,4179,417693,8327,566273,523,92117,4038,88520,4018,3597,810,474156,4083,4380,null,null,2601,null,null,2541,null,null,7648,null,null,894,null,null,7746,null,null,7792,null,null,3756,null,null,7761,null,null,489,null,null,4216,null,null,4105,null,null,868,null,null,4284,null,null,2941,null,null,2865,null,null,8358,null,null,364,null,null,8332,null,null,7983,null,null,4179,null,null,8327,null,null,523,null,null,4038,null,null,4018,null,null,810,null,null,4083,null,null,34
682940,2135,336385,1461,242617,1441,182311,3706,5276,1065,177035,3722,166305,3826,10730,1715,60306,3703,93768,150,20346,1890,19550,1867,796,373,73422,1880,346555,1609,238718,1459,160435,3697,692,366,159743,3756,149366,4033,10377,1941,78283,3791,107837,534,16247,1459,15852,1420,395,250,91590,1530,2135,null,null,1461,null,null,1441,null,null,3706,null,null,1065,null,null,3722,null,null,3826,null,null,1715,null,null,3703,null,null,150,null,null,1890,null,null,1867,null,null,373,null,null,1880,null,null,1609,null,null,1459,null,null,3697,null,null,366,null,null,3756,null,null,4033,null,null,1941,null,null,3791,null,null,534,null,null,1459,null,null,1420,null,null,250,null,null,1530,null,null,35
9205416,6882,4464178,4780,3540534,4710,2820335,10921,12588,1359,2807747,10859,2666526,12472,141221,5100,720199,11350,923644,634,228808,5296,220757,5293,8051,1262,694836,5324,4741238,3891,3552967,3612,2582026,11650,1117,463,2580909,11688,2473035,11825,107874,6261,970941,11803,1188271,935,183363,4647,177976,4610,5387,987,1004908,4598,6882,null,null,4780,null,null,4710,null,null,10921,null,null,1359,null,null,10859,null,null,12472,null,null,5100,null,null,11350,null,null,634,null,null,5296,null,null,5293,null,null,1262,null,null,5324,null,null,3891,null,null,3612,null,null,11650,null,null,463,null,null,11688,null,null,11825,null,null,6261,null,null,11803,null,null,935,null,null,4647,null,null,4610,null,null,987,null,null,4598,null,null,36
5377307,4353,2600577,2961,2052859,2958,1621612,9948,48184,2787,1573428,10098,1493604,10731,79824,4928,431247,9938,547718,359,110148,4072,106980,3952,3168,782,437570,4050,2776730,3181,2089526,3202,1438557,10415,2816,818,1435741,10400,1362611,10327,73130,4904,650969,11154,687204,199,89979,3898,87846,3880,2133,668,597225,3934,4353,null,null,2961,null,null,2958,null,null,9948,null,null,2787,null,null,10098,null,null,10731,null,null,4928,null,null,9938,null,null,359,null,null,4072,null,null,3952,null,null,782,null,null,4050,null,null,3181,null,null,3202,null,null,10415,null,null,818,null,null,10400,null,null,10327,null,null,4904,null,null,11154,null,null,199,null,null,3898,null,null,3880,null,null,668,null,null,3934,null,null,37
522542,824,266313,695,218380,700,188974,2193,4541,1191,184433,2336,179514,2385,4919,1145,29406,2209,47933,25,13789,1240,13659,1240,130,111,34144,1240,256229,606,198828,598,159491,2413,174,100,159317,2414,155569,2588,3748,871,39337,2295,57401,51,9445,1038,9418,1038,27,41,47956,1033,824,null,null,695,null,null,700,null,null,2193,null,null,1191,null,null,2336,null,null,2385,null,null,1145,null,null,2209,null,null,25,null,null,1240,null,null,1240,null,null,111,null,null,1240,null,null,606,null,null,598,null,null,2413,null,null,100,null,null,2414,null,null,2588,null,null,871,null,null,2295,null,null,51,null,null,1038,null,null,1038,null,null,41,null,null,1033,null,null,38
7571874,4227,3679853,3067,2949328,3107,2358659,9890,6235,1005,2352424,9929,2232840,10675,119584,5305,590669,9739,730525,314,156324,4648,152862,4755,3462,697,574201,4681,3892021,3192,2961751,3172,2138200,10862,827,373,2137373,10872,2048413,11843,88960,5411,823551,10888,930270,259,125320,4142,122107,4206,3213,731,804950,4160,4227,null,null,3067,null,null,3107,null,null,9890,null,null,1005,null,null,9929,null,null,10675,null,null,5305,null,null,9739,null,null,314,null,null,4648,null,null,4755,null,null,697,null,null,4681,null,null,3192,null,null,3172,null,null,10862,null,null,373,null,null,10872,null,null,11843,null,null,5411,null,null,10888,null,null,259,null,null,4142,null,null,4206,null,null,731,null,null,4160,null,null,39
2137449,1757,1043310,1392,823612,1361,637418,5471,8129,1330,629289,5278,595832,5369,33457,2493,186194,5293,219698,181,48583,2151,47073,2225,1510,536,171115,2161,1094139,1226,822295,1207,553784,5402,1564,436,552220,5379,525544,5448,26676,2408,268511,5472,271844,190,37986,2186,37448,2227,538,256,233858,2211,1757,null,null,1392,null,null,1361,null,null,5471,null,null,1330,null,null,5278,null,null,5369,null,null,2493,null,null,5293,null,null,181,null,null,2151,null,null,2225,null,null,536,null,null,2161,null,null,1226,null,null,1207,null,null,5402,null,null,436,null,null,5379,null,null,5448,null,null,2408,null,null,5472,null,null,190,null,null,2186,null,null,2227,null,null,256,null,null,2211,null,null,40
2629995,2827,1283673,1947,996631,1955,779214,6573,1802,615,777412,6552,731859,6761,45553,3595,217417,6550,287042,85,54620,3481,52078,3201,2542,1063,232422,3483,1346322,1908,1006056,1877,705600,7279,267,252,705333,7263,670745,7740,34588,3007,300456,6963,340266,269,43113,2804,41848,2799,1265,490,297153,2828,2827,null,null,1947,null,null,1955,null,null,6573,null,null,615,null,null,6552,null,null,6761,null,null,3595,null,null,6550,null,null,85,null,null,3481,null,null,3201,null,null,1063,null,null,3483,null,null,1908,null,null,1877,null,null,7279,null,null,252,null,null,7263,null,null,7740,null,null,3007,null,null,6963,null,null,269,null,null,2804,null,null,2799,null,null,490,null,null,2828,null,null,41
8251360,4468,4003236,3500,3142138,3483,2511964,10820,3543,860,2508421,10952,2374314,12165,134107,5490,630174,11355,861098,248,185438,4912,180508,4835,4930,786,675660,4863,4248124,3152,3141291,3159,2295199,11120,786,432,2294413,11149,2197294,11059,97119,4846,846092,11629,1106833,273,155540,4152,150920,4088,4620,820,951293,4138,4468,null,null,3500,null,null,3483,null,null,10820,null,null,860,null,null,10952,null,null,12165,null,null,5490,null,null,11355,null,null,248,null,null,4912,null,null,4835,null,null,786,null,null,4863,null,null,3152,null,null,3159,null,null,11120,null,null,432,null,null,11149,null,null,11059,null,null,4846,null,null,11629,null,null,273,null,null,4152,null,null,4088,null,null,820,null,null,4138,null,null,42
663608,1812,316069,1337,249515,1202,202168,2991,2443,533,199725,3059,187222,3444,12503,2001,47347,2918,66554,362,15262,1581,14534,1540,728,344,51292,1592,347539,980,258648,941,191741,3906,440,383,191301,3871,182984,3714,8317,1550,66907,3884,88891,159,13045,1220,12721,1197,324,239,75846,1248,1812,null,null,1337,null,null,1202,null,null,2991,null,null,533,null,null,3059,null,null,3444,null,null,2001,null,null,2918,null,null,362,null,null,1581,null,null,1540,null,null,344,null,null,1592,null,null,980,null,null,941,null,null,3906,null,null,383,null,null,3871,null,null,3714,null,null,1550,null,null,3884,null,null,159,null,null,1220,null,null,1197,null,null,239,null,null,1248,null,null,44
2632456,2932,1274995,2589,985260,2585,774313,7040,16314,2205,757999,7119,721454,7543,36545,3500,210947,7555,289735,115,58955,3231,57815,3184,1140,591,230780,3227,1357461,2294,1010556,2322,697278,8930,3096,857,694182,8977,658780,8801,35402,3179,313278,8762,346905,182,45825,2859,44922,2822,903,351,301080,2874,2932,null,null,2589,null,null,2585,null,null,7040,null,null,2205,null,null,7119,null,null,7543,null,null,3500,null,null,7555,null,null,115,null,null,3231,null,null,3184,null,null,591,null,null,3227,null,null,2294,null,null,2322,null,null,8930,null,null,857,null,null,8977,null,null,8801,null,null,3179,null,null,8762,null,null,182,null,null,2859,null,null,2822,null,null,351,null,null,2874,null,null,45
575964,1080,287617,1014,227492,1014,194121,2525,908,438,193213,2549,189056,2666,4157,1026,33371,2657,60125,12,17474,1351,17396,1354,78,99,42651,1350,288347,871,217922,873,174099,3055,256,156,173843,3063,169178,3041,4665,1098,43823,3131,70425,17,12221,1106,12041,1068,180,248,58204,1103,1080,null,null,1014,null,null,1014,null,null,2525,null,null,438,null,null,2549,null,null,2666,null,null,1026,null,null,2657,null,null,12,null,null,1351,null,null,1354,null,null,99,null,null,1350,null,null,871,null,null,873,null,null,3055,null,null,156,null,null,3063,null,null,3041,null,null,1098,null,null,3131,null,null,17,null,null,1106,null,null,1068,null,null,248,null,null,1103,null,null,46
