B10051G_001E,B10051G_001M,B10051G_002E,B10051G_002M,B10051G_003E,B10051G_003M,B10051G_004E,B10051G_004M,B10051G_005E,B10051G_005M,B10051G_006E,B10051G_006M,B10051G_007E,B10051G_007M,B10051G_001M,B10051G_001EA,B10051G_001MA,B10051G_002M,B10051G_002EA,B10051G_002MA,B10051G_003M,B10051G_003EA,B10051G_003MA,B10051G_004M,B10051G_004EA,B10051G_004MA,B10051G_005M,B10051G_005EA,B10051G_005MA,B10051G_006M,B10051G_006EA,B10051G_006MA,B10051G_007M,B10051G_007EA,B10051G_007MA,state
1433,624,978,509,731,431,247,183,455,282,71,90,384,262,624,null,null,509,null,null,431,null,null,183,null,null,282,null,null,90,null,null,262,null,null,41
5390,1553,1581,744,1178,646,403,346,3809,1282,1911,937,1898,831,1553,null,null,744,null,null,646,null,null,346,null,null,1282,null,null,937,null,null,831,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1857,674,969,453,697,386,272,211,888,522,587,436,301,220,674,null,null,453,null,null,386,null,null,211,null,null,522,null,null,436,null,null,220,null,null,47
12462,2035,5040,1135,2611,802,2429,953,7422,1544,3998,1256,3424,989,2035,null,null,1135,null,null,802,null,null,953,null,null,1544,null,null,1256,null,null,989,null,null,48
1024,529,336,275,60,86,276,263,688,470,521,449,167,147,529,null,null,275,null,null,86,null,null,263,null,null,470,null,null,449,null,null,147,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
3083,878,871,384,536,307,335,228,2212,815,1078,540,1134,562,878,null,null,384,null,null,307,null,null,228,null,null,815,null,null,540,null,null,562,null,null,51
4159,1346,1874,904,1214,823,660,407,2285,949,1460,824,825,413,1346,null,null,904,null,null,823,null,null,407,null,null,949,null,null,824,null,null,413,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
4226,1108,1919,803,863,516,1056,793,2307,821,886,560,1421,598,1108,null,null,803,null,null,516,null,null,793,null,null,821,null,null,560,null,null,598,null,null,72
1246,616,1095,588,692,471,403,317,151,146,113,129,38,66,616,null,null,588,null,null,471,null,null,317,null,null,146,null,null,129,null,null,66,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4105,1527,2190,1185,1793,1179,397,254,1915,748,965,475,950,485,1527,null,null,1185,null,null,1179,null,null,254,null,null,748,null,null,475,null,null,485,null,null,04
1323,790,622,472,510,446,112,153,701,382,509,338,192,167,790,null,null,472,null,null,446,null,null,153,null,null,382,null,null,338,null,null,167,null,null,05
29532,3383,8551,1876,4787,1305,3764,1366,20981,3016,9545,2134,11436,1922,3383,null,null,1876,null,null,1305,null,null,1366,null,null,3016,null,null,2134,null,null,1922,null,null,06
1612,546,682,373,529,340,153,176,930,395,312,190,618,386,546,null,null,373,null,null,340,null,null,176,null,null,395,null,null,190,null,null,386,null,null,08
1228,541,427,284,288,252,139,184,801,444,466,394,335,200,541,null,null,284,null,null,252,null,null,184,null,null,444,null,null,394,null,null,200,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
