C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,C17010D_001M,C17010D_001EA,C17010D_001MA,C17010D_002M,C17010D_002EA,C17010D_002MA,C17010D_003M,C17010D_003EA,C17010D_003MA,C17010D_004M,C17010D_004EA,C17010D_004MA,C17010D_005M,C17010D_005EA,C17010D_005MA,C17010D_006M,C17010D_006EA,C17010D_006MA,C17010D_007M,C17010D_007EA,C17010D_007MA,C17010D_008M,C17010D_008EA,C17010D_008MA,C17010D_009M,C17010D_009EA,C17010D_009MA,C17010D_010M,C17010D_010EA,C17010D_010MA,C17010D_011M,C17010D_011EA,C17010D_011MA,C17010D_012M,C17010D_012EA,C17010D_012MA,C17010D_013M,C17010D_013EA,C17010D_013MA,C17010D_014M,C17010D_014EA,C17010D_014MA,C17010D_015M,C17010D_015EA,C17010D_015MA,C17010D_016M,C17010D_016EA,C17010D_016MA,C17010D_017M,C17010D_017EA,C17010D_017MA,state
56560,2473,4570,1182,2414,857,890,562,2156,750,554,396,153,251,1602,638,1298,569,51990,2535,39113,2311,17084,1740,12877,1794,4042,908,1670,682,8835,1477,3446,932,2473,null,null,1182,null,null,857,null,null,562,null,null,750,null,null,396,null,null,251,null,null,638,null,null,569,null,null,2535,null,null,2311,null,null,1740,null,null,1794,null,null,908,null,null,682,null,null,1477,null,null,932,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
221270,3454,11025,1555,7323,1328,4018,967,3702,1080,870,462,450,381,2832,975,2268,921,210245,3477,186302,3789,100550,3120,23943,2152,8482,1363,3011,929,15461,1655,5500,1118,3454,null,null,1555,null,null,1328,null,null,967,null,null,1080,null,null,462,null,null,381,null,null,975,null,null,921,null,null,3477,null,null,3789,null,null,3120,null,null,2152,null,null,1363,null,null,929,null,null,1655,null,null,1118,null,null,34
6995,1092,773,484,451,321,319,303,322,343,0,195,0,195,322,343,322,343,6222,1114,5048,973,2830,720,1174,597,140,150,96,120,1034,532,815,494,1092,null,null,484,null,null,321,null,null,303,null,null,343,null,null,195,null,null,195,null,null,343,null,null,343,null,null,1114,null,null,973,null,null,720,null,null,597,null,null,150,null,null,120,null,null,532,null,null,494,null,null,35
367833,4832,47500,3218,35649,2943,19382,2024,11851,1709,3325,846,1439,553,8526,1481,5867,1394,320333,5998,262970,6067,133762,4841,57363,3456,20349,1983,4725,1147,37014,3002,13521,1798,4832,null,null,3218,null,null,2943,null,null,2024,null,null,1709,null,null,846,null,null,553,null,null,1481,null,null,1394,null,null,5998,null,null,6067,null,null,4841,null,null,3456,null,null,1983,null,null,1147,null,null,3002,null,null,1798,null,null,36
65163,2418,5210,1366,3557,1099,2855,964,1653,705,590,370,314,289,1063,630,1020,628,59953,2393,51990,2509,31133,2224,7963,1230,3612,958,2622,874,4351,861,2735,703,2418,null,null,1366,null,null,1099,null,null,964,null,null,705,null,null,370,null,null,289,null,null,630,null,null,628,null,null,2393,null,null,2509,null,null,2224,null,null,1230,null,null,958,null,null,874,null,null,861,null,null,703,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
52877,2504,4863,1332,3761,1232,2353,919,1102,454,220,176,178,162,882,430,742,403,48014,2647,41093,2407,24355,2048,6921,1343,3142,940,1256,659,3779,1093,1510,668,2504,null,null,1332,null,null,1232,null,null,919,null,null,454,null,null,176,null,null,162,null,null,430,null,null,403,null,null,2647,null,null,2407,null,null,2048,null,null,1343,null,null,940,null,null,659,null,null,1093,null,null,668,null,null,39
17300,1248,1879,591,1408,483,918,437,471,249,197,159,0,159,274,210,180,184,15421,1251,13086,1123,7122,1072,2335,758,848,420,287,286,1487,635,1048,538,1248,null,null,591,null,null,483,null,null,437,null,null,249,null,null,159,null,null,159,null,null,210,null,null,184,null,null,1251,null,null,1123,null,null,1072,null,null,758,null,null,420,null,null,286,null,null,635,null,null,538,null,null,40
38172,1970,3650,967,2257,854,1391,707,1393,578,621,460,510,439,772,362,580,331,34522,1902,28821,1627,14806,1512,5701,1258,2641,971,1849,789,3060,817,1571,704,1970,null,null,967,null,null,854,null,null,707,null,null,578,null,null,460,null,null,439,null,null,362,null,null,331,null,null,1902,null,null,1627,null,null,1512,null,null,1258,null,null,971,null,null,789,null,null,817,null,null,704,null,null,41
89801,2894,8606,1144,5174,876,3074,796,3432,870,1128,566,629,346,2304,676,1341,596,81195,2971,69758,3031,39542,2637,11437,1423,4272,1016,1796,765,7165,1110,2221,615,2894,null,null,1144,null,null,876,null,null,796,null,null,870,null,null,566,null,null,346,null,null,676,null,null,596,null,null,2971,null,null,3031,null,null,2637,null,null,1423,null,null,1016,null,null,765,null,null,1110,null,null,615,null,null,42
8046,1289,904,542,353,327,65,88,551,428,38,65,0,208,513,413,310,339,7142,1287,6291,1386,3722,1351,851,535,229,189,142,153,622,506,236,206,1289,null,null,542,null,null,327,null,null,88,null,null,428,null,null,65,null,null,208,null,null,413,null,null,339,null,null,1287,null,null,1386,null,null,1351,null,null,535,null,null,189,null,null,153,null,null,506,null,null,206,null,null,44
15879,1711,1502,664,838,527,705,498,664,397,48,85,0,207,616,385,616,385,14377,1643,11297,1343,6777,1397,3080,1014,868,542,545,474,2212,797,900,504,1711,null,null,664,null,null,527,null,null,498,null,null,397,null,null,85,null,null,207,null,null,385,null,null,385,null,null,1643,null,null,1343,null,null,1397,null,null,1014,null,null,542,null,null,474,null,null,797,null,null,504,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
25567,1977,2902,1119,1452,636,593,399,1450,767,187,218,0,204,1263,717,808,667,22665,1724,19240,1876,11450,1315,3425,1053,1118,538,204,216,2307,824,1049,499,1977,null,null,1119,null,null,636,null,null,399,null,null,767,null,null,218,null,null,204,null,null,717,null,null,667,null,null,1724,null,null,1876,null,null,1315,null,null,1053,null,null,538,null,null,216,null,null,824,null,null,499,null,null,47
310711,5455,24324,2364,16278,2045,9885,1916,8046,1383,2424,842,1188,646,5622,1326,4127,1179,286387,5426,248911,5982,146874,5430,37476,3263,12016,1846,3663,1044,25460,2872,13047,2164,5455,null,null,2364,null,null,2045,null,null,1916,null,null,1383,null,null,842,null,null,646,null,null,1326,null,null,1179,null,null,5426,null,null,5982,null,null,5430,null,null,3263,null,null,1846,null,null,1044,null,null,2872,null,null,2164,null,null,48
14631,1425,1414,640,1088,558,900,501,326,311,89,155,0,190,237,268,206,262,13217,1320,10602,1424,5563,836,2615,811,813,387,553,322,1802,666,653,400,1425,null,null,640,null,null,558,null,null,501,null,null,311,null,null,155,null,null,190,null,null,268,null,null,262,null,null,1320,null,null,1424,null,null,836,null,null,811,null,null,387,null,null,322,null,null,666,null,null,400,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
124612,3600,6308,1245,4074,1077,2124,685,2234,788,579,551,360,481,1655,559,1180,547,118304,3561,99816,3261,60063,2378,18488,2108,6451,1484,2460,919,12037,1747,5811,1093,3600,null,null,1245,null,null,1077,null,null,685,null,null,788,null,null,551,null,null,481,null,null,559,null,null,547,null,null,3561,null,null,3261,null,null,2378,null,null,2108,null,null,1484,null,null,919,null,null,1747,null,null,1093,null,null,51
143678,4070,8665,1369,4461,846,1927,602,4204,1020,893,631,331,280,3311,780,2123,792,135013,4085,110817,3916,59519,2868,24196,2344,7222,1311,2440,753,16974,2054,9058,1831,4070,null,null,1369,null,null,846,null,null,602,null,null,1020,null,null,631,null,null,280,null,null,780,null,null,792,null,null,4085,null,null,3916,null,null,2868,null,null,2344,null,null,1311,null,null,753,null,null,2054,null,null,1831,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
30719,1630,4334,1012,2155,680,1622,644,2179,706,1208,532,875,478,971,493,895,499,26385,1858,21944,1647,13591,1392,4441,1008,1463,540,712,388,2978,915,2093,799,1630,null,null,1012,null,null,680,null,null,644,null,null,706,null,null,532,null,null,478,null,null,493,null,null,499,null,null,1858,null,null,1647,null,null,1392,null,null,1008,null,null,540,null,null,388,null,null,915,null,null,799,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
14368,1286,887,436,607,293,441,264,280,276,161,252,161,252,119,112,82,94,13481,1305,11604,1306,6493,1165,1877,716,532,382,325,316,1345,635,971,565,1286,null,null,436,null,null,293,null,null,264,null,null,276,null,null,252,null,null,252,null,null,112,null,null,94,null,null,1305,null,null,1306,null,null,1165,null,null,716,null,null,382,null,null,316,null,null,635,null,null,565,null,null,01
8553,1105,179,155,71,85,71,85,108,115,0,155,0,155,108,115,54,80,8374,1115,5931,1028,3969,993,2443,829,1376,627,807,528,1067,477,657,347,1105,null,null,155,null,null,85,null,null,85,null,null,115,null,null,155,null,null,155,null,null,115,null,null,80,null,null,1115,null,null,1028,null,null,993,null,null,829,null,null,627,null,null,528,null,null,477,null,null,347,null,null,02
51403,1881,4808,1279,3011,914,1849,729,1797,758,672,370,230,196,1125,682,877,641,46595,1798,40472,1893,21287,2029,6123,935,2577,580,882,465,3546,872,1945,682,1881,null,null,1279,null,null,914,null,null,729,null,null,758,null,null,370,null,null,196,null,null,682,null,null,641,null,null,1798,null,null,1893,null,null,2029,null,null,935,null,null,580,null,null,465,null,null,872,null,null,682,null,null,04
8007,1034,409,283,160,222,114,205,249,175,37,69,0,197,212,165,212,165,7598,1066,5994,967,3678,888,1604,608,689,427,159,270,915,552,164,201,1034,null,null,283,null,null,222,null,null,205,null,null,175,null,null,69,null,null,197,null,null,165,null,null,165,null,null,1066,null,null,967,null,null,888,null,null,608,null,null,427,null,null,270,null,null,552,null,null,201,null,null,05
1320449,10796,106264,5842,62881,4310,31455,3140,43383,3324,10505,1512,4585,1159,32878,2727,22638,2214,1214185,10696,980954,10937,483024,8788,233231,6815,80043,3736,26324,2244,153188,5701,56631,3676,10796,null,null,5842,null,null,4310,null,null,3140,null,null,3324,null,null,1512,null,null,1159,null,null,2727,null,null,2214,null,null,10696,null,null,10937,null,null,8788,null,null,6815,null,null,3736,null,null,2244,null,null,5701,null,null,3676,null,null,06
39680,2089,2594,706,1668,557,1293,484,926,464,32,55,32,55,894,460,661,415,37086,1903,31564,1859,18429,1648,5522,1040,2292,733,616,361,3230,815,1580,612,2089,null,null,706,null,null,557,null,null,484,null,null,464,null,null,55,null,null,55,null,null,460,null,null,415,null,null,1903,null,null,1859,null,null,1648,null,null,1040,null,null,733,null,null,361,null,null,815,null,null,612,null,null,08
39537,1867,2837,825,1597,512,767,385,1240,630,47,81,47,81,1193,639,912,570,36700,1849,32137,1705,18934,1688,4563,1094,1533,577,769,437,3030,924,977,540,1867,null,null,825,null,null,512,null,null,385,null,null,630,null,null,81,null,null,81,null,null,639,null,null,570,null,null,1849,null,null,1705,null,null,1688,null,null,1094,null,null,577,null,null,437,null,null,924,null,null,540,null,null,09
8036,813,389,263,371,262,98,114,18,30,18,30,0,193,0,193,0,193,7647,854,6838,930,3918,940,809,490,345,315,68,114,464,291,76,95,813,null,null,263,null,null,262,null,null,114,null,null,30,null,null,30,null,null,193,null,null,193,null,null,193,null,null,854,null,null,930,null,null,940,null,null,490,null,null,315,null,null,114,null,null,291,null,null,95,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
