B13002B_001E,B13002B_001M,B13002B_002E,B13002B_002M,B13002B_003E,B13002B_003M,B13002B_004E,B13002B_004M,B13002B_005E,B13002B_005M,B13002B_006E,B13002B_006M,B13002B_007E,B13002B_007M,B13002B_001M,B13002B_001EA,B13002B_001MA,B13002B_002M,B13002B_002EA,B13002B_002MA,B13002B_003M,B13002B_003EA,B13002B_003MA,B13002B_004M,B13002B_004EA,B13002B_004MA,B13002B_005M,B13002B_005EA,B13002B_005MA,B13002B_006M,B13002B_006EA,B13002B_006MA,B13002B_007M,B13002B_007EA,B13002B_007MA,state
298252,3531,19018,2627,5329,1334,13689,2251,279234,4639,68740,4025,210494,4867,3531,null,null,2627,null,null,1334,null,null,2251,null,null,4639,null,null,4025,null,null,4867,null,null,47
916382,7304,54184,4831,22750,3517,31434,3638,862198,9198,254403,8244,607795,10206,7304,null,null,4831,null,null,3517,null,null,3638,null,null,9198,null,null,8244,null,null,10206,null,null,48
7596,994,900,523,663,454,237,341,6696,1142,2428,783,4268,1073,994,null,null,523,null,null,454,null,null,341,null,null,1142,null,null,783,null,null,1073,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
411947,4665,22292,3225,10359,2080,11933,2148,389655,5392,111899,4797,277756,5749,4665,null,null,3225,null,null,2080,null,null,2148,null,null,5392,null,null,4797,null,null,5749,null,null,51
66875,3483,4616,1209,3029,954,1587,764,62259,3655,20610,2245,41649,3650,3483,null,null,1209,null,null,954,null,null,764,null,null,3655,null,null,2245,null,null,3650,null,null,53
15276,1513,1457,659,446,327,1011,577,13819,1702,3197,853,10622,1825,1513,null,null,659,null,null,327,null,null,577,null,null,1702,null,null,853,null,null,1825,null,null,54
98783,2156,4567,1121,931,383,3636,1072,94216,2418,16042,1815,78174,2704,2156,null,null,1121,null,null,383,null,null,1072,null,null,2418,null,null,1815,null,null,2704,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
94729,4826,3766,1076,1285,604,2481,895,90963,4827,24465,2558,66498,3953,4826,null,null,1076,null,null,604,null,null,895,null,null,4827,null,null,2558,null,null,3953,null,null,72
347018,3569,18579,2279,5158,1381,13421,1996,328439,4162,83192,4939,245247,5923,3569,null,null,2279,null,null,1381,null,null,1996,null,null,4162,null,null,4939,null,null,5923,null,null,01
6180,963,188,230,160,222,28,55,5992,978,1439,842,4553,1008,963,null,null,230,null,null,222,null,null,55,null,null,978,null,null,842,null,null,1008,null,null,02
77484,2518,5032,1129,1512,585,3520,1078,72452,2465,21169,2041,51283,2743,2518,null,null,1129,null,null,585,null,null,1078,null,null,2465,null,null,2041,null,null,2743,null,null,04
120219,2669,7498,1594,2349,927,5149,1316,112721,3181,29584,2884,83137,3794,2669,null,null,1594,null,null,927,null,null,1316,null,null,3181,null,null,2884,null,null,3794,null,null,05
566289,6845,24486,2780,11019,1874,13467,2343,541803,7181,128445,6219,413358,7645,6845,null,null,2780,null,null,1874,null,null,2343,null,null,7181,null,null,6219,null,null,7645,null,null,06
55465,2219,3800,1160,2280,888,1520,831,51665,2270,16982,1953,34683,2267,2219,null,null,1160,null,null,888,null,null,831,null,null,2270,null,null,1953,null,null,2267,null,null,08
100038,2954,4261,1392,1811,844,2450,1143,95777,3267,24471,2711,71306,3499,2954,null,null,1392,null,null,844,null,null,1143,null,null,3267,null,null,2711,null,null,3499,null,null,09
54674,1521,3230,1241,945,598,2285,988,51444,1714,13311,1808,38133,2559,1521,null,null,1241,null,null,598,null,null,988,null,null,1714,null,null,1808,null,null,2559,null,null,10
84635,974,4175,1149,882,503,3293,1066,80460,1601,12979,1828,67481,2668,974,null,null,1149,null,null,503,null,null,1066,null,null,1601,null,null,1828,null,null,2668,null,null,11
