C17010C_001E,C17010C_001M,C17010C_002E,C17010C_002M,C17010C_003E,C17010C_003M,C17010C_004E,C17010C_004M,C17010C_005E,C17010C_005M,C17010C_006E,C17010C_006M,C17010C_007E,C17010C_007M,C17010C_008E,C17010C_008M,C17010C_009E,C17010C_009M,C17010C_010E,C17010C_010M,C17010C_011E,C17010C_011M,C17010C_012E,C17010C_012M,C17010C_013E,C17010C_013M,C17010C_014E,C17010C_014M,C17010C_015E,C17010C_015M,C17010C_016E,C17010C_016M,C17010C_017E,C17010C_017M,C17010C_001M,C17010C_001EA,C17010C_001MA,C17010C_002M,C17010C_002EA,C17010C_002MA,C17010C_003M,C17010C_003EA,C17010C_003MA,C17010C_004M,C17010C_004EA,C17010C_004MA,C17010C_005M,C17010C_005EA,C17010C_005MA,C17010C_006M,C17010C_006EA,C17010C_006MA,C17010C_007M,C17010C_007EA,C17010C_007MA,C17010C_008M,C17010C_008EA,C17010C_008MA,C17010C_009M,C17010C_009EA,C17010C_009MA,C17010C_010M,C17010C_010EA,C17010C_010MA,C17010C_011M,C17010C_011EA,C17010C_011MA,C17010C_012M,C17010C_012EA,C17010C_012MA,C17010C_013M,C17010C_013EA,C17010C_013MA,C17010C_014M,C17010C_014EA,C17010C_014MA,C17010C_015M,C17010C_015EA,C17010C_015MA,C17010C_016M,C17010C_016EA,C17010C_016MA,C17010C_017M,C17010C_017EA,C17010C_017MA,state
6875,1408,1859,862,375,354,199,245,1484,789,313,288,83,118,1171,735,1041,697,5016,1152,3161,960,1321,593,1855,716,674,319,276,198,1181,622,751,477,1408,null,null,862,null,null,354,null,null,245,null,null,789,null,null,288,null,null,118,null,null,735,null,null,697,null,null,1152,null,null,960,null,null,593,null,null,716,null,null,319,null,null,198,null,null,622,null,null,477,null,null,29
11799,1113,2725,565,614,238,485,205,2111,525,480,244,323,197,1631,443,1463,419,9074,1069,5936,961,3642,886,3138,576,740,289,448,217,2398,482,1645,439,1113,null,null,565,null,null,238,null,null,205,null,null,525,null,null,244,null,null,197,null,null,443,null,null,419,null,null,1069,null,null,961,null,null,886,null,null,576,null,null,289,null,null,217,null,null,482,null,null,439,null,null,30
2910,532,704,210,153,113,116,91,551,180,65,49,65,49,486,181,365,160,2206,485,1373,478,975,438,833,251,256,162,135,95,577,202,411,181,532,null,null,210,null,null,113,null,null,91,null,null,180,null,null,49,null,null,49,null,null,181,null,null,160,null,null,485,null,null,478,null,null,438,null,null,251,null,null,162,null,null,95,null,null,202,null,null,181,null,null,31
6912,1019,1794,603,406,295,271,227,1388,551,188,119,147,112,1200,544,1026,520,5118,835,3444,802,1848,630,1674,428,501,256,219,154,1173,372,482,255,1019,null,null,603,null,null,295,null,null,227,null,null,551,null,null,119,null,null,112,null,null,544,null,null,520,null,null,835,null,null,802,null,null,630,null,null,428,null,null,256,null,null,154,null,null,372,null,null,255,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
4429,824,395,278,191,161,76,47,204,214,44,75,44,75,160,207,160,207,4034,777,2534,656,1035,444,1500,456,331,207,254,192,1169,443,612,359,824,null,null,278,null,null,161,null,null,47,null,null,214,null,null,75,null,null,75,null,null,207,null,null,207,null,null,777,null,null,656,null,null,444,null,null,456,null,null,207,null,null,192,null,null,443,null,null,359,null,null,34
39499,2059,11709,1577,3766,877,2414,705,7943,1252,2214,750,1844,737,5729,989,4990,977,27790,1892,15490,1690,7143,1126,12300,1326,3643,822,1455,478,8657,1197,4543,900,2059,null,null,1577,null,null,877,null,null,705,null,null,1252,null,null,750,null,null,737,null,null,989,null,null,977,null,null,1892,null,null,1690,null,null,1126,null,null,1326,null,null,822,null,null,478,null,null,1197,null,null,900,null,null,35
14396,1718,3178,913,544,357,308,280,2634,849,117,107,117,107,2517,847,1853,738,11218,1487,6599,1104,3036,823,4619,1058,1130,431,578,355,3489,848,2112,664,1718,null,null,913,null,null,357,null,null,280,null,null,849,null,null,107,null,null,107,null,null,847,null,null,738,null,null,1487,null,null,1104,null,null,823,null,null,1058,null,null,431,null,null,355,null,null,848,null,null,664,null,null,36
28449,1918,5857,1161,2065,767,1460,624,3792,793,920,442,753,393,2872,672,2286,569,22592,1698,16833,1557,7001,1148,5759,853,1611,599,1004,436,4148,773,1985,613,1918,null,null,1161,null,null,767,null,null,624,null,null,793,null,null,442,null,null,393,null,null,672,null,null,569,null,null,1698,null,null,1557,null,null,1148,null,null,853,null,null,599,null,null,436,null,null,773,null,null,613,null,null,37
8466,1150,2287,694,372,176,309,155,1915,655,559,323,535,319,1356,526,1320,528,6179,980,3515,787,1922,681,2664,973,1093,824,899,772,1571,592,1064,481,1150,null,null,694,null,null,176,null,null,155,null,null,655,null,null,323,null,null,319,null,null,526,null,null,528,null,null,980,null,null,787,null,null,681,null,null,973,null,null,824,null,null,772,null,null,592,null,null,481,null,null,38
3873,821,746,437,117,140,82,128,629,410,197,214,197,214,432,351,343,312,3127,792,2181,793,542,370,946,407,585,399,132,228,361,227,23,39,821,null,null,437,null,null,140,null,null,128,null,null,410,null,null,214,null,null,214,null,null,351,null,null,312,null,null,792,null,null,793,null,null,370,null,null,407,null,null,399,null,null,228,null,null,227,null,null,39,null,null,39
64103,2540,11682,1156,3512,603,2511,561,8170,969,2058,497,1437,414,6112,883,5332,890,52421,2265,36717,1752,17547,1338,15704,1268,5062,802,3160,629,10642,1037,6291,868,2540,null,null,1156,null,null,603,null,null,561,null,null,969,null,null,497,null,null,414,null,null,883,null,null,890,null,null,2265,null,null,1752,null,null,1338,null,null,1268,null,null,802,null,null,629,null,null,1037,null,null,868,null,null,40
8562,1356,1365,539,303,209,154,144,1062,473,283,180,213,159,779,456,644,392,7197,1299,4986,1150,2274,774,2211,643,1035,438,564,330,1176,474,715,329,1356,null,null,539,null,null,209,null,null,144,null,null,473,null,null,180,null,null,159,null,null,456,null,null,392,null,null,1299,null,null,1150,null,null,774,null,null,643,null,null,438,null,null,330,null,null,474,null,null,329,null,null,41
4863,1179,1191,567,305,307,210,266,886,420,218,223,172,213,668,342,355,253,3672,999,2604,783,1368,574,1068,466,197,247,41,69,871,428,481,352,1179,null,null,567,null,null,307,null,null,266,null,null,420,null,null,223,null,null,213,null,null,342,null,null,253,null,null,999,null,null,783,null,null,574,null,null,466,null,null,247,null,null,69,null,null,428,null,null,352,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
13779,1425,6859,1106,1702,602,1362,567,5157,961,815,310,533,231,4342,983,3807,1010,6920,899,2927,656,1813,458,3993,754,1346,365,959,298,2647,627,1744,493,1425,null,null,1106,null,null,602,null,null,567,null,null,961,null,null,310,null,null,231,null,null,983,null,null,1010,null,null,899,null,null,656,null,null,458,null,null,754,null,null,365,null,null,298,null,null,627,null,null,493,null,null,46
4073,1027,648,395,315,295,291,292,333,237,43,70,43,70,290,228,231,203,3425,927,2625,866,945,508,800,397,416,338,255,287,384,228,106,142,1027,null,null,395,null,null,295,null,null,292,null,null,237,null,null,70,null,null,70,null,null,228,null,null,203,null,null,927,null,null,866,null,null,508,null,null,397,null,null,338,null,null,287,null,null,228,null,null,142,null,null,47
31737,2905,4779,1335,1958,683,1202,509,2821,918,252,260,173,242,2569,864,1884,681,26958,2668,18945,2310,8771,1484,8013,1687,3472,1148,2177,994,4541,1256,2764,909,2905,null,null,1335,null,null,683,null,null,509,null,null,918,null,null,260,null,null,242,null,null,864,null,null,681,null,null,2668,null,null,2310,null,null,1484,null,null,1687,null,null,1148,null,null,994,null,null,1256,null,null,909,null,null,48
5636,1063,1468,542,338,186,185,175,1130,506,103,74,96,73,1027,493,1002,492,4168,996,2823,816,1462,715,1345,551,316,238,166,156,1029,530,845,520,1063,null,null,542,null,null,186,null,null,175,null,null,506,null,null,74,null,null,73,null,null,493,null,null,492,null,null,996,null,null,816,null,null,715,null,null,551,null,null,238,null,null,156,null,null,530,null,null,520,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
4799,971,600,377,31,59,31,59,569,372,79,102,39,83,490,361,409,352,4199,922,2703,731,1075,436,1496,604,337,299,181,201,1159,517,580,373,971,null,null,377,null,null,59,null,null,59,null,null,372,null,null,102,null,null,83,null,null,361,null,null,352,null,null,922,null,null,731,null,null,436,null,null,604,null,null,299,null,null,201,null,null,517,null,null,373,null,null,51
18279,1646,3434,944,1061,481,586,364,2373,809,507,258,387,238,1866,710,1548,575,14845,1492,8580,1216,3795,764,6265,927,2176,613,1676,589,4089,861,3150,835,1646,null,null,944,null,null,481,null,null,364,null,null,809,null,null,258,null,null,238,null,null,710,null,null,575,null,null,1492,null,null,1216,null,null,764,null,null,927,null,null,613,null,null,589,null,null,861,null,null,835,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
12097,1067,2336,596,367,218,240,181,1969,560,409,290,393,286,1560,472,1481,452,9761,938,4991,808,2241,596,4770,854,1266,471,707,358,3504,703,2327,618,1067,null,null,596,null,null,218,null,null,181,null,null,560,null,null,290,null,null,286,null,null,472,null,null,452,null,null,938,null,null,808,null,null,596,null,null,854,null,null,471,null,null,358,null,null,703,null,null,618,null,null,55
2096,472,423,200,42,42,15,26,381,200,92,71,59,55,289,190,289,190,1673,404,788,339,502,213,885,273,458,260,254,158,427,145,355,138,472,null,null,200,null,null,42,null,null,26,null,null,200,null,null,71,null,null,55,null,null,190,null,null,190,null,null,404,null,null,339,null,null,213,null,null,273,null,null,260,null,null,158,null,null,145,null,null,138,null,null,56
2050,697,994,477,389,288,136,179,605,395,159,259,159,259,446,298,262,225,1056,515,382,277,118,140,674,449,349,378,182,298,325,264,250,245,697,null,null,477,null,null,288,null,null,179,null,null,395,null,null,259,null,null,259,null,null,298,null,null,225,null,null,515,null,null,277,null,null,140,null,null,449,null,null,378,null,null,298,null,null,264,null,null,245,null,null,72
6033,1146,1002,548,555,489,545,490,447,281,141,169,141,169,306,221,191,201,5031,1176,4300,1157,1852,753,731,378,213,210,0,195,518,291,193,165,1146,null,null,548,null,null,489,null,null,490,null,null,281,null,null,169,null,null,169,null,null,221,null,null,201,null,null,1176,null,null,1157,null,null,753,null,null,378,null,null,210,null,null,195,null,null,291,null,null,165,null,null,01
21312,1574,4465,618,1201,233,1000,208,3264,586,935,229,787,207,2329,568,2108,563,16847,1526,9881,1309,5785,981,6966,953,2409,453,1310,470,4557,803,2861,616,1574,null,null,618,null,null,233,null,null,208,null,null,586,null,null,229,null,null,207,null,null,568,null,null,563,null,null,1526,null,null,1309,null,null,981,null,null,953,null,null,453,null,null,470,null,null,803,null,null,616,null,null,02
57908,2771,15982,1392,5334,919,3855,912,10648,1136,2159,546,1441,505,8489,976,6702,892,41926,2589,22204,1944,12017,1787,19722,1950,6372,1238,3291,927,13350,1389,8021,1104,2771,null,null,1392,null,null,919,null,null,912,null,null,1136,null,null,546,null,null,505,null,null,976,null,null,892,null,null,2589,null,null,1944,null,null,1787,null,null,1950,null,null,1238,null,null,927,null,null,1389,null,null,1104,null,null,04
4289,820,857,405,148,144,110,129,709,397,40,80,33,78,669,390,568,381,3432,752,2650,723,1460,522,782,348,249,174,188,140,533,301,370,287,820,null,null,405,null,null,144,null,null,129,null,null,397,null,null,80,null,null,78,null,null,390,null,null,381,null,null,752,null,null,723,null,null,522,null,null,348,null,null,174,null,null,140,null,null,301,null,null,287,null,null,05
64779,3483,11813,1686,3834,863,3188,846,7979,1320,1118,647,906,596,6861,1357,6036,1260,52966,3049,33556,2529,16450,2119,19410,1813,7274,1202,2793,704,12136,1445,5218,987,3483,null,null,1686,null,null,863,null,null,846,null,null,1320,null,null,647,null,null,596,null,null,1357,null,null,1260,null,null,3049,null,null,2529,null,null,2119,null,null,1813,null,null,1202,null,null,704,null,null,1445,null,null,987,null,null,06
10910,1572,2584,878,882,440,678,392,1702,716,499,362,284,226,1203,611,756,507,8326,1345,5164,992,1932,548,3162,812,1590,646,409,312,1572,444,867,326,1572,null,null,878,null,null,440,null,null,392,null,null,716,null,null,362,null,null,226,null,null,611,null,null,507,null,null,1345,null,null,992,null,null,548,null,null,812,null,null,646,null,null,312,null,null,444,null,null,326,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
