C23002G_001E,C23002G_001M,C23002G_002E,C23002G_002M,C23002G_003E,C23002G_003M,C23002G_004E,C23002G_004M,C23002G_005E,C23002G_005M,C23002G_006E,C23002G_006M,C23002G_007E,C23002G_007M,C23002G_008E,C23002G_008M,C23002G_009E,C23002G_009M,C23002G_010E,C23002G_010M,C23002G_011E,C23002G_011M,C23002G_012E,C23002G_012M,C23002G_013E,C23002G_013M,C23002G_014E,C23002G_014M,C23002G_015E,C23002G_015M,C23002G_016E,C23002G_016M,C23002G_017E,C23002G_017M,C23002G_018E,C23002G_018M,C23002G_019E,C23002G_019M,C23002G_020E,C23002G_020M,C23002G_021E,C23002G_021M,C23002G_022E,C23002G_022M,C23002G_023E,C23002G_023M,C23002G_024E,C23002G_024M,C23002G_025E,C23002G_025M,C23002G_026E,C23002G_026M,C23002G_027E,C23002G_027M,C23002G_001M,C23002G_001EA,C23002G_001MA,C23002G_002M,C23002G_002EA,C23002G_002MA,C23002G_003M,C23002G_003EA,C23002G_003MA,C23002G_004M,C23002G_004EA,C23002G_004MA,C23002G_005M,C23002G_005EA,C23002G_005MA,C23002G_006M,C23002G_006EA,C23002G_006MA,C23002G_007M,C23002G_007EA,C23002G_007MA,C23002G_008M,C23002G_008EA,C23002G_008MA,C23002G_009M,C23002G_009EA,C23002G_009MA,C23002G_010M,C23002G_010EA,C23002G_010MA,C23002G_011M,C23002G_011EA,C23002G_011MA,C23002G_012M,C23002G_012EA,C23002G_012MA,C23002G_013M,C23002G_013EA,C23002G_013MA,C23002G_014M,C23002G_014EA,C23002G_014MA,C23002G_015M,C23002G_015EA,C23002G_015MA,C23002G_016M,C23002G_016EA,C23002G_016MA,C23002G_017M,C23002G_017EA,C23002G_017MA,C23002G_018M,C23002G_018EA,C23002G_018MA,C23002G_019M,C23002G_019EA,C23002G_019MA,C23002G_020M,C23002G_020EA,C23002G_020MA,C23002G_021M,C23002G_021EA,C23002G_021MA,C23002G_022M,C23002G_022EA,C23002G_022MA,C23002G_023M,C23002G_023EA,C23002G_023MA,C23002G_024M,C23002G_024EA,C23002G_024MA,C23002G_025M,C23002G_025EA,C23002G_025MA,C23002G_026M,C23002G_026EA,C23002G_026MA,C23002G_027M,C23002G_027EA,C23002G_027MA,state
16116,1970,8078,1240,7374,1213,4139,950,39,71,4100,964,3314,893,786,384,3235,800,704,373,88,111,88,111,0,172,616,364,8038,1318,7184,1265,5012,1056,0,172,5012,1056,4750,1025,262,255,2172,655,854,361,89,116,89,116,0,172,765,344,1970,null,null,1240,null,null,1213,null,null,950,null,null,71,null,null,964,null,null,893,null,null,384,null,null,800,null,null,373,null,null,111,null,null,111,null,null,172,null,null,364,null,null,1318,null,null,1265,null,null,1056,null,null,172,null,null,1056,null,null,1025,null,null,255,null,null,655,null,null,361,null,null,116,null,null,116,null,null,172,null,null,344,null,null,23
109944,7352,50892,4627,47713,4592,36623,3742,1705,745,34918,3665,32351,3677,2567,715,11090,1856,3179,689,774,298,774,298,0,198,2405,623,59052,4608,53304,4276,39756,3430,262,192,39494,3431,37374,3290,2120,677,13548,1861,5748,1323,777,397,709,372,68,115,4971,1240,7352,null,null,4627,null,null,4592,null,null,3742,null,null,745,null,null,3665,null,null,3677,null,null,715,null,null,1856,null,null,689,null,null,298,null,null,298,null,null,198,null,null,623,null,null,4608,null,null,4276,null,null,3430,null,null,192,null,null,3431,null,null,3290,null,null,677,null,null,1861,null,null,1323,null,null,397,null,null,372,null,null,115,null,null,1240,null,null,24
129950,8474,64569,5231,60909,5161,46407,4586,199,192,46208,4579,43388,4530,2820,844,14502,2356,3660,934,1346,591,1302,592,44,74,2314,733,65381,5084,59709,4807,42380,3954,97,133,42283,3928,39244,3648,3039,962,17329,2266,5672,1104,948,414,948,414,0,203,4724,997,8474,null,null,5231,null,null,5161,null,null,4586,null,null,192,null,null,4579,null,null,4530,null,null,844,null,null,2356,null,null,934,null,null,591,null,null,592,null,null,74,null,null,733,null,null,5084,null,null,4807,null,null,3954,null,null,133,null,null,3928,null,null,3648,null,null,962,null,null,2266,null,null,1104,null,null,414,null,null,414,null,null,203,null,null,997,null,null,25
175843,7170,86098,3997,80076,3734,55494,3266,104,119,55390,3269,49197,2915,6193,1284,24582,1823,6022,1001,1507,602,1333,578,174,123,4515,785,89745,4943,81015,4695,52347,3642,67,113,52280,3674,47728,3134,4552,1273,28668,2825,8730,1231,1650,506,1441,438,209,252,7080,1064,7170,null,null,3997,null,null,3734,null,null,3266,null,null,119,null,null,3269,null,null,2915,null,null,1284,null,null,1823,null,null,1001,null,null,602,null,null,578,null,null,123,null,null,785,null,null,4943,null,null,4695,null,null,3642,null,null,113,null,null,3674,null,null,3134,null,null,1273,null,null,2825,null,null,1231,null,null,506,null,null,438,null,null,252,null,null,1064,null,null,26
81729,4930,40031,3216,38103,3068,28533,2866,96,106,28437,2872,25201,2584,3236,903,9570,1485,1928,594,280,187,280,187,0,149,1648,550,41698,3274,39601,3240,30654,3109,0,149,30654,3109,29097,3058,1557,692,8947,1525,2097,591,347,196,347,196,0,149,1750,572,4930,null,null,3216,null,null,3068,null,null,2866,null,null,106,null,null,2872,null,null,2584,null,null,903,null,null,1485,null,null,594,null,null,187,null,null,187,null,null,149,null,null,550,null,null,3274,null,null,3240,null,null,3109,null,null,149,null,null,3109,null,null,3058,null,null,692,null,null,1525,null,null,591,null,null,196,null,null,196,null,null,149,null,null,572,null,null,27
17941,2731,8132,1711,7612,1663,4628,1146,69,104,4559,1113,3744,995,815,562,2984,1032,520,294,15,27,15,27,0,213,505,296,9809,1587,8513,1474,4832,1207,177,125,4655,1210,3990,1088,665,393,3681,969,1296,488,48,85,48,85,0,213,1248,489,2731,null,null,1711,null,null,1663,null,null,1146,null,null,104,null,null,1113,null,null,995,null,null,562,null,null,1032,null,null,294,null,null,27,null,null,27,null,null,213,null,null,296,null,null,1587,null,null,1474,null,null,1207,null,null,125,null,null,1210,null,null,1088,null,null,393,null,null,969,null,null,488,null,null,85,null,null,85,null,null,213,null,null,489,null,null,28
83028,5457,42831,4062,39375,4034,25785,3032,637,349,25148,3038,22696,2803,2452,837,13590,2236,3456,720,1194,454,1025,438,169,163,2262,532,40197,3264,35003,3062,22702,2449,0,187,22702,2449,20346,2214,2356,847,12301,1703,5194,980,957,565,957,565,0,187,4237,891,5457,null,null,4062,null,null,4034,null,null,3032,null,null,349,null,null,3038,null,null,2803,null,null,837,null,null,2236,null,null,720,null,null,454,null,null,438,null,null,163,null,null,532,null,null,3264,null,null,3062,null,null,2449,null,null,187,null,null,2449,null,null,2214,null,null,847,null,null,1703,null,null,980,null,null,565,null,null,565,null,null,187,null,null,891,null,null,29
20867,2133,10293,1741,9245,1753,5999,1348,42,65,5957,1348,5343,1285,614,387,3246,1106,1048,490,313,248,313,248,0,168,735,397,10574,1397,9632,1322,6703,1172,0,168,6703,1172,6381,1159,322,226,2929,982,942,449,43,48,43,48,0,168,899,452,2133,null,null,1741,null,null,1753,null,null,1348,null,null,65,null,null,1348,null,null,1285,null,null,387,null,null,1106,null,null,490,null,null,248,null,null,248,null,null,168,null,null,397,null,null,1397,null,null,1322,null,null,1172,null,null,168,null,null,1172,null,null,1159,null,null,226,null,null,982,null,null,449,null,null,48,null,null,48,null,null,168,null,null,452,null,null,30
24628,2930,12892,1800,12437,1746,9803,1584,272,202,9531,1580,8373,1344,1158,578,2634,724,455,273,121,117,73,93,48,83,334,240,11736,1771,11031,1751,7568,1268,70,119,7498,1276,7157,1261,341,247,3463,917,705,357,208,166,200,164,8,16,497,318,2930,null,null,1800,null,null,1746,null,null,1584,null,null,202,null,null,1580,null,null,1344,null,null,578,null,null,724,null,null,273,null,null,117,null,null,93,null,null,83,null,null,240,null,null,1771,null,null,1751,null,null,1268,null,null,119,null,null,1276,null,null,1261,null,null,247,null,null,917,null,null,357,null,null,166,null,null,164,null,null,16,null,null,318,null,null,31
83226,5845,41723,3775,38738,3534,27945,3061,452,250,27493,3047,24633,2938,2860,848,10793,1888,2985,723,805,342,805,342,0,210,2180,595,41503,3531,37384,3463,27983,2982,13,25,27970,2979,25190,2706,2780,837,9401,1994,4119,919,349,230,349,230,0,210,3770,883,5845,null,null,3775,null,null,3534,null,null,3061,null,null,250,null,null,3047,null,null,2938,null,null,848,null,null,1888,null,null,723,null,null,342,null,null,342,null,null,210,null,null,595,null,null,3531,null,null,3463,null,null,2982,null,null,25,null,null,2979,null,null,2706,null,null,837,null,null,1994,null,null,919,null,null,230,null,null,230,null,null,210,null,null,883,null,null,32
18106,2441,9040,1808,8439,1737,5852,1298,124,268,5728,1281,5326,1228,402,296,2587,991,601,330,166,204,166,204,0,187,435,287,9066,1482,7383,1434,5183,1131,0,187,5183,1131,4663,1102,520,486,2200,765,1683,688,655,569,526,517,129,161,1028,436,2441,null,null,1808,null,null,1737,null,null,1298,null,null,268,null,null,1281,null,null,1228,null,null,296,null,null,991,null,null,330,null,null,204,null,null,204,null,null,187,null,null,287,null,null,1482,null,null,1434,null,null,1131,null,null,187,null,null,1131,null,null,1102,null,null,486,null,null,765,null,null,688,null,null,569,null,null,517,null,null,161,null,null,436,null,null,33
136756,8577,65075,4641,58573,4436,44330,4006,507,351,43823,3957,40295,3683,3528,935,14243,1932,6502,1097,2526,752,2089,698,437,331,3976,831,71681,5356,63965,5211,44409,4292,96,132,44313,4308,41277,4158,3036,847,19556,2443,7716,1315,1224,487,1133,452,91,116,6492,1225,8577,null,null,4641,null,null,4436,null,null,4006,null,null,351,null,null,3957,null,null,3683,null,null,935,null,null,1932,null,null,1097,null,null,752,null,null,698,null,null,331,null,null,831,null,null,5356,null,null,5211,null,null,4292,null,null,132,null,null,4308,null,null,4158,null,null,847,null,null,2443,null,null,1315,null,null,487,null,null,452,null,null,116,null,null,1225,null,null,34
42750,4735,22361,3147,19679,2958,12348,2060,30,49,12318,2062,11496,2077,822,419,7331,1823,2682,867,672,455,597,448,75,129,2010,681,20389,2691,17652,2483,11877,1884,140,140,11737,1869,10433,1734,1304,616,5775,1392,2737,889,580,329,483,314,97,163,2157,830,4735,null,null,3147,null,null,2958,null,null,2060,null,null,49,null,null,2062,null,null,2077,null,null,419,null,null,1823,null,null,867,null,null,455,null,null,448,null,null,129,null,null,681,null,null,2691,null,null,2483,null,null,1884,null,null,140,null,null,1869,null,null,1734,null,null,616,null,null,1392,null,null,889,null,null,329,null,null,314,null,null,163,null,null,830,null,null,35
383262,16167,182194,10041,167727,9643,125321,8542,1169,336,124152,8528,112480,7780,11672,2199,42406,3538,14467,1616,3322,817,2995,667,327,304,11145,1498,201068,8130,179228,7239,118851,5160,162,130,118689,5154,107367,4891,11322,2389,60377,4346,21840,2519,3230,848,3135,829,95,102,18610,2288,16167,null,null,10041,null,null,9643,null,null,8542,null,null,336,null,null,8528,null,null,7780,null,null,2199,null,null,3538,null,null,1616,null,null,817,null,null,667,null,null,304,null,null,1498,null,null,8130,null,null,7239,null,null,5160,null,null,130,null,null,5154,null,null,4891,null,null,2389,null,null,4346,null,null,2519,null,null,848,null,null,829,null,null,102,null,null,2288,null,null,36
141612,7682,62641,4836,57997,4646,42692,3890,3163,985,39529,3871,34037,3835,5492,1634,15305,2059,4644,1131,1284,679,1284,679,0,203,3360,872,78971,5195,72619,4826,46842,3835,144,160,46698,3821,43030,3773,3668,1101,25777,2943,6352,1173,866,487,866,487,0,203,5486,1101,7682,null,null,4836,null,null,4646,null,null,3890,null,null,985,null,null,3871,null,null,3835,null,null,1634,null,null,2059,null,null,1131,null,null,679,null,null,679,null,null,203,null,null,872,null,null,5195,null,null,4826,null,null,3835,null,null,160,null,null,3821,null,null,3773,null,null,1101,null,null,2943,null,null,1173,null,null,487,null,null,487,null,null,203,null,null,1101,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
173749,8143,86422,4876,81134,4852,54456,4229,325,246,54131,4203,47209,3930,6922,1269,26678,2862,5288,883,1155,513,893,394,262,308,4133,771,87327,5438,79290,5205,54638,4215,52,85,54586,4205,49258,4078,5328,1181,24652,2752,8037,1174,1113,445,834,374,279,292,6924,1087,8143,null,null,4876,null,null,4852,null,null,4229,null,null,246,null,null,4203,null,null,3930,null,null,1269,null,null,2862,null,null,883,null,null,513,null,null,394,null,null,308,null,null,771,null,null,5438,null,null,5205,null,null,4215,null,null,85,null,null,4205,null,null,4078,null,null,1181,null,null,2752,null,null,1174,null,null,445,null,null,374,null,null,292,null,null,1087,null,null,39
186105,5615,90618,3517,81607,3436,56149,2977,349,333,55800,2929,51210,2628,4590,1067,25458,1833,9011,860,2268,534,2222,526,46,77,6743,855,95487,3466,82934,3248,55218,2658,0,159,55218,2658,51253,2837,3965,819,27716,1980,12553,1071,2007,524,2001,525,6,13,10546,904,5615,null,null,3517,null,null,3436,null,null,2977,null,null,333,null,null,2929,null,null,2628,null,null,1067,null,null,1833,null,null,860,null,null,534,null,null,526,null,null,77,null,null,855,null,null,3466,null,null,3248,null,null,2658,null,null,159,null,null,2658,null,null,2837,null,null,819,null,null,1980,null,null,1071,null,null,524,null,null,525,null,null,13,null,null,904,null,null,40
129465,7070,63588,4869,59236,4780,42460,3410,300,272,42160,3372,38142,3202,4018,1026,16776,2665,4352,923,389,242,389,242,0,201,3963,870,65877,4291,59367,4360,41256,3809,0,201,41256,3809,36988,3431,4268,1123,18111,2038,6510,1052,1054,506,1054,506,0,201,5456,915,7070,null,null,4869,null,null,4780,null,null,3410,null,null,272,null,null,3372,null,null,3202,null,null,1026,null,null,2665,null,null,923,null,null,242,null,null,242,null,null,201,null,null,870,null,null,4291,null,null,4360,null,null,3809,null,null,201,null,null,3809,null,null,3431,null,null,1123,null,null,2038,null,null,1052,null,null,506,null,null,506,null,null,201,null,null,915,null,null,41
175279,7451,87055,4156,81898,4073,55802,4083,116,193,55686,4111,49523,3881,6163,1428,26096,2738,5157,1041,1369,589,1317,569,52,86,3788,925,88224,5388,81213,5044,53162,3714,0,174,53162,3714,47227,3234,5935,1231,28051,2957,7011,1278,1179,524,1118,524,61,66,5832,1149,7451,null,null,4156,null,null,4073,null,null,4083,null,null,193,null,null,4111,null,null,3881,null,null,1428,null,null,2738,null,null,1041,null,null,589,null,null,569,null,null,86,null,null,925,null,null,5388,null,null,5044,null,null,3714,null,null,174,null,null,3714,null,null,3234,null,null,1231,null,null,2957,null,null,1278,null,null,524,null,null,524,null,null,66,null,null,1149,null,null,42
19712,2957,9190,1930,8683,1863,5482,1363,181,298,5301,1333,4091,1133,1210,546,3201,1020,507,298,269,235,269,235,0,208,238,197,10522,2006,9995,1952,6638,1487,0,208,6638,1487,5926,1353,712,549,3357,1141,527,279,105,126,105,126,0,208,422,253,2957,null,null,1930,null,null,1863,null,null,1363,null,null,298,null,null,1333,null,null,1133,null,null,546,null,null,1020,null,null,298,null,null,235,null,null,235,null,null,208,null,null,197,null,null,2006,null,null,1952,null,null,1487,null,null,208,null,null,1487,null,null,1353,null,null,549,null,null,1141,null,null,279,null,null,126,null,null,126,null,null,208,null,null,253,null,null,44
53941,4667,25140,2844,23698,2797,17040,2479,1140,644,15900,2331,14349,2243,1551,789,6658,1346,1442,512,425,330,425,330,0,207,1017,445,28801,3245,25173,3043,16644,2455,469,429,16175,2461,15054,2346,1121,571,8529,1584,3628,963,408,358,408,358,0,207,3220,882,4667,null,null,2844,null,null,2797,null,null,2479,null,null,644,null,null,2331,null,null,2243,null,null,789,null,null,1346,null,null,512,null,null,330,null,null,330,null,null,207,null,null,445,null,null,3245,null,null,3043,null,null,2455,null,null,429,null,null,2461,null,null,2346,null,null,571,null,null,1584,null,null,963,null,null,358,null,null,358,null,null,207,null,null,882,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
75650,5212,36387,3134,33361,3041,22929,2505,502,434,22427,2542,20397,2413,2030,759,10432,1927,3026,834,675,412,675,412,0,204,2351,731,39263,3219,34867,3055,21710,2464,0,204,21710,2464,19307,2451,2403,861,13157,1734,4396,936,495,362,495,362,0,204,3901,950,5212,null,null,3134,null,null,3041,null,null,2505,null,null,434,null,null,2542,null,null,2413,null,null,759,null,null,1927,null,null,834,null,null,412,null,null,412,null,null,204,null,null,731,null,null,3219,null,null,3055,null,null,2464,null,null,204,null,null,2464,null,null,2451,null,null,861,null,null,1734,null,null,936,null,null,362,null,null,362,null,null,204,null,null,950,null,null,47
417261,14770,205225,9464,189496,9252,141638,7616,3889,1146,137749,7820,128121,7761,9628,1963,47858,4010,15729,2023,3043,844,2996,842,47,58,12686,1876,212036,8159,191312,7539,124251,6106,1131,639,123120,6093,114793,5963,8327,1837,67061,4817,20724,2020,4035,915,3872,935,163,139,16689,1922,14770,null,null,9464,null,null,9252,null,null,7616,null,null,1146,null,null,7820,null,null,7761,null,null,1963,null,null,4010,null,null,2023,null,null,844,null,null,842,null,null,58,null,null,1876,null,null,8159,null,null,7539,null,null,6106,null,null,639,null,null,6093,null,null,5963,null,null,1837,null,null,4817,null,null,2020,null,null,915,null,null,935,null,null,139,null,null,1922,null,null,48
49096,3641,24806,2302,23537,2418,18210,2352,536,460,17674,2284,16825,2359,849,447,5327,1245,1269,547,491,366,491,366,0,190,778,355,24290,2413,22849,2254,16358,2114,105,126,16253,2103,15455,2070,798,384,6491,1125,1441,546,16,32,16,32,0,190,1425,550,3641,null,null,2302,null,null,2418,null,null,2352,null,null,460,null,null,2284,null,null,2359,null,null,447,null,null,1245,null,null,547,null,null,366,null,null,366,null,null,190,null,null,355,null,null,2413,null,null,2254,null,null,2114,null,null,126,null,null,2103,null,null,2070,null,null,384,null,null,1125,null,null,546,null,null,32,null,null,32,null,null,190,null,null,550,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
