C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,C17010G_001M,C17010G_001EA,C17010G_001MA,C17010G_002M,C17010G_002EA,C17010G_002MA,C17010G_003M,C17010G_003EA,C17010G_003MA,C17010G_004M,C17010G_004EA,C17010G_004MA,C17010G_005M,C17010G_005EA,C17010G_005MA,C17010G_006M,C17010G_006EA,C17010G_006MA,C17010G_007M,C17010G_007EA,C17010G_007MA,C17010G_008M,C17010G_008EA,C17010G_008MA,C17010G_009M,C17010G_009EA,C17010G_009MA,C17010G_010M,C17010G_010EA,C17010G_010MA,C17010G_011M,C17010G_011EA,C17010G_011MA,C17010G_012M,C17010G_012EA,C17010G_012MA,C17010G_013M,C17010G_013EA,C17010G_013MA,C17010G_014M,C17010G_014EA,C17010G_014MA,C17010G_015M,C17010G_015EA,C17010G_015MA,C17010G_016M,C17010G_016EA,C17010G_016MA,C17010G_017M,C17010G_017EA,C17010G_017MA,state
44863,3301,6396,1448,1660,582,939,406,4736,1377,884,546,535,401,3852,1271,3528,1178,38467,2766,28599,2658,14877,2000,9868,1183,3236,986,2255,824,6632,1066,4274,965,3301,null,null,1448,null,null,582,null,null,406,null,null,1377,null,null,546,null,null,401,null,null,1271,null,null,1178,null,null,2766,null,null,2658,null,null,2000,null,null,1183,null,null,986,null,null,824,null,null,1066,null,null,965,null,null,51
59471,3385,8478,1577,2140,772,1471,711,6338,1563,1206,673,1013,692,5132,1471,3994,1204,50993,3345,33977,3046,17883,2419,17016,2131,4856,1031,3035,857,12160,1974,8221,1544,3385,null,null,1577,null,null,772,null,null,711,null,null,1563,null,null,673,null,null,692,null,null,1471,null,null,1204,null,null,3345,null,null,3046,null,null,2419,null,null,2131,null,null,1031,null,null,857,null,null,1974,null,null,1544,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
15885,1828,3545,945,673,380,494,307,2872,833,506,366,257,192,2366,715,2233,709,12340,1549,8548,1077,4479,857,3792,920,1309,550,712,380,2483,737,1679,676,1828,null,null,945,null,null,380,null,null,307,null,null,833,null,null,366,null,null,192,null,null,715,null,null,709,null,null,1549,null,null,1077,null,null,857,null,null,920,null,null,550,null,null,380,null,null,737,null,null,676,null,null,55
3005,902,276,214,0,197,0,197,276,214,78,130,78,130,198,177,198,177,2729,891,1958,785,831,429,771,450,400,339,400,339,371,287,264,304,902,null,null,214,null,null,197,null,null,197,null,null,214,null,null,130,null,null,130,null,null,177,null,null,177,null,null,891,null,null,785,null,null,429,null,null,450,null,null,339,null,null,339,null,null,287,null,null,304,null,null,56
35470,2935,14331,1872,4174,1007,2056,730,10157,1460,2481,705,1216,583,7676,1448,5735,1251,21139,2260,14245,1946,5403,1272,6894,1342,1268,433,383,287,5626,1214,2073,748,2935,null,null,1872,null,null,1007,null,null,730,null,null,1460,null,null,705,null,null,583,null,null,1448,null,null,1251,null,null,2260,null,null,1946,null,null,1272,null,null,1342,null,null,433,null,null,287,null,null,1214,null,null,748,null,null,72
13978,1916,2024,921,665,408,450,335,1359,790,127,154,54,89,1232,772,867,688,11954,1511,8748,1436,3111,714,3206,863,533,301,298,247,2673,832,1536,593,1916,null,null,921,null,null,408,null,null,335,null,null,790,null,null,154,null,null,89,null,null,772,null,null,688,null,null,1511,null,null,1436,null,null,714,null,null,863,null,null,301,null,null,247,null,null,832,null,null,593,null,null,01
7884,1252,912,441,203,272,203,272,709,379,124,144,124,144,585,359,585,359,6972,1185,4987,975,2866,792,1985,680,282,212,131,121,1703,628,1315,578,1252,null,null,441,null,null,272,null,null,272,null,null,379,null,null,144,null,null,144,null,null,359,null,null,359,null,null,1185,null,null,975,null,null,792,null,null,680,null,null,212,null,null,121,null,null,628,null,null,578,null,null,02
37002,3306,6944,1494,2175,842,1553,809,4769,1195,1024,570,894,526,3745,1052,3456,1019,30058,2941,20879,2129,11574,1550,9179,1791,3291,1321,1992,1136,5888,1256,4105,1046,3306,null,null,1494,null,null,842,null,null,809,null,null,1195,null,null,570,null,null,526,null,null,1052,null,null,1019,null,null,2941,null,null,2129,null,null,1550,null,null,1791,null,null,1321,null,null,1136,null,null,1256,null,null,1046,null,null,04
11574,1683,1841,488,975,400,428,294,866,405,132,153,132,153,734,378,734,378,9733,1554,7079,1375,3119,746,2654,792,625,370,358,252,2029,732,1539,685,1683,null,null,488,null,null,400,null,null,294,null,null,405,null,null,153,null,null,153,null,null,378,null,null,378,null,null,1554,null,null,1375,null,null,746,null,null,792,null,null,370,null,null,252,null,null,732,null,null,685,null,null,05
274115,6966,29370,2875,9954,1646,7650,1391,19416,2101,3409,979,2417,795,16007,2057,13913,1830,244745,6866,174992,6023,92306,4369,69753,4104,22230,2570,11804,1886,47523,3315,27192,2723,6966,null,null,2875,null,null,1646,null,null,1391,null,null,2101,null,null,979,null,null,795,null,null,2057,null,null,1830,null,null,6866,null,null,6023,null,null,4369,null,null,4104,null,null,2570,null,null,1886,null,null,3315,null,null,2723,null,null,06
27058,2360,3376,948,1100,637,868,584,2276,709,599,511,486,489,1677,602,1542,605,23682,2169,17687,1865,9417,1544,5995,1240,2618,938,1557,768,3377,915,2745,823,2360,null,null,948,null,null,637,null,null,584,null,null,709,null,null,511,null,null,489,null,null,602,null,null,605,null,null,2169,null,null,1865,null,null,1544,null,null,1240,null,null,938,null,null,768,null,null,915,null,null,823,null,null,08
17206,2324,2890,1115,537,338,343,291,2353,1057,406,342,127,157,1947,1003,1647,928,14316,2150,9510,1690,5278,1159,4806,1089,1277,657,513,352,3529,990,3011,844,2324,null,null,1115,null,null,338,null,null,291,null,null,1057,null,null,342,null,null,157,null,null,1003,null,null,928,null,null,2150,null,null,1690,null,null,1159,null,null,1089,null,null,657,null,null,352,null,null,990,null,null,844,null,null,09
4185,1055,732,457,76,101,12,21,656,455,0,193,0,193,656,455,360,366,3453,937,2337,764,1216,514,1116,634,46,57,29,51,1070,636,926,615,1055,null,null,457,null,null,101,null,null,21,null,null,455,null,null,193,null,null,193,null,null,455,null,null,366,null,null,937,null,null,764,null,null,514,null,null,634,null,null,57,null,null,51,null,null,636,null,null,615,null,null,10
2521,661,267,210,40,68,0,203,227,204,0,203,0,203,227,204,99,117,2254,648,1606,570,365,207,648,325,144,118,0,203,504,299,391,282,661,null,null,210,null,null,68,null,null,203,null,null,204,null,null,203,null,null,203,null,null,204,null,null,117,null,null,648,null,null,570,null,null,207,null,null,325,null,null,118,null,null,203,null,null,299,null,null,282,null,null,11
