C17001C_001E,C17001C_001M,C17001C_002E,C17001C_002M,C17001C_003E,C17001C_003M,C17001C_004E,C17001C_004M,C17001C_005E,C17001C_005M,C17001C_006E,C17001C_006M,C17001C_007E,C17001C_007M,C17001C_008E,C17001C_008M,C17001C_009E,C17001C_009M,C17001C_010E,C17001C_010M,C17001C_011E,C17001C_011M,C17001C_012E,C17001C_012M,C17001C_013E,C17001C_013M,C17001C_014E,C17001C_014M,C17001C_015E,C17001C_015M,C17001C_016E,C17001C_016M,C17001C_017E,C17001C_017M,C17001C_018E,C17001C_018M,C17001C_019E,C17001C_019M,C17001C_001M,C17001C_001EA,C17001C_001MA,C17001C_002M,C17001C_002EA,C17001C_002MA,C17001C_003M,C17001C_003EA,C17001C_003MA,C17001C_004M,C17001C_004EA,C17001C_004MA,C17001C_005M,C17001C_005EA,C17001C_005MA,C17001C_006M,C17001C_006EA,C17001C_006MA,C17001C_007M,C17001C_007EA,C17001C_007MA,C17001C_008M,C17001C_008EA,C17001C_008MA,C17001C_009M,C17001C_009EA,C17001C_009MA,C17001C_010M,C17001C_010EA,C17001C_010MA,C17001C_011M,C17001C_011EA,C17001C_011MA,C17001C_012M,C17001C_012EA,C17001C_012MA,C17001C_013M,C17001C_013EA,C17001C_013MA,C17001C_014M,C17001C_014EA,C17001C_014MA,C17001C_015M,C17001C_015EA,C17001C_015MA,C17001C_016M,C17001C_016EA,C17001C_016MA,C17001C_017M,C17001C_017EA,C17001C_017MA,C17001C_018M,C17001C_018EA,C17001C_018MA,C17001C_019M,C17001C_019EA,C17001C_019MA,state
7780,1202,2610,838,1142,433,284,159,712,375,146,119,1468,620,355,303,930,421,183,176,5170,887,2622,666,820,371,1454,487,348,258,2548,574,715,342,1524,387,309,121,1202,null,null,838,null,null,433,null,null,159,null,null,375,null,null,119,null,null,620,null,null,303,null,null,421,null,null,176,null,null,887,null,null,666,null,null,371,null,null,487,null,null,258,null,null,574,null,null,342,null,null,387,null,null,121,null,null,23
14878,2475,1620,640,907,515,0,198,806,481,101,148,713,393,78,115,499,310,136,163,13258,2535,6566,1424,1376,975,4308,1107,882,375,6692,1536,1169,595,4677,1275,846,407,2475,null,null,640,null,null,515,null,null,198,null,null,481,null,null,148,null,null,393,null,null,115,null,null,310,null,null,163,null,null,2535,null,null,1424,null,null,975,null,null,1107,null,null,375,null,null,1536,null,null,595,null,null,1275,null,null,407,null,null,24
12101,2137,2393,1073,1033,537,27,50,737,462,269,230,1360,722,352,327,810,422,198,269,9708,1869,5518,1375,1388,535,3875,1281,255,203,4190,980,757,292,3110,832,323,275,2137,null,null,1073,null,null,537,null,null,50,null,null,462,null,null,230,null,null,722,null,null,327,null,null,422,null,null,269,null,null,1869,null,null,1375,null,null,535,null,null,1281,null,null,203,null,null,980,null,null,292,null,null,832,null,null,275,null,null,25
48841,3497,10415,1682,4783,1027,1477,557,2916,648,390,242,5632,1052,1451,489,3573,785,608,373,38426,3199,19355,1907,4266,1058,12649,1483,2440,603,19071,2010,3744,855,12861,1449,2466,583,3497,null,null,1682,null,null,1027,null,null,557,null,null,648,null,null,242,null,null,1052,null,null,489,null,null,785,null,null,373,null,null,3199,null,null,1907,null,null,1058,null,null,1483,null,null,603,null,null,2010,null,null,855,null,null,1449,null,null,583,null,null,26
58269,2985,18408,2029,9386,1247,3790,674,5345,977,251,168,9022,1269,2941,525,5100,890,981,377,39861,3045,19135,1868,6760,1246,11056,1206,1319,317,20726,1716,5237,857,13905,1328,1584,399,2985,null,null,2029,null,null,1247,null,null,674,null,null,977,null,null,168,null,null,1269,null,null,525,null,null,890,null,null,377,null,null,3045,null,null,1868,null,null,1246,null,null,1206,null,null,317,null,null,1716,null,null,857,null,null,1328,null,null,399,null,null,27
12951,1501,4948,1748,2557,1109,893,504,1627,780,37,71,2391,993,971,616,1357,553,63,104,8003,1920,3954,1272,1374,788,2580,848,0,213,4049,1043,750,525,2924,727,375,264,1501,null,null,1748,null,null,1109,null,null,504,null,null,780,null,null,71,null,null,993,null,null,616,null,null,553,null,null,104,null,null,1920,null,null,1272,null,null,788,null,null,848,null,null,213,null,null,1043,null,null,525,null,null,727,null,null,264,null,null,28
29993,3393,7364,1705,3231,880,1019,462,1896,673,316,327,4133,1173,1199,495,2817,964,117,115,22629,3013,11528,1839,3610,1164,6305,1238,1613,658,11101,1881,2356,814,7588,1388,1157,453,3393,null,null,1705,null,null,880,null,null,462,null,null,673,null,null,327,null,null,1173,null,null,495,null,null,964,null,null,115,null,null,3013,null,null,1839,null,null,1164,null,null,1238,null,null,658,null,null,1881,null,null,814,null,null,1388,null,null,453,null,null,29
63813,2513,16652,2424,8438,1339,3657,798,4420,909,361,243,8214,1488,3093,885,4405,731,716,281,47161,3237,23979,2068,9229,1394,13172,1289,1578,401,23182,2120,8149,1154,13034,1294,1999,506,2513,null,null,2424,null,null,1339,null,null,798,null,null,909,null,null,243,null,null,1488,null,null,885,null,null,731,null,null,281,null,null,3237,null,null,2068,null,null,1394,null,null,1289,null,null,401,null,null,2120,null,null,1154,null,null,1294,null,null,506,null,null,30
14927,1366,3654,760,1735,405,771,229,761,283,203,152,1919,479,704,271,1125,284,90,68,11273,1413,5910,939,2037,400,3586,774,287,156,5363,839,1868,467,2978,551,517,252,1366,null,null,760,null,null,405,null,null,229,null,null,283,null,null,152,null,null,479,null,null,271,null,null,284,null,null,68,null,null,1413,null,null,939,null,null,400,null,null,774,null,null,156,null,null,839,null,null,467,null,null,551,null,null,252,null,null,31
33023,3494,9814,2157,4808,1191,2432,695,2056,741,320,181,5006,1199,1467,596,3223,882,316,164,23209,2662,12232,1850,2926,896,7876,1226,1430,376,10977,1419,1660,542,7420,1052,1897,516,3494,null,null,2157,null,null,1191,null,null,695,null,null,741,null,null,181,null,null,1199,null,null,596,null,null,882,null,null,164,null,null,2662,null,null,1850,null,null,896,null,null,1226,null,null,376,null,null,1419,null,null,542,null,null,1052,null,null,516,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
19787,3348,3772,1275,2008,878,724,427,1088,552,196,253,1764,640,475,267,1127,536,162,145,16015,2960,8358,1939,2389,941,5248,1369,721,383,7657,1566,1832,746,4940,1262,885,469,3348,null,null,1275,null,null,878,null,null,427,null,null,552,null,null,253,null,null,640,null,null,267,null,null,536,null,null,145,null,null,2960,null,null,1939,null,null,941,null,null,1369,null,null,383,null,null,1566,null,null,746,null,null,1262,null,null,469,null,null,34
191072,4645,60902,5875,27899,2983,11595,1821,14614,1716,1690,468,33003,3594,11890,1958,17973,2172,3140,697,130170,6284,62514,3098,16689,2245,39592,2127,6233,639,67656,3931,14458,1917,44779,2422,8419,813,4645,null,null,5875,null,null,2983,null,null,1821,null,null,1716,null,null,468,null,null,3594,null,null,1958,null,null,2172,null,null,697,null,null,6284,null,null,3098,null,null,2245,null,null,2127,null,null,639,null,null,3931,null,null,1917,null,null,2422,null,null,813,null,null,35
70755,6338,16519,3184,6977,1608,1533,658,4782,1309,662,379,9542,2236,2679,1170,5718,1339,1145,593,54236,5677,26570,3295,6678,1515,17597,2447,2295,550,27666,3259,6029,1226,16728,2205,4909,1101,6338,null,null,3184,null,null,1608,null,null,658,null,null,1309,null,null,379,null,null,2236,null,null,1170,null,null,1339,null,null,593,null,null,5677,null,null,3295,null,null,1515,null,null,2447,null,null,550,null,null,3259,null,null,1226,null,null,2205,null,null,1101,null,null,36
117341,4935,29977,3992,14755,2310,5033,1133,8866,1634,856,427,15222,2124,4713,1022,9010,1516,1499,395,87364,4497,42192,2759,10257,1729,26565,2067,5370,720,45172,2920,9219,1312,29733,2083,6220,928,4935,null,null,3992,null,null,2310,null,null,1133,null,null,1634,null,null,427,null,null,2124,null,null,1022,null,null,1516,null,null,395,null,null,4497,null,null,2759,null,null,1729,null,null,2067,null,null,720,null,null,2920,null,null,1312,null,null,2083,null,null,928,null,null,37
39745,2353,13923,2172,6790,1419,3702,962,2843,715,245,164,7133,1294,3044,813,3854,896,235,178,25822,2635,13311,1856,4048,980,8556,1203,707,151,12511,1507,3748,751,7461,1024,1302,401,2353,null,null,2172,null,null,1419,null,null,962,null,null,715,null,null,164,null,null,1294,null,null,813,null,null,896,null,null,178,null,null,2635,null,null,1856,null,null,980,null,null,1203,null,null,151,null,null,1507,null,null,751,null,null,1024,null,null,401,null,null,38
17026,2334,4514,1087,2250,784,439,361,1724,675,87,122,2264,814,545,540,1498,500,221,200,12512,1914,6896,1418,810,394,5255,1477,831,415,5616,1188,957,510,3927,904,732,333,2334,null,null,1087,null,null,784,null,null,361,null,null,675,null,null,122,null,null,814,null,null,540,null,null,500,null,null,200,null,null,1914,null,null,1418,null,null,394,null,null,1477,null,null,415,null,null,1188,null,null,510,null,null,904,null,null,333,null,null,39
288662,7009,64172,4367,28040,2349,11975,1583,14944,1561,1121,327,36132,2783,12601,1610,21028,1832,2503,446,224490,6973,111425,4138,31887,2208,68790,2584,10748,863,113065,4027,30720,2360,69457,2685,12888,870,7009,null,null,4367,null,null,2349,null,null,1583,null,null,1561,null,null,327,null,null,2783,null,null,1610,null,null,1832,null,null,446,null,null,6973,null,null,4138,null,null,2208,null,null,2584,null,null,863,null,null,4027,null,null,2360,null,null,2685,null,null,870,null,null,40
43676,4248,9638,1999,5104,1306,1489,630,3223,912,392,247,4534,1097,758,413,3341,888,435,345,34038,3854,18458,2552,4617,1019,11433,1765,2408,925,15580,2068,3504,867,10610,1532,1466,511,4248,null,null,1999,null,null,1306,null,null,630,null,null,912,null,null,247,null,null,1097,null,null,413,null,null,888,null,null,345,null,null,3854,null,null,2552,null,null,1019,null,null,1765,null,null,925,null,null,2068,null,null,867,null,null,1532,null,null,511,null,null,41
22395,3741,7282,2324,3500,1337,1006,674,2209,1024,285,231,3782,1389,935,699,2475,876,372,269,15113,2755,8614,1840,1232,635,6621,1614,761,300,6499,1556,1401,562,4585,1192,513,281,3741,null,null,2324,null,null,1337,null,null,674,null,null,1024,null,null,231,null,null,1389,null,null,699,null,null,876,null,null,269,null,null,2755,null,null,1840,null,null,635,null,null,1614,null,null,300,null,null,1556,null,null,562,null,null,1192,null,null,281,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
15646,2751,2640,974,1310,600,437,416,842,447,31,61,1330,562,201,261,1062,496,67,81,13006,2580,6649,1384,2213,1015,3427,781,1009,525,6357,1710,1191,782,4179,1375,987,487,2751,null,null,974,null,null,600,null,null,416,null,null,447,null,null,61,null,null,562,null,null,261,null,null,496,null,null,81,null,null,2580,null,null,1384,null,null,1015,null,null,781,null,null,525,null,null,1710,null,null,782,null,null,1375,null,null,487,null,null,45
73541,3639,36271,3438,16638,1881,8268,1414,7819,1095,551,249,19633,2255,7356,1322,11309,1385,968,501,37270,3568,18809,2195,6871,1148,10999,1522,939,249,18461,1867,6204,1189,10247,1154,2010,433,3639,null,null,3438,null,null,1881,null,null,1414,null,null,1095,null,null,249,null,null,2255,null,null,1322,null,null,1385,null,null,501,null,null,3568,null,null,2195,null,null,1148,null,null,1522,null,null,249,null,null,1867,null,null,1189,null,null,1154,null,null,433,null,null,46
18496,2796,3579,1465,1920,1067,430,387,1438,974,52,74,1659,687,604,315,1045,539,10,18,14917,2356,7530,1456,1233,462,5680,1365,617,375,7387,1452,1363,573,5160,1253,864,410,2796,null,null,1465,null,null,1067,null,null,387,null,null,974,null,null,74,null,null,687,null,null,315,null,null,539,null,null,18,null,null,2356,null,null,1456,null,null,462,null,null,1365,null,null,375,null,null,1452,null,null,573,null,null,1253,null,null,410,null,null,47
131640,9397,24691,5354,11481,2700,3573,1165,7231,1932,677,384,13210,3350,4343,1432,7887,1984,980,525,106949,7615,55501,4351,12360,1862,36778,3856,6363,1357,51448,4436,13854,2028,32187,3549,5407,1065,9397,null,null,5354,null,null,2700,null,null,1165,null,null,1932,null,null,384,null,null,3350,null,null,1432,null,null,1984,null,null,525,null,null,7615,null,null,4351,null,null,1862,null,null,3856,null,null,1357,null,null,4436,null,null,2028,null,null,3549,null,null,1065,null,null,48
31010,2923,9690,1642,4615,992,2307,718,2094,646,214,127,5075,1001,1820,590,2973,668,282,101,21320,2847,10703,1828,2374,719,7253,1422,1076,457,10617,1524,3353,830,6473,1098,791,350,2923,null,null,1642,null,null,992,null,null,718,null,null,646,null,null,127,null,null,1001,null,null,590,null,null,668,null,null,101,null,null,2847,null,null,1828,null,null,719,null,null,1422,null,null,457,null,null,1524,null,null,830,null,null,1098,null,null,350,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
22216,3503,2605,824,1220,610,61,131,926,508,233,255,1385,576,215,189,836,433,334,264,19611,3425,8867,1920,1240,683,6157,1582,1470,610,10744,2000,2090,1040,7225,1462,1429,572,3503,null,null,824,null,null,610,null,null,131,null,null,508,null,null,255,null,null,576,null,null,189,null,null,433,null,null,264,null,null,3425,null,null,1920,null,null,683,null,null,1582,null,null,610,null,null,2000,null,null,1040,null,null,1462,null,null,572,null,null,51
90528,6310,24273,4290,11679,2151,3517,1156,7686,1382,476,218,12594,2725,4130,1372,7632,1544,832,321,66255,4897,33376,2660,9399,1301,20650,1923,3327,711,32879,3098,8881,1702,19940,2124,4058,961,6310,null,null,4290,null,null,2151,null,null,1156,null,null,1382,null,null,218,null,null,2725,null,null,1372,null,null,1544,null,null,321,null,null,4897,null,null,2660,null,null,1301,null,null,1923,null,null,711,null,null,3098,null,null,1702,null,null,2124,null,null,961,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
50042,2745,13040,2037,6568,1314,3227,968,3164,657,177,119,6472,1069,2154,558,4025,759,293,184,37002,2472,18636,1662,4853,863,11915,1338,1868,445,18366,1694,3675,720,12843,1439,1848,439,2745,null,null,2037,null,null,1314,null,null,968,null,null,657,null,null,119,null,null,1069,null,null,558,null,null,759,null,null,184,null,null,2472,null,null,1662,null,null,863,null,null,1338,null,null,445,null,null,1694,null,null,720,null,null,1439,null,null,439,null,null,55
12372,1406,3142,926,1168,382,625,272,514,218,29,35,1974,684,604,371,1166,433,204,121,9230,1599,4787,1036,1572,524,2634,650,581,263,4443,852,1563,436,2415,741,465,348,1406,null,null,926,null,null,382,null,null,272,null,null,218,null,null,35,null,null,684,null,null,371,null,null,433,null,null,121,null,null,1599,null,null,1036,null,null,524,null,null,650,null,null,263,null,null,852,null,null,436,null,null,741,null,null,348,null,null,56
8082,2395,4022,1803,1363,650,176,177,1009,614,178,178,2659,1246,694,470,1712,866,253,334,4060,1611,1906,936,498,510,1211,577,197,180,2154,919,327,294,1295,637,532,334,2395,null,null,1803,null,null,650,null,null,177,null,null,614,null,null,178,null,null,1246,null,null,470,null,null,866,null,null,334,null,null,1611,null,null,936,null,null,510,null,null,577,null,null,180,null,null,919,null,null,294,null,null,637,null,null,334,null,null,72
24163,3182,4139,1453,1719,767,535,463,1176,486,8,16,2420,881,534,462,1749,759,137,131,20024,2791,9060,1831,1691,694,6282,1508,1087,445,10964,1682,2381,699,7081,1262,1502,452,3182,null,null,1453,null,null,767,null,null,463,null,null,486,null,null,16,null,null,881,null,null,462,null,null,759,null,null,131,null,null,2791,null,null,1831,null,null,694,null,null,1508,null,null,445,null,null,1682,null,null,699,null,null,1262,null,null,452,null,null,01
104333,3644,26097,2981,13682,2138,6733,1767,6506,831,443,257,12415,1328,4070,487,7947,1191,398,121,78236,3813,39767,2248,11778,1407,24628,1606,3361,417,38469,2070,10325,1042,23578,1487,4566,487,3644,null,null,2981,null,null,2138,null,null,1767,null,null,831,null,null,257,null,null,1328,null,null,487,null,null,1191,null,null,121,null,null,3813,null,null,2248,null,null,1407,null,null,1606,null,null,417,null,null,2070,null,null,1042,null,null,1487,null,null,487,null,null,02
299242,7011,99615,6900,46209,4133,18200,2174,25215,2415,2794,493,53406,3633,20347,2015,29283,2186,3776,555,199627,7036,98445,4625,27670,2531,63208,3038,7567,694,101182,4235,26943,2146,63373,3058,10866,941,7011,null,null,6900,null,null,4133,null,null,2174,null,null,2415,null,null,493,null,null,3633,null,null,2015,null,null,2186,null,null,555,null,null,7036,null,null,4625,null,null,2531,null,null,3038,null,null,694,null,null,4235,null,null,2146,null,null,3058,null,null,941,null,null,04
18296,2053,4608,1234,1981,662,965,573,890,471,126,199,2627,820,743,425,1699,703,185,249,13688,2061,6112,1074,1376,503,4135,1024,601,400,7576,1617,1906,764,4946,1211,724,371,2053,null,null,1234,null,null,662,null,null,573,null,null,471,null,null,199,null,null,820,null,null,425,null,null,703,null,null,249,null,null,2061,null,null,1074,null,null,503,null,null,1024,null,null,400,null,null,1617,null,null,764,null,null,1211,null,null,371,null,null,05
282725,15467,66780,7071,28452,3183,12025,2261,14837,1798,1590,485,38328,5370,13161,3812,21964,2408,3203,851,215945,12491,109027,7091,22335,2828,74613,5375,12079,1331,106918,6858,20406,2994,70643,4584,15869,2085,15467,null,null,7071,null,null,3183,null,null,2261,null,null,1798,null,null,485,null,null,5370,null,null,3812,null,null,2408,null,null,851,null,null,12491,null,null,7091,null,null,2828,null,null,5375,null,null,1331,null,null,6858,null,null,2994,null,null,4584,null,null,2085,null,null,06
52638,4434,12318,2669,4873,1309,1715,819,2336,719,822,388,7445,1839,1353,734,5517,1367,575,371,40320,3825,21179,2710,4840,1489,13933,2326,2406,740,19141,2178,3533,917,14209,1881,1399,393,4434,null,null,2669,null,null,1309,null,null,819,null,null,719,null,null,388,null,null,1839,null,null,734,null,null,1367,null,null,371,null,null,3825,null,null,2710,null,null,1489,null,null,2326,null,null,740,null,null,2178,null,null,917,null,null,1881,null,null,393,null,null,08
9406,2987,1201,966,574,661,0,200,396,393,178,289,627,433,99,210,505,376,23,39,8205,2772,4253,1635,1265,819,2889,1107,99,101,3952,1419,1235,719,2542,1073,175,145,2987,null,null,966,null,null,661,null,null,200,null,null,393,null,null,289,null,null,433,null,null,210,null,null,376,null,null,39,null,null,2772,null,null,1635,null,null,819,null,null,1107,null,null,101,null,null,1419,null,null,719,null,null,1073,null,null,145,null,null,09
4004,1027,498,317,426,304,0,193,263,234,163,186,72,78,0,193,72,78,0,193,3506,1059,1854,704,348,294,1437,566,69,88,1652,657,380,333,895,398,377,199,1027,null,null,317,null,null,304,null,null,193,null,null,234,null,null,186,null,null,78,null,null,193,null,null,78,null,null,193,null,null,1059,null,null,704,null,null,294,null,null,566,null,null,88,null,null,657,null,null,333,null,null,398,null,null,199,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
