C27001C_001E,C27001C_001M,C27001C_002E,C27001C_002M,C27001C_003E,C27001C_003M,C27001C_004E,C27001C_004M,C27001C_005E,C27001C_005M,C27001C_006E,C27001C_006M,C27001C_007E,C27001C_007M,C27001C_008E,C27001C_008M,C27001C_009E,C27001C_009M,C27001C_010E,C27001C_010M,C27001C_001M,C27001C_001EA,C27001C_001MA,C27001C_002M,C27001C_002EA,C27001C_002MA,C27001C_003M,C27001C_003EA,C27001C_003MA,C27001C_004M,C27001C_004EA,C27001C_004MA,C27001C_005M,C27001C_005EA,C27001C_005MA,C27001C_006M,C27001C_006EA,C27001C_006MA,C27001C_007M,C27001C_007EA,C27001C_007MA,C27001C_008M,C27001C_008EA,C27001C_008MA,C27001C_009M,C27001C_009EA,C27001C_009MA,C27001C_010M,C27001C_010EA,C27001C_010MA,state
44207,4263,10844,1793,9910,1802,934,580,28662,2762,23568,2181,5094,1607,4701,1059,4357,973,344,342,4263,null,null,1793,null,null,1802,null,null,580,null,null,2762,null,null,2181,null,null,1607,null,null,1059,null,null,973,null,null,342,null,null,41
22675,3746,4585,1519,4235,1403,350,435,16159,2508,14053,2579,2106,691,1931,573,1865,564,66,108,3746,null,null,1519,null,null,1403,null,null,435,null,null,2508,null,null,2579,null,null,691,null,null,573,null,null,564,null,null,108,null,null,42
5270,1771,863,647,863,647,0,208,3941,1360,2923,847,1018,1019,466,301,466,301,0,208,1771,null,null,647,null,null,647,null,null,208,null,null,1360,null,null,847,null,null,1019,null,null,301,null,null,301,null,null,208,null,null,44
15726,2744,4111,1416,4044,1421,67,88,9521,1621,7552,1479,1969,739,2094,825,2066,823,28,52,2744,null,null,1416,null,null,1421,null,null,88,null,null,1621,null,null,1479,null,null,739,null,null,825,null,null,823,null,null,52,null,null,45
74590,3656,29544,2276,25526,2239,4018,844,40578,2172,22165,2317,18413,1558,4468,614,4421,617,47,48,3656,null,null,2276,null,null,2239,null,null,844,null,null,2172,null,null,2317,null,null,1558,null,null,614,null,null,617,null,null,48,null,null,46
18864,2881,3824,1036,3386,939,438,393,13497,2444,10166,1928,3331,1336,1543,616,1535,615,8,21,2881,null,null,1036,null,null,939,null,null,393,null,null,2444,null,null,1928,null,null,1336,null,null,616,null,null,615,null,null,21,null,null,47
131875,9344,34344,3672,31461,3476,2883,1236,84104,7386,60054,5956,24050,4041,13427,1939,13152,1976,275,276,9344,null,null,3672,null,null,3476,null,null,1236,null,null,7386,null,null,5956,null,null,4041,null,null,1939,null,null,1976,null,null,276,null,null,48
31184,2913,10090,1575,9229,1738,861,533,18731,1794,12812,1481,5919,1072,2363,647,2329,655,34,57,2913,null,null,1575,null,null,1738,null,null,533,null,null,1794,null,null,1481,null,null,1072,null,null,647,null,null,655,null,null,57,null,null,49
2170,934,160,103,160,103,0,151,1791,835,1706,828,85,79,219,163,219,163,0,151,934,null,null,103,null,null,103,null,null,151,null,null,835,null,null,828,null,null,79,null,null,163,null,null,163,null,null,151,null,null,50
22294,3426,3606,1345,3606,1345,0,201,15222,2538,13357,2433,1865,813,3466,884,3466,884,0,201,3426,null,null,1345,null,null,1345,null,null,201,null,null,2538,null,null,2433,null,null,813,null,null,884,null,null,884,null,null,201,null,null,51
92262,6508,27452,3355,23319,2686,4133,1672,56117,3893,45851,3224,10266,1916,8693,1349,8595,1335,98,117,6508,null,null,3355,null,null,2686,null,null,1672,null,null,3893,null,null,3224,null,null,1916,null,null,1349,null,null,1335,null,null,117,null,null,53
3769,1228,713,521,713,521,0,193,2638,924,2376,876,262,318,418,325,418,325,0,193,1228,null,null,521,null,null,521,null,null,193,null,null,924,null,null,876,null,null,318,null,null,325,null,null,325,null,null,193,null,null,54
50703,2732,14357,1329,12423,1337,1934,637,32160,1966,26482,1783,5678,1038,4186,679,4186,679,0,147,2732,null,null,1329,null,null,1337,null,null,637,null,null,1966,null,null,1783,null,null,1038,null,null,679,null,null,679,null,null,147,null,null,55
12469,1436,4450,812,2522,752,1928,854,6740,1013,3479,943,3261,691,1279,406,1279,406,0,197,1436,null,null,812,null,null,752,null,null,854,null,null,1013,null,null,943,null,null,691,null,null,406,null,null,406,null,null,197,null,null,56
8082,2395,1695,796,1695,796,0,222,5227,1697,4830,1633,397,358,1160,539,1094,532,66,108,2395,null,null,796,null,null,796,null,null,222,null,null,1697,null,null,1633,null,null,358,null,null,539,null,null,532,null,null,108,null,null,72
24269,3211,5247,1345,5191,1319,56,113,16288,2367,12412,1704,3876,1437,2734,679,2734,679,0,195,3211,null,null,1345,null,null,1319,null,null,113,null,null,2367,null,null,1704,null,null,1437,null,null,679,null,null,679,null,null,195,null,null,01
105728,3673,34010,2335,27685,2281,6325,1813,62950,2274,38614,2396,24336,2203,8768,734,8590,729,178,126,3673,null,null,2335,null,null,2281,null,null,1813,null,null,2274,null,null,2396,null,null,2203,null,null,734,null,null,729,null,null,126,null,null,02
300673,7007,94027,3807,81140,3825,12887,1976,181643,3952,132850,4059,48793,3776,25003,1146,23934,1129,1069,339,7007,null,null,3807,null,null,3825,null,null,1976,null,null,3952,null,null,4059,null,null,3776,null,null,1146,null,null,1129,null,null,339,null,null,04
18556,2035,5008,1407,4704,1412,304,308,11912,1712,9145,1514,2767,1133,1636,674,1601,669,35,59,2035,null,null,1407,null,null,1412,null,null,308,null,null,1712,null,null,1514,null,null,1133,null,null,674,null,null,669,null,null,59,null,null,05
284213,15444,69348,7719,65021,7544,4327,1443,182124,9581,154686,8435,27438,3868,32741,2882,32536,2878,205,161,15444,null,null,7719,null,null,7544,null,null,1443,null,null,9581,null,null,8435,null,null,3868,null,null,2882,null,null,2878,null,null,161,null,null,06
53271,4497,11724,2074,11373,2049,351,287,36345,3681,29118,2951,7227,2087,5202,898,4836,885,366,297,4497,null,null,2074,null,null,2049,null,null,287,null,null,3681,null,null,2951,null,null,2087,null,null,898,null,null,885,null,null,297,null,null,08
9645,2989,2832,1324,2578,1222,254,307,6338,2045,5345,1823,993,657,475,329,475,329,0,200,2989,null,null,1324,null,null,1222,null,null,307,null,null,2045,null,null,1823,null,null,657,null,null,329,null,null,329,null,null,200,null,null,09
4055,1038,728,479,549,491,179,224,2718,780,2544,744,174,171,609,252,609,252,0,193,1038,null,null,479,null,null,491,null,null,224,null,null,780,null,null,744,null,null,171,null,null,252,null,null,252,null,null,193,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
