B20017H_001E,B20017H_001M,B20017H_002E,B20017H_002M,B20017H_003E,B20017H_003M,B20017H_004E,B20017H_004M,B20017H_005E,B20017H_005M,B20017H_006E,B20017H_006M,B20017H_007E,B20017H_007M,B20017H_001M,B20017H_001EA,B20017H_001MA,B20017H_002M,B20017H_002EA,B20017H_002MA,B20017H_003M,B20017H_003EA,B20017H_003MA,B20017H_004M,B20017H_004EA,B20017H_004MA,B20017H_005M,B20017H_005EA,B20017H_005MA,B20017H_006M,B20017H_006EA,B20017H_006MA,B20017H_007M,B20017H_007EA,B20017H_007MA,state
28655,1424,34750,1956,47652,1395,10763,526,23207,917,35253,1099,10988,408,1424,null,null,1956,null,null,1395,null,null,526,null,null,917,null,null,1099,null,null,408,null,null,30
32952,862,41008,384,50432,402,9792,537,27589,726,38594,1450,10311,353,862,null,null,384,null,null,402,null,null,537,null,null,726,null,null,1450,null,null,353,null,null,31
37555,1063,44253,2315,55592,1220,15591,1117,31503,474,43016,2238,13449,995,1063,null,null,2315,null,null,1220,null,null,1117,null,null,474,null,null,2238,null,null,995,null,null,32
36748,500,42162,679,54632,2180,11850,795,31394,482,45299,1341,12657,733,500,null,null,679,null,null,2180,null,null,795,null,null,482,null,null,1341,null,null,733,null,null,33
48993,942,60282,444,76444,651,14279,920,38930,1177,55797,642,14521,548,942,null,null,444,null,null,651,null,null,920,null,null,1177,null,null,642,null,null,548,null,null,34
36095,844,42436,1899,58125,2387,12301,956,28716,1869,44785,2169,10853,494,844,null,null,1899,null,null,2387,null,null,956,null,null,1869,null,null,2169,null,null,494,null,null,35
41934,206,50618,236,64727,925,12986,394,35657,289,51778,237,12442,166,206,null,null,236,null,null,925,null,null,394,null,null,289,null,null,237,null,null,166,null,null,36
34756,566,40740,327,51011,301,11169,317,29302,510,40870,242,10965,213,566,null,null,327,null,null,301,null,null,317,null,null,510,null,null,242,null,null,213,null,null,37
36435,712,44376,2263,53252,2401,11967,717,29366,1611,39620,1032,12393,919,712,null,null,2263,null,null,2401,null,null,717,null,null,1611,null,null,1032,null,null,919,null,null,38
32935,454,40699,180,51176,176,10654,210,26963,275,40391,224,10539,156,454,null,null,180,null,null,176,null,null,210,null,null,275,null,null,224,null,null,156,null,null,39
32285,235,40403,342,50556,358,11272,370,26817,407,36000,369,10252,323,235,null,null,342,null,null,358,null,null,370,null,null,407,null,null,369,null,null,323,null,null,40
32415,468,40755,450,54421,1107,13045,791,27750,798,41830,558,11846,286,468,null,null,450,null,null,1107,null,null,791,null,null,798,null,null,558,null,null,286,null,null,41
35805,195,42286,197,54110,748,11142,200,29042,402,42025,206,10349,145,195,null,null,197,null,null,748,null,null,200,null,null,402,null,null,206,null,null,145,null,null,42
38899,1665,44965,2567,60092,2868,11910,850,32432,1444,49403,2916,12369,842,1665,null,null,2567,null,null,2868,null,null,850,null,null,1444,null,null,2916,null,null,842,null,null,44
32728,741,40647,454,50511,395,10956,409,27312,403,38677,1152,10667,350,741,null,null,454,null,null,395,null,null,409,null,null,403,null,null,1152,null,null,350,null,null,45
32142,374,38893,1403,46474,855,11063,733,27152,547,36128,563,10407,565,374,null,null,1403,null,null,855,null,null,733,null,null,547,null,null,563,null,null,565,null,null,46
31515,224,37175,441,47125,641,11286,292,26364,323,37075,361,10322,249,224,null,null,441,null,null,641,null,null,292,null,null,323,null,null,361,null,null,249,null,null,47
41229,188,50815,248,62070,279,12469,382,32212,266,46572,354,10899,205,188,null,null,248,null,null,279,null,null,382,null,null,266,null,null,354,null,null,205,null,null,48
31593,285,41941,431,55719,877,11079,396,22077,439,38757,1273,9270,438,285,null,null,431,null,null,877,null,null,396,null,null,439,null,null,1273,null,null,438,null,null,49
32395,911,36675,844,48156,1646,10756,639,29954,1077,41332,893,11061,564,911,null,null,844,null,null,1646,null,null,639,null,null,1077,null,null,893,null,null,564,null,null,50
40692,283,49139,1168,61793,419,11362,330,32457,721,48512,825,11099,209,283,null,null,1168,null,null,419,null,null,330,null,null,721,null,null,825,null,null,209,null,null,51
40232,224,49284,779,62037,372,14407,828,31379,312,47216,629,13232,527,224,null,null,779,null,null,372,null,null,828,null,null,312,null,null,629,null,null,527,null,null,53
28789,1280,35416,888,46693,1021,10099,524,22959,813,33397,1180,9954,527,1280,null,null,888,null,null,1021,null,null,524,null,null,813,null,null,1180,null,null,527,null,null,54
35014,342,41510,240,51556,236,10962,345,28291,589,40651,243,11290,186,342,null,null,240,null,null,236,null,null,345,null,null,589,null,null,243,null,null,186,null,null,55
32335,1787,40656,1328,51735,971,11773,890,25608,1316,40353,1426,11065,877,1787,null,null,1328,null,null,971,null,null,890,null,null,1316,null,null,1426,null,null,877,null,null,56
17182,3206,21304,8482,37125,14822,7123,1989,15650,2394,20677,4517,8137,2300,3206,null,null,8482,null,null,14822,null,null,1989,null,null,2394,null,null,4517,null,null,2300,null,null,72
32005,278,40697,470,51303,469,10617,458,25475,499,36933,525,10133,424,278,null,null,470,null,null,469,null,null,458,null,null,499,null,null,525,null,null,424,null,null,01
43814,2081,51007,936,62483,3606,25617,2644,35679,1106,52205,1816,15959,1102,2081,null,null,936,null,null,3606,null,null,2644,null,null,1106,null,null,1816,null,null,1102,null,null,02
36433,320,42212,472,55430,1050,11596,327,31035,379,42685,1098,11353,312,320,null,null,472,null,null,1050,null,null,327,null,null,379,null,null,1098,null,null,312,null,null,04
30628,269,35833,561,45448,1012,11467,473,25208,573,35767,627,10611,326,269,null,null,561,null,null,1012,null,null,473,null,null,573,null,null,627,null,null,326,null,null,05
46298,310,54690,923,73737,1427,16398,290,37152,296,57506,904,15034,286,310,null,null,923,null,null,1427,null,null,290,null,null,296,null,null,904,null,null,286,null,null,06
39664,684,46055,618,58782,1808,13735,770,32212,329,47714,941,12030,279,684,null,null,618,null,null,1808,null,null,770,null,null,329,null,null,941,null,null,279,null,null,08
46653,580,55523,1045,71672,834,12405,796,37246,766,55896,969,13739,798,580,null,null,1045,null,null,834,null,null,796,null,null,766,null,null,969,null,null,798,null,null,09
39791,1422,44012,3396,57379,2965,11246,1108,34027,2322,49047,3142,11564,674,1422,null,null,3396,null,null,2965,null,null,1108,null,null,2322,null,null,3142,null,null,674,null,null,10
71042,1695,82532,3839,97481,4457,12073,4411,61026,2272,79508,4494,16336,3694,1695,null,null,3839,null,null,4457,null,null,4411,null,null,2272,null,null,4494,null,null,3694,null,null,11
