B27001B_001E,B27001B_001M,B27001B_002E,B27001B_002M,B27001B_003E,B27001B_003M,B27001B_004E,B27001B_004M,B27001B_005E,B27001B_005M,B27001B_006E,B27001B_006M,B27001B_007E,B27001B_007M,B27001B_008E,B27001B_008M,B27001B_009E,B27001B_009M,B27001B_010E,B27001B_010M,B27001B_011E,B27001B_011M,B27001B_012E,B27001B_012M,B27001B_013E,B27001B_013M,B27001B_014E,B27001B_014M,B27001B_015E,B27001B_015M,B27001B_016E,B27001B_016M,B27001B_017E,B27001B_017M,B27001B_018E,B27001B_018M,B27001B_019E,B27001B_019M,B27001B_020E,B27001B_020M,B27001B_021E,B27001B_021M,B27001B_022E,B27001B_022M,B27001B_023E,B27001B_023M,B27001B_024E,B27001B_024M,B27001B_025E,B27001B_025M,B27001B_026E,B27001B_026M,B27001B_027E,B27001B_027M,B27001B_028E,B27001B_028M,B27001B_001M,B27001B_001EA,B27001B_001MA,B27001B_002M,B27001B_002EA,B27001B_002MA,B27001B_003M,B27001B_003EA,B27001B_003MA,B27001B_004M,B27001B_004EA,B27001B_004MA,B27001B_005M,B27001B_005EA,B27001B_005MA,B27001B_006M,B27001B_006EA,B27001B_006MA,B27001B_007M,B27001B_007EA,B27001B_007MA,B27001B_008M,B27001B_008EA,B27001B_008MA,B27001B_009M,B27001B_009EA,B27001B_009MA,B27001B_010M,B27001B_010EA,B27001B_010MA,B27001B_011M,B27001B_011EA,B27001B_011MA,B27001B_012M,B27001B_012EA,B27001B_012MA,B27001B_013M,B27001B_013EA,B27001B_013MA,B27001B_014M,B27001B_014EA,B27001B_014MA,B27001B_015M,B27001B_015EA,B27001B_015MA,B27001B_016M,B27001B_016EA,B27001B_016MA,B27001B_017M,B27001B_017EA,B27001B_017MA,B27001B_018M,B27001B_018EA,B27001B_018MA,B27001B_019M,B27001B_019EA,B27001B_019MA,B27001B_020M,B27001B_020EA,B27001B_020MA,B27001B_021M,B27001B_021EA,B27001B_021MA,B27001B_022M,B27001B_022EA,B27001B_022MA,B27001B_023M,B27001B_023EA,B27001B_023MA,B27001B_024M,B27001B_024EA,B27001B_024MA,B27001B_025M,B27001B_025EA,B27001B_025MA,B27001B_026M,B27001B_026EA,B27001B_026MA,B27001B_027M,B27001B_027EA,B27001B_027MA,B27001B_028M,B27001B_028EA,B27001B_028MA,state
19435,2006,2634,634,2532,614,102,234,5236,1127,5148,1110,88,126,3666,848,2889,728,777,445,2525,859,2042,838,483,389,2789,869,1919,700,870,595,1743,722,1164,631,579,506,580,398,569,395,11,21,258,253,258,253,0,172,4,8,4,8,0,172,2006,null,null,634,null,null,614,null,null,234,null,null,1127,null,null,1110,null,null,126,null,null,848,null,null,728,null,null,445,null,null,859,null,null,838,null,null,389,null,null,869,null,null,700,null,null,595,null,null,722,null,null,631,null,null,506,null,null,398,null,null,395,null,null,21,null,null,253,null,null,253,null,null,172,null,null,8,null,null,8,null,null,172,null,null,23
1757742,9690,130129,3693,125326,4127,4803,1963,293378,4762,285211,5213,8167,1998,173111,3890,157351,4306,15760,2167,251633,3951,225028,4601,26605,3123,231525,3425,212801,4313,18724,2323,255145,2751,238993,3581,16152,2483,218893,1573,208860,2031,10033,1762,130991,1945,128896,1936,2095,791,72937,1754,72250,1657,687,552,9690,null,null,3693,null,null,4127,null,null,1963,null,null,4762,null,null,5213,null,null,1998,null,null,3890,null,null,4306,null,null,2167,null,null,3951,null,null,4601,null,null,3123,null,null,3425,null,null,4313,null,null,2323,null,null,2751,null,null,3581,null,null,2483,null,null,1573,null,null,2031,null,null,1762,null,null,1945,null,null,1936,null,null,791,null,null,1754,null,null,1657,null,null,552,null,null,24
496138,7908,40860,3415,40380,3455,480,331,87127,3807,86861,3831,266,238,61349,2354,56790,2755,4559,1478,75979,2861,70671,3313,5308,1817,67189,2508,64890,2532,2299,710,64550,1987,61086,2304,3464,1390,52932,1511,51183,1794,1749,839,28632,1353,27944,1486,688,482,17520,1133,17394,1118,126,170,7908,null,null,3415,null,null,3455,null,null,331,null,null,3807,null,null,3831,null,null,238,null,null,2354,null,null,2755,null,null,1478,null,null,2861,null,null,3313,null,null,1817,null,null,2508,null,null,2532,null,null,710,null,null,1987,null,null,2304,null,null,1390,null,null,1511,null,null,1794,null,null,839,null,null,1353,null,null,1486,null,null,482,null,null,1133,null,null,1118,null,null,170,null,null,25
1326535,9707,111956,3242,110137,3112,1819,880,233673,4928,227381,5271,6292,1681,150736,3195,133365,3522,17371,2535,183268,3009,157601,3401,25667,2727,160246,2382,144900,3130,15346,2205,169852,2399,158668,2804,11184,1788,159413,1589,150295,2184,9118,1753,97920,1351,97654,1375,266,223,59471,1405,59471,1405,0,168,9707,null,null,3242,null,null,3112,null,null,880,null,null,4928,null,null,5271,null,null,1681,null,null,3195,null,null,3522,null,null,2535,null,null,3009,null,null,3401,null,null,2727,null,null,2382,null,null,3130,null,null,2205,null,null,2399,null,null,2804,null,null,1788,null,null,1589,null,null,2184,null,null,1753,null,null,1351,null,null,1375,null,null,223,null,null,1405,null,null,1405,null,null,168,null,null,26
323107,5844,38779,2620,37281,2635,1498,694,75107,3079,71964,2997,3143,1407,36157,2484,33528,2551,2629,845,53189,2599,47783,2673,5406,1350,45679,2212,40260,2742,5419,1962,33378,1684,30851,1772,2527,803,25059,1832,22603,1863,2456,827,11062,1092,10960,1063,102,168,4697,673,4697,673,0,149,5844,null,null,2620,null,null,2635,null,null,694,null,null,3079,null,null,2997,null,null,1407,null,null,2484,null,null,2551,null,null,845,null,null,2599,null,null,2673,null,null,1350,null,null,2212,null,null,2742,null,null,1962,null,null,1684,null,null,1772,null,null,803,null,null,1832,null,null,1863,null,null,827,null,null,1092,null,null,1063,null,null,168,null,null,673,null,null,673,null,null,149,null,null,27
1106549,6816,98134,3615,94738,3743,3396,1065,212692,3674,204794,3770,7898,1821,133023,4343,97508,4882,35515,3403,145020,5523,109342,5053,35678,3334,143893,4597,117715,4495,26178,2830,130385,3992,107147,4314,23238,3116,127786,2297,111100,3142,16686,2498,76396,2427,76150,2429,246,149,39220,2312,39183,2316,37,53,6816,null,null,3615,null,null,3743,null,null,1065,null,null,3674,null,null,3770,null,null,1821,null,null,4343,null,null,4882,null,null,3403,null,null,5523,null,null,5053,null,null,3334,null,null,4597,null,null,4495,null,null,2830,null,null,3992,null,null,4314,null,null,3116,null,null,2297,null,null,3142,null,null,2498,null,null,2427,null,null,2429,null,null,149,null,null,2312,null,null,2316,null,null,53,null,null,28
678391,7576,60242,2989,58894,3050,1348,665,123119,4328,117982,4488,5137,1915,76884,3185,61949,3401,14935,2422,95341,3735,71448,4422,23893,2833,83608,2339,71318,2881,12290,1918,87462,2411,76842,2619,10620,1680,79513,1569,70851,1770,8662,1519,44862,1596,44494,1590,368,280,27360,1044,27250,1070,110,133,7576,null,null,2989,null,null,3050,null,null,665,null,null,4328,null,null,4488,null,null,1915,null,null,3185,null,null,3401,null,null,2422,null,null,3735,null,null,4422,null,null,2833,null,null,2339,null,null,2881,null,null,1918,null,null,2411,null,null,2619,null,null,1680,null,null,1569,null,null,1770,null,null,1519,null,null,1596,null,null,1590,null,null,280,null,null,1044,null,null,1070,null,null,133,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
86027,3041,9507,1470,9098,1481,409,418,17729,1525,16863,1633,866,558,10670,1136,7833,1127,2837,969,14555,1426,10607,1515,3948,1153,10064,790,7723,997,2341,813,9064,721,7788,949,1276,672,8369,520,7568,681,801,464,4031,386,3884,398,147,169,2038,345,2001,344,37,59,3041,null,null,1470,null,null,1481,null,null,418,null,null,1525,null,null,1633,null,null,558,null,null,1136,null,null,1127,null,null,969,null,null,1426,null,null,1515,null,null,1153,null,null,790,null,null,997,null,null,813,null,null,721,null,null,949,null,null,672,null,null,520,null,null,681,null,null,464,null,null,386,null,null,398,null,null,169,null,null,345,null,null,344,null,null,59,null,null,31
253421,5255,23142,2096,20974,2370,2168,1530,44957,3114,42810,3149,2147,1204,24601,1709,21665,1797,2936,1112,41361,1627,34311,2107,7050,1586,33698,1273,29217,2039,4481,1705,32467,984,30381,1160,2086,725,26327,692,24602,903,1725,697,17213,690,17213,690,0,210,9655,691,9655,691,0,210,5255,null,null,2096,null,null,2370,null,null,1530,null,null,3114,null,null,3149,null,null,1204,null,null,1709,null,null,1797,null,null,1112,null,null,1627,null,null,2107,null,null,1586,null,null,1273,null,null,2039,null,null,1705,null,null,984,null,null,1160,null,null,725,null,null,692,null,null,903,null,null,697,null,null,690,null,null,690,null,null,210,null,null,691,null,null,691,null,null,210,null,null,32
15409,1659,1767,612,1767,612,0,187,2178,707,1967,711,211,335,1698,718,1502,608,196,281,2847,674,2482,676,365,358,2495,736,2216,715,279,303,2404,734,2033,746,371,324,876,477,670,430,206,228,853,445,853,445,0,187,291,170,291,170,0,187,1659,null,null,612,null,null,612,null,null,187,null,null,707,null,null,711,null,null,335,null,null,718,null,null,608,null,null,281,null,null,674,null,null,676,null,null,358,null,null,736,null,null,715,null,null,303,null,null,734,null,null,746,null,null,324,null,null,477,null,null,430,null,null,228,null,null,445,null,null,445,null,null,187,null,null,170,null,null,170,null,null,187,null,null,33
1158174,11061,88202,3494,85495,3388,2707,1146,187443,4518,181777,4829,5666,1564,123995,3179,106537,3697,17458,2720,163757,3214,137799,3938,25958,3527,155975,3407,139210,4324,16765,2495,166431,2242,149205,3249,17226,2497,138982,2059,127466,2550,11516,1905,80365,1596,78736,1838,1629,743,53024,1589,52455,1662,569,447,11061,null,null,3494,null,null,3388,null,null,1146,null,null,4518,null,null,4829,null,null,1564,null,null,3179,null,null,3697,null,null,2720,null,null,3214,null,null,3938,null,null,3527,null,null,3407,null,null,4324,null,null,2495,null,null,2242,null,null,3249,null,null,2497,null,null,2059,null,null,2550,null,null,1905,null,null,1596,null,null,1838,null,null,743,null,null,1589,null,null,1662,null,null,447,null,null,34
38111,2859,2337,820,2337,820,0,195,7255,1326,7127,1333,128,136,4902,1066,4328,1045,574,353,5974,1284,5259,1277,715,399,3906,908,3377,958,529,422,5446,1356,4941,1225,505,383,4250,779,4144,798,106,146,2905,790,2905,790,0,195,1136,506,1136,506,0,195,2859,null,null,820,null,null,820,null,null,195,null,null,1326,null,null,1333,null,null,136,null,null,1066,null,null,1045,null,null,353,null,null,1284,null,null,1277,null,null,399,null,null,908,null,null,958,null,null,422,null,null,1356,null,null,1225,null,null,383,null,null,779,null,null,798,null,null,146,null,null,790,null,null,790,null,null,195,null,null,506,null,null,506,null,null,195,null,null,35
2999161,18914,228883,5927,224404,5843,4479,1326,469212,6511,456943,6549,12269,2143,322715,4356,295708,5024,27007,2440,452908,6280,396229,7165,56679,4528,377520,4474,339692,5584,37828,3990,417726,4448,383533,5894,34193,3042,366420,3786,341222,4664,25198,3105,218714,2669,214208,2828,4506,1080,145063,2439,143197,2559,1866,627,18914,null,null,5927,null,null,5843,null,null,1326,null,null,6511,null,null,6549,null,null,2143,null,null,4356,null,null,5024,null,null,2440,null,null,6280,null,null,7165,null,null,4528,null,null,4474,null,null,5584,null,null,3990,null,null,4448,null,null,5894,null,null,3042,null,null,3786,null,null,4664,null,null,3105,null,null,2669,null,null,2828,null,null,1080,null,null,2439,null,null,2559,null,null,627,null,null,36
2130182,13490,159449,5091,155610,5341,3839,1601,369981,6809,357399,7060,12582,2714,233485,5043,194604,4778,38881,3831,290916,5135,227772,5925,63144,5114,272958,5476,228562,6155,44396,3774,289713,4796,249370,5088,40343,3492,263847,2405,236441,3106,27406,2694,163489,3067,162699,3087,790,457,86344,2756,85927,2766,417,318,13490,null,null,5091,null,null,5341,null,null,1601,null,null,6809,null,null,7060,null,null,2714,null,null,5043,null,null,4778,null,null,3831,null,null,5135,null,null,5925,null,null,5114,null,null,5476,null,null,6155,null,null,3774,null,null,4796,null,null,5088,null,null,3492,null,null,2405,null,null,3106,null,null,2694,null,null,3067,null,null,3087,null,null,457,null,null,2756,null,null,2766,null,null,318,null,null,37
18907,2408,3121,851,2350,808,771,387,2568,758,2153,785,415,374,2791,1187,1849,890,942,777,4217,1483,3532,1451,685,517,2349,989,1288,879,1061,765,2636,1315,1231,791,1405,1056,949,495,949,495,0,155,276,333,276,333,0,155,0,155,0,155,0,155,2408,null,null,851,null,null,808,null,null,387,null,null,758,null,null,785,null,null,374,null,null,1187,null,null,890,null,null,777,null,null,1483,null,null,1451,null,null,517,null,null,989,null,null,879,null,null,765,null,null,1315,null,null,791,null,null,1056,null,null,495,null,null,495,null,null,155,null,null,333,null,null,333,null,null,155,null,null,155,null,null,155,null,null,155,null,null,38
1397065,10444,122799,4793,119208,4570,3591,1434,258060,5698,250234,6032,7826,2167,153880,4391,136210,4398,17670,2950,193271,3399,166173,4028,27098,2968,168290,3538,151850,4044,16440,2503,173877,3488,158677,3996,15200,2444,169298,2387,159071,2939,10227,1624,95039,1697,94382,1736,657,392,62551,1901,62115,1987,436,400,10444,null,null,4793,null,null,4570,null,null,1434,null,null,5698,null,null,6032,null,null,2167,null,null,4391,null,null,4398,null,null,2950,null,null,3399,null,null,4028,null,null,2968,null,null,3538,null,null,4044,null,null,2503,null,null,3488,null,null,3996,null,null,2444,null,null,2387,null,null,2939,null,null,1624,null,null,1697,null,null,1736,null,null,392,null,null,1901,null,null,1987,null,null,400,null,null,39
275256,4863,24485,2278,23431,2301,1054,485,51842,2638,48862,2811,2980,876,35110,2315,26153,2486,8957,1627,39302,2160,28243,2120,11059,1736,34730,1662,28267,1749,6463,1207,32951,1454,26714,1535,6237,1003,31035,1153,25772,1247,5263,940,16769,933,16665,939,104,99,9032,729,8998,736,34,57,4863,null,null,2278,null,null,2301,null,null,485,null,null,2638,null,null,2811,null,null,876,null,null,2315,null,null,2486,null,null,1627,null,null,2160,null,null,2120,null,null,1736,null,null,1662,null,null,1749,null,null,1207,null,null,1454,null,null,1535,null,null,1003,null,null,1153,null,null,1247,null,null,940,null,null,933,null,null,939,null,null,99,null,null,729,null,null,736,null,null,57,null,null,40
76741,4194,8132,1589,8021,1576,111,153,12316,1891,11308,1854,1008,819,9350,1413,8546,1438,804,592,13854,1283,12887,1419,967,618,11558,1564,9995,1657,1563,1099,8581,1131,8188,1113,393,300,6770,798,6494,825,276,230,4251,755,4251,755,0,201,1929,469,1929,469,0,201,4194,null,null,1589,null,null,1576,null,null,153,null,null,1891,null,null,1854,null,null,819,null,null,1413,null,null,1438,null,null,592,null,null,1283,null,null,1419,null,null,618,null,null,1564,null,null,1657,null,null,1099,null,null,1131,null,null,1113,null,null,300,null,null,798,null,null,825,null,null,230,null,null,755,null,null,755,null,null,201,null,null,469,null,null,469,null,null,201,null,null,41
1350224,11847,117456,4588,114486,4730,2970,984,234259,5497,229399,5677,4860,1396,158524,3839,140554,4463,17970,2713,200638,3938,172577,4290,28061,3052,158947,3372,142010,4107,16937,2668,174613,2796,159278,3460,15335,2367,155633,2382,145911,2956,9722,1725,92899,2260,92073,2253,826,633,57255,1809,56617,1878,638,573,11847,null,null,4588,null,null,4730,null,null,984,null,null,5497,null,null,5677,null,null,1396,null,null,3839,null,null,4463,null,null,2713,null,null,3938,null,null,4290,null,null,3052,null,null,3372,null,null,4107,null,null,2668,null,null,2796,null,null,3460,null,null,2367,null,null,2382,null,null,2956,null,null,1725,null,null,2260,null,null,2253,null,null,633,null,null,1809,null,null,1878,null,null,573,null,null,42
66291,4177,4370,1134,4277,1116,93,153,12438,1842,11992,1815,446,392,8672,1088,6915,1189,1757,902,10557,1091,9302,1185,1255,597,9325,1235,8609,1266,716,448,8308,1114,7941,1124,367,328,6938,822,6600,877,338,371,3481,567,3445,573,36,58,2202,668,2202,668,0,208,4177,null,null,1134,null,null,1116,null,null,153,null,null,1842,null,null,1815,null,null,392,null,null,1088,null,null,1189,null,null,902,null,null,1091,null,null,1185,null,null,597,null,null,1235,null,null,1266,null,null,448,null,null,1114,null,null,1124,null,null,328,null,null,822,null,null,877,null,null,371,null,null,567,null,null,573,null,null,58,null,null,668,null,null,668,null,null,208,null,null,44
1299725,8662,97725,4031,95632,3973,2093,830,229866,5832,223548,6280,6318,1412,141395,3848,112150,4484,29245,3419,178740,4764,146983,4960,31757,3193,160865,4932,135384,4871,25481,2668,162670,3896,139498,4219,23172,3173,166387,1691,147831,2309,18556,1951,105937,1902,105476,1891,461,375,56140,1872,55984,1869,156,199,8662,null,null,4031,null,null,3973,null,null,830,null,null,5832,null,null,6280,null,null,1412,null,null,3848,null,null,4484,null,null,3419,null,null,4764,null,null,4960,null,null,3193,null,null,4932,null,null,4871,null,null,2668,null,null,3896,null,null,4219,null,null,3173,null,null,1691,null,null,2309,null,null,1951,null,null,1902,null,null,1891,null,null,375,null,null,1872,null,null,1869,null,null,199,null,null,45
13487,1396,1560,568,1515,589,45,82,3155,836,2951,866,204,234,2147,619,1810,554,337,221,2488,635,1889,627,599,416,2137,649,1723,637,414,382,755,445,642,436,113,124,1143,435,628,412,515,360,85,104,85,104,0,157,17,17,17,17,0,157,1396,null,null,568,null,null,589,null,null,82,null,null,836,null,null,866,null,null,234,null,null,619,null,null,554,null,null,221,null,null,635,null,null,627,null,null,416,null,null,649,null,null,637,null,null,382,null,null,445,null,null,436,null,null,124,null,null,435,null,null,412,null,null,360,null,null,104,null,null,104,null,null,157,null,null,17,null,null,17,null,null,157,null,null,46
1083541,9334,92145,2840,89889,3142,2256,1008,193744,5846,188978,5729,4766,1584,125448,2884,108607,4250,16841,3043,159460,2938,127578,4964,31882,3804,134651,3252,114391,3584,20260,2551,139284,2861,118141,4047,21143,2740,129738,2202,117468,2520,12270,1649,71410,2012,70511,2002,899,552,37661,1582,37299,1597,362,271,9334,null,null,2840,null,null,3142,null,null,1008,null,null,5846,null,null,5729,null,null,1584,null,null,2884,null,null,4250,null,null,3043,null,null,2938,null,null,4964,null,null,3804,null,null,3252,null,null,3584,null,null,2551,null,null,2861,null,null,4047,null,null,2740,null,null,2202,null,null,2520,null,null,1649,null,null,2012,null,null,2002,null,null,552,null,null,1582,null,null,1597,null,null,271,null,null,47
