B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,B10051F_001M,B10051F_001EA,B10051F_001MA,B10051F_002M,B10051F_002EA,B10051F_002MA,B10051F_003M,B10051F_003EA,B10051F_003MA,B10051F_004M,B10051F_004EA,B10051F_004MA,B10051F_005M,B10051F_005EA,B10051F_005MA,B10051F_006M,B10051F_006EA,B10051F_006MA,B10051F_007M,B10051F_007EA,B10051F_007MA,state
7743,1694,2421,935,1454,676,967,599,5322,1245,2717,892,2605,859,1694,null,null,935,null,null,676,null,null,599,null,null,1245,null,null,892,null,null,859,null,null,25
4169,1293,857,513,596,427,261,231,3312,1190,1862,984,1450,657,1293,null,null,513,null,null,427,null,null,231,null,null,1190,null,null,984,null,null,657,null,null,26
3187,1310,1148,673,1086,669,62,110,2039,1042,798,479,1241,867,1310,null,null,673,null,null,669,null,null,110,null,null,1042,null,null,479,null,null,867,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1328,650,199,224,186,219,13,25,1129,601,427,287,702,378,650,null,null,224,null,null,219,null,null,25,null,null,601,null,null,287,null,null,378,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1514,623,316,286,292,263,24,42,1198,609,372,248,826,553,623,null,null,286,null,null,263,null,null,42,null,null,609,null,null,248,null,null,553,null,null,31
7123,1751,2539,968,2097,878,442,346,4584,1443,3160,1157,1424,788,1751,null,null,968,null,null,878,null,null,346,null,null,1443,null,null,1157,null,null,788,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
18202,2436,5277,1625,3459,1352,1818,988,12925,2046,4965,1306,7960,1481,2436,null,null,1625,null,null,1352,null,null,988,null,null,2046,null,null,1306,null,null,1481,null,null,34
7213,2083,2581,1159,1814,950,767,634,4632,1712,2333,1278,2299,1094,2083,null,null,1159,null,null,950,null,null,634,null,null,1712,null,null,1278,null,null,1094,null,null,35
69127,6038,16037,2583,10284,2073,5753,1429,53090,5757,27573,3848,25517,4058,6038,null,null,2583,null,null,2073,null,null,1429,null,null,5757,null,null,3848,null,null,4058,null,null,36
6778,2149,2529,1205,2250,1209,279,245,4249,1570,2016,888,2233,1220,2149,null,null,1205,null,null,1209,null,null,245,null,null,1570,null,null,888,null,null,1220,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1922,767,628,366,528,346,100,114,1294,596,494,360,800,527,767,null,null,366,null,null,346,null,null,114,null,null,596,null,null,360,null,null,527,null,null,39
2230,691,939,453,785,398,154,136,1291,514,742,361,549,328,691,null,null,453,null,null,398,null,null,136,null,null,514,null,null,361,null,null,328,null,null,40
2303,851,711,556,563,504,148,192,1592,713,841,523,751,500,851,null,null,556,null,null,504,null,null,192,null,null,713,null,null,523,null,null,500,null,null,41
8304,1911,2279,853,1904,837,375,353,6025,1780,3709,1354,2316,1039,1911,null,null,853,null,null,837,null,null,353,null,null,1780,null,null,1354,null,null,1039,null,null,42
2105,1147,851,652,747,633,104,144,1254,639,667,531,587,465,1147,null,null,652,null,null,633,null,null,144,null,null,639,null,null,531,null,null,465,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1999,1034,348,418,348,418,0,204,1651,885,573,412,1078,649,1034,null,null,418,null,null,418,null,null,204,null,null,885,null,null,412,null,null,649,null,null,47
56409,6104,20074,3529,14193,2902,5881,1615,36335,4735,20034,3306,16301,3169,6104,null,null,3529,null,null,2902,null,null,1615,null,null,4735,null,null,3306,null,null,3169,null,null,48
6041,1692,708,578,374,437,334,387,5333,1647,3859,1413,1474,675,1692,null,null,578,null,null,437,null,null,387,null,null,1647,null,null,1413,null,null,675,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
8904,2497,1377,718,1118,649,259,262,7527,2190,6362,2188,1165,512,2497,null,null,718,null,null,649,null,null,262,null,null,2190,null,null,2188,null,null,512,null,null,51
9719,2288,2490,1234,1646,1027,844,651,7229,1890,4613,1759,2616,1087,2288,null,null,1234,null,null,1027,null,null,651,null,null,1890,null,null,1759,null,null,1087,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
3018,1237,1103,593,985,569,118,187,1915,910,1490,793,425,327,1237,null,null,593,null,null,569,null,null,187,null,null,910,null,null,793,null,null,327,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
15710,2402,6348,1404,3149,893,3199,1018,9362,1846,4543,1487,4819,1301,2402,null,null,1404,null,null,893,null,null,1018,null,null,1846,null,null,1487,null,null,1301,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
26422,3536,9689,2133,6435,1746,3254,1127,16733,2883,10544,2180,6189,1841,3536,null,null,2133,null,null,1746,null,null,1127,null,null,2883,null,null,2180,null,null,1841,null,null,04
3211,1508,904,1059,885,1060,19,43,2307,1249,1288,910,1019,729,1508,null,null,1059,null,null,1060,null,null,43,null,null,1249,null,null,910,null,null,729,null,null,05
246746,11398,45336,4497,29561,3051,15775,2630,201410,9761,110830,7616,90580,5889,11398,null,null,4497,null,null,3051,null,null,2630,null,null,9761,null,null,7616,null,null,5889,null,null,06
6229,1495,2863,954,1806,747,1057,535,3366,1060,1876,786,1490,712,1495,null,null,954,null,null,747,null,null,535,null,null,1060,null,null,786,null,null,712,null,null,08
5047,1329,1125,619,839,538,286,260,3922,1092,2285,916,1637,624,1329,null,null,619,null,null,538,null,null,260,null,null,1092,null,null,916,null,null,624,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
