C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,C15010A_001M,C15010A_001EA,C15010A_001MA,C15010A_002M,C15010A_002EA,C15010A_002MA,C15010A_003M,C15010A_003EA,C15010A_003MA,C15010A_004M,C15010A_004EA,C15010A_004MA,C15010A_005M,C15010A_005EA,C15010A_005MA,C15010A_006M,C15010A_006EA,C15010A_006MA,state
342509,10320,108721,5829,30169,2782,74363,4957,48653,3774,80603,4066,10320,null,null,5829,null,null,2782,null,null,4957,null,null,3774,null,null,4066,null,null,32
325498,6979,115388,4790,28372,2616,62686,3535,38729,2711,80323,4513,6979,null,null,4790,null,null,2616,null,null,3535,null,null,2711,null,null,4513,null,null,33
1705797,17287,576065,12254,128930,5718,378867,9771,232710,7980,389225,9578,17287,null,null,12254,null,null,5718,null,null,9771,null,null,7980,null,null,9578,null,null,34
319699,8069,113591,5021,29198,2929,45973,3195,52717,3467,78220,4211,8069,null,null,5021,null,null,2929,null,null,3195,null,null,3467,null,null,4211,null,null,35
3586178,22660,1198048,14031,285575,7458,640312,13891,444035,9800,1018208,15567,22660,null,null,14031,null,null,7458,null,null,13891,null,null,9800,null,null,15567,null,null,36
1645869,15965,538896,11763,164319,6339,330300,7993,226313,6809,386041,9695,15965,null,null,11763,null,null,6339,null,null,7993,null,null,6809,null,null,9695,null,null,37
136728,4763,36353,2620,18411,1673,27323,2280,28763,2537,25878,2957,4763,null,null,2620,null,null,1673,null,null,2280,null,null,2537,null,null,2957,null,null,38
1900636,18004,553781,11385,216827,6958,409069,7915,324694,8298,396265,9906,18004,null,null,11385,null,null,6958,null,null,7915,null,null,8298,null,null,9906,null,null,39
527268,9181,146373,5153,56220,3086,119569,4322,99435,4058,105671,3899,9181,null,null,5153,null,null,3086,null,null,4322,null,null,4058,null,null,3899,null,null,40
824579,11637,317660,8166,71613,3744,117729,5029,90629,4674,226948,6945,11637,null,null,8166,null,null,3744,null,null,5029,null,null,4674,null,null,6945,null,null,41
2366346,20329,751069,12172,251004,7482,460178,7980,373172,8158,530923,10741,20329,null,null,12172,null,null,7482,null,null,7980,null,null,8158,null,null,10741,null,null,42
221339,7256,77092,4147,21465,2022,37446,3185,28321,2393,57015,3631,7256,null,null,4147,null,null,2022,null,null,3185,null,null,2393,null,null,3631,null,null,44
748533,12830,233503,7956,66671,4113,168806,6001,120983,5325,158570,6081,12830,null,null,7956,null,null,4113,null,null,6001,null,null,5325,null,null,6081,null,null,45
153707,5024,45730,2545,19871,1982,27651,2388,32466,2807,27989,2674,5024,null,null,2545,null,null,1982,null,null,2388,null,null,2807,null,null,2674,null,null,46
983625,15270,282189,8663,109467,5382,222401,6530,145525,5784,224043,8701,15270,null,null,8663,null,null,5382,null,null,6530,null,null,5784,null,null,8701,null,null,47
3932068,30756,1283144,17832,319029,7698,934241,16241,553001,12361,842653,16304,30756,null,null,17832,null,null,7698,null,null,16241,null,null,12361,null,null,16304,null,null,48
532568,9240,172207,6144,53442,3524,102019,5436,77240,4248,127660,5380,9240,null,null,6144,null,null,3524,null,null,5436,null,null,4248,null,null,5380,null,null,49
153079,4842,60128,3378,11881,1171,20942,1804,19462,2227,40666,2381,4842,null,null,3378,null,null,1171,null,null,1804,null,null,2227,null,null,2381,null,null,50
1635509,17286,647319,11569,125238,5780,287819,8577,171203,5282,403930,9276,17286,null,null,11569,null,null,5780,null,null,8577,null,null,5282,null,null,9276,null,null,51
1407567,14935,546216,10802,120790,4129,223318,7478,164048,5777,353195,8980,14935,null,null,10802,null,null,4129,null,null,7478,null,null,5777,null,null,8980,null,null,53
249514,8611,67272,3370,32576,2864,48399,3179,53822,3998,47445,3721,8611,null,null,3370,null,null,2864,null,null,3179,null,null,3998,null,null,3721,null,null,54
1061273,12818,327085,7714,123667,4318,203807,6741,182779,6034,223935,5542,12818,null,null,7714,null,null,4318,null,null,6741,null,null,6034,null,null,5542,null,null,55
100078,4701,34245,2870,12927,2251,13929,2221,18858,2132,20119,2319,4701,null,null,2870,null,null,2251,null,null,2221,null,null,2132,null,null,2319,null,null,56
434801,11668,117388,4793,42662,3085,137266,6533,79179,4906,58306,4034,11668,null,null,4793,null,null,3085,null,null,6533,null,null,4906,null,null,4034,null,null,72
631551,12442,178352,6950,66384,4075,149237,6947,109328,5818,128250,5751,12442,null,null,6950,null,null,4075,null,null,6947,null,null,5818,null,null,5751,null,null,01
119855,4965,47234,3215,12335,1504,15455,1854,16597,1866,28234,2831,4965,null,null,3215,null,null,1504,null,null,1854,null,null,1866,null,null,2831,null,null,02
1134743,15091,363073,9070,115109,5023,245388,7284,169665,6957,241508,7409,15091,null,null,9070,null,null,5023,null,null,7284,null,null,6957,null,null,7409,null,null,04
375239,9301,102225,4734,43010,3374,77016,4185,79686,4542,73302,4466,9301,null,null,4734,null,null,3374,null,null,4185,null,null,4542,null,null,4466,null,null,05
5535186,33105,2175053,23934,381594,10035,952247,15570,418236,9463,1608056,21803,33105,null,null,23934,null,null,10035,null,null,15570,null,null,9463,null,null,21803,null,null,06
1344602,13668,510966,9455,105059,4784,263505,8164,144160,5291,320912,8110,13668,null,null,9455,null,null,4784,null,null,8164,null,null,5291,null,null,8110,null,null,08
808784,9974,285675,7143,65479,3807,163877,5758,94302,4195,199451,5420,9974,null,null,7143,null,null,3807,null,null,5758,null,null,4195,null,null,5420,null,null,09
156407,5690,53404,3481,15652,2033,32630,2700,24640,2084,30081,2710,5690,null,null,3481,null,null,2033,null,null,2700,null,null,2084,null,null,2710,null,null,10
186363,2672,90497,3716,7047,1542,21885,2232,6588,1165,60346,3452,2672,null,null,3716,null,null,1542,null,null,2232,null,null,1165,null,null,3452,null,null,11
