B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,B08505F_001M,B08505F_001EA,B08505F_001MA,B08505F_002M,B08505F_002EA,B08505F_002MA,B08505F_003M,B08505F_003EA,B08505F_003MA,B08505F_004M,B08505F_004EA,B08505F_004MA,B08505F_005M,B08505F_005EA,B08505F_005MA,B08505F_006M,B08505F_006EA,B08505F_006MA,B08505F_007M,B08505F_007EA,B08505F_007MA,state
135456,8208,81343,6954,18671,2982,16419,2053,7500,1637,7185,1814,4338,1151,8208,null,null,6954,null,null,2982,null,null,2053,null,null,1637,null,null,1814,null,null,1151,null,null,25
53366,4458,38255,3167,11094,2712,888,517,1211,610,985,598,933,448,4458,null,null,3167,null,null,2712,null,null,517,null,null,610,null,null,598,null,null,448,null,null,26
55218,3883,35139,3031,12731,2356,2648,1023,2020,707,1443,787,1237,531,3883,null,null,3031,null,null,2356,null,null,1023,null,null,707,null,null,787,null,null,531,null,null,27
11976,2697,8403,2361,2521,1041,10,20,386,394,568,488,88,99,2697,null,null,2361,null,null,1041,null,null,20,null,null,394,null,null,488,null,null,99,null,null,28
30485,3023,23728,2674,4359,1235,45,77,665,574,370,326,1318,578,3023,null,null,2674,null,null,1235,null,null,77,null,null,574,null,null,326,null,null,578,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
16692,2587,11423,2134,4033,1271,126,206,155,158,530,393,425,306,2587,null,null,2134,null,null,1271,null,null,206,null,null,158,null,null,393,null,null,306,null,null,31
135237,8145,103068,6502,17375,2493,7301,1582,2125,816,3434,1274,1934,1017,8145,null,null,6502,null,null,2493,null,null,1582,null,null,816,null,null,1274,null,null,1017,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
251782,11832,141322,8490,41540,5494,30482,4052,15294,2685,17134,2864,6010,1563,11832,null,null,8490,null,null,5494,null,null,4052,null,null,2685,null,null,2864,null,null,1563,null,null,34
87109,6064,72631,5235,7815,1805,1219,685,1377,575,924,524,3143,938,6064,null,null,5235,null,null,1805,null,null,685,null,null,575,null,null,524,null,null,938,null,null,35
783743,19738,228371,10026,56807,5541,385277,13225,64311,5379,22839,2929,26138,3921,19738,null,null,10026,null,null,5541,null,null,13225,null,null,5379,null,null,2929,null,null,3921,null,null,36
135661,8215,95685,6402,27792,4381,2299,1038,3905,994,2712,1180,3268,1380,8215,null,null,6402,null,null,4381,null,null,1038,null,null,994,null,null,1180,null,null,1380,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
46687,4592,34651,4002,7286,1428,1566,642,1659,792,856,466,669,312,4592,null,null,4002,null,null,1428,null,null,642,null,null,792,null,null,466,null,null,312,null,null,39
47303,3657,36126,3301,7811,1508,107,105,788,373,1618,559,853,443,3657,null,null,3301,null,null,1508,null,null,105,null,null,373,null,null,559,null,null,443,null,null,40
64918,5904,43050,4697,12824,2391,3269,1297,1854,634,2079,906,1842,761,5904,null,null,4697,null,null,2391,null,null,1297,null,null,634,null,null,906,null,null,761,null,null,41
100500,6369,61536,5243,18632,3011,9464,1871,6134,1548,3058,1103,1676,721,6369,null,null,5243,null,null,3011,null,null,1871,null,null,1548,null,null,1103,null,null,721,null,null,42
25534,3229,17231,3221,4786,1906,1786,777,1132,713,409,496,190,277,3229,null,null,3221,null,null,1906,null,null,777,null,null,713,null,null,496,null,null,277,null,null,44
35578,5170,26314,4819,6918,1582,173,162,869,691,1005,783,299,261,5170,null,null,4819,null,null,1582,null,null,162,null,null,691,null,null,783,null,null,261,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
32043,3044,23742,2746,6076,1455,119,97,767,399,962,506,377,347,3044,null,null,2746,null,null,1455,null,null,97,null,null,399,null,null,506,null,null,347,null,null,47
750889,22544,577295,19186,119712,9539,12716,2424,12108,2223,11866,2151,17192,2424,22544,null,null,19186,null,null,9539,null,null,2424,null,null,2223,null,null,2151,null,null,2424,null,null,48
82723,5482,58020,4494,16211,3136,3141,1530,2766,1101,683,417,1902,873,5482,null,null,4494,null,null,3136,null,null,1530,null,null,1101,null,null,417,null,null,873,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
118195,6746,77003,5471,20789,3728,8245,1888,3591,1311,4472,1448,4095,1499,6746,null,null,5471,null,null,3728,null,null,1888,null,null,1311,null,null,1448,null,null,1499,null,null,51
160300,6797,104403,5555,27684,3281,10106,2260,6279,1574,3376,1128,8452,2552,6797,null,null,5555,null,null,3281,null,null,2260,null,null,1574,null,null,1128,null,null,2552,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
58621,4021,41555,4012,11318,2238,2210,960,1266,514,1703,714,569,268,4021,null,null,4012,null,null,2238,null,null,960,null,null,514,null,null,714,null,null,268,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
167909,7686,139919,6745,12197,2118,3878,976,3988,1127,3227,1066,4700,1569,7686,null,null,6745,null,null,2118,null,null,976,null,null,1127,null,null,1066,null,null,1569,null,null,72
29224,3915,23956,3332,3876,1113,377,612,332,294,265,307,418,455,3915,null,null,3332,null,null,1113,null,null,612,null,null,294,null,null,307,null,null,455,null,null,01
6751,1580,5086,1601,672,554,71,121,519,282,374,314,29,63,1580,null,null,1601,null,null,554,null,null,121,null,null,282,null,null,314,null,null,63,null,null,02
265408,10279,199128,9811,40314,3916,7040,1734,5904,1518,5660,1213,7362,1783,10279,null,null,9811,null,null,3916,null,null,1734,null,null,1518,null,null,1213,null,null,1783,null,null,04
37101,3178,26874,2562,7568,2078,145,236,1511,904,228,214,775,527,3178,null,null,2562,null,null,2078,null,null,236,null,null,904,null,null,214,null,null,527,null,null,05
2556471,33775,1821854,28833,353056,13769,163381,8630,71428,5518,71970,4624,74782,5289,33775,null,null,28833,null,null,13769,null,null,8630,null,null,5518,null,null,4624,null,null,5289,null,null,06
114286,7009,82415,5515,18419,3354,3617,1186,2985,1183,2166,825,4684,1282,7009,null,null,5515,null,null,3354,null,null,1186,null,null,1183,null,null,825,null,null,1282,null,null,08
81835,7209,53901,5421,16768,2983,6123,1393,1985,779,494,438,2564,987,7209,null,null,5421,null,null,2983,null,null,1393,null,null,779,null,null,438,null,null,987,null,null,09
6290,1913,3764,1391,1628,967,59,101,402,336,102,164,335,381,1913,null,null,1391,null,null,967,null,null,101,null,null,336,null,null,164,null,null,381,null,null,10
46351,4915,17423,2446,5893,1539,19591,3162,1562,884,1448,1102,434,558,4915,null,null,2446,null,null,1539,null,null,3162,null,null,884,null,null,1102,null,null,558,null,null,11
