B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,B11001G_001M,B11001G_001EA,B11001G_001MA,B11001G_002M,B11001G_002EA,B11001G_002MA,B11001G_003M,B11001G_003EA,B11001G_003MA,B11001G_004M,B11001G_004EA,B11001G_004MA,B11001G_005M,B11001G_005EA,B11001G_005MA,B11001G_006M,B11001G_006EA,B11001G_006MA,B11001G_007M,B11001G_007EA,B11001G_007MA,B11001G_008M,B11001G_008EA,B11001G_008MA,B11001G_009M,B11001G_009EA,B11001G_009MA,state
7440,1163,4269,1066,1969,767,2300,777,388,318,1912,708,3171,861,2158,765,1013,473,1163,null,null,1066,null,null,767,null,null,777,null,null,318,null,null,708,null,null,861,null,null,765,null,null,473,null,null,23
42673,3433,27712,2510,18025,1927,9687,1506,2704,914,6983,1225,14961,1929,10956,1673,4005,873,3433,null,null,2510,null,null,1927,null,null,1506,null,null,914,null,null,1225,null,null,1929,null,null,1673,null,null,873,null,null,24
47902,4086,30514,3041,15565,2149,14949,2085,4340,1076,10609,1782,17388,2447,11698,1911,5690,1361,4086,null,null,3041,null,null,2149,null,null,2085,null,null,1076,null,null,1782,null,null,2447,null,null,1911,null,null,1361,null,null,25
73615,3838,44421,3230,25777,2530,18644,2158,5789,1324,12855,1726,29194,2586,21783,2178,7411,1199,3838,null,null,3230,null,null,2530,null,null,2158,null,null,1324,null,null,1726,null,null,2586,null,null,2178,null,null,1199,null,null,26
30369,2529,18497,1994,11346,1445,7151,1420,1698,641,5453,1289,11872,1645,8253,1371,3619,1011,2529,null,null,1994,null,null,1445,null,null,1420,null,null,641,null,null,1289,null,null,1645,null,null,1371,null,null,1011,null,null,27
7108,1594,4057,1084,2263,777,1794,785,419,453,1375,634,3051,1018,2477,824,574,380,1594,null,null,1084,null,null,777,null,null,785,null,null,453,null,null,634,null,null,1018,null,null,824,null,null,380,null,null,28
34278,2999,20062,2189,12520,1809,7542,1464,1817,552,5725,1362,14216,2229,11500,2087,2716,844,2999,null,null,2189,null,null,1809,null,null,1464,null,null,552,null,null,1362,null,null,2229,null,null,2087,null,null,844,null,null,29
9077,1756,5065,1026,3547,841,1518,593,577,332,941,484,4012,1252,3546,1174,466,402,1756,null,null,1026,null,null,841,null,null,593,null,null,332,null,null,484,null,null,1252,null,null,1174,null,null,402,null,null,30
8979,1249,5966,1048,3956,958,2010,600,795,389,1215,471,3013,723,2598,627,415,310,1249,null,null,1048,null,null,958,null,null,600,null,null,389,null,null,471,null,null,723,null,null,627,null,null,310,null,null,31
31659,2558,20627,1943,11854,1480,8773,1485,2050,567,6723,1425,11032,1637,8642,1467,2390,713,2558,null,null,1943,null,null,1480,null,null,1485,null,null,567,null,null,1425,null,null,1637,null,null,1467,null,null,713,null,null,32
7270,1286,3707,859,1982,668,1725,629,649,404,1076,494,3563,1095,2531,930,1032,544,1286,null,null,859,null,null,668,null,null,629,null,null,404,null,null,494,null,null,1095,null,null,930,null,null,544,null,null,33
52673,3655,36620,2842,24574,2012,12046,1858,2981,1095,9065,1622,16053,2020,13614,1888,2439,758,3655,null,null,2842,null,null,2012,null,null,1858,null,null,1095,null,null,1622,null,null,2020,null,null,1888,null,null,758,null,null,34
17033,2405,10830,1823,7301,1497,3529,887,1153,581,2376,606,6203,1166,5547,1038,656,355,2405,null,null,1823,null,null,1497,null,null,887,null,null,581,null,null,606,null,null,1166,null,null,1038,null,null,355,null,null,35
145266,6836,91583,5744,54326,3835,37257,4009,7503,1806,29754,3231,53683,3601,39771,3277,13912,2007,6836,null,null,5744,null,null,3835,null,null,4009,null,null,1806,null,null,3231,null,null,3601,null,null,3277,null,null,2007,null,null,36
58430,4204,36796,3230,22984,2733,13812,2080,3127,1101,10685,1746,21634,2541,16903,2206,4731,1354,4204,null,null,3230,null,null,2733,null,null,2080,null,null,1101,null,null,1746,null,null,2541,null,null,2206,null,null,1354,null,null,37
6607,1293,3222,944,2357,794,865,461,213,199,652,448,3385,917,2600,796,785,448,1293,null,null,944,null,null,794,null,null,461,null,null,199,null,null,448,null,null,917,null,null,796,null,null,448,null,null,38
70181,4263,40669,3143,23368,2402,17301,2244,3933,914,13368,2096,29512,2951,23589,2449,5923,1244,4263,null,null,3143,null,null,2402,null,null,2244,null,null,914,null,null,2096,null,null,2951,null,null,2449,null,null,1244,null,null,39
83857,3418,53827,2654,36285,2317,17542,1623,5332,1025,12210,1323,30030,1990,24428,1885,5602,949,3418,null,null,2654,null,null,2317,null,null,1623,null,null,1025,null,null,1323,null,null,1990,null,null,1885,null,null,949,null,null,40
54202,3624,34697,3153,23072,2677,11625,1767,3166,1038,8459,1461,19505,2438,13680,2075,5825,1259,3624,null,null,3153,null,null,2677,null,null,1767,null,null,1038,null,null,1461,null,null,2438,null,null,2075,null,null,1259,null,null,41
67414,4429,44075,3337,24366,2380,19709,2501,4429,1161,15280,2002,23339,2619,17529,2262,5810,1182,4429,null,null,3337,null,null,2380,null,null,2501,null,null,1161,null,null,2002,null,null,2619,null,null,2262,null,null,1182,null,null,42
7122,1425,4677,1095,2047,640,2630,844,388,270,2242,814,2445,958,1885,833,560,395,1425,null,null,1095,null,null,640,null,null,844,null,null,270,null,null,814,null,null,958,null,null,833,null,null,395,null,null,44
19717,2342,10810,1785,6431,1342,4379,1232,975,596,3404,1093,8907,1451,6921,1286,1986,769,2342,null,null,1785,null,null,1342,null,null,1232,null,null,596,null,null,1093,null,null,1451,null,null,1286,null,null,769,null,null,45
4180,1061,2403,751,1288,625,1115,433,394,252,721,351,1777,730,1322,653,455,303,1061,null,null,751,null,null,625,null,null,433,null,null,252,null,null,351,null,null,730,null,null,653,null,null,303,null,null,46
33558,2914,20196,2168,12340,1661,7856,1514,1722,621,6134,1293,13362,1989,10782,1724,2580,886,2914,null,null,2168,null,null,1661,null,null,1514,null,null,621,null,null,1293,null,null,1989,null,null,1724,null,null,886,null,null,47
176217,7266,115309,6145,77714,5228,37595,3399,11152,2104,26443,2935,60908,4532,48208,3836,12700,1805,7266,null,null,6145,null,null,5228,null,null,3399,null,null,2104,null,null,2935,null,null,4532,null,null,3836,null,null,1805,null,null,48
16870,2009,12183,1603,8888,1482,3295,933,801,538,2494,800,4687,1427,2812,1016,1875,732,2009,null,null,1603,null,null,1482,null,null,933,null,null,538,null,null,800,null,null,1427,null,null,1016,null,null,732,null,null,49
3312,789,1327,424,1057,375,270,152,110,113,160,96,1985,731,1431,681,554,251,789,null,null,424,null,null,375,null,null,152,null,null,113,null,null,96,null,null,731,null,null,681,null,null,251,null,null,50
68193,4023,44863,3301,30259,2698,14604,1739,4120,1129,10484,1585,23330,2837,17042,2601,6288,1499,4023,null,null,3301,null,null,2698,null,null,1739,null,null,1129,null,null,1585,null,null,2837,null,null,2601,null,null,1499,null,null,51
99218,4566,59471,3385,36117,3200,23354,2503,6062,1140,17292,2228,39747,3691,28088,3140,11659,1811,4566,null,null,3385,null,null,3200,null,null,2503,null,null,1140,null,null,2228,null,null,3691,null,null,3140,null,null,1811,null,null,53
6814,1340,3163,791,2273,663,890,398,33,58,857,392,3651,1047,3273,987,378,311,1340,null,null,791,null,null,663,null,null,398,null,null,58,null,null,392,null,null,1047,null,null,987,null,null,311,null,null,54
27356,2257,15885,1828,9221,1137,6664,1253,1815,718,4849,996,11471,1610,6880,1415,4591,1018,2257,null,null,1828,null,null,1137,null,null,1253,null,null,718,null,null,996,null,null,1610,null,null,1415,null,null,1018,null,null,55
4766,1176,3005,902,1958,785,1047,513,478,371,569,336,1761,824,1469,758,292,271,1176,null,null,902,null,null,785,null,null,513,null,null,371,null,null,336,null,null,824,null,null,758,null,null,271,null,null,56
49739,3093,35470,2935,18419,2141,17051,2018,3749,768,13302,1907,14269,1840,12089,1699,2180,808,3093,null,null,2935,null,null,2141,null,null,2018,null,null,768,null,null,1907,null,null,1840,null,null,1699,null,null,808,null,null,72
21201,2198,13978,1916,9413,1510,4565,1158,660,344,3905,1126,7223,1305,6139,1202,1084,473,2198,null,null,1916,null,null,1510,null,null,1158,null,null,344,null,null,1126,null,null,1305,null,null,1202,null,null,473,null,null,01
13072,1589,7884,1252,5190,987,2694,716,406,262,2288,654,5188,1058,3514,887,1674,582,1589,null,null,1252,null,null,987,null,null,716,null,null,262,null,null,654,null,null,1058,null,null,887,null,null,582,null,null,02
57337,4091,37002,3306,23054,2282,13948,2256,4315,1465,9633,1743,20335,2154,15021,1812,5314,1313,4091,null,null,3306,null,null,2282,null,null,2256,null,null,1465,null,null,1743,null,null,2154,null,null,1812,null,null,1313,null,null,04
20377,2340,11574,1683,8054,1507,3520,916,757,412,2763,852,8803,1859,7577,1748,1226,534,2340,null,null,1683,null,null,1507,null,null,916,null,null,412,null,null,852,null,null,1859,null,null,1748,null,null,534,null,null,05
429861,9383,274115,6966,184946,6303,89169,4508,25639,2573,63530,3915,155746,6749,110098,4972,45648,3751,9383,null,null,6966,null,null,6303,null,null,4508,null,null,2573,null,null,3915,null,null,6749,null,null,4972,null,null,3751,null,null,06
45950,3191,27058,2360,18787,1946,8271,1353,3217,1087,5054,985,18892,2329,13318,1882,5574,1273,3191,null,null,2360,null,null,1946,null,null,1353,null,null,1087,null,null,985,null,null,2329,null,null,1882,null,null,1273,null,null,08
25942,2761,17206,2324,10047,1723,7159,1539,1683,740,5476,1400,8736,1505,6776,1482,1960,662,2761,null,null,2324,null,null,1723,null,null,1539,null,null,740,null,null,1400,null,null,1505,null,null,1482,null,null,662,null,null,09
5922,1267,4185,1055,2413,753,1772,679,46,57,1726,679,1737,775,1382,669,355,417,1267,null,null,1055,null,null,753,null,null,679,null,null,57,null,null,679,null,null,775,null,null,669,null,null,417,null,null,10
6578,1162,2521,661,1646,577,875,347,144,118,731,325,4057,894,2898,745,1159,441,1162,null,null,661,null,null,577,null,null,347,null,null,118,null,null,325,null,null,894,null,null,745,null,null,441,null,null,11
