C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,C25055_001M,C25055_001EA,C25055_001MA,C25055_002M,C25055_002EA,C25055_002MA,C25055_003M,C25055_003EA,C25055_003MA,C25055_004M,C25055_004EA,C25055_004MA,C25055_005M,C25055_005EA,C25055_005MA,state
999533,12907,740391,11152,118525,5107,69035,4347,71582,3546,12907,null,null,11152,null,null,5107,null,null,4347,null,null,3546,null,null,53
169814,5894,118699,4383,26764,2560,16927,2056,7424,1189,5894,null,null,4383,null,null,2560,null,null,2056,null,null,1189,null,null,54
743037,10063,517433,9037,95014,4533,61016,2860,69574,3522,10063,null,null,9037,null,null,4533,null,null,2860,null,null,3522,null,null,55
64029,4135,49771,3655,7675,1278,3440,853,3143,733,4135,null,null,3655,null,null,1278,null,null,853,null,null,733,null,null,56
234074,6431,167074,5770,30879,2486,21400,2023,14721,1627,6431,null,null,5770,null,null,2486,null,null,2023,null,null,1627,null,null,72
517823,10478,381453,9407,70858,4152,40892,2921,24620,2201,10478,null,null,9407,null,null,4152,null,null,2921,null,null,2201,null,null,01
80663,3803,62387,3720,10385,1366,5344,987,2547,653,3803,null,null,3720,null,null,1366,null,null,987,null,null,653,null,null,02
878626,12987,654101,10226,109172,5137,65350,3493,50003,3327,12987,null,null,10226,null,null,5137,null,null,3493,null,null,3327,null,null,04
366296,8448,269037,8164,48008,2962,28513,2243,20738,1865,8448,null,null,8164,null,null,2962,null,null,2243,null,null,1865,null,null,05
5814710,23850,4254044,22471,779119,12899,448361,8476,333186,8258,23850,null,null,22471,null,null,12899,null,null,8476,null,null,8258,null,null,06
717127,10943,550151,10786,84949,3971,42203,3171,39824,2435,10943,null,null,10786,null,null,3971,null,null,3171,null,null,2435,null,null,08
457455,9082,312048,7812,70124,4139,39067,2590,36216,2644,9082,null,null,7812,null,null,4139,null,null,2590,null,null,2644,null,null,09
101349,4825,74709,3947,12695,2018,8015,1294,5930,1022,4825,null,null,3947,null,null,2018,null,null,1294,null,null,1022,null,null,10
165747,4429,121220,4060,23297,1716,11737,1477,9493,1248,4429,null,null,4060,null,null,1716,null,null,1477,null,null,1248,null,null,11
