B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,B06004F_001M,B06004F_001EA,B06004F_001MA,B06004F_002M,B06004F_002EA,B06004F_002MA,B06004F_003M,B06004F_003EA,B06004F_003MA,B06004F_004M,B06004F_004EA,B06004F_004MA,B06004F_005M,B06004F_005EA,B06004F_005MA,state
304293,14221,97127,6873,45642,4888,11979,2634,149545,8943,14221,null,null,6873,null,null,4888,null,null,2634,null,null,8943,null,null,37
5114,2109,892,591,2594,1040,291,216,1337,1003,2109,null,null,591,null,null,1040,null,null,216,null,null,1003,null,null,38
109073,9109,50529,5979,19905,2514,8884,1749,29755,4415,9109,null,null,5979,null,null,2514,null,null,1749,null,null,4415,null,null,39
107778,7573,35220,3886,25047,3119,2288,916,45223,3797,7573,null,null,3886,null,null,3119,null,null,916,null,null,3797,null,null,40
120779,10539,43275,5818,25388,3987,1932,1191,50184,5642,10539,null,null,5818,null,null,3987,null,null,1191,null,null,5642,null,null,41
262396,14058,103409,9208,45359,4571,48350,5228,65278,7116,14058,null,null,9208,null,null,4571,null,null,5228,null,null,7116,null,null,42
62292,6199,20043,3157,11460,2756,5018,1737,25771,3604,6199,null,null,3157,null,null,2756,null,null,1737,null,null,3604,null,null,44
77386,9581,19318,3678,20683,3919,3491,1193,33894,5743,9581,null,null,3678,null,null,3919,null,null,1193,null,null,5743,null,null,45
5894,1933,1599,1000,1361,672,137,144,2797,944,1933,null,null,1000,null,null,672,null,null,144,null,null,944,null,null,46
79206,7466,24669,3902,15990,3238,2092,833,36455,3801,7466,null,null,3902,null,null,3238,null,null,833,null,null,3801,null,null,47
1622087,41067,837503,27271,124283,7570,32044,5251,628257,20485,41067,null,null,27271,null,null,7570,null,null,5251,null,null,20485,null,null,48
164775,9993,55659,5595,32870,4261,3345,1686,72901,5742,9993,null,null,5595,null,null,4261,null,null,1686,null,null,5742,null,null,49
3163,1496,722,462,1872,1280,130,209,439,269,1496,null,null,462,null,null,1280,null,null,209,null,null,269,null,null,50
228627,12459,58664,5641,32255,3423,8912,2298,128796,9881,12459,null,null,5641,null,null,3423,null,null,2298,null,null,9881,null,null,51
350251,13940,118101,6976,65424,5902,4120,1349,162606,8656,13940,null,null,6976,null,null,5902,null,null,1349,null,null,8656,null,null,53
7494,1784,2219,1031,2469,1006,103,96,2703,880,1784,null,null,1031,null,null,1006,null,null,96,null,null,880,null,null,54
125644,7705,49142,4636,20611,2700,11002,2538,44889,4274,7705,null,null,4636,null,null,2700,null,null,2538,null,null,4274,null,null,55
5782,1948,2216,845,1470,815,50,98,2046,1219,1948,null,null,845,null,null,815,null,null,98,null,null,1219,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
70333,6866,25899,3899,10830,2060,2988,1153,30616,3945,6866,null,null,3899,null,null,2060,null,null,1153,null,null,3945,null,null,01
12712,3236,2569,1077,3707,1141,643,622,5793,2425,3236,null,null,1077,null,null,1141,null,null,622,null,null,2425,null,null,02
585948,20745,289713,13503,88501,8298,10460,2099,197274,10718,20745,null,null,13503,null,null,8298,null,null,2099,null,null,10718,null,null,04
86797,6034,27868,4280,18734,3253,2094,886,38101,3847,6034,null,null,4280,null,null,3253,null,null,886,null,null,3847,null,null,05
5642125,65579,3128942,44111,160305,8231,56728,5232,2296150,35098,65579,null,null,44111,null,null,8231,null,null,5232,null,null,35098,null,null,06
228102,12919,108849,8696,41774,4395,3061,1206,74418,5836,12919,null,null,8696,null,null,4395,null,null,1206,null,null,5836,null,null,08
171008,10843,66169,5812,22050,3475,34757,4057,48032,6103,10843,null,null,5812,null,null,3475,null,null,4057,null,null,6103,null,null,09
15595,4525,4127,1679,3387,1598,2116,1233,5965,2939,4525,null,null,1679,null,null,1598,null,null,1233,null,null,2939,null,null,10
37132,4302,11804,2246,4156,1407,1429,733,19743,3476,4302,null,null,2246,null,null,1407,null,null,733,null,null,3476,null,null,11
