B28009C_001E,B28009C_001M,B28009C_002E,B28009C_002M,B28009C_003E,B28009C_003M,B28009C_004E,B28009C_004M,B28009C_005E,B28009C_005M,B28009C_006E,B28009C_006M,B28009C_001M,B28009C_001EA,B28009C_001MA,B28009C_002M,B28009C_002EA,B28009C_002MA,B28009C_003M,B28009C_003EA,B28009C_003MA,B28009C_004M,B28009C_004EA,B28009C_004MA,B28009C_005M,B28009C_005EA,B28009C_005MA,B28009C_006M,B28009C_006EA,B28009C_006MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
19673,3340,17541,2906,0,200,14845,2853,2696,1116,2132,1496,3340,null,null,2906,null,null,200,null,null,2853,null,null,1116,null,null,1496,null,null,34
191708,4616,137273,6150,2611,1379,98881,6700,35781,3550,54435,5465,4616,null,null,6150,null,null,1379,null,null,6700,null,null,3550,null,null,5465,null,null,35
70792,6290,62454,6079,0,192,54118,6088,8336,2070,8338,1970,6290,null,null,6079,null,null,192,null,null,6088,null,null,2070,null,null,1970,null,null,36
117408,4913,101315,5133,502,363,73688,5532,27125,3586,16093,2095,4913,null,null,5133,null,null,363,null,null,5532,null,null,3586,null,null,2095,null,null,37
40263,2303,31851,2831,0,155,25483,3035,6368,1580,8412,2450,2303,null,null,2831,null,null,155,null,null,3035,null,null,1580,null,null,2450,null,null,38
17343,2480,14846,2408,0,189,13200,2362,1646,700,2497,784,2480,null,null,2408,null,null,189,null,null,2362,null,null,700,null,null,784,null,null,39
289042,6992,254862,6888,1155,554,212794,7027,40913,3770,34180,2709,6992,null,null,6888,null,null,554,null,null,7027,null,null,3770,null,null,2709,null,null,40
43415,4198,39451,4252,0,201,34799,4311,4652,1533,3964,1165,4198,null,null,4252,null,null,201,null,null,4311,null,null,1533,null,null,1165,null,null,41
21955,3718,17994,3395,3,6,16550,3363,1441,703,3961,1503,3718,null,null,3395,null,null,6,null,null,3363,null,null,703,null,null,1503,null,null,42
5228,1761,3514,1552,0,208,3209,1544,305,332,1714,1413,1761,null,null,1552,null,null,208,null,null,1544,null,null,332,null,null,1413,null,null,44
15715,2749,14964,2740,45,60,13522,2641,1397,1100,751,454,2749,null,null,2740,null,null,60,null,null,2641,null,null,1100,null,null,454,null,null,45
73647,3573,51732,3750,233,277,41337,4126,10162,2446,21915,2878,3573,null,null,3750,null,null,277,null,null,4126,null,null,2446,null,null,2878,null,null,46
18638,2889,16418,2626,0,204,13699,2309,2719,1732,2220,1026,2889,null,null,2626,null,null,204,null,null,2309,null,null,1732,null,null,1026,null,null,47
131681,9383,120851,9015,321,279,105497,8498,15033,3934,10830,2438,9383,null,null,9015,null,null,279,null,null,8498,null,null,3934,null,null,2438,null,null,48
31053,2930,24022,3112,85,113,19121,2894,4816,1293,7031,1422,2930,null,null,3112,null,null,113,null,null,2894,null,null,1293,null,null,1422,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
22216,3503,19952,3359,76,116,17293,3308,2583,1007,2264,920,3503,null,null,3359,null,null,116,null,null,3308,null,null,1007,null,null,920,null,null,51
90547,6399,82732,5694,325,225,73867,5138,8540,2850,7815,2032,6399,null,null,5694,null,null,225,null,null,5138,null,null,2850,null,null,2032,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
50139,2740,44275,2884,386,296,38192,2695,5697,1414,5864,1080,2740,null,null,2884,null,null,296,null,null,2695,null,null,1414,null,null,1080,null,null,55
12372,1450,10462,1416,0,197,8613,1589,1849,764,1910,900,1450,null,null,1416,null,null,197,null,null,1589,null,null,764,null,null,900,null,null,56
8082,2395,5855,1923,0,222,5089,1819,766,678,2227,1423,2395,null,null,1923,null,null,222,null,null,1819,null,null,678,null,null,1423,null,null,72
24269,3211,21922,2962,0,195,20240,2960,1682,1106,2347,1102,3211,null,null,2962,null,null,195,null,null,2960,null,null,1106,null,null,1102,null,null,01
104186,3625,94494,3624,333,220,80490,3960,13671,1667,9692,1285,3625,null,null,3624,null,null,220,null,null,3960,null,null,1667,null,null,1285,null,null,02
298774,7023,219745,8003,2578,1170,161167,7842,56000,5354,79029,5532,7023,null,null,8003,null,null,1170,null,null,7842,null,null,5354,null,null,5532,null,null,04
18250,2053,15733,2175,0,197,14073,2215,1660,659,2517,842,2053,null,null,2175,null,null,197,null,null,2215,null,null,659,null,null,842,null,null,05
281411,15474,263204,14971,264,271,233630,14123,29310,3884,18207,3551,15474,null,null,14971,null,null,271,null,null,14123,null,null,3884,null,null,3551,null,null,06
52766,4451,47728,4384,47,61,41164,4156,6517,2069,5038,2269,4451,null,null,4384,null,null,61,null,null,4156,null,null,2069,null,null,2269,null,null,08
9639,2986,8960,2873,0,200,8344,2757,616,649,679,591,2986,null,null,2873,null,null,200,null,null,2757,null,null,649,null,null,591,null,null,09
4004,1027,3648,1045,0,193,2869,968,779,613,356,364,1027,null,null,1045,null,null,193,null,null,968,null,null,613,null,null,364,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
