C27001E_001E,C27001E_001M,C27001E_002E,C27001E_002M,C27001E_003E,C27001E_003M,C27001E_004E,C27001E_004M,C27001E_005E,C27001E_005M,C27001E_006E,C27001E_006M,C27001E_007E,C27001E_007M,C27001E_008E,C27001E_008M,C27001E_009E,C27001E_009M,C27001E_010E,C27001E_010M,C27001E_001M,C27001E_001EA,C27001E_001MA,C27001E_002M,C27001E_002EA,C27001E_002MA,C27001E_003M,C27001E_003EA,C27001E_003MA,C27001E_004M,C27001E_004EA,C27001E_004MA,C27001E_005M,C27001E_005EA,C27001E_005MA,C27001E_006M,C27001E_006EA,C27001E_006MA,C27001E_007M,C27001E_007EA,C27001E_007MA,C27001E_008M,C27001E_008EA,C27001E_008MA,C27001E_009M,C27001E_009EA,C27001E_009MA,C27001E_010M,C27001E_010EA,C27001E_010MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
3758,1532,422,354,422,354,0,203,2800,1095,2595,1088,205,148,536,456,536,456,0,203,1532,null,null,354,null,null,354,null,null,203,null,null,1095,null,null,1088,null,null,148,null,null,456,null,null,456,null,null,203,null,null,25
2674,837,418,300,341,232,77,123,2145,695,1803,652,342,260,111,130,111,130,0,168,837,null,null,300,null,null,232,null,null,123,null,null,695,null,null,652,null,null,260,null,null,130,null,null,130,null,null,168,null,null,26
1398,491,276,154,221,153,55,17,1027,458,962,460,65,22,95,101,95,101,0,149,491,null,null,154,null,null,153,null,null,17,null,null,458,null,null,460,null,null,22,null,null,101,null,null,101,null,null,149,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
8642,2007,2949,1248,2280,1039,669,601,5289,1407,3757,1190,1532,641,404,283,404,283,0,187,2007,null,null,1248,null,null,1039,null,null,601,null,null,1407,null,null,1190,null,null,641,null,null,283,null,null,283,null,null,187,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
20082,1780,6307,1461,6147,1463,160,172,12366,799,10355,1064,2011,716,1409,251,1409,251,0,210,1780,null,null,1461,null,null,1463,null,null,172,null,null,799,null,null,1064,null,null,716,null,null,251,null,null,251,null,null,210,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
9008,2192,1932,750,1888,766,44,72,6359,1546,5280,1470,1079,595,717,497,717,497,0,192,2192,null,null,750,null,null,766,null,null,72,null,null,1546,null,null,1470,null,null,595,null,null,497,null,null,497,null,null,192,null,null,36
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
6143,1280,1582,481,1248,523,334,312,4356,1026,2852,940,1504,888,205,166,181,157,24,40,1280,null,null,481,null,null,523,null,null,312,null,null,1026,null,null,940,null,null,888,null,null,166,null,null,157,null,null,40,null,null,40
14742,2564,3635,1147,3478,1086,157,260,9973,1899,8907,1693,1066,704,1134,490,657,492,477,299,2564,null,null,1147,null,null,1086,null,null,260,null,null,1899,null,null,1693,null,null,704,null,null,490,null,null,492,null,null,299,null,null,41
3373,1031,298,252,298,252,0,174,2664,778,2317,754,347,257,411,374,380,371,31,53,1031,null,null,252,null,null,252,null,null,174,null,null,778,null,null,754,null,null,257,null,null,374,null,null,371,null,null,53,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4676,2306,1780,965,1780,965,0,204,2458,1490,1822,1342,636,558,438,320,438,320,0,204,2306,null,null,965,null,null,965,null,null,204,null,null,1490,null,null,1342,null,null,558,null,null,320,null,null,320,null,null,204,null,null,47
24537,3281,6482,1284,5655,1170,827,575,16985,2278,14411,2158,2574,902,1070,539,1070,539,0,220,3281,null,null,1284,null,null,1170,null,null,575,null,null,2278,null,null,2158,null,null,902,null,null,539,null,null,539,null,null,220,null,null,48
29197,2246,9828,1640,9313,1665,515,680,18049,1305,14567,1438,3482,1276,1320,642,818,550,502,473,2246,null,null,1640,null,null,1665,null,null,680,null,null,1305,null,null,1438,null,null,1276,null,null,642,null,null,550,null,null,473,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
8099,2070,1509,987,1408,973,101,196,5961,1372,5679,1293,282,310,629,299,629,299,0,201,2070,null,null,987,null,null,973,null,null,196,null,null,1372,null,null,1293,null,null,310,null,null,299,null,null,299,null,null,201,null,null,51
47396,3068,13578,1925,12627,1973,951,612,31448,2151,26743,1961,4705,1426,2370,930,2353,937,17,31,3068,null,null,1925,null,null,1973,null,null,612,null,null,2151,null,null,1961,null,null,1426,null,null,930,null,null,937,null,null,31,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
9534,901,3557,397,3506,394,51,58,5636,699,4461,843,1175,614,341,181,341,181,0,155,901,null,null,397,null,null,394,null,null,58,null,null,699,null,null,843,null,null,614,null,null,181,null,null,181,null,null,155,null,null,02
12719,1303,3500,907,2960,754,540,463,7974,921,6772,829,1202,724,1245,498,1245,498,0,204,1303,null,null,907,null,null,754,null,null,463,null,null,921,null,null,829,null,null,724,null,null,498,null,null,498,null,null,204,null,null,04
8808,1292,3681,629,3177,675,504,455,5127,772,3367,656,1760,488,0,197,0,197,0,197,1292,null,null,629,null,null,675,null,null,455,null,null,772,null,null,656,null,null,488,null,null,197,null,null,197,null,null,197,null,null,05
147361,5992,33475,3466,32397,3502,1078,554,100466,4118,90915,4096,9551,1972,13420,1319,13366,1309,54,106,5992,null,null,3466,null,null,3502,null,null,554,null,null,4118,null,null,4096,null,null,1972,null,null,1319,null,null,1309,null,null,106,null,null,06
8042,1565,2123,736,2007,742,116,161,5597,1072,4774,1142,823,451,322,217,322,217,0,195,1565,null,null,736,null,null,742,null,null,161,null,null,1072,null,null,1142,null,null,451,null,null,217,null,null,217,null,null,195,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
