C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,C21001G_001M,C21001G_001EA,C21001G_001MA,C21001G_002M,C21001G_002EA,C21001G_002MA,C21001G_003M,C21001G_003EA,C21001G_003MA,C21001G_004M,C21001G_004EA,C21001G_004MA,C21001G_005M,C21001G_005EA,C21001G_005MA,C21001G_006M,C21001G_006EA,C21001G_006MA,C21001G_007M,C21001G_007EA,C21001G_007MA,C21001G_008M,C21001G_008EA,C21001G_008MA,C21001G_009M,C21001G_009EA,C21001G_009MA,C21001G_010M,C21001G_010EA,C21001G_010MA,C21001G_011M,C21001G_011EA,C21001G_011MA,C21001G_012M,C21001G_012EA,C21001G_012MA,C21001G_013M,C21001G_013EA,C21001G_013MA,C21001G_014M,C21001G_014EA,C21001G_014MA,C21001G_015M,C21001G_015EA,C21001G_015MA,state
14989,1895,7155,1174,6451,1145,192,187,6259,1137,704,373,424,346,280,214,7834,1273,6980,1220,0,172,6980,1220,854,361,0,172,854,361,1895,null,null,1174,null,null,1145,null,null,187,null,null,1137,null,null,373,null,null,346,null,null,214,null,null,1273,null,null,1220,null,null,172,null,null,1220,null,null,361,null,null,172,null,null,361,null,null,23
100151,6759,45275,4220,42096,4175,4011,1043,38085,3973,3179,689,1228,425,1951,613,54876,4270,49128,4004,2396,842,46732,3982,5748,1323,77,76,5671,1327,6759,null,null,4220,null,null,4175,null,null,1043,null,null,3973,null,null,689,null,null,425,null,null,613,null,null,4270,null,null,4004,null,null,842,null,null,3982,null,null,1323,null,null,76,null,null,1327,null,null,24
122020,7990,60312,4883,56652,4789,2600,1009,54052,4778,3660,934,1536,519,2124,707,61708,4821,56036,4553,453,259,55583,4541,5672,1104,102,113,5570,1077,7990,null,null,4883,null,null,4789,null,null,1009,null,null,4778,null,null,934,null,null,519,null,null,707,null,null,4821,null,null,4553,null,null,259,null,null,4541,null,null,1104,null,null,113,null,null,1077,null,null,25
161171,6829,78912,4042,72890,3835,4859,1060,68031,3770,6022,1001,2076,519,3946,855,82259,4594,73529,4303,930,447,72599,4373,8730,1231,254,204,8476,1175,6829,null,null,4042,null,null,3835,null,null,1060,null,null,3770,null,null,1001,null,null,519,null,null,855,null,null,4594,null,null,4303,null,null,447,null,null,4373,null,null,1231,null,null,204,null,null,1175,null,null,26
74461,4618,36120,3049,34192,2896,3139,849,31053,2666,1928,594,719,372,1209,422,38341,3082,36244,3057,409,295,35835,3079,2097,591,54,95,2043,587,4618,null,null,3049,null,null,2896,null,null,849,null,null,2666,null,null,594,null,null,372,null,null,422,null,null,3082,null,null,3057,null,null,295,null,null,3079,null,null,591,null,null,95,null,null,587,null,null,27
16705,2578,7664,1623,7144,1590,1339,719,5805,1492,520,294,407,286,113,96,9041,1525,7745,1419,229,228,7516,1409,1296,488,81,106,1215,511,2578,null,null,1623,null,null,1590,null,null,719,null,null,1492,null,null,294,null,null,286,null,null,96,null,null,1525,null,null,1419,null,null,228,null,null,1409,null,null,488,null,null,106,null,null,511,null,null,28
74877,4886,37595,3407,34139,3378,3567,1057,30572,3392,3456,720,1829,622,1627,550,37282,2992,32088,2795,468,265,31620,2732,5194,980,142,182,5052,966,4886,null,null,3407,null,null,3378,null,null,1057,null,null,3392,null,null,720,null,null,622,null,null,550,null,null,2992,null,null,2795,null,null,265,null,null,2732,null,null,980,null,null,182,null,null,966,null,null,29
19789,2029,9715,1700,8667,1711,1669,781,6998,1634,1048,490,372,211,676,381,10074,1383,9132,1310,184,146,8948,1297,942,449,0,168,942,449,2029,null,null,1700,null,null,1711,null,null,781,null,null,1634,null,null,490,null,null,211,null,null,381,null,null,1383,null,null,1310,null,null,146,null,null,1297,null,null,449,null,null,168,null,null,449,null,null,30
21517,2850,11194,1737,10739,1674,1201,515,9538,1630,455,273,334,224,121,123,10323,1610,9618,1587,335,236,9283,1550,705,357,8,17,697,354,2850,null,null,1737,null,null,1674,null,null,515,null,null,1630,null,null,273,null,null,224,null,null,123,null,null,1610,null,null,1587,null,null,236,null,null,1550,null,null,357,null,null,17,null,null,354,null,null,31
76191,5356,37230,3439,34245,3177,3505,1290,30740,3031,2985,723,1186,400,1799,618,38961,3283,34842,3224,955,547,33887,3186,4119,919,0,210,4119,919,5356,null,null,3439,null,null,3177,null,null,1290,null,null,3031,null,null,723,null,null,400,null,null,618,null,null,3283,null,null,3224,null,null,547,null,null,3186,null,null,919,null,null,210,null,null,919,null,null,32
17339,2335,8692,1719,8091,1665,827,532,7264,1435,601,330,298,205,303,268,8647,1397,6964,1346,19,29,6945,1348,1683,688,0,187,1683,688,2335,null,null,1719,null,null,1665,null,null,532,null,null,1435,null,null,330,null,null,205,null,null,268,null,null,1397,null,null,1346,null,null,29,null,null,1348,null,null,688,null,null,187,null,null,688,null,null,33
126916,8110,59626,4314,53124,4138,2216,697,50908,4059,6502,1097,1690,599,4812,897,67290,5189,59574,5025,420,328,59154,4985,7716,1315,165,256,7551,1250,8110,null,null,4314,null,null,4138,null,null,697,null,null,4059,null,null,1097,null,null,599,null,null,897,null,null,5189,null,null,5025,null,null,328,null,null,4985,null,null,1315,null,null,256,null,null,1250,null,null,34
40050,4561,20897,3058,18215,2851,2217,840,15998,2583,2682,867,1070,457,1612,678,19153,2568,16416,2369,235,255,16181,2359,2737,889,110,152,2627,880,4561,null,null,3058,null,null,2851,null,null,840,null,null,2583,null,null,867,null,null,457,null,null,678,null,null,2568,null,null,2369,null,null,255,null,null,2359,null,null,889,null,null,152,null,null,880,null,null,35
357915,15740,169415,9893,154948,9504,5067,1146,149881,9344,14467,1616,2459,631,12008,1499,188500,7937,166660,6970,1222,545,165438,7033,21840,2519,31,51,21809,2513,15740,null,null,9893,null,null,9504,null,null,1146,null,null,9344,null,null,1616,null,null,631,null,null,1499,null,null,7937,null,null,6970,null,null,545,null,null,7033,null,null,2519,null,null,51,null,null,2513,null,null,36
128125,6938,55062,4562,50418,4458,6250,1540,44168,4428,4644,1131,1518,453,3126,951,73063,4793,66711,4423,1878,694,64833,4482,6352,1173,28,52,6324,1170,6938,null,null,4562,null,null,4458,null,null,1540,null,null,4428,null,null,1131,null,null,453,null,null,951,null,null,4793,null,null,4423,null,null,694,null,null,4482,null,null,1173,null,null,52,null,null,1170,null,null,37
11383,1686,5483,1042,5379,1052,1133,637,4246,1080,104,133,82,129,22,28,5900,1395,5734,1418,89,124,5645,1417,166,118,0,155,166,118,1686,null,null,1042,null,null,1052,null,null,637,null,null,1080,null,null,133,null,null,129,null,null,28,null,null,1395,null,null,1418,null,null,124,null,null,1417,null,null,118,null,null,155,null,null,118,null,null,38
158670,7483,77867,4427,72579,4408,4701,1157,67878,4363,5288,883,2318,678,2970,747,80803,4972,72766,4762,1607,592,71159,4736,8037,1174,128,153,7909,1130,7483,null,null,4427,null,null,4408,null,null,1157,null,null,4363,null,null,883,null,null,678,null,null,747,null,null,4972,null,null,4762,null,null,592,null,null,4736,null,null,1174,null,null,153,null,null,1130,null,null,39
175609,5593,84946,3462,75935,3353,6703,1102,69232,3320,9011,860,3907,710,5104,701,90663,3495,78110,3262,1530,520,76580,3211,12553,1071,164,120,12389,1082,5593,null,null,3462,null,null,3353,null,null,1102,null,null,3320,null,null,860,null,null,710,null,null,701,null,null,3495,null,null,3262,null,null,520,null,null,3211,null,null,1071,null,null,120,null,null,1082,null,null,40
121255,6302,59090,4229,54738,4138,6231,1188,48507,4128,4352,923,2193,572,2159,710,62165,4095,55655,4156,670,376,54985,4076,6510,1052,122,123,6388,1043,6302,null,null,4229,null,null,4138,null,null,1188,null,null,4128,null,null,923,null,null,572,null,null,710,null,null,4095,null,null,4156,null,null,376,null,null,4076,null,null,1052,null,null,123,null,null,1043,null,null,41
160124,7283,79111,4329,73954,4252,4784,1130,69170,4268,5157,1041,2073,664,3084,797,81013,4741,74002,4448,779,311,73223,4478,7011,1278,154,129,6857,1299,7283,null,null,4329,null,null,4252,null,null,1130,null,null,4268,null,null,1041,null,null,664,null,null,797,null,null,4741,null,null,4448,null,null,311,null,null,4478,null,null,1278,null,null,129,null,null,1299,null,null,42
17838,2733,7858,1667,7351,1628,476,329,6875,1512,507,298,391,259,116,149,9980,1973,9453,1922,96,115,9357,1924,527,279,0,208,527,279,2733,null,null,1667,null,null,1628,null,null,329,null,null,1512,null,null,298,null,null,259,null,null,149,null,null,1973,null,null,1922,null,null,115,null,null,1924,null,null,279,null,null,208,null,null,279,null,null,44
48581,4308,22603,2699,21161,2641,3022,1024,18139,2549,1442,512,585,302,857,401,25978,3012,22350,2771,691,502,21659,2738,3628,963,82,101,3546,972,4308,null,null,2699,null,null,2641,null,null,1024,null,null,2549,null,null,512,null,null,302,null,null,401,null,null,3012,null,null,2771,null,null,502,null,null,2738,null,null,963,null,null,101,null,null,972,null,null,45
9969,1697,5046,1168,4878,1163,389,285,4489,1155,168,124,124,108,44,54,4923,1061,4679,1028,65,80,4614,1026,244,191,0,157,244,191,1697,null,null,1168,null,null,1163,null,null,285,null,null,1155,null,null,124,null,null,108,null,null,54,null,null,1061,null,null,1028,null,null,80,null,null,1026,null,null,191,null,null,157,null,null,191,null,null,46
69252,4936,32141,2888,29115,2789,4075,1086,25040,2580,3026,834,1502,544,1524,578,37111,3180,32715,3044,234,163,32481,3050,4396,936,65,125,4331,920,4936,null,null,2888,null,null,2789,null,null,1086,null,null,2580,null,null,834,null,null,544,null,null,578,null,null,3180,null,null,3044,null,null,163,null,null,3050,null,null,936,null,null,125,null,null,920,null,null,47
380561,14199,184297,9431,168568,9099,19293,2699,149275,8230,15729,2023,6007,1130,9722,1554,196264,7769,175540,7143,4670,1076,170870,6902,20724,2020,100,97,20624,2006,14199,null,null,9431,null,null,9099,null,null,2699,null,null,8230,null,null,2023,null,null,1130,null,null,1554,null,null,7769,null,null,7143,null,null,1076,null,null,6902,null,null,2020,null,null,97,null,null,2006,null,null,48
44248,3306,21902,2162,20633,2242,888,426,19745,2105,1269,547,534,304,735,422,22346,2315,20905,2145,168,226,20737,2160,1441,546,96,141,1345,548,3306,null,null,2162,null,null,2242,null,null,426,null,null,2105,null,null,547,null,null,304,null,null,422,null,null,2315,null,null,2145,null,null,226,null,null,2160,null,null,546,null,null,141,null,null,548,null,null,49
7198,1167,3439,684,2941,647,324,214,2617,639,498,275,213,199,285,195,3759,858,3265,839,64,74,3201,838,494,285,0,151,494,285,1167,null,null,684,null,null,647,null,null,214,null,null,639,null,null,275,null,null,199,null,null,195,null,null,858,null,null,839,null,null,74,null,null,838,null,null,285,null,null,151,null,null,285,null,null,50
157451,7360,76152,5028,70368,4802,8976,1629,61392,4715,5784,1161,2718,594,3066,987,81299,4720,74803,4508,2430,849,72373,4393,6496,1147,207,137,6289,1182,7360,null,null,5028,null,null,4802,null,null,1629,null,null,4715,null,null,1161,null,null,594,null,null,987,null,null,4720,null,null,4508,null,null,849,null,null,4393,null,null,1147,null,null,137,null,null,1182,null,null,51
226733,8965,112260,5418,104418,5234,10125,1549,94293,5028,7842,1109,4058,801,3784,838,114473,5886,105667,5772,3065,1135,102602,5407,8806,1188,12,23,8794,1190,8965,null,null,5418,null,null,5234,null,null,1549,null,null,5028,null,null,1109,null,null,801,null,null,838,null,null,5886,null,null,5772,null,null,1135,null,null,5407,null,null,1188,null,null,23,null,null,1190,null,null,53
14348,2181,6543,1528,5776,1313,529,277,5247,1282,767,478,505,404,262,260,7805,1299,6433,1166,219,252,6214,1161,1372,543,86,142,1286,557,2181,null,null,1528,null,null,1313,null,null,277,null,null,1282,null,null,478,null,null,404,null,null,260,null,null,1299,null,null,1166,null,null,252,null,null,1161,null,null,543,null,null,142,null,null,557,null,null,54
63103,3959,31362,2846,29599,2816,2538,772,27061,2608,1763,474,658,265,1105,424,31741,2652,29243,2622,333,197,28910,2590,2498,751,40,41,2458,747,3959,null,null,2846,null,null,2816,null,null,772,null,null,2608,null,null,474,null,null,265,null,null,424,null,null,2652,null,null,2622,null,null,197,null,null,2590,null,null,751,null,null,41,null,null,747,null,null,55
8168,1573,3685,940,3417,949,499,317,2918,862,268,201,198,175,70,113,4483,1170,4035,1104,155,216,3880,1096,448,275,0,197,448,275,1573,null,null,940,null,null,949,null,null,317,null,null,862,null,null,201,null,null,175,null,null,113,null,null,1170,null,null,1104,null,null,216,null,null,1096,null,null,275,null,null,197,null,null,275,null,null,56
113746,7463,57480,4574,46979,4340,1033,524,45946,4226,10501,1574,2146,718,8355,1498,56266,4256,43960,3742,402,375,43558,3696,12306,1963,61,103,12245,1963,7463,null,null,4574,null,null,4340,null,null,524,null,null,4226,null,null,1574,null,null,718,null,null,1498,null,null,4256,null,null,3742,null,null,375,null,null,3696,null,null,1963,null,null,103,null,null,1963,null,null,72
44474,3883,21800,2344,18954,2205,2146,673,16808,2140,2846,711,1823,624,1023,391,22674,2492,19352,2369,552,291,18800,2349,3322,689,97,112,3225,682,3883,null,null,2344,null,null,2205,null,null,673,null,null,2140,null,null,711,null,null,624,null,null,391,null,null,2492,null,null,2369,null,null,291,null,null,2349,null,null,689,null,null,112,null,null,682,null,null,01
32266,3168,16539,1999,15559,1994,1922,585,13637,1905,980,368,311,201,669,327,15727,1766,14453,1576,969,568,13484,1631,1274,516,13,21,1261,519,3168,null,null,1999,null,null,1994,null,null,585,null,null,1905,null,null,368,null,null,201,null,null,327,null,null,1766,null,null,1576,null,null,568,null,null,1631,null,null,516,null,null,21,null,null,519,null,null,02
129550,8093,65950,4772,60406,4520,4945,1222,55461,4402,5544,1028,2359,622,3185,936,63600,5156,57255,4697,1255,514,56000,4529,6345,1389,119,175,6226,1327,8093,null,null,4772,null,null,4520,null,null,1222,null,null,4402,null,null,1028,null,null,622,null,null,936,null,null,5156,null,null,4697,null,null,514,null,null,4529,null,null,1389,null,null,175,null,null,1327,null,null,04
39913,3593,18581,2268,16263,2204,2013,630,14250,2080,2318,708,1301,591,1017,418,21332,2419,18388,2447,301,322,18087,2337,2944,723,198,255,2746,681,3593,null,null,2268,null,null,2204,null,null,630,null,null,2080,null,null,708,null,null,591,null,null,418,null,null,2419,null,null,2447,null,null,322,null,null,2337,null,null,723,null,null,255,null,null,681,null,null,05
1065366,18078,518712,11984,474710,11752,33873,3499,440837,11137,44002,2772,15645,1795,28357,2256,546654,10951,485785,10524,6395,1511,479390,9927,60869,4087,761,360,60108,4054,18078,null,null,11984,null,null,11752,null,null,3499,null,null,11137,null,null,2772,null,null,1795,null,null,2256,null,null,10951,null,null,10524,null,null,1511,null,null,9927,null,null,4087,null,null,360,null,null,4054,null,null,06
100314,5320,51270,3947,47746,3866,6461,1627,41285,3463,3524,849,2149,715,1375,485,49044,3266,44483,3264,1906,779,42577,3332,4561,773,0,195,4561,773,5320,null,null,3947,null,null,3866,null,null,1627,null,null,3463,null,null,849,null,null,715,null,null,485,null,null,3266,null,null,3264,null,null,779,null,null,3332,null,null,773,null,null,195,null,null,773,null,null,08
57890,4965,29063,2868,27874,2786,1401,517,26473,2845,1189,456,581,364,608,347,28827,3295,26818,3229,686,426,26132,3112,2009,551,0,200,2009,551,4965,null,null,2868,null,null,2786,null,null,517,null,null,2845,null,null,456,null,null,364,null,null,347,null,null,3295,null,null,3229,null,null,426,null,null,3112,null,null,551,null,null,200,null,null,551,null,null,09
13005,1911,4096,857,3639,813,29,49,3610,810,457,249,120,141,337,203,8909,1629,8289,1704,297,343,7992,1576,620,370,0,193,620,370,1911,null,null,857,null,null,813,null,null,49,null,null,810,null,null,249,null,null,141,null,null,203,null,null,1629,null,null,1704,null,null,343,null,null,1576,null,null,370,null,null,193,null,null,370,null,null,10
11258,1931,4927,1105,4582,1120,292,199,4290,1073,345,173,139,119,206,126,6331,1182,5928,1076,77,96,5851,1070,403,295,0,203,403,295,1931,null,null,1105,null,null,1120,null,null,199,null,null,1073,null,null,173,null,null,119,null,null,126,null,null,1182,null,null,1076,null,null,96,null,null,1070,null,null,295,null,null,203,null,null,295,null,null,11
