B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,B10051B_001M,B10051B_001EA,B10051B_001MA,B10051B_002M,B10051B_002EA,B10051B_002MA,B10051B_003M,B10051B_003EA,B10051B_003MA,B10051B_004M,B10051B_004EA,B10051B_004MA,B10051B_005M,B10051B_005EA,B10051B_005MA,B10051B_006M,B10051B_006EA,B10051B_006MA,B10051B_007M,B10051B_007EA,B10051B_007MA,state
14181,2015,4277,1203,2543,871,1734,696,9904,1888,3864,1356,6040,1260,2015,null,null,1203,null,null,871,null,null,696,null,null,1888,null,null,1356,null,null,1260,null,null,25
36810,4016,14955,2792,8386,2128,6569,1445,21855,2434,12219,1775,9636,1458,4016,null,null,2792,null,null,2128,null,null,1445,null,null,2434,null,null,1775,null,null,1458,null,null,26
7412,1573,2223,825,1377,603,846,568,5189,1377,2031,872,3158,1042,1573,null,null,825,null,null,603,null,null,568,null,null,1377,null,null,872,null,null,1042,null,null,27
41057,3356,23206,2481,15576,2187,7630,1490,17851,2536,8712,2114,9139,1494,3356,null,null,2481,null,null,2187,null,null,1490,null,null,2536,null,null,2114,null,null,1494,null,null,28
17944,2358,10268,2150,5803,1452,4465,1573,7676,1347,3385,917,4291,903,2358,null,null,2150,null,null,1452,null,null,1573,null,null,1347,null,null,917,null,null,903,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1251,502,843,373,535,336,308,266,408,297,320,258,88,89,502,null,null,373,null,null,336,null,null,266,null,null,297,null,null,258,null,null,89,null,null,31
7643,1764,3831,1306,2663,1076,1168,751,3812,1194,1375,696,2437,825,1764,null,null,1306,null,null,1076,null,null,751,null,null,1194,null,null,696,null,null,825,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
35987,3796,12214,2293,6602,1787,5612,1666,23773,2739,10218,2015,13555,1931,3796,null,null,2293,null,null,1787,null,null,1666,null,null,2739,null,null,2015,null,null,1931,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
99272,6849,30480,3556,15823,2540,14657,1855,68792,4609,28398,2925,40394,3642,6849,null,null,3556,null,null,2540,null,null,1855,null,null,4609,null,null,2925,null,null,3642,null,null,36
68016,5382,29438,3688,19213,2907,10225,1831,38578,3793,18787,2942,19791,2660,5382,null,null,3688,null,null,2907,null,null,1831,null,null,3793,null,null,2942,null,null,2660,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
32710,3420,16122,2402,9045,1865,7077,1505,16588,2485,7108,1790,9480,1960,3420,null,null,2402,null,null,1865,null,null,1505,null,null,2485,null,null,1790,null,null,1960,null,null,39
7453,1155,3979,879,2565,665,1414,504,3474,796,2026,723,1448,482,1155,null,null,879,null,null,665,null,null,504,null,null,796,null,null,723,null,null,482,null,null,40
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
38394,3733,15163,2140,9868,2047,5295,1107,23231,2764,11498,2072,11733,1885,3733,null,null,2140,null,null,2047,null,null,1107,null,null,2764,null,null,2072,null,null,1885,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
41807,3772,20159,2491,11698,2172,8461,1317,21648,2653,10426,1717,11222,1881,3772,null,null,2491,null,null,2172,null,null,1317,null,null,2653,null,null,1717,null,null,1881,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
32121,2788,14020,1809,8141,1329,5879,1208,18101,2196,9951,2058,8150,1554,2788,null,null,1809,null,null,1329,null,null,1208,null,null,2196,null,null,2058,null,null,1554,null,null,47
99641,6859,48184,4615,29675,3382,18509,2767,51457,4637,25629,3807,25828,2957,6859,null,null,4615,null,null,3382,null,null,2767,null,null,4637,null,null,3807,null,null,2957,null,null,48
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
51064,4142,21223,2688,13423,2137,7800,1498,29841,3043,15416,2496,14425,1868,4142,null,null,2688,null,null,2137,null,null,1498,null,null,3043,null,null,2496,null,null,1868,null,null,51
5046,1419,2565,1080,1104,632,1461,802,2481,1016,1191,720,1290,695,1419,null,null,1080,null,null,632,null,null,802,null,null,1016,null,null,720,null,null,695,null,null,53
1885,1049,1216,829,707,718,509,357,669,650,312,302,357,425,1049,null,null,829,null,null,718,null,null,357,null,null,650,null,null,302,null,null,425,null,null,54
7907,1513,4368,1152,3397,991,971,386,3539,958,1656,610,1883,646,1513,null,null,1152,null,null,991,null,null,386,null,null,958,null,null,610,null,null,646,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
10867,1661,6351,1142,3611,923,2740,776,4516,1216,2205,967,2311,713,1661,null,null,1142,null,null,923,null,null,776,null,null,1216,null,null,967,null,null,713,null,null,72
41267,3719,22347,2590,15391,2476,6956,1189,18920,2483,8878,2030,10042,1618,3719,null,null,2590,null,null,2476,null,null,1189,null,null,2483,null,null,2030,null,null,1618,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
7670,1511,3046,1156,2058,1031,988,525,4624,996,2080,740,2544,779,1511,null,null,1156,null,null,1031,null,null,525,null,null,996,null,null,740,null,null,779,null,null,04
15587,2060,10241,1830,6188,1509,4053,994,5346,1049,2556,904,2790,716,2060,null,null,1830,null,null,1509,null,null,994,null,null,1049,null,null,904,null,null,716,null,null,05
62073,3925,22299,2932,13100,2415,9199,1598,39774,2799,17917,2582,21857,2534,3925,null,null,2932,null,null,2415,null,null,1598,null,null,2799,null,null,2582,null,null,2534,null,null,06
5348,1300,1276,607,482,310,794,510,4072,1210,1771,964,2301,741,1300,null,null,607,null,null,310,null,null,510,null,null,1210,null,null,964,null,null,741,null,null,08
10787,1783,3729,1175,2487,1018,1242,550,7058,1429,3320,1116,3738,919,1783,null,null,1175,null,null,1018,null,null,550,null,null,1429,null,null,1116,null,null,919,null,null,09
6247,1824,2498,1049,1221,689,1277,825,3749,1427,1380,634,2369,1274,1824,null,null,1049,null,null,689,null,null,825,null,null,1427,null,null,634,null,null,1274,null,null,10
7986,1397,1875,781,1060,488,815,515,6111,1343,3074,869,3037,919,1397,null,null,781,null,null,488,null,null,515,null,null,1343,null,null,869,null,null,919,null,null,11
