B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,B13002I_001M,B13002I_001EA,B13002I_001MA,B13002I_002M,B13002I_002EA,B13002I_002MA,B13002I_003M,B13002I_003EA,B13002I_003MA,B13002I_004M,B13002I_004EA,B13002I_004MA,B13002I_005M,B13002I_005EA,B13002I_005MA,B13002I_006M,B13002I_006EA,B13002I_006MA,B13002I_007M,B13002I_007EA,B13002I_007MA,state
5948,860,115,109,46,94,69,71,5833,867,2406,688,3427,790,860,null,null,109,null,null,94,null,null,71,null,null,867,null,null,688,null,null,790,null,null,23
153230,1569,8017,2016,5065,1285,2952,1264,145213,2552,64330,3342,80883,3886,1569,null,null,2016,null,null,1285,null,null,1264,null,null,2552,null,null,3342,null,null,3886,null,null,24
219108,1336,13026,2028,6014,1382,7012,1593,206082,2617,65471,3367,140611,3925,1336,null,null,2028,null,null,1382,null,null,1593,null,null,2617,null,null,3367,null,null,3925,null,null,25
128022,2011,8751,1518,4744,1059,4007,1129,119271,2473,45547,2602,73724,3136,2011,null,null,1518,null,null,1059,null,null,1129,null,null,2473,null,null,2602,null,null,3136,null,null,26
74313,1748,3955,898,2293,649,1662,553,70358,1980,29898,1969,40460,2549,1748,null,null,898,null,null,649,null,null,553,null,null,1980,null,null,1969,null,null,2549,null,null,27
22607,1519,1951,826,1456,634,495,453,20656,1659,9060,1417,11596,1697,1519,null,null,826,null,null,634,null,null,453,null,null,1659,null,null,1417,null,null,1697,null,null,28
62315,1538,3479,871,2182,795,1297,496,58836,1941,28699,2171,30137,1990,1538,null,null,871,null,null,795,null,null,496,null,null,1941,null,null,2171,null,null,1990,null,null,29
9734,1117,483,320,167,133,316,294,9251,1103,3580,819,5671,1201,1117,null,null,320,null,null,133,null,null,294,null,null,1103,null,null,819,null,null,1201,null,null,30
50426,1815,4539,1180,2905,1094,1634,754,45887,2121,22321,1859,23566,1957,1815,null,null,1180,null,null,1094,null,null,754,null,null,2121,null,null,1859,null,null,1957,null,null,31
227690,1573,11169,1611,6507,1425,4662,877,216521,2286,92371,3977,124150,4287,1573,null,null,1611,null,null,1425,null,null,877,null,null,2286,null,null,3977,null,null,4287,null,null,32
11313,669,726,404,461,379,265,233,10587,629,5713,901,4874,1041,669,null,null,404,null,null,379,null,null,233,null,null,629,null,null,901,null,null,1041,null,null,33
471028,2064,23691,2604,12013,2007,11678,1827,447337,3381,183043,5886,264294,6224,2064,null,null,2604,null,null,2007,null,null,1827,null,null,3381,null,null,5886,null,null,6224,null,null,34
247752,1809,13559,2457,7356,1721,6203,1575,234193,3055,87110,3856,147083,3952,1809,null,null,2457,null,null,1721,null,null,1575,null,null,3055,null,null,3856,null,null,3952,null,null,35
996229,2740,48329,3734,23420,2557,24909,2846,947900,4706,336968,7749,610932,7615,2740,null,null,3734,null,null,2557,null,null,2846,null,null,4706,null,null,7749,null,null,7615,null,null,36
248716,4006,15547,2173,10341,1733,5206,1270,233169,4593,114359,4982,118810,5181,4006,null,null,2173,null,null,1733,null,null,1270,null,null,4593,null,null,4982,null,null,5181,null,null,37
6682,1063,244,340,225,346,19,37,6438,1086,2790,841,3648,930,1063,null,null,340,null,null,346,null,null,37,null,null,1086,null,null,841,null,null,930,null,null,38
108722,2050,6918,1335,3481,892,3437,1032,101804,2379,37729,2864,64075,2631,2050,null,null,1335,null,null,892,null,null,1032,null,null,2379,null,null,2864,null,null,2631,null,null,39
100106,1418,7421,1007,4540,841,2881,756,92685,1764,45357,2483,47328,2296,1418,null,null,1007,null,null,841,null,null,756,null,null,1764,null,null,2483,null,null,2296,null,null,40
140772,1991,6880,1464,4706,1341,2174,855,133892,2426,54815,3049,79077,3187,1991,null,null,1464,null,null,1341,null,null,855,null,null,2426,null,null,3049,null,null,3187,null,null,41
237678,2425,14153,2095,5969,912,8184,1872,223525,2927,76546,3858,146979,4559,2425,null,null,2095,null,null,912,null,null,1872,null,null,2927,null,null,3858,null,null,4559,null,null,42
43657,931,2310,891,781,533,1529,678,41347,1146,15429,2073,25918,1893,931,null,null,891,null,null,533,null,null,678,null,null,1146,null,null,2073,null,null,1893,null,null,44
69430,2698,5279,1217,4059,1062,1220,681,64151,3053,31354,2971,32797,3189,2698,null,null,1217,null,null,1062,null,null,681,null,null,3053,null,null,2971,null,null,3189,null,null,45
6418,771,357,257,226,183,131,161,6061,730,2325,623,3736,697,771,null,null,257,null,null,183,null,null,161,null,null,730,null,null,623,null,null,697,null,null,46
87007,2031,5818,1248,4308,1036,1510,650,81189,2193,40673,2880,40516,2884,2031,null,null,1248,null,null,1036,null,null,650,null,null,2193,null,null,2880,null,null,2884,null,null,47
2848437,5198,183944,8762,111685,6046,72259,5315,2664493,10177,1203409,13439,1461084,15159,5198,null,null,8762,null,null,6046,null,null,5315,null,null,10177,null,null,13439,null,null,15159,null,null,48
109758,1776,6879,1532,4764,1088,2115,933,102879,2213,46299,3046,56580,3124,1776,null,null,1532,null,null,1088,null,null,933,null,null,2213,null,null,3046,null,null,3124,null,null,49
3522,762,328,270,312,266,16,27,3194,777,1026,426,2168,672,762,null,null,270,null,null,266,null,null,27,null,null,777,null,null,426,null,null,672,null,null,50
206128,3014,12968,2179,8904,1834,4064,1210,193160,3743,87613,4212,105547,4835,3014,null,null,2179,null,null,1834,null,null,1210,null,null,3743,null,null,4212,null,null,4835,null,null,51
239950,2231,14950,2042,8570,1425,6380,1524,225000,3019,99329,3515,125671,3964,2231,null,null,2042,null,null,1425,null,null,1524,null,null,3019,null,null,3515,null,null,3964,null,null,53
6052,1048,471,322,141,160,330,283,5581,995,1998,581,3583,944,1048,null,null,322,null,null,160,null,null,283,null,null,995,null,null,581,null,null,944,null,null,54
97094,1955,7095,1326,4327,1022,2768,838,89999,2297,34618,2551,55381,2844,1955,null,null,1326,null,null,1022,null,null,838,null,null,2297,null,null,2551,null,null,2844,null,null,55
12637,1274,664,428,273,199,391,364,11973,1209,4602,1187,7371,1387,1274,null,null,428,null,null,199,null,null,364,null,null,1209,null,null,1187,null,null,1387,null,null,56
806742,3593,28394,2785,12041,1911,16353,1875,778348,4507,227433,6644,550915,7584,3593,null,null,2785,null,null,1911,null,null,1875,null,null,4507,null,null,6644,null,null,7584,null,null,72
52040,2465,3589,914,1583,669,2006,853,48451,2699,23898,2252,24553,2460,2465,null,null,914,null,null,669,null,null,853,null,null,2699,null,null,2252,null,null,2460,null,null,01
13698,1454,688,403,520,350,168,188,13010,1518,5217,1299,7793,1520,1454,null,null,403,null,null,350,null,null,188,null,null,1518,null,null,1299,null,null,1520,null,null,02
569102,2148,33061,3515,17601,2191,15460,2545,536041,4209,201762,6083,334279,5997,2148,null,null,3515,null,null,2191,null,null,2545,null,null,4209,null,null,6083,null,null,5997,null,null,04
55044,2566,3444,994,2493,909,951,468,51600,2543,24050,2065,27550,2667,2566,null,null,994,null,null,909,null,null,468,null,null,2543,null,null,2065,null,null,2667,null,null,05
4104329,5054,222563,8332,128932,6311,93631,5413,3881766,9139,1560621,15270,2321145,15938,5054,null,null,8332,null,null,6311,null,null,5413,null,null,9139,null,null,15270,null,null,15938,null,null,06
310120,1883,17771,2461,11036,1832,6735,1603,292349,3096,127745,4329,164604,5036,1883,null,null,2461,null,null,1832,null,null,1603,null,null,3096,null,null,4329,null,null,5036,null,null,08
155473,1346,8012,1469,3425,1112,4587,1120,147461,1989,48461,2981,99000,3563,1346,null,null,1469,null,null,1112,null,null,1120,null,null,1989,null,null,2981,null,null,3563,null,null,09
23051,724,1478,735,826,526,652,507,21573,1012,9220,1318,12353,1592,724,null,null,735,null,null,526,null,null,507,null,null,1012,null,null,1318,null,null,1592,null,null,10
21111,203,1373,705,394,223,979,687,19738,728,7232,1242,12506,1326,203,null,null,705,null,null,223,null,null,687,null,null,728,null,null,1242,null,null,1326,null,null,11
