B27001A_001E,B27001A_001EA,B27001A_001M,B27001A_001MA,B27001A_002E,B27001A_002EA,B27001A_002M,B27001A_002MA,B27001A_003E,B27001A_003EA,B27001A_003M,B27001A_003MA,B27001A_004E,B27001A_004EA,B27001A_004M,B27001A_004MA,B27001A_005E,B27001A_005EA,B27001A_005M,B27001A_005MA,B27001A_006E,B27001A_006EA,B27001A_006M,B27001A_006MA,B27001A_007E,B27001A_007EA,B27001A_007M,B27001A_007MA,B27001A_008E,B27001A_008EA,B27001A_008M,B27001A_008MA,B27001A_009E,B27001A_009EA,B27001A_009M,B27001A_009MA,B27001A_010E,B27001A_010EA,B27001A_010M,B27001A_010MA,B27001A_011E,B27001A_011EA,B27001A_011M,B27001A_011MA,B27001A_012E,B27001A_012EA,B27001A_012M,B27001A_012MA,B27001A_013E,B27001A_013EA,B27001A_013M,B27001A_013MA,B27001A_014E,B27001A_014EA,B27001A_014M,B27001A_014MA,B27001A_015E,B27001A_015EA,B27001A_015M,B27001A_015MA,B27001A_016E,B27001A_016EA,B27001A_016M,B27001A_016MA,B27001A_017E,B27001A_017EA,B27001A_017M,B27001A_017MA,B27001A_018E,B27001A_018EA,B27001A_018M,B27001A_018MA,B27001A_019E,B27001A_019EA,B27001A_019M,B27001A_019MA,B27001A_020E,B27001A_020EA,B27001A_020M,B27001A_020MA,B27001A_021E,B27001A_021EA,B27001A_021M,B27001A_021MA,B27001A_022E,B27001A_022EA,B27001A_022M,B27001A_022MA,B27001A_023E,B27001A_023EA,B27001A_023M,B27001A_023MA,B27001A_024E,B27001A_024EA,B27001A_024M,B27001A_024MA,B27001A_025E,B27001A_025EA,B27001A_025M,B27001A_025MA,B27001A_026E,B27001A_026EA,B27001A_026M,B27001A_026MA,B27001A_027E,B27001A_027EA,B27001A_027M,B27001A_027MA,B27001A_028E,B27001A_028EA,B27001A_028M,B27001A_028MA,GEO_ID,NAME,state
9232257,null,26116,null,680475,null,8503,null,661022,null,8567,null,19453,null,3208,null,1400688,null,10347,null,1343029,null,10854,null,57659,null,4871,null,884564,null,5913,null,684772,null,8958,null,199792,null,7028,null,1220453,null,8872,null,962531,null,9028,null,257922,null,10571,null,1235263,null,6112,null,1064300,null,7364,null,170963,null,6631,null,1436569,null,4885,null,1268279,null,8121,null,168290,null,7548,null,1118130,null,3545,null,1013175,null,5788,null,104955,null,5185,null,666027,null,3393,null,659588,null,3581,null,6439,null,1702,null,590088,null,4085,null,588025,null,4136,null,2063,null,918,null,0400000US17,Illinois,17
5420704,null,9062,null,418393,null,4562,null,383982,null,5986,null,34411,null,4198,null,863216,null,4446,null,789279,null,7125,null,73937,null,5774,null,530960,null,3214,null,394746,null,7191,null,136214,null,6834,null,685460,null,4518,null,516342,null,6999,null,169118,null,7037,null,718749,null,3082,null,595686,null,5634,null,123063,null,5187,null,820810,null,2156,null,711383,null,5373,null,109427,null,5035,null,658734,null,2034,null,595105,null,4403,null,63629,null,4089,null,394084,null,1240,null,392355,null,1552,null,1729,null,806,null,330298,null,3080,null,329724,null,3149,null,574,null,355,null,0400000US18,Indiana,18
2729408,null,5359,null,205416,null,3130,null,198207,null,3478,null,7209,null,1387,null,415763,null,3024,null,396830,null,3558,null,18933,null,2841,null,285944,null,1777,null,235875,null,3024,null,50069,null,3155,null,328008,null,2289,null,278122,null,3777,null,49886,null,3459,null,335328,null,1888,null,300361,null,3204,null,34967,null,3032,null,414191,null,1555,null,379060,null,3290,null,35131,null,3179,null,339282,null,1198,null,320830,null,1952,null,18452,null,1710,null,207665,null,1150,null,207327,null,1206,null,338,null,297,null,197811,null,1866,null,197698,null,1884,null,113,null,108,null,0400000US19,Iowa,19
2385734,null,7826,null,193528,null,2873,null,178940,null,3530,null,14588,null,2755,null,379342,null,3481,null,349659,null,4681,null,29683,null,3528,null,252693,null,3509,null,195140,null,4570,null,57553,null,3441,null,304533,null,3572,null,231611,null,4477,null,72922,null,4363,null,293150,null,3362,null,243476,null,4501,null,49674,null,3983,null,356587,null,2481,null,317022,null,3262,null,39565,null,2816,null,286075,null,1694,null,263126,null,2557,null,22949,null,2486,null,166602,null,2280,null,165388,null,1914,null,1214,null,1103,null,153224,null,1747,null,153018,null,1764,null,206,null,204,null,0400000US20,Kansas,20
3760568,null,6552,null,285488,null,3987,null,270778,null,4202,null,14710,null,2301,null,574529,null,4063,null,536920,null,5314,null,37609,null,4527,null,348662,null,3558,null,242246,null,5364,null,106416,null,5780,null,487488,null,3431,null,362536,null,6875,null,124952,null,6879,null,512220,null,2971,null,413208,null,6666,null,99012,null,5896,null,570947,null,1898,null,482977,null,5436,null,87970,null,5238,null,472287,null,1150,null,423793,null,3127,null,48494,null,3157,null,287988,null,1323,null,285938,null,1452,null,2050,null,859,null,220959,null,1729,null,220599,null,1741,null,360,null,249,null,0400000US21,Kentucky,21
2806100,null,5559,null,212623,null,3534,null,204872,null,3938,null,7751,null,1740,null,421914,null,3407,null,396888,null,5226,null,25026,null,3399,null,263746,null,2781,null,195347,null,5244,null,68399,null,5044,null,367636,null,3405,null,274004,null,6073,null,93632,null,5669,null,363522,null,2824,null,291903,null,5087,null,71619,null,4677,null,424894,null,2098,null,350609,null,5368,null,74285,null,4929,null,353500,null,1424,null,310261,null,3478,null,43239,null,3427,null,219151,null,1024,null,217527,null,1242,null,1624,null,777,null,179114,null,2468,null,178870,null,2501,null,244,null,207,null,0400000US22,Louisiana,22
1234936,null,4091,null,75049,null,1873,null,71388,null,2073,null,3661,null,1121,null,170630,null,2543,null,160330,null,2918,null,10300,null,1796,null,108332,null,1288,null,84238,null,2664,null,24094,null,2447,null,136000,null,1539,null,111429,null,2790,null,24571,null,2493,null,163878,null,1003,null,140938,null,2967,null,22940,null,2843,null,208697,null,972,null,181066,null,2508,null,27631,null,2416,null,178278,null,885,null,163435,null,1897,null,14843,null,1738,null,104965,null,504,null,104811,null,544,null,154,null,160,null,89107,null,667,null,88913,null,699,null,194,null,207,null,0400000US23,Maine,23
3375771,null,12613,null,231856,null,4470,null,225120,null,4333,null,6736,null,1797,null,500965,null,5032,null,475344,null,6591,null,25621,null,4433,null,307526,null,3726,null,250183,null,4630,null,57343,null,4993,null,401514,null,4390,null,332201,null,5094,null,69313,null,5092,null,447138,null,3510,null,392585,null,4905,null,54553,null,4611,null,552744,null,3499,null,503865,null,4957,null,48879,null,4409,null,442564,null,1817,null,416602,null,3108,null,25962,null,2731,null,262763,null,1659,null,261679,null,1850,null,1084,null,594,null,228701,null,3083,null,227605,null,3114,null,1096,null,644,null,0400000US24,Maryland,24
5356467,null,12912,null,338391,null,4600,null,333939,null,4638,null,4452,null,1297,null,752870,null,5357,null,742034,null,5332,null,10836,null,2533,null,519866,null,3392,null,482460,null,5079,null,37406,null,3693,null,647247,null,4481,null,594444,null,6176,null,52803,null,4935,null,748884,null,4196,null,712368,null,5207,null,36516,null,3940,null,883725,null,2983,null,854052,null,4576,null,29673,null,3769,null,691550,null,2026,null,674853,null,2999,null,16697,null,2360,null,401937,null,1781,null,400669,null,1912,null,1268,null,732,null,371997,null,2928,null,371900,null,2917,null,97,null,165,null,0400000US25,Massachusetts,25
7879609,null,9368,null,541887,null,5360,null,521664,null,5800,null,20223,null,2639,null,1201079,null,4912,null,1144050,null,6715,null,57029,null,5063,null,754771,null,3242,null,565763,null,6682,null,189008,null,6350,null,910366,null,3768,null,711901,null,6864,null,198465,null,7287,null,1041815,null,3054,null,876955,null,6167,null,164860,null,6193,null,1274130,null,2275,null,1101056,null,6473,null,173074,null,6267,null,1023392,null,1772,null,936579,null,4114,null,86813,null,4033,null,613458,null,1539,null,610798,null,2001,null,2660,null,1312,null,518711,null,2416,null,518362,null,2507,null,349,null,249,null,0400000US26,Michigan,26
4544935,null,8410,null,339385,null,3879,null,321635,null,3596,null,17750,null,2466,null,675358,null,4212,null,631432,null,5022,null,43926,null,3739,null,439780,null,2398,null,361175,null,4746,null,78605,null,4672,null,582491,null,2562,null,501635,null,5030,null,80856,null,4667,null,597426,null,2382,null,543063,null,3838,null,54363,null,3869,null,739723,null,1886,null,685206,null,3995,null,54517,null,3557,null,564676,null,1644,null,531905,null,2606,null,32771,null,2563,null,323277,null,1872,null,322390,null,1773,null,887,null,502,null,282819,null,2363,null,282649,null,2371,null,170,null,172,null,0400000US27,Minnesota,27
1722334,null,5695,null,134643,null,3081,null,121570,null,3708,null,13073,null,3147,null,263785,null,2970,null,233536,null,5063,null,30249,null,4478,null,163056,null,2931,null,115764,null,4233,null,47292,null,3558,null,209357,null,4212,null,151574,null,5788,null,57783,null,4401,null,220017,null,3130,null,168724,null,4821,null,51293,null,4343,null,246427,null,2284,null,204497,null,4068,null,41930,null,3793,null,217707,null,1117,null,191614,null,3048,null,26093,null,2611,null,148079,null,1062,null,147844,null,1087,null,235,null,236,null,119263,null,1931,null,119263,null,1931,null,0,null,291,null,0400000US28,Mississippi,28
4936551,null,6525,null,369824,null,3795,null,348173,null,4832,null,21651,null,2958,null,755568,null,4644,null,702751,null,7180,null,52817,null,4946,null,472135,null,3100,null,354589,null,6381,null,117546,null,5708,null,627433,null,3755,null,494574,null,6258,null,132859,null,6414,null,631953,null,2435,null,522569,null,6219,null,109384,null,5869,null,758727,null,1822,null,657121,null,5184,null,101606,null,4995,null,611315,null,1623,null,554314,null,3697,null,57001,null,3370,null,383319,null,1692,null,381629,null,1905,null,1690,null,726,null,326277,null,2119,null,326043,null,2136,null,234,null,201,null,0400000US29,Missouri,29
857080,null,2493,null,60432,null,2151,null,53592,null,2556,null,6840,null,1481,null,120993,null,2197,null,107882,null,2968,null,13111,null,2146,null,88967,null,1492,null,65095,null,2775,null,23872,null,2770,null,100563,null,1689,null,72522,null,2999,null,28041,null,2569,null,100990,null,1551,null,78713,null,2883,null,22277,null,2465,null,134572,null,846,null,108546,null,2771,null,26026,null,2756,null,121363,null,523,null,103022,null,2037,null,18341,null,2060,null,70190,null,591,null,69921,null,620,null,269,null,240,null,59010,null,705,null,59010,null,705,null,0,null,240,null,0400000US30,Montana,30
1555936,null,6414,null,131880,null,2824,null,125439,null,3164,null,6441,null,1624,null,237354,null,2890,null,223228,null,3208,null,14126,null,1961,null,164988,null,2319,null,127660,null,2816,null,37328,null,3079,null,198514,null,3036,null,160242,null,3761,null,38272,null,3370,null,188251,null,2517,null,163335,null,3045,null,24916,null,2109,null,230648,null,1706,null,204041,null,2874,null,26607,null,2929,null,187200,null,1152,null,172956,null,2143,null,14244,null,2017,null,110911,null,1279,null,110351,null,1267,null,560,null,436,null,106190,null,1743,null,105762,null,1799,null,428,null,317,null,0400000US31,Nebraska,31
1990991,null,11993,null,171594,null,4700,null,139841,null,5815,null,31753,null,4143,null,321565,null,4989,null,261455,null,7265,null,60110,null,6063,null,165366,null,3295,null,92024,null,4071,null,73342,null,4017,null,284845,null,3626,null,187685,null,4989,null,97160,null,5034,null,275344,null,3587,null,202799,null,5131,null,72545,null,4348,null,280213,null,2680,null,219239,null,4600,null,60974,null,4501,null,238237,null,1909,null,202064,null,3589,null,36173,null,3017,null,145928,null,1465,null,143646,null,1687,null,2282,null,1098,null,107899,null,1435,null,107195,null,1441,null,704,null,525,null,0400000US32,Nevada,32
1237117,null,2958,null,78715,null,1840,null,76058,null,2017,null,2657,null,924,null,184117,null,1851,null,175136,null,2551,null,8981,null,1776,null,121701,null,1328,null,96745,null,3079,null,24956,null,2927,null,135966,null,1279,null,108703,null,3640,null,27263,null,3530,null,172606,null,1328,null,150970,null,3068,null,21636,null,2642,null,213612,null,782,null,191883,null,2322,null,21729,null,2291,null,164058,null,671,null,149929,null,1884,null,14129,null,1747,null,91289,null,765,null,91213,null,791,null,76,null,91,null,75053,null,838,null,74800,null,896,null,253,null,387,null,0400000US33,New Hampshire,33
6083450,null,20499,null,416993,null,5274,null,398392,null,5518,null,18601,null,2721,null,919519,null,7007,null,867258,null,7173,null,52261,null,5654,null,490626,null,4254,null,377313,null,5562,null,113313,null,5376,null,694568,null,5916,null,539650,null,7769,null,154918,null,8554,null,842049,null,4805,null,729291,null,5820,null,112758,null,6934,null,1013267,null,4788,null,907015,null,7550,null,106252,null,6407,null,774211,null,3206,null,713679,null,4551,null,60532,null,4562,null,477650,null,2214,null,471496,null,2591,null,6154,null,1628,null,454567,null,2772,null,453424,null,2836,null,1143,null,618,null,0400000US34,New Jersey,34
1432482,null,13996,null,119930,null,3823,null,111187,null,4045,null,8743,null,1821,null,225221,null,5769,null,200650,null,5815,null,24571,null,3295,null,128501,null,4513,null,87136,null,5013,null,41365,null,3849,null,181699,null,5227,null,123737,null,5178,null,57962,null,4726,null,168200,null,4105,null,126019,null,4410,null,42181,null,3845,null,203290,null,4108,null,165458,null,4446,null,37832,null,3217,null,190070,null,2408,null,162965,null,3360,null,27105,null,2727,null,117747,null,2014,null,116607,null,2014,null,1140,null,685,null,97824,null,2116,null,97054,null,2250,null,770,null,601,null,0400000US35,New Mexico,35
13002966,null,28308,null,859145,null,8870,null,828992,null,9749,null,30153,null,4049,null,1832266,null,10511,null,1759168,null,10322,null,73098,null,5822,null,1203621,null,6571,null,970155,null,9757,null,233466,null,9279,null,1635521,null,9129,null,1314673,null,10463,null,320848,null,12489,null,1761616,null,7658,null,1542894,null,10113,null,218722,null,8409,null,2051305,null,6573,null,1874611,null,9321,null,176694,null,8071,null,1678017,null,5618,null,1572571,null,8063,null,105446,null,5808,null,1018740,null,3607,null,1012171,null,3705,null,6569,null,1501,null,962735,null,4254,null,960174,null,4401,null,2561,null,927,null,0400000US36,New York,36
6461579,null,14196,null,487699,null,6184,null,464995,null,6525,null,22704,null,3037,null,962033,null,6502,null,886062,null,7646,null,75971,null,5064,null,576704,null,5832,null,424842,null,6814,null,151862,null,5971,null,792539,null,6044,null,591261,null,7185,null,201278,null,7013,null,913065,null,5905,null,739086,null,7591,null,173979,null,8090,null,964929,null,3537,null,818997,null,7001,null,145932,null,6825,null,830090,null,2646,null,744623,null,5350,null,85467,null,4817,null,524116,null,2350,null,521300,null,2299,null,2816,null,864,null,410404,null,3179,null,409793,null,3180,null,611,null,418,null,0400000US37,North Carolina,37
568383,null,1442,null,40640,null,782,null,38678,null,879,null,1962,null,706,null,77951,null,856,null,74971,null,1052,null,2980,null,724,null,73814,null,1130,null,62464,null,2322,null,11350,null,2065,null,70241,null,1349,null,59326,null,1814,null,10915,null,1324,null,64287,null,942,null,57998,null,1382,null,6289,null,1103,null,85919,null,714,null,77927,null,1442,null,7992,null,1162,null,70109,null,429,null,65451,null,1064,null,4658,null,1017,null,42030,null,494,null,41874,null,501,null,156,null,140,null,43392,null,606,null,43353,null,598,null,39,null,67,null,0400000US38,North Dakota,38
9558760,null,9122,null,680940,null,5451,null,644702,null,6487,null,36238,null,4141,null,1461865,null,5967,null,1361132,null,7933,null,100733,null,6936,null,870489,null,4008,null,660291,null,8326,null,210198,null,8254,null,1195309,null,3385,null,954486,null,9011,null,240823,null,8708,null,1264377,null,3004,null,1077144,null,7878,null,187233,null,7335,null,1503475,null,2668,null,1314674,null,8440,null,188801,null,7812,null,1212485,null,1922,null,1100618,null,5740,null,111867,null,5105,null,733215,null,2700,null,730400,null,2804,null,2815,null,1008,null,636605,null,4032,null,635164,null,4023,null,1441,null,534,null,0400000US39,Ohio,39
2713599,null,10086,null,213325,null,3768,null,195500,null,3803,null,17825,null,2413,null,407379,null,4407,null,367674,null,4787,null,39705,null,3378,null,259114,null,3074,null,177476,null,4989,null,81638,null,4967,null,354986,null,3581,null,245658,null,5526,null,109328,null,5716,null,332488,null,3304,null,255526,null,4667,null,76962,null,4263,null,399559,null,1931,null,325926,null,4044,null,73633,null,4349,null,337455,null,1499,null,296182,null,2800,null,41273,null,2759,null,221290,null,1544,null,220014,null,1461,null,1276,null,620,null,188003,null,1895,null,187585,null,1916,null,418,null,334,null,0400000US40,Oklahoma,40
3237773,null,13489,null,221618,null,4368,null,201997,null,4993,null,19621,null,3201,null,466456,null,5094,null,416793,null,6067,null,49663,null,4330,null,294849,null,3349,null,204089,null,4983,null,90760,null,4743,null,426896,null,4701,null,303680,null,6756,null,123216,null,6174,null,419869,null,3559,null,332920,null,5442,null,86949,null,5581,null,484666,null,2568,null,404433,null,5266,null,80233,null,4738,null,449968,null,1680,null,393754,null,3886,null,56214,null,3943,null,254613,null,1487,null,252756,null,1493,null,1857,null,824,null,218838,null,1506,null,217892,null,1499,null,946,null,578,null,0400000US41,Oregon,41
10360233,null,13170,null,670908,null,6747,null,637354,null,7437,null,33554,null,3836,null,1463527,null,7035,null,1388104,null,9628,null,75423,null,5294,null,958454,null,3866,null,769958,null,7731,null,188496,null,6928,null,1214367,null,4627,null,995905,null,9112,null,218462,null,9129,null,1347218,null,3427,null,1193441,null,6764,null,153777,null,6136,null,1660019,null,3265,null,1507119,null,6854,null,152900,null,6594,null,1363282,null,2712,null,1276505,null,5101,null,86777,null,4292,null,850333,null,2159,null,846542,null,2472,null,3791,null,1202,null,832125,null,3062,null,829089,null,3266,null,3036,null,789,null,0400000US42,Pennsylvania,42
854926,null,5964,null,50887,null,2166,null,49334,null,2290,null,1553,null,683,null,115913,null,2586,null,110849,null,2768,null,5064,null,1362,null,86608,null,1381,null,70150,null,2152,null,16458,null,2050,null,100289,null,1877,null,82814,null,2554,null,17475,null,2448,null,114214,null,1961,null,99761,null,2573,null,14453,null,2102,null,142247,null,1177,null,130668,null,2415,null,11579,null,2210,null,113521,null,839,null,102306,null,1613,null,11215,null,1737,null,66470,null,663,null,66333,null,745,null,137,null,225,null,64777,null,974,null,64664,null,1000,null,113,null,129,null,0400000US44,Rhode Island,44
3022970,null,8812,null,220658,null,3556,null,200890,null,3883,null,19768,null,2997,null,438573,null,3960,null,396466,null,5125,null,42107,null,4336,null,264489,null,3721,null,187156,null,5245,null,77333,null,4584,null,374407,null,3474,null,275631,null,5151,null,98776,null,5042,null,401448,null,2839,null,316703,null,5317,null,84745,null,5378,null,445086,null,2475,null,373090,null,5512,null,71996,null,4948,null,407172,null,1271,null,362879,null,3374,null,44293,null,3278,null,265797,null,923,null,264784,null,946,null,1013,null,568,null,205340,null,1843,null,205276,null,1833,null,64,null,107,null,0400000US45,South Carolina,45
