C18130_001E,C18130_001EA,C18130_001M,C18130_001MA,C18130_002E,C18130_002EA,C18130_002M,C18130_002MA,C18130_003E,C18130_003EA,C18130_003M,C18130_003MA,C18130_004E,C18130_004EA,C18130_004M,C18130_004MA,C18130_005E,C18130_005EA,C18130_005M,C18130_005MA,C18130_006E,C18130_006EA,C18130_006M,C18130_006MA,C18130_007E,C18130_007EA,C18130_007M,C18130_007MA,C18130_008E,C18130_008EA,C18130_008M,C18130_008MA,C18130_009E,C18130_009EA,C18130_009M,C18130_009MA,C18130_010E,C18130_010EA,C18130_010M,C18130_010MA,C18130_011E,C18130_011EA,C18130_011M,C18130_011MA,C18130_012E,C18130_012EA,C18130_012M,C18130_012MA,C18130_013E,C18130_013EA,C18130_013M,C18130_013MA,C18130_014E,C18130_014EA,C18130_014M,C18130_014MA,C18130_015E,C18130_015EA,C18130_015M,C18130_015MA,C18130_016E,C18130_016EA,C18130_016M,C18130_016MA,C18130_017E,C18130_017EA,C18130_017M,C18130_017MA,C18130_018E,C18130_018EA,C18130_018M,C18130_018MA,C18130_019E,C18130_019EA,C18130_019M,C18130_019MA,C18130_020E,C18130_020EA,C18130_020M,C18130_020MA,C18130_021E,C18130_021EA,C18130_021M,C18130_021MA,C18130_022E,C18130_022EA,C18130_022M,C18130_022MA,GEO_ID,NAME,state
4352342,null,3416,null,1106886,null,2757,null,55620,null,4072,null,19109,null,2688,null,36511,null,3287,null,1051266,null,4876,null,248927,null,11631,null,802339,null,12576,null,2718845,null,3883,null,348643,null,10071,null,96147,null,5904,null,252496,null,8090,null,2370202,null,10726,null,325512,null,11745,null,2044690,null,15901,null,526611,null,2935,null,227511,null,5801,null,36171,null,3221,null,191340,null,5220,null,299100,null,5702,null,29209,null,2501,null,269891,null,5620,null,0400000US22,Louisiana,22
1278127,null,1625,null,264072,null,2000,null,16183,null,2027,null,5117,null,1373,null,11066,null,1615,null,247889,null,2424,null,40073,null,3751,null,207816,null,4379,null,817410,null,1955,null,115252,null,4762,null,31692,null,2393,null,83560,null,4110,null,702158,null,5246,null,63567,null,4494,null,638591,null,6340,null,196645,null,727,null,77550,null,3067,null,9194,null,1560,null,68356,null,3078,null,119095,null,3022,null,8042,null,1264,null,111053,null,3267,null,0400000US23,Maine,23
5527496,null,4074,null,1330697,null,3094,null,49821,null,4019,null,10989,null,1921,null,38832,null,3547,null,1280876,null,4680,null,143060,null,10005,null,1137816,null,11318,null,3529409,null,5640,null,293677,null,9249,null,62538,null,5712,null,231139,null,8187,null,3235732,null,11948,null,235794,null,9936,null,2999938,null,13600,null,667390,null,3681,null,220681,null,5622,null,22417,null,2416,null,198264,null,5639,null,446709,null,5809,null,30125,null,2790,null,416584,null,6410,null,0400000US24,Maryland,24
6358740,null,2446,null,1415777,null,2559,null,63997,null,5286,null,17515,null,2945,null,46482,null,4140,null,1351780,null,5548,null,168098,null,9159,null,1183682,null,10037,null,4101355,null,3206,null,374309,null,11577,null,101099,null,6416,null,273210,null,9252,null,3727046,null,12052,null,294353,null,11980,null,3432693,null,16734,null,841608,null,2976,null,286311,null,5307,null,36416,null,2584,null,249895,null,5375,null,555297,null,5468,null,37502,null,3029,null,517795,null,5490,null,0400000US25,Massachusetts,25
9728560,null,3775,null,2310206,null,4516,null,107643,null,4235,null,36965,null,3208,null,70678,null,3420,null,2202563,null,6256,null,482863,null,15191,null,1719700,null,15620,null,6129492,null,3869,null,728330,null,16350,null,222119,null,9954,null,506211,null,13343,null,5401162,null,15794,null,725153,null,17147,null,4676009,null,18439,null,1288862,null,2647,null,475736,null,7063,null,57915,null,4987,null,417821,null,7477,null,813126,null,7245,null,51331,null,3342,null,761795,null,7373,null,0400000US26,Michigan,26
5129015,null,2778,null,1238238,null,3520,null,43514,null,2887,null,11608,null,2097,null,31906,null,2355,null,1194724,null,4653,null,162372,null,8512,null,1032352,null,9215,null,3261584,null,2658,null,267696,null,7816,null,67622,null,4450,null,200074,null,6320,null,2993888,null,7867,null,267373,null,10015,null,2726515,null,12656,null,629193,null,2197,null,200651,null,5614,null,25130,null,2650,null,175521,null,4833,null,428542,null,5313,null,28775,null,2386,null,399767,null,5653,null,0400000US27,Minnesota,27
2835205,null,3537,null,750832,null,3154,null,35587,null,3144,null,14478,null,2180,null,21109,null,2288,null,715245,null,4663,null,218150,null,9328,null,497095,null,9981,null,1727799,null,3713,null,254869,null,10110,null,83032,null,5963,null,171837,null,7634,null,1472930,null,10319,null,254504,null,10368,null,1218426,null,10712,null,356574,null,2355,null,164670,null,5094,null,32205,null,3085,null,132465,null,4919,null,191904,null,4767,null,21270,null,2381,null,170634,null,4862,null,0400000US28,Mississippi,28
5805121,null,3937,null,1404810,null,4446,null,62665,null,4158,null,18884,null,2821,null,43781,null,4111,null,1342145,null,5774,null,272075,null,12154,null,1070070,null,12759,null,3619559,null,3828,null,451627,null,10752,null,127692,null,5792,null,323935,null,9212,null,3167932,null,12213,null,362472,null,11843,null,2805460,null,16400,null,780752,null,2509,null,306699,null,6677,null,37517,null,2860,null,269182,null,5727,null,474053,null,6726,null,29993,null,2412,null,444060,null,6891,null,0400000US29,Missouri,29
942893,null,2317,null,216591,null,2072,null,7792,null,1610,null,3405,null,1100,null,4387,null,961,null,208799,null,2173,null,42993,null,4806,null,165806,null,5131,null,592024,null,1993,null,67427,null,3607,null,16802,null,2161,null,50625,null,3262,null,524597,null,3967,null,67934,null,5138,null,456663,null,6110,null,134278,null,877,null,51189,null,2601,null,4901,null,1134,null,46288,null,2360,null,83089,null,2591,null,6752,null,1166,null,76337,null,2595,null,0400000US30,Montana,30
1733398,null,3566,null,435382,null,3030,null,13583,null,1763,null,3136,null,867,null,10447,null,1627,null,421799,null,3734,null,63163,null,5019,null,358636,null,6157,null,1071190,null,2878,null,95804,null,4641,null,22011,null,2652,null,73793,null,4222,null,975386,null,5291,null,108647,null,6156,null,866739,null,7852,null,226826,null,1833,null,79054,null,3045,null,8838,null,1336,null,70216,null,2847,null,147772,null,3135,null,8920,null,1134,null,138852,null,3463,null,0400000US31,Nebraska,31
2596584,null,3538,null,670947,null,3274,null,22618,null,3246,null,5167,null,1385,null,17451,null,2607,null,648329,null,4665,null,112642,null,9898,null,535687,null,11969,null,1622810,null,3149,null,139411,null,5916,null,29328,null,3211,null,110083,null,5163,null,1483399,null,6050,null,152124,null,8413,null,1331275,null,9677,null,302827,null,1941,null,102136,null,3829,null,9757,null,1523,null,92379,null,3822,null,200691,null,3655,null,12922,null,2129,null,187769,null,3780,null,0400000US32,Nevada,32
1283515,null,1672,null,283810,null,1933,null,10453,null,1549,null,2028,null,713,null,8425,null,1290,null,273357,null,2590,null,28574,null,4302,null,244783,null,5195,null,830524,null,1336,null,75373,null,4358,null,15551,null,2537,null,59822,null,3881,null,755151,null,4385,null,51671,null,4450,null,703480,null,6152,null,169181,null,1045,null,62307,null,2780,null,5945,null,1586,null,56362,null,2876,null,106874,null,2733,null,5417,null,1079,null,101457,null,2657,null,0400000US33,New Hampshire,33
8518307,null,3181,null,2025718,null,2304,null,71746,null,4023,null,14300,null,2317,null,57446,null,3796,null,1953972,null,4443,null,258397,null,12892,null,1695575,null,13067,null,5367116,null,3635,null,413924,null,11137,null,82380,null,4819,null,331544,null,10030,null,4953192,null,11494,null,354939,null,14300,null,4598253,null,18153,null,1125473,null,2806,null,379313,null,6796,null,41619,null,3385,null,337694,null,6069,null,746160,null,6860,null,47190,null,3570,null,698970,null,7309,null,0400000US34,New Jersey,34
1959635,null,3522,null,507142,null,3434,null,17439,null,2187,null,5543,null,1454,null,11896,null,1695,null,489703,null,3734,null,122568,null,9946,null,367135,null,10041,null,1194135,null,4451,null,143693,null,6184,null,36440,null,3727,null,107253,null,5582,null,1050442,null,6886,null,157294,null,9611,null,893148,null,11340,null,258358,null,2243,null,109165,null,3778,null,17263,null,2107,null,91902,null,3939,null,149193,null,3880,null,14304,null,1853,null,134889,null,3277,null,0400000US35,New Mexico,35
18995173,null,6454,null,4351798,null,6702,null,155977,null,7391,null,50339,null,4009,null,105638,null,6032,null,4195821,null,9877,null,818015,null,20785,null,3377806,null,22623,null,12130802,null,5218,null,1077749,null,15330,null,307697,null,11335,null,770052,null,12867,null,11053053,null,16366,null,1230904,null,24931,null,9822149,null,25816,null,2512573,null,3466,null,882414,null,10886,null,147265,null,6496,null,735149,null,10475,null,1630159,null,10998,null,137062,null,5558,null,1493097,null,11433,null,0400000US36,New York,36
9030476,null,5689,null,2239400,null,4894,null,95651,null,5364,null,31707,null,3631,null,63944,null,4449,null,2143749,null,6837,null,473230,null,14263,null,1670519,null,14705,null,5651691,null,6575,null,642956,null,12266,null,181321,null,8807,null,461635,null,8866,null,5008735,null,13659,null,677087,null,17422,null,4331648,null,19008,null,1139385,null,3310,null,444209,null,7527,null,63500,null,3882,null,380709,null,6516,null,695176,null,7644,null,49895,null,3325,null,645281,null,7911,null,0400000US37,North Carolina,37
615700,null,1057,null,139656,null,992,null,4435,null,902,null,1038,null,377,null,3397,null,830,null,135221,null,1328,null,17110,null,2249,null,118111,null,2793,null,387774,null,1337,null,35481,null,2937,null,8069,null,1522,null,27412,null,2496,null,352293,null,3037,null,35859,null,3249,null,316434,null,4176,null,88270,null,700,null,31841,null,1945,null,4917,null,948,null,26924,null,1975,null,56429,null,1948,null,5235,null,895,null,51194,null,2036,null,0400000US38,North Dakota,38
11209762,null,4250,null,2673727,null,4972,null,124000,null,6041,null,42842,null,3809,null,81158,null,4725,null,2549727,null,8601,null,541468,null,16199,null,2008259,null,17566,null,7016515,null,5585,null,827064,null,14986,null,258362,null,10099,null,568702,null,11680,null,6189451,null,16128,null,739048,null,17283,null,5450403,null,21929,null,1519520,null,4322,null,560102,null,7664,null,67437,null,3944,null,492665,null,8197,null,959418,null,7735,null,59864,null,3464,null,899554,null,8513,null,0400000US39,Ohio,39
