B02001_001E,B02001_001EA,B02001_001M,B02001_001MA,B02001_002E,B02001_002EA,B02001_002M,B02001_002MA,B02001_003E,B02001_003EA,B02001_003M,B02001_003MA,B02001_004E,B02001_004EA,B02001_004M,B02001_004MA,B02001_005E,B02001_005EA,B02001_005M,B02001_005MA,B02001_006E,B02001_006EA,B02001_006M,B02001_006MA,B02001_007E,B02001_007EA,B02001_007M,B02001_007MA,B02001_008E,B02001_008EA,B02001_008M,B02001_008MA,B02001_009E,B02001_009EA,B02001_009M,B02001_009MA,B02001_010E,B02001_010EA,B02001_010M,B02001_010MA,GEO_ID,NAME,state
1053209,null,0,*****,869575,null,5927,null,63171,null,3411,null,3901,null,1010,null,31142,null,1410,null,76,null,93,null,66236,null,5525,null,19108,null,3080,null,5808,null,2018,null,13300,null,2364,null,0400000US44,Rhode Island,44
4561242,null,0,*****,3082191,null,8192,null,1273826,null,5710,null,11993,null,2025,null,57335,null,2593,null,2717,null,1871,null,65551,null,7176,null,67629,null,5702,null,7317,null,1805,null,60312,null,5479,null,0400000US45,South Carolina,45
812383,null,0,*****,701305,null,3498,null,8530,null,1093,null,69703,null,3277,null,8210,null,1392,null,59,null,101,null,7738,null,1955,null,16838,null,2526,null,1877,null,928,null,14961,null,2256,null,0400000US46,South Dakota,46
6296254,null,0,*****,4981348,null,9176,null,1039226,null,7122,null,13070,null,2354,null,86439,null,2956,null,2116,null,938,null,72277,null,8716,null,101778,null,7096,null,10419,null,2741,null,91359,null,6805,null,0400000US47,Tennessee,47
24782302,null,0,*****,18277105,null,50705,null,2856747,null,12761,null,139030,null,11206,null,883429,null,6934,null,19339,null,2298,null,2075500,null,51246,null,531152,null,17047,null,157831,null,11610,null,373321,null,12761,null,0400000US48,Texas,48
2784572,null,0,*****,2487925,null,9144,null,32388,null,3194,null,31222,null,2922,null,56760,null,2351,null,22481,null,1565,null,92923,null,8685,null,60873,null,5523,null,11097,null,2661,null,49776,null,5229,null,0400000US49,Utah,49
621760,null,0,*****,595344,null,1319,null,5145,null,855,null,1944,null,765,null,6042,null,774,null,38,null,62,null,2061,null,1116,null,11186,null,1390,null,310,null,218,null,10876,null,1413,null,0400000US50,Vermont,50
7882590,null,0,*****,5552824,null,13239,null,1542737,null,9786,null,25006,null,3732,null,391484,null,4658,null,6147,null,2220,null,173971,null,12358,null,190421,null,12486,null,26352,null,4878,null,164069,null,10805,null,0400000US51,Virginia,51
6664195,null,0,*****,5342426,null,13297,null,229534,null,6084,null,87973,null,5620,null,441231,null,6051,null,29770,null,1809,null,249828,null,14879,null,283433,null,11425,null,33877,null,4180,null,249556,null,10893,null,0400000US53,Washington,53
1819777,null,0,*****,1715221,null,2503,null,56331,null,3718,null,3219,null,1050,null,11417,null,1420,null,148,null,159,null,3330,null,1103,null,30111,null,3366,null,735,null,508,null,29376,null,3349,null,0400000US54,West Virginia,54
5654774,null,0,*****,4997567,null,7097,null,339527,null,5242,null,48448,null,2519,null,120116,null,2759,null,1216,null,570,null,59545,null,5719,null,88355,null,6139,null,9508,null,1779,null,78847,null,5731,null,0400000US55,Wisconsin,55
544270,null,0,*****,497086,null,1966,null,5152,null,985,null,14019,null,1536,null,3649,null,1249,null,359,null,291,null,10073,null,1873,null,13932,null,1876,null,2929,null,908,null,11003,null,1626,null,0400000US56,Wyoming,56
3967288,null,0,*****,2885121,null,22446,null,281393,null,13713,null,8009,null,2172,null,12579,null,2585,null,61,null,106,null,342385,null,13256,null,437740,null,14852,null,18321,null,3021,null,419419,null,14897,null,0400000US72,Puerto Rico,72
