C16006_001E,C16006_001EA,C16006_001M,C16006_001MA,C16006_002E,C16006_002EA,C16006_002M,C16006_002MA,C16006_003E,C16006_003EA,C16006_003M,C16006_003MA,C16006_004E,C16006_004EA,C16006_004M,C16006_004MA,C16006_005E,C16006_005EA,C16006_005M,C16006_005MA,C16006_006E,C16006_006EA,C16006_006M,C16006_006MA,GEO_ID,NAME,state
1744978,null,1921,null,323102,null,14413,null,1416251,null,14079,null,717800,null,15061,null,698451,null,18338,null,5625,null,1181,null,0400000US17,Illinois,17
301354,null,1810,null,98556,null,5984,null,202091,null,6181,null,93513,null,5536,null,108578,null,5446,null,707,null,413,null,0400000US18,Indiana,18
113816,null,1851,null,36571,null,3059,null,77130,null,3567,null,36815,null,3076,null,40315,null,3241,null,115,null,117,null,0400000US19,Iowa,19
227761,null,1291,null,71570,null,4980,null,155169,null,5193,null,75286,null,3900,null,79883,null,4203,null,1022,null,613,null,0400000US20,Kansas,20
93424,null,2551,null,31052,null,2783,null,62025,null,3124,null,24147,null,3127,null,37878,null,3788,null,347,null,284,null,0400000US21,Kentucky,21
145261,null,1988,null,56412,null,4260,null,87281,null,3666,null,45334,null,3677,null,41947,null,3351,null,1568,null,619,null,0400000US22,Louisiana,22
15443,null,678,null,9736,null,1244,null,5213,null,1156,null,3575,null,828,null,1638,null,645,null,494,null,364,null,0400000US23,Maine,23
358098,null,1458,null,92173,null,6863,null,263125,null,6983,null,118238,null,5557,null,144887,null,6367,null,2800,null,983,null,0400000US24,Maryland,24
522047,null,891,null,117465,null,7387,null,399515,null,7573,null,206624,null,8137,null,192891,null,6690,null,5067,null,1729,null,0400000US25,Massachusetts,25
374344,null,1454,null,163921,null,6841,null,207627,null,6997,null,118632,null,6188,null,88995,null,6011,null,2796,null,976,null,0400000US26,Michigan,26
191298,null,1224,null,63075,null,4070,null,127163,null,4199,null,56752,null,3515,null,70411,null,4043,null,1060,null,451,null,0400000US27,Minnesota,27
58243,null,2864,null,17667,null,3246,null,39884,null,3334,null,17455,null,2530,null,22429,null,3270,null,692,null,639,null,0400000US28,Mississippi,28
173269,null,1665,null,76570,null,4473,null,96357,null,4155,null,49793,null,3643,null,46564,null,3803,null,342,null,275,null,0400000US29,Missouri,29
24450,null,1311,null,17894,null,1684,null,6556,null,1422,null,4731,null,1188,null,1825,null,823,null,0,null,240,null,0400000US30,Montana,30
126093,null,1345,null,35619,null,3860,null,90239,null,3953,null,40879,null,3342,null,49360,null,3350,null,235,null,240,null,0400000US31,Nebraska,31
616984,null,1401,null,154434,null,8885,null,461110,null,8819,null,221064,null,9781,null,240046,null,9516,null,1440,null,660,null,0400000US32,Nevada,32
32941,null,612,null,13365,null,1733,null,19471,null,1650,null,11780,null,1643,null,7691,null,1689,null,105,null,143,null,0400000US33,New Hampshire,33
1306418,null,838,null,225239,null,11884,null,1073979,null,11606,null,527839,null,14059,null,546140,null,12778,null,7200,null,1967,null,0400000US34,New Jersey,34
830313,null,1299,null,333017,null,10821,null,495380,null,10799,null,345350,null,9313,null,150030,null,8189,null,1916,null,1223,null,0400000US35,New Mexico,35
2970736,null,1412,null,549910,null,15736,null,2404369,null,15913,null,1222071,null,20294,null,1182298,null,19840,null,16457,null,3058,null,0400000US36,New York,36
602874,null,2392,null,106643,null,8379,null,494405,null,8321,null,206372,null,8718,null,288033,null,8524,null,1826,null,846,null,0400000US37,North Carolina,37
11685,null,656,null,6338,null,981,null,5288,null,924,null,4478,null,895,null,810,null,398,null,59,null,121,null,0400000US38,North Dakota,38
281427,null,1980,null,125703,null,5501,null,154220,null,5348,null,83814,null,4893,null,70406,null,4216,null,1504,null,661,null,0400000US39,Ohio,39
256973,null,1448,null,84941,null,5977,null,171262,null,5739,null,80407,null,4827,null,90855,null,4804,null,770,null,448,null,0400000US40,Oklahoma,40
371264,null,971,null,99443,null,7704,null,269385,null,8077,null,126950,null,7707,null,142435,null,7184,null,2436,null,1408,null,0400000US41,Oregon,41
563892,null,1594,null,175614,null,8365,null,385303,null,8338,null,229937,null,8309,null,155366,null,7882,null,2975,null,1122,null,0400000US42,Pennsylvania,42
112196,null,541,null,14485,null,2437,null,97059,null,2424,null,46970,null,3400,null,50089,null,3910,null,652,null,537,null,0400000US44,Rhode Island,44
169706,null,1807,null,38975,null,3757,null,130224,null,4105,null,51389,null,3530,null,78835,null,4352,null,507,null,332,null,0400000US45,South Carolina,45
17361,null,1242,null,9367,null,1461,null,7930,null,1336,null,3971,null,961,null,3959,null,1086,null,64,null,76,null,0400000US46,South Dakota,46
214112,null,2454,null,61600,null,5914,null,152145,null,5368,null,65174,null,4776,null,86971,null,4472,null,367,null,259,null,0400000US47,Tennessee,47
8105335,null,1905,null,1763411,null,27205,null,6330325,null,27516,null,3500194,null,37195,null,2830131,null,34226,null,11599,null,2139,null,0400000US48,Texas,48
294940,null,661,null,102845,null,7320,null,190866,null,7309,null,102072,null,6829,null,88794,null,6091,null,1229,null,735,null,0400000US49,Utah,49
8243,null,522,null,5232,null,805,null,2840,null,632,null,2078,null,588,null,762,null,332,null,171,null,263,null,0400000US50,Vermont,50
492026,null,3868,null,124491,null,8222,null,364763,null,7860,null,183015,null,7987,null,181748,null,8733,null,2772,null,1121,null,0400000US51,Virginia,51
591506,null,1129,null,188134,null,8400,null,400293,null,8312,null,196653,null,7481,null,203640,null,7864,null,3079,null,1368,null,0400000US53,Washington,53
19157,null,2049,null,12699,null,2205,null,6438,null,1572,null,4282,null,1350,null,2156,null,669,null,20,null,42,null,0400000US54,West Virginia,54
261706,null,1158,null,81285,null,5388,null,179666,null,5535,null,87264,null,5759,null,92402,null,4413,null,755,null,337,null,0400000US55,Wisconsin,55
38706,null,1076,null,20569,null,2473,null,18124,null,2120,null,11822,null,1621,null,6302,null,1520,null,13,null,24,null,0400000US56,Wyoming,56
3685394,null,4505,null,164187,null,9249,null,3519533,null,10565,null,510980,null,13527,null,3008553,null,14114,null,1674,null,526,null,0400000US72,Puerto Rico,72
