C27001A_001E,C27001A_001EA,C27001A_001M,C27001A_001MA,C27001A_002E,C27001A_002EA,C27001A_002M,C27001A_002MA,C27001A_003E,C27001A_003EA,C27001A_003M,C27001A_003MA,C27001A_004E,C27001A_004EA,C27001A_004M,C27001A_004MA,C27001A_005E,C27001A_005EA,C27001A_005M,C27001A_005MA,C27001A_006E,C27001A_006EA,C27001A_006M,C27001A_006MA,C27001A_007E,C27001A_007EA,C27001A_007M,C27001A_007MA,C27001A_008E,C27001A_008EA,C27001A_008M,C27001A_008MA,C27001A_009E,C27001A_009EA,C27001A_009M,C27001A_009MA,C27001A_010E,C27001A_010EA,C27001A_010M,C27001A_010MA,GEO_ID,NAME,state
2385734,null,7826,null,572870,null,3546,null,528599,null,6138,null,44271,null,4903,null,1493038,null,5879,null,1250375,null,8305,null,242663,null,8824,null,319826,null,1879,null,318406,null,1498,null,1420,null,1141,null,0400000US20,Kansas,20
3760568,null,6552,null,860017,null,3366,null,807698,null,5631,null,52319,null,5255,null,2391604,null,5041,null,1924760,null,13141,null,466844,null,12364,null,508947,null,1382,null,506537,null,1670,null,2410,null,927,null,0400000US21,Kentucky,21
2806100,null,5559,null,634537,null,2742,null,601760,null,5504,null,32777,null,4217,null,1773298,null,3825,null,1422124,null,12411,null,351174,null,12257,null,398265,null,2616,null,396397,null,2708,null,1868,null,768,null,0400000US22,Louisiana,22
1234936,null,4091,null,245679,null,2740,null,231718,null,3422,null,13961,null,2325,null,795185,null,2881,null,681106,null,5855,null,114079,null,5579,null,194072,null,568,null,193724,null,626,null,348,null,257,null,0400000US23,Maine,23
3375771,null,12613,null,732821,null,5060,null,700464,null,6321,null,32357,null,4725,null,2151486,null,9175,null,1895436,null,10145,null,256050,null,10817,null,491464,null,2409,null,489284,null,2545,null,2180,null,821,null,0400000US24,Maryland,24
5356467,null,12912,null,1091261,null,5922,null,1075973,null,6038,null,15288,null,2943,null,3491272,null,8721,null,3318177,null,11481,null,173095,null,9484,null,773934,null,3129,null,772569,null,3081,null,1365,null,746,null,0400000US25,Massachusetts,25
7879609,null,9368,null,1742966,null,4512,null,1665714,null,7262,null,77252,null,6065,null,5004474,null,6039,null,4192254,null,14367,null,812220,null,14936,null,1132169,null,2761,null,1129160,null,3354,null,3009,null,1405,null,0400000US26,Michigan,26
4544935,null,8410,null,1014743,null,4375,null,953067,null,5594,null,61676,null,4775,null,2924096,null,5158,null,2622984,null,10034,null,301112,null,9282,null,606096,null,1900,null,605039,null,1893,null,1057,null,533,null,0400000US27,Minnesota,27
1722334,null,5695,null,398428,null,2201,null,355106,null,5649,null,43322,null,5880,null,1056564,null,4228,null,832173,null,10296,null,224391,null,9338,null,267342,null,1990,null,267107,null,2034,null,235,null,236,null,0400000US28,Mississippi,28
4936551,null,6525,null,1125392,null,3778,null,1050924,null,7802,null,74468,null,6383,null,3101563,null,5011,null,2583167,null,11885,null,518396,null,11562,null,709596,null,2093,null,707672,null,2274,null,1924,null,747,null,0400000US29,Missouri,29
857080,null,2493,null,181425,null,1419,null,161474,null,2794,null,19951,null,2563,null,546455,null,1772,null,427898,null,6099,null,118557,null,6008,null,129200,null,639,null,128931,null,717,null,269,null,240,null,0400000US30,Montana,30
1555936,null,6414,null,369234,null,2939,null,348667,null,3809,null,20567,null,2954,null,969601,null,4192,null,828234,null,7024,null,141367,null,7314,null,217101,null,1622,null,216113,null,1626,null,988,null,539,null,0400000US31,Nebraska,31
1990991,null,11993,null,493159,null,5737,null,401296,null,9397,null,91863,null,8438,null,1244005,null,7558,null,903811,null,10377,null,340194,null,9433,null,253827,null,1838,null,250841,null,1891,null,2986,null,1228,null,0400000US32,Nevada,32
1237117,null,2958,null,262832,null,1278,null,251194,null,2429,null,11638,null,2064,null,807943,null,1983,null,698230,null,6644,null,109713,null,6564,null,166342,null,654,null,166013,null,782,null,329,null,395,null,0400000US33,New Hampshire,33
6083450,null,20499,null,1336512,null,7723,null,1265650,null,8595,null,70862,null,6897,null,3814721,null,14564,null,3266948,null,15068,null,547773,null,17001,null,932217,null,3515,null,924920,null,3515,null,7297,null,1699,null,0400000US34,New Jersey,34
1432482,null,13996,null,345151,null,6735,null,311837,null,6992,null,33314,null,4074,null,871760,null,9644,null,665315,null,10245,null,206445,null,9063,null,215571,null,2660,null,213661,null,2855,null,1910,null,915,null,0400000US35,New Mexico,35
13002966,null,28308,null,2691411,null,12096,null,2588160,null,14459,null,103251,null,8156,null,8330080,null,20430,null,7274904,null,25680,null,1055176,null,24371,null,1981475,null,4958,null,1972345,null,5329,null,9130,null,1763,null,0400000US36,New York,36
6461579,null,14196,null,1449732,null,7742,null,1351057,null,9173,null,98675,null,5892,null,4077327,null,9136,null,3318809,null,15971,null,758518,null,17101,null,934520,null,3766,null,931093,null,3629,null,3427,null,896,null,0400000US37,North Carolina,37
568383,null,1442,null,118591,null,608,null,113649,null,1173,null,4942,null,992,null,364370,null,1255,null,323166,null,3407,null,41204,null,3075,null,85422,null,399,null,85227,null,453,null,195,null,156,null,0400000US38,North Dakota,38
9558760,null,9122,null,2142805,null,5011,null,2005834,null,10018,null,136971,null,9217,null,6046135,null,6112,null,5107213,null,20870,null,938922,null,19986,null,1369820,null,4753,null,1365564,null,4869,null,4256,null,1077,null,0400000US39,Ohio,39
2713599,null,10086,null,620704,null,4996,null,563174,null,5488,null,57530,null,4601,null,1683602,null,6052,null,1300768,null,10132,null,382834,null,10775,null,409293,null,2297,null,407599,null,2332,null,1694,null,685,null,0400000US40,Oklahoma,40
3237773,null,13489,null,688074,null,6139,null,618790,null,8088,null,69284,null,5881,null,2076248,null,8849,null,1638876,null,13461,null,437372,null,12801,null,473451,null,1991,null,470648,null,2071,null,2803,null,1074,null,0400000US41,Oregon,41
10360233,null,13170,null,2134435,null,7147,null,2025458,null,9838,null,108977,null,6976,null,6543340,null,8328,null,5742928,null,17354,null,800412,null,16635,null,1682458,null,2926,null,1675631,null,3478,null,6827,null,1464,null,0400000US42,Pennsylvania,42
854926,null,5964,null,166800,null,2827,null,160183,null,3302,null,6617,null,1646,null,556879,null,3938,null,485699,null,5126,null,71180,null,5157,null,131247,null,1045,null,130997,null,1107,null,250,null,266,null,0400000US44,Rhode Island,44
3022970,null,8812,null,659231,null,3831,null,597356,null,5506,null,61875,null,5670,null,1892602,null,6342,null,1515459,null,12361,null,377143,null,12030,null,471137,null,1681,null,470060,null,1646,null,1077,null,579,null,0400000US45,South Carolina,45
687061,null,3147,null,152602,null,2484,null,145008,null,2568,null,7594,null,1758,null,429967,null,2286,null,367394,null,4179,null,62573,null,4056,null,104492,null,501,null,104098,null,617,null,394,null,365,null,0400000US46,South Dakota,46
4906777,null,9186,null,1091313,null,5012,null,1026872,null,6685,null,64441,null,5956,null,3105589,null,5633,null,2526333,null,16162,null,579256,null,16380,null,709875,null,1983,null,707959,null,2025,null,1916,null,916,null,0400000US47,Tennessee,47
17954401,null,51152,null,4873365,null,25738,null,4113886,null,29261,null,759479,null,23702,null,11034416,null,28779,null,7883912,null,32770,null,3150504,null,41836,null,2046620,null,8008,null,2018356,null,8757,null,28264,null,3564,null,0400000US48,Texas,48
2462920,null,9249,null,749420,null,4736,null,677672,null,7734,null,71748,null,7251,null,1480964,null,5742,null,1226870,null,10212,null,254094,null,11145,null,232536,null,1628,null,231346,null,1676,null,1190,null,554,null,0400000US49,Utah,49
589345,null,1347,null,117311,null,712,null,113861,null,1119,null,3450,null,986,null,387650,null,988,null,341466,null,3155,null,46184,null,3064,null,84384,null,454,null,84299,null,465,null,85,null,104,null,0400000US50,Vermont,50
5406212,null,15041,null,1194007,null,6541,null,1127617,null,8739,null,66390,null,5971,null,3472445,null,11059,null,3008601,null,16408,null,463844,null,15309,null,739760,null,3043,null,736507,null,3122,null,3253,null,1117,null,0400000US51,Virginia,51
5254072,null,13775,null,1149515,null,6378,null,1075735,null,9064,null,73780,null,7156,null,3402827,null,9152,null,2834712,null,15312,null,568115,null,15364,null,701730,null,2421,null,699347,null,2449,null,2383,null,953,null,0400000US53,Washington,53
1693662,null,2578,null,352598,null,1270,null,333075,null,3527,null,19523,null,3407,null,1074208,null,1908,null,857095,null,9535,null,217113,null,9774,null,266856,null,974,null,266497,null,983,null,359,null,229,null,0400000US54,West Virginia,54
4930698,null,7573,null,1069530,null,4132,null,1017964,null,5780,null,51566,null,4908,null,3167122,null,5021,null,2797437,null,10099,null,369685,null,10647,null,694046,null,1738,null,692732,null,1744,null,1314,null,736,null,0400000US55,Wisconsin,55
488209,null,2138,null,112231,null,1877,null,102570,null,3164,null,9661,null,2370,null,313977,null,2088,null,254663,null,4663,null,59314,null,4466,null,62001,null,1404,null,61878,null,1393,null,123,null,155,null,0400000US56,Wyoming,56
2869030,null,22307,null,685526,null,8650,null,653373,null,10030,null,32153,null,4122,null,1748850,null,15470,null,1559265,null,15163,null,189585,null,8913,null,434654,null,4566,null,431598,null,4645,null,3056,null,834,null,0400000US72,Puerto Rico,72
