C17010I_001E,C17010I_001EA,C17010I_001M,C17010I_001MA,C17010I_002E,C17010I_002EA,C17010I_002M,C17010I_002MA,C17010I_003E,C17010I_003EA,C17010I_003M,C17010I_003MA,C17010I_004E,C17010I_004EA,C17010I_004M,C17010I_004MA,C17010I_005E,C17010I_005EA,C17010I_005M,C17010I_005MA,C17010I_006E,C17010I_006EA,C17010I_006M,C17010I_006MA,C17010I_007E,C17010I_007EA,C17010I_007M,C17010I_007MA,C17010I_008E,C17010I_008EA,C17010I_008M,C17010I_008MA,C17010I_009E,C17010I_009EA,C17010I_009M,C17010I_009MA,C17010I_010E,C17010I_010EA,C17010I_010M,C17010I_010MA,C17010I_011E,C17010I_011EA,C17010I_011M,C17010I_011MA,C17010I_012E,C17010I_012EA,C17010I_012M,C17010I_012MA,C17010I_013E,C17010I_013EA,C17010I_013M,C17010I_013MA,C17010I_014E,C17010I_014EA,C17010I_014M,C17010I_014MA,C17010I_015E,C17010I_015EA,C17010I_015M,C17010I_015MA,C17010I_016E,C17010I_016EA,C17010I_016M,C17010I_016MA,C17010I_017E,C17010I_017EA,C17010I_017M,C17010I_017MA,GEO_ID,NAME,state
146817,null,5241,null,44908,null,3358,null,25683,null,3010,null,22866,null,2600,null,19225,null,2428,null,5446,null,1320,null,4999,null,1261,null,13779,null,2122,null,12405,null,2011,null,101909,null,5338,null,71319,null,4698,null,49925,null,3817,null,30590,null,2941,null,15790,null,2237,null,9065,null,1590,null,14800,null,1945,null,11590,null,1802,null,0400000US13,Georgia,13
22072,null,1661,null,2704,null,821,null,621,null,397,null,466,null,408,null,2083,null,759,null,661,null,607,null,480,null,524,null,1422,null,554,null,1305,null,534,null,19368,null,1504,null,13038,null,1494,null,8444,null,1264,null,6330,null,1214,null,2684,null,844,null,2082,null,816,null,3646,null,807,null,2965,null,704,null,0400000US15,Hawaii,15
32932,null,1766,null,8662,null,1303,null,5302,null,1222,null,4990,null,1239,null,3360,null,1053,null,587,null,431,null,325,null,296,null,2773,null,945,null,2517,null,864,null,24270,null,1870,null,18268,null,1616,null,13217,null,1526,null,6002,null,1279,null,2731,null,884,null,2100,null,782,null,3271,null,909,null,2905,null,845,null,0400000US16,Idaho,16
393602,null,6589,null,71588,null,4584,null,33018,null,3255,null,29111,null,2984,null,38570,null,3146,null,8803,null,1717,null,7125,null,1631,null,29767,null,2825,null,27195,null,2616,null,322014,null,6779,null,234417,null,6670,null,161750,null,5751,null,87597,null,5045,null,39588,null,3611,null,26064,null,3161,null,48009,null,3687,null,33343,null,3235,null,0400000US17,Illinois,17
70245,null,3294,null,18133,null,2464,null,9298,null,1894,null,8619,null,1793,null,8835,null,1670,null,1636,null,724,null,1226,null,622,null,7199,null,1455,null,6991,null,1457,null,52112,null,3125,null,36230,null,2931,null,23544,null,2310,null,15882,null,2062,null,8331,null,1501,null,5213,null,1199,null,7551,null,1323,null,5153,null,1072,null,0400000US18,Indiana,18
27879,null,1974,null,5719,null,1386,null,1856,null,677,null,1710,null,694,null,3863,null,1263,null,744,null,496,null,570,null,428,null,3119,null,1183,null,3005,null,1185,null,22160,null,1739,null,14594,null,1546,null,10625,null,1396,null,7566,null,1330,null,3069,null,980,null,2691,null,944,null,4497,null,1136,null,3363,null,1110,null,0400000US19,Iowa,19
56231,null,2436,null,11630,null,1827,null,5474,null,1299,null,4786,null,1231,null,6156,null,1309,null,1416,null,576,null,1416,null,576,null,4740,null,1218,null,4620,null,1196,null,44601,null,2781,null,33032,null,2422,null,21689,null,2196,null,11569,null,1762,null,5918,null,1138,null,3241,null,890,null,5651,null,1373,null,4909,null,1242,null,0400000US20,Kansas,20
20608,null,1815,null,6331,null,1190,null,2836,null,971,null,2266,null,846,null,3495,null,917,null,650,null,404,null,491,null,379,null,2845,null,931,null,2709,null,916,null,14277,null,1700,null,9937,null,1367,null,6841,null,1138,null,4340,null,1003,null,1947,null,628,null,432,null,289,null,2393,null,805,null,1924,null,787,null,0400000US21,Kentucky,21
31254,null,2013,null,4038,null,1130,null,1215,null,522,null,833,null,410,null,2823,null,886,null,530,null,417,null,344,null,327,null,2293,null,773,null,1609,null,573,null,27216,null,1865,null,19430,null,1884,null,10189,null,1515,null,7786,null,1483,null,3106,null,833,null,2073,null,682,null,4680,null,1216,null,2039,null,793,null,0400000US22,Louisiana,22
2552,null,521,null,402,null,236,null,147,null,134,null,147,null,134,null,255,null,194,null,21,null,41,null,21,null,41,null,234,null,187,null,234,null,187,null,2150,null,563,null,1545,null,494,null,951,null,433,null,605,null,329,null,75,null,135,null,69,null,133,null,530,null,317,null,225,null,225,null,0400000US23,Maine,23
