B18101H_001E,B18101H_001EA,B18101H_001M,B18101H_001MA,B18101H_002E,B18101H_002EA,B18101H_002M,B18101H_002MA,B18101H_003E,B18101H_003EA,B18101H_003M,B18101H_003MA,B18101H_004E,B18101H_004EA,B18101H_004M,B18101H_004MA,B18101H_005E,B18101H_005EA,B18101H_005M,B18101H_005MA,B18101H_006E,B18101H_006EA,B18101H_006M,B18101H_006MA,B18101H_007E,B18101H_007EA,B18101H_007M,B18101H_007MA,B18101H_008E,B18101H_008EA,B18101H_008M,B18101H_008MA,B18101H_009E,B18101H_009EA,B18101H_009M,B18101H_009MA,B18101H_010E,B18101H_010EA,B18101H_010M,B18101H_010MA,GEO_ID,NAME,state
293201,null,2756,null,53389,null,922,null,1184,null,571,null,52205,null,1061,null,197394,null,2744,null,15327,null,2035,null,182067,null,2978,null,42418,null,787,null,13529,null,1537,null,28889,null,1538,null,0400000US15,Hawaii,15
1284519,null,1988,null,320881,null,945,null,10936,null,1557,null,309945,null,1864,null,792954,null,1672,null,83551,null,4195,null,709403,null,4376,null,170684,null,1232,null,64611,null,2539,null,106073,null,2294,null,0400000US16,Idaho,16
8202811,null,6541,null,1718369,null,2747,null,55549,null,3532,null,1662820,null,3967,null,5281659,null,5342,null,403069,null,10965,null,4878590,null,12099,null,1202783,null,4570,null,418033,null,8012,null,784750,null,7726,null,0400000US17,Illinois,17
5227683,null,4654,null,1205318,null,1963,null,53233,null,4027,null,1152085,null,4367,null,3305752,null,3619,null,351367,null,9270,null,2954385,null,9542,null,716613,null,2865,null,268355,null,5468,null,448258,null,5667,null,0400000US18,Indiana,18
2659326,null,1906,null,593138,null,1177,null,24205,null,2525,null,568933,null,2589,null,1664237,null,1760,null,152234,null,5403,null,1512003,null,5444,null,401951,null,1281,null,133801,null,3856,null,268150,null,3664,null,0400000US19,Iowa,19
2204688,null,3245,null,502138,null,811,null,20655,null,2187,null,481483,null,2361,null,1390283,null,3062,null,139749,null,6091,null,1250534,null,6715,null,312267,null,1078,null,116670,null,4281,null,195597,null,4178,null,0400000US20,Kansas,20
3696188,null,3899,null,832682,null,1532,null,49723,null,4387,null,782959,null,4362,null,2356915,null,3634,null,368649,null,10269,null,1988266,null,11237,null,506591,null,1239,null,221908,null,4859,null,284683,null,4742,null,0400000US21,Kentucky,21
2705321,null,3778,null,602938,null,1019,null,27833,null,2855,null,575105,null,3039,null,1713623,null,2533,null,207141,null,8243,null,1506482,null,8797,null,388760,null,2449,null,160278,null,4559,null,228482,null,5140,null,0400000US22,Louisiana,22
1225243,null,3802,null,242318,null,2504,null,14635,null,1910,null,227683,null,2811,null,789450,null,2629,null,107430,null,4826,null,682020,null,5172,null,193475,null,576,null,75918,null,3089,null,117557,null,3063,null,0400000US23,Maine,23
3174778,null,5375,null,666007,null,1422,null,26904,null,2739,null,639103,null,2846,null,2027932,null,4801,null,171194,null,6782,null,1856738,null,8466,null,480839,null,2568,null,155443,null,4804,null,325396,null,5019,null,0400000US24,Maryland,24
5080770,null,5652,null,998578,null,2392,null,39942,null,4022,null,958636,null,4577,null,3321484,null,4397,null,274774,null,9117,null,3046710,null,10353,null,760708,null,2303,null,251590,null,5331,null,509118,null,5149,null,0400000US25,Massachusetts,25
7619189,null,3551,null,1646703,null,1988,null,71505,null,3378,null,1575198,null,3907,null,4853484,null,2559,null,524930,null,11791,null,4328554,null,12010,null,1119002,null,2142,null,404208,null,6122,null,714794,null,6325,null,0400000US26,Michigan,26
4406646,null,3436,null,957043,null,1707,null,30629,null,2300,null,926414,null,2758,null,2847626,null,2987,null,219286,null,6410,null,2628340,null,6942,null,601977,null,1547,null,189455,null,5783,null,412522,null,5301,null,0400000US27,Minnesota,27
1683776,null,3174,null,383880,null,632,null,17398,null,2214,null,366482,null,2207,null,1034343,null,2758,null,140615,null,6653,null,893728,null,7136,null,265553,null,1920,null,120377,null,4592,null,145176,null,4278,null,0400000US28,Mississippi,28
4813705,null,3483,null,1078243,null,1763,null,47773,null,3457,null,1030470,null,3983,null,3033697,null,3363,null,367632,null,10550,null,2666065,null,11576,null,701765,null,1875,null,270848,null,5829,null,430917,null,6019,null,0400000US29,Missouri,29
839990,null,1445,null,174613,null,435,null,4839,null,1128,null,169774,null,1257,null,537387,null,1268,null,57767,null,3280,null,479620,null,3620,null,127990,null,582,null,48387,null,2501,null,79603,null,2533,null,0400000US30,Montana,30
1469960,null,2394,null,333174,null,1144,null,10326,null,1670,null,322848,null,2093,null,923186,null,2069,null,78119,null,4179,null,845067,null,4367,null,213600,null,1149,null,74137,null,2872,null,139463,null,2950,null,0400000US31,Nebraska,31
1452405,null,3006,null,286943,null,1733,null,11008,null,2298,null,275935,null,2592,null,933934,null,2272,null,89925,null,4755,null,844009,null,4805,null,231528,null,1052,null,78672,null,3470,null,152856,null,3436,null,0400000US32,Nevada,32
1212743,null,1116,null,254101,null,558,null,9231,null,1408,null,244870,null,1539,null,793555,null,839,null,71992,null,4041,null,721563,null,4076,null,165087,null,320,null,60822,null,2689,null,104265,null,2718,null,0400000US33,New Hampshire,33
5239267,null,5567,null,1081649,null,1843,null,34941,null,2943,null,1046708,null,3640,null,3291677,null,4335,null,245958,null,8817,null,3045719,null,9687,null,865941,null,2392,null,282684,null,5898,null,583257,null,6472,null,0400000US34,New Jersey,34
810059,null,3781,null,149222,null,3299,null,5364,null,1203,null,143858,null,3368,null,506098,null,2953,null,61641,null,3884,null,444457,null,4430,null,154739,null,1822,null,58655,null,3105,null,96084,null,3053,null,0400000US35,New Mexico,35
11517687,null,7563,null,2274276,null,2927,null,79817,null,4706,null,2194459,null,5586,null,7397555,null,5449,null,619396,null,11331,null,6778159,null,12163,null,1845856,null,3338,null,623811,null,9411,null,1222045,null,10070,null,0400000US36,New York,36
6111810,null,5550,null,1306029,null,1684,null,54232,null,4175,null,1251797,null,4448,null,3882574,null,4811,null,420768,null,9954,null,3461806,null,10299,null,923207,null,3256,null,346285,null,6618,null,576922,null,6181,null,0400000US37,North Carolina,37
561420,null,1149,null,116951,null,177,null,3397,null,885,null,113554,null,898,null,359636,null,1120,null,29580,null,2694,null,330056,null,2570,null,84833,null,215,null,30155,null,1888,null,54678,null,1894,null,0400000US38,North Dakota,38
9343182,null,5126,null,2060907,null,2442,null,91736,null,4788,null,1969171,null,5026,null,5923723,null,4434,null,652703,null,13831,null,5271020,null,14571,null,1358552,null,4131,null,490079,null,7792,null,868473,null,7562,null,0400000US39,Ohio,39
2546210,null,3784,null,555404,null,1738,null,24750,null,2185,null,530654,null,2644,null,1588117,null,2937,null,228822,null,6934,null,1359295,null,7045,null,402689,null,1890,null,168199,null,4739,null,234490,null,4396,null,0400000US40,Oklahoma,40
3005535,null,2692,null,591022,null,961,null,27984,null,3122,null,563038,null,3213,null,1949610,null,2352,null,216749,null,7522,null,1732861,null,7540,null,464903,null,1336,null,176607,null,4720,null,288296,null,4648,null,0400000US41,Oregon,41
10020630,null,6423,null,2010022,null,2135,null,89392,null,4259,null,1920630,null,4809,null,6344719,null,5310,null,619392,null,12848,null,5725327,null,13696,null,1665889,null,2644,null,583512,null,7473,null,1082377,null,7572,null,0400000US42,Pennsylvania,42
804294,null,2439,null,149156,null,522,null,7613,null,1807,null,141543,null,1969,null,526199,null,2194,null,52597,null,4365,null,473602,null,4710,null,128939,null,679,null,42236,null,2584,null,86703,null,2546,null,0400000US44,Rhode Island,44
2898162,null,3798,null,610100,null,797,null,21017,null,2136,null,589083,null,2271,null,1819775,null,3693,null,207506,null,6995,null,1612269,null,7423,null,468287,null,1429,null,176899,null,5194,null,291388,null,4941,null,0400000US45,South Carolina,45
677061,null,2143,null,148186,null,2270,null,4201,null,1057,null,143985,null,2302,null,424961,null,1767,null,35998,null,3333,null,388963,null,3617,null,103914,null,324,null,36579,null,2009,null,67335,null,2088,null,0400000US46,South Dakota,46
4742227,null,2781,null,1023521,null,859,null,42610,null,3769,null,980911,null,3762,null,3013536,null,2540,null,408613,null,9956,null,2604923,null,10057,null,705170,null,1811,null,291660,null,6264,null,413510,null,5862,null,0400000US47,Tennessee,47
11328355,null,10655,null,2464036,null,3190,null,103297,null,6313,null,2360739,null,7401,null,7212832,null,7072,null,732614,null,15218,null,6480218,null,17100,null,1651487,null,5630,null,641619,null,11154,null,1009868,null,10911,null,0400000US48,Texas,48
2234229,null,2001,null,654525,null,561,null,20315,null,2351,null,634210,null,2358,null,1354966,null,1965,null,108955,null,5956,null,1246011,null,6093,null,224738,null,1267,null,80755,null,2985,null,143983,null,3114,null,0400000US49,Utah,49
583226,null,969,null,115508,null,579,null,6693,null,1269,null,108815,null,1371,null,383886,null,550,null,42228,null,3031,null,341658,null,2996,null,83832,null,264,null,29840,null,1598,null,53992,null,1648,null,0400000US50,Vermont,50
5074878,null,8514,null,1080125,null,2125,null,40054,null,3394,null,1040071,null,4180,null,3268508,null,7275,null,298365,null,9338,null,2970143,null,10776,null,726245,null,2452,null,250788,null,5223,null,475457,null,5395,null,0400000US51,Virginia,51
4875928,null,4505,null,998670,null,1684,null,39429,null,3490,null,959241,null,4119,null,3188305,null,3836,null,340691,null,10068,null,2847614,null,10701,null,688953,null,1974,null,258364,null,6710,null,430589,null,6659,null,0400000US53,Washington,53
1677982,null,1597,null,347522,null,575,null,15493,null,1935,null,332029,null,2011,null,1065340,null,1185,null,181976,null,6543,null,883364,null,6580,null,265120,null,739,null,120193,null,4070,null,144927,null,4185,null,0400000US54,West Virginia,54
4716796,null,3573,null,986643,null,1396,null,31907,null,2425,null,954736,null,2885,null,3044772,null,3138,null,253232,null,6162,null,2791540,null,6676,null,685381,null,1151,null,221578,null,5888,null,463803,null,5931,null,0400000US55,Wisconsin,55
460107,null,1119,null,102744,null,1041,null,4931,null,1241,null,97813,null,1506,null,297224,null,1041,null,29862,null,2937,null,267362,null,3077,null,60139,null,1162,null,23444,null,1808,null,36695,null,1748,null,0400000US56,Wyoming,56
37627,null,3319,null,9890,null,1698,null,383,null,262,null,9507,null,1692,null,23448,null,2675,null,5462,null,1228,null,17986,null,2459,null,4289,null,815,null,2080,null,604,null,2209,null,656,null,0400000US72,Puerto Rico,72
