C12002F_001E,C12002F_001EA,C12002F_001M,C12002F_001MA,C12002F_002E,C12002F_002EA,C12002F_002M,C12002F_002MA,C12002F_003E,C12002F_003EA,C12002F_003M,C12002F_003MA,C12002F_004E,C12002F_004EA,C12002F_004M,C12002F_004MA,C12002F_005E,C12002F_005EA,C12002F_005M,C12002F_005MA,C12002F_006E,C12002F_006EA,C12002F_006M,C12002F_006MA,GEO_ID,NAME,state
1112487,null,20851,null,514658,null,13209,null,399988,null,13981,null,64159,null,5652,null,39667,null,3427,null,94015,null,5904,null,0400000US36,New York,36
208449,null,8905,null,93470,null,7162,null,95223,null,6209,null,7588,null,1835,null,2817,null,1030,null,9351,null,1641,null,0400000US37,North Carolina,37
3140,null,933,null,1120,null,555,null,1763,null,747,null,0,null,208,null,0,null,208,null,257,null,223,null,0400000US38,North Dakota,38
52726,null,4200,null,22520,null,2321,null,21949,null,2525,null,1526,null,608,null,1027,null,416,null,5704,null,1361,null,0400000US39,Ohio,39
61957,null,6154,null,21984,null,3689,null,32908,null,3420,null,1976,null,729,null,1239,null,572,null,3850,null,1082,null,0400000US40,Oklahoma,40
102897,null,9150,null,40180,null,4667,null,46603,null,5456,null,9104,null,3237,null,1465,null,659,null,5545,null,1217,null,0400000US41,Oregon,41
162978,null,7968,null,81398,null,5900,null,55413,null,5410,null,8011,null,1508,null,5261,null,1233,null,12895,null,2084,null,0400000US42,Pennsylvania,42
47469,null,4064,null,23395,null,3026,null,16011,null,2940,null,2625,null,1096,null,1264,null,616,null,4174,null,1398,null,0400000US44,Rhode Island,44
43900,null,4884,null,19213,null,3252,null,20749,null,2954,null,1701,null,761,null,772,null,425,null,1465,null,630,null,0400000US45,South Carolina,45
5443,null,1321,null,928,null,489,null,3504,null,1089,null,406,null,346,null,0,null,223,null,605,null,576,null,0400000US46,South Dakota,46
47637,null,5745,null,19543,null,3520,null,22641,null,3186,null,1699,null,955,null,798,null,680,null,2956,null,1006,null,0400000US47,Tennessee,47
1498829,null,32199,null,549069,null,16838,null,722917,null,20128,null,62658,null,6184,null,50452,null,4145,null,113733,null,6296,null,0400000US48,Texas,48
61711,null,5805,null,24049,null,3381,null,29523,null,2994,null,2698,null,1245,null,885,null,670,null,4556,null,1406,null,0400000US49,Utah,49
1601,null,745,null,383,null,187,null,856,null,560,null,0,null,211,null,135,null,179,null,227,null,199,null,0400000US50,Vermont,50
127423,null,8660,null,48514,null,4895,null,63013,null,5945,null,5907,null,1828,null,2580,null,1300,null,7409,null,1386,null,0400000US51,Virginia,51
168164,null,10123,null,63927,null,5705,null,80080,null,5904,null,6320,null,1735,null,4550,null,1154,null,13287,null,2179,null,0400000US53,Washington,53
2611,null,906,null,1169,null,578,null,869,null,473,null,131,null,151,null,42,null,71,null,400,null,332,null,0400000US54,West Virginia,54
41629,null,4275,null,16379,null,2435,null,19421,null,2401,null,1043,null,432,null,884,null,569,null,3902,null,1077,null,0400000US55,Wisconsin,55
7793,null,1532,null,2081,null,797,null,4618,null,1161,null,30,null,52,null,320,null,217,null,744,null,484,null,0400000US56,Wyoming,56
268412,null,10774,null,120496,null,6005,null,84405,null,4868,null,10129,null,1873,null,18625,null,2155,null,34757,null,2966,null,0400000US72,Puerto Rico,72
