C27001H_001E,C27001H_001EA,C27001H_001M,C27001H_001MA,C27001H_002E,C27001H_002EA,C27001H_002M,C27001H_002MA,C27001H_003E,C27001H_003EA,C27001H_003M,C27001H_003MA,C27001H_004E,C27001H_004EA,C27001H_004M,C27001H_004MA,C27001H_005E,C27001H_005EA,C27001H_005M,C27001H_005MA,C27001H_006E,C27001H_006EA,C27001H_006M,C27001H_006MA,C27001H_007E,C27001H_007EA,C27001H_007M,C27001H_007MA,C27001H_008E,C27001H_008EA,C27001H_008M,C27001H_008MA,C27001H_009E,C27001H_009EA,C27001H_009M,C27001H_009MA,C27001H_010E,C27001H_010EA,C27001H_010M,C27001H_010MA,GEO_ID,NAME,state
804294,null,2439,null,149156,null,522,null,144121,null,1446,null,5035,null,1372,null,526199,null,2194,null,466963,null,4893,null,59236,null,4676,null,128939,null,679,null,128689,null,734,null,250,null,266,null,0400000US44,Rhode Island,44
2898162,null,3798,null,610100,null,797,null,560080,null,4948,null,50020,null,4890,null,1819775,null,3693,null,1487543,null,11882,null,332232,null,11609,null,468287,null,1429,null,467481,null,1429,null,806,null,478,null,0400000US45,South Carolina,45
677061,null,2143,null,148186,null,2270,null,141521,null,2401,null,6665,null,1523,null,424961,null,1767,null,364461,null,4026,null,60500,null,3775,null,103914,null,324,null,103520,null,506,null,394,null,365,null,0400000US46,South Dakota,46
4742227,null,2781,null,1023521,null,859,null,972035,null,5060,null,51486,null,4932,null,3013536,null,2540,null,2490561,null,15808,null,522975,null,15533,null,705170,null,1811,null,703574,null,1910,null,1596,null,755,null,0400000US47,Tennessee,47
11328355,null,10655,null,2464036,null,3190,null,2229433,null,12874,null,234603,null,12141,null,7212832,null,7072,null,5884686,null,22612,null,1328146,null,22092,null,1651487,null,5630,null,1644291,null,5929,null,7196,null,1508,null,0400000US48,Texas,48
2234229,null,2001,null,654525,null,561,null,608832,null,5686,null,45693,null,5621,null,1354966,null,1965,null,1156983,null,8921,null,197983,null,8703,null,224738,null,1267,null,224200,null,1217,null,538,null,338,null,0400000US49,Utah,49
583226,null,969,null,115508,null,579,null,112250,null,1046,null,3258,null,968,null,383886,null,550,null,338489,null,3085,null,45397,null,3078,null,83832,null,264,null,83747,null,267,null,85,null,104,null,0400000US50,Vermont,50
5074878,null,8514,null,1080125,null,2125,null,1035744,null,4704,null,44381,null,4404,null,3268508,null,7275,null,2885508,null,14421,null,383000,null,13153,null,726245,null,2452,null,723825,null,2556,null,2420,null,934,null,0400000US51,Virginia,51
4875928,null,4505,null,998670,null,1684,null,944654,null,5947,null,54016,null,5671,null,3188305,null,3836,null,2709901,null,13591,null,478404,null,13481,null,688953,null,1974,null,687480,null,1941,null,1473,null,680,null,0400000US53,Washington,53
1677982,null,1597,null,347522,null,575,null,328404,null,3490,null,19118,null,3455,null,1065340,null,1185,null,850826,null,9710,null,214514,null,9697,null,265120,null,739,null,264761,null,770,null,359,null,229,null,0400000US54,West Virginia,54
4716796,null,3573,null,986643,null,1396,null,946610,null,4107,null,40033,null,3979,null,3044772,null,3138,null,2722862,null,9243,null,321910,null,9479,null,685381,null,1151,null,684657,null,1239,null,724,null,463,null,0400000US55,Wisconsin,55
460107,null,1119,null,102744,null,1041,null,95068,null,2287,null,7676,null,2044,null,297224,null,1041,null,244373,null,4349,null,52851,null,4191,null,60139,null,1162,null,60016,null,1168,null,123,null,155,null,0400000US56,Wyoming,56
37627,null,3319,null,9890,null,1698,null,9724,null,1660,null,166,null,280,null,23448,null,2675,null,20388,null,2325,null,3060,null,983,null,4289,null,815,null,4289,null,815,null,0,null,289,null,0400000US72,Puerto Rico,72
