C25055_001E,C25055_001EA,C25055_001M,C25055_001MA,C25055_002E,C25055_002EA,C25055_002M,C25055_002MA,C25055_003E,C25055_003EA,C25055_003M,C25055_003MA,C25055_004E,C25055_004EA,C25055_004M,C25055_004MA,C25055_005E,C25055_005EA,C25055_005M,C25055_005MA,GEO_ID,NAME,state
687184,null,11146,null,539649,null,10370,null,68104,null,3955,null,38474,null,2839,null,40957,null,2642,null,0400000US18,Indiana,18
318864,null,6777,null,243981,null,6874,null,27935,null,2214,null,16224,null,1465,null,30724,null,2332,null,0400000US19,Iowa,19
332513,null,7221,null,261372,null,6272,null,29208,null,2578,null,15875,null,2027,null,26058,null,2076,null,0400000US20,Kansas,20
474540,null,8602,null,370508,null,8057,null,52810,null,3316,null,25684,null,2152,null,25538,null,2240,null,0400000US21,Kentucky,21
483751,null,8410,null,386873,null,8243,null,52433,null,3161,null,23817,null,2104,null,20628,null,2163,null,0400000US22,Louisiana,22
135933,null,4510,null,96284,null,3684,null,16498,null,1808,null,9023,null,1179,null,14128,null,1636,null,0400000US23,Maine,23
632804,null,11166,null,481710,null,10544,null,66757,null,3994,null,37379,null,2672,null,46958,null,2559,null,0400000US24,Maryland,24
854577,null,12963,null,606696,null,11885,null,104526,null,5526,null,63332,null,3532,null,80023,null,3462,null,0400000US25,Massachusetts,25
967747,null,12956,null,738772,null,11759,null,100380,null,4101,null,57208,null,2682,null,71387,null,3775,null,0400000US26,Michigan,26
519948,null,8954,null,389144,null,8538,null,49747,null,2686,null,26822,null,2259,null,54235,null,2978,null,0400000US27,Minnesota,27
284631,null,7637,null,227289,null,6743,null,31603,null,2833,null,13936,null,1855,null,11803,null,1676,null,0400000US28,Mississippi,28
673753,null,12094,null,517247,null,10845,null,71224,null,4020,null,37818,null,2756,null,47464,null,2924,null,0400000US29,Missouri,29
102278,null,4873,null,76272,null,3848,null,11724,null,1436,null,5553,null,997,null,8729,null,1255,null,0400000US30,Montana,30
216554,null,5138,null,166921,null,4308,null,19636,null,2091,null,10784,null,1264,null,19213,null,2010,null,0400000US31,Nebraska,31
381806,null,8321,null,294337,null,7915,null,44721,null,3601,null,23705,null,2158,null,19043,null,2117,null,0400000US32,Nevada,32
131324,null,4493,null,97297,null,3955,null,14008,null,1795,null,7712,null,1019,null,12307,null,1138,null,0400000US33,New Hampshire,33
1033461,null,12841,null,740918,null,10263,null,127852,null,5344,null,80521,null,3837,null,84170,null,4261,null,0400000US34,New Jersey,34
208466,null,6875,null,163255,null,5942,null,22593,null,2142,null,12509,null,1799,null,10109,null,1724,null,0400000US35,New Mexico,35
3115859,null,18399,null,2158528,null,17967,null,437496,null,7804,null,258982,null,6262,null,260853,null,6029,null,0400000US36,New York,36
1097601,null,15321,null,880886,null,15208,null,113292,null,5279,null,53565,null,3345,null,49858,null,2958,null,0400000US37,North Carolina,37
87319,null,3369,null,65940,null,3190,null,6963,null,1087,null,3872,null,798,null,10544,null,1163,null,0400000US38,North Dakota,38
1368457,null,15690,null,1031798,null,12591,null,160539,null,5256,null,85232,null,3605,null,90888,null,3806,null,0400000US39,Ohio,39
423910,null,8905,null,338279,null,8393,null,42602,null,2577,null,20561,null,2003,null,22468,null,1884,null,0400000US40,Oklahoma,40
524928,null,8573,null,401661,null,7139,null,55733,null,3643,null,29100,null,3223,null,38434,null,2546,null,0400000US41,Oregon,41
1360911,null,17509,null,970554,null,15505,null,151129,null,5709,null,99044,null,4206,null,140184,null,4714,null,0400000US42,Pennsylvania,42
143571,null,4628,null,101377,null,4005,null,17244,null,1819,null,10774,null,1104,null,14176,null,1436,null,0400000US44,Rhode Island,44
464320,null,9248,null,370821,null,9481,null,49617,null,2884,null,25548,null,2594,null,18334,null,1993,null,0400000US45,South Carolina,45
90783,null,4244,null,64319,null,3716,null,9361,null,1488,null,6987,null,1170,null,10116,null,1177,null,0400000US46,South Dakota,46
689938,null,11832,null,537516,null,10216,null,81454,null,4846,null,36772,null,2752,null,34196,null,2519,null,0400000US47,Tennessee,47
2910386,null,22277,null,2393206,null,22845,null,266639,null,8044,null,128018,null,5507,null,122523,null,5794,null,0400000US48,Texas,48
233889,null,6210,null,194873,null,5841,null,18675,null,2036,null,9771,null,1452,null,10570,null,1450,null,0400000US49,Utah,49
67399,null,3211,null,50200,null,2792,null,6854,null,1037,null,3849,null,758,null,6496,null,886,null,0400000US50,Vermont,50
889685,null,13419,null,706956,null,12121,null,89749,null,4513,null,43860,null,3386,null,49120,null,2862,null,0400000US51,Virginia,51
875591,null,11953,null,683043,null,10359,null,91634,null,4914,null,44137,null,3561,null,56777,null,3250,null,0400000US53,Washington,53
169026,null,5422,null,127153,null,5222,null,19580,null,2062,null,12460,null,1477,null,9833,null,1301,null,0400000US54,West Virginia,54
673740,null,9027,null,509741,null,8439,null,65461,null,3034,null,37859,null,2699,null,60679,null,2808,null,0400000US55,Wisconsin,55
55326,null,3663,null,42685,null,3362,null,7217,null,1282,null,2081,null,512,null,3343,null,729,null,0400000US56,Wyoming,56
213887,null,5609,null,158582,null,4810,null,26842,null,2243,null,16164,null,1556,null,12299,null,1150,null,0400000US72,Puerto Rico,72
