C17010A_001E,C17010A_001EA,C17010A_001M,C17010A_001MA,C17010A_002E,C17010A_002EA,C17010A_002M,C17010A_002MA,C17010A_003E,C17010A_003EA,C17010A_003M,C17010A_003MA,C17010A_004E,C17010A_004EA,C17010A_004M,C17010A_004MA,C17010A_005E,C17010A_005EA,C17010A_005M,C17010A_005MA,C17010A_006E,C17010A_006EA,C17010A_006M,C17010A_006MA,C17010A_007E,C17010A_007EA,C17010A_007M,C17010A_007MA,C17010A_008E,C17010A_008EA,C17010A_008M,C17010A_008MA,C17010A_009E,C17010A_009EA,C17010A_009M,C17010A_009MA,C17010A_010E,C17010A_010EA,C17010A_010M,C17010A_010MA,C17010A_011E,C17010A_011EA,C17010A_011M,C17010A_011MA,C17010A_012E,C17010A_012EA,C17010A_012M,C17010A_012MA,C17010A_013E,C17010A_013EA,C17010A_013M,C17010A_013MA,C17010A_014E,C17010A_014EA,C17010A_014M,C17010A_014MA,C17010A_015E,C17010A_015EA,C17010A_015M,C17010A_015MA,C17010A_016E,C17010A_016EA,C17010A_016M,C17010A_016MA,C17010A_017E,C17010A_017EA,C17010A_017M,C17010A_017MA,GEO_ID,NAME,state
92650,null,3609,null,5454,null,1279,null,2129,null,942,null,1247,null,669,null,3325,null,923,null,289,null,285,null,289,null,285,null,3036,null,874,null,2814,null,839,null,87196,null,3338,null,73406,null,3211,null,29511,null,2412,null,13790,null,1948,null,5023,null,1231,null,3164,null,997,null,8767,null,1373,null,4756,null,1189,null,0400000US15,Hawaii,15
375127,null,5476,null,35089,null,3026,null,18503,null,2027,null,12298,null,1632,null,16586,null,2368,null,3119,null,978,null,2507,null,921,null,13467,null,1998,null,12388,null,1908,null,340038,null,6099,null,287060,null,6357,null,126020,null,4471,null,52978,null,3528,null,18987,null,2333,null,12090,null,1827,null,33991,null,2609,null,22432,null,2326,null,0400000US16,Idaho,16
2368800,null,14547,null,161186,null,6194,null,67088,null,4163,null,45343,null,3790,null,94098,null,4827,null,17649,null,2267,null,14243,null,2151,null,76449,null,4505,null,64663,null,3995,null,2207614,null,14232,null,1835826,null,14175,null,778760,null,10000,null,371788,null,8253,null,124801,null,4823,null,66111,null,3921,null,246987,null,7386,null,133562,null,5470,null,0400000US17,Illinois,17
1458901,null,10483,null,126422,null,5411,null,48471,null,2823,null,30728,null,2714,null,77951,null,4852,null,14138,null,2061,null,11972,null,1858,null,63813,null,4200,null,56493,null,4024,null,1332479,null,10950,null,1106759,null,11095,null,455611,null,7966,null,225720,null,7002,null,72489,null,4184,null,43078,null,3356,null,153231,null,6206,null,86495,null,4291,null,0400000US18,Indiana,18
749617,null,7663,null,50740,null,3424,null,18568,null,1638,null,11217,null,1417,null,32172,null,2883,null,5200,null,1311,null,4170,null,1112,null,26972,null,2648,null,25682,null,2532,null,698877,null,7178,null,591136,null,7459,null,229310,null,4862,null,107741,null,3990,null,36858,null,2872,null,21973,null,2294,null,70883,null,2978,null,44987,null,2473,null,0400000US19,Iowa,19
639004,null,6937,null,48947,null,3397,null,19366,null,1968,null,12799,null,1577,null,29581,null,2785,null,5901,null,1269,null,4847,null,1185,null,23680,null,2614,null,21312,null,2489,null,590057,null,6644,null,489980,null,6073,null,204417,null,4726,null,100077,null,4105,null,34674,null,2681,null,21429,null,2269,null,65403,null,3144,null,40514,null,2446,null,0400000US20,Kansas,20
1039644,null,11254,null,136030,null,6057,null,57865,null,4033,null,34404,null,3444,null,78165,null,4683,null,12490,null,1818,null,9501,null,1652,null,65675,null,4455,null,57826,null,4215,null,903614,null,9962,null,744354,null,10924,null,304656,null,7827,null,159260,null,6901,null,48178,null,3570,null,25339,null,2596,null,111082,null,5378,null,64786,null,4666,null,0400000US21,Kentucky,21
763510,null,8428,null,56699,null,4367,null,22773,null,2153,null,11964,null,1751,null,33926,null,3781,null,3699,null,947,null,2308,null,763,null,30227,null,3668,null,25786,null,3380,null,706811,null,8319,null,587061,null,9528,null,244550,null,6811,null,119750,null,5695,null,41829,null,3237,null,24309,null,2942,null,77921,null,4196,null,44236,null,3394,null,0400000US22,Louisiana,22
336089,null,5392,null,25982,null,2401,null,9204,null,1297,null,4974,null,998,null,16778,null,1996,null,3529,null,841,null,3031,null,829,null,13249,null,1856,null,11693,null,1663,null,310107,null,5517,null,255262,null,4551,null,90090,null,3189,null,54845,null,3430,null,16419,null,1614,null,9204,null,1275,null,38426,null,3031,null,23758,null,2583,null,0400000US23,Maine,23
889506,null,8466,null,33739,null,2867,null,14381,null,1854,null,7519,null,1447,null,19358,null,2172,null,2903,null,964,null,2457,null,957,null,16455,null,2180,null,15120,null,2114,null,855767,null,8814,null,715021,null,8833,null,299457,null,6595,null,140746,null,6217,null,43416,null,3037,null,21273,null,2450,null,97330,null,4928,null,55741,null,4146,null,0400000US24,Maryland,24
1316370,null,12256,null,67314,null,4456,null,21876,null,2209,null,9584,null,1551,null,45438,null,3796,null,6673,null,1467,null,4670,null,1158,null,38765,null,3260,null,33603,null,2868,null,1249056,null,12245,null,1010205,null,11874,null,437061,null,8444,null,238851,null,7506,null,68294,null,4790,null,29633,null,2914,null,170557,null,6381,null,87987,null,4782,null,0400000US25,Massachusetts,25
2094700,null,13107,null,179898,null,6556,null,77439,null,4289,null,48301,null,3258,null,102459,null,5107,null,18536,null,2179,null,14705,null,2003,null,83923,null,4524,null,73884,null,4318,null,1914802,null,13170,null,1594039,null,12971,null,637253,null,9684,null,320763,null,7096,null,105724,null,4377,null,54630,null,3615,null,215039,null,5926,null,116739,null,4630,null,0400000US26,Michigan,26
1221304,null,9165,null,66338,null,3619,null,26324,null,2403,null,13855,null,1556,null,40014,null,3071,null,8067,null,1455,null,6235,null,1227,null,31947,null,2767,null,28940,null,2563,null,1154966,null,9374,null,977838,null,9076,null,403583,null,5616,null,177128,null,5761,null,58227,null,3078,null,32552,null,2472,null,118901,null,4767,null,72459,null,3705,null,0400000US27,Minnesota,27
483192,null,7301,null,47407,null,3800,null,23384,null,2445,null,12981,null,1754,null,24023,null,3053,null,5199,null,1447,null,3650,null,1096,null,18824,null,2666,null,16277,null,2363,null,435785,null,8205,null,366566,null,8326,null,146835,null,5226,null,69219,null,4581,null,21904,null,2943,null,13039,null,2178,null,47315,null,3762,null,26755,null,3080,null,0400000US28,Mississippi,28
1331030,null,9840,null,120266,null,5436,null,44520,null,3198,null,27858,null,2486,null,75746,null,4299,null,14490,null,2001,null,10553,null,1647,null,61256,null,3832,null,54769,null,3799,null,1210764,null,9837,null,1009992,null,9737,null,399462,null,8298,null,200772,null,6632,null,65139,null,4123,null,36602,null,3335,null,135633,null,5388,null,80375,null,3965,null,0400000US29,Missouri,29
217711,null,4718,null,18016,null,1857,null,7635,null,978,null,4522,null,851,null,10381,null,1728,null,2267,null,856,null,2025,null,868,null,8114,null,1538,null,7483,null,1542,null,199695,null,4865,null,170125,null,5129,null,58853,null,3504,null,29570,null,2558,null,10136,null,1739,null,5622,null,1199,null,19434,null,2030,null,11590,null,1708,null,0400000US30,Montana,30
414409,null,6333,null,27534,null,2364,null,11589,null,1543,null,7634,null,1380,null,15945,null,1975,null,2652,null,772,null,2344,null,716,null,13293,null,1902,null,12323,null,1825,null,386875,null,6477,null,326685,null,6278,null,136553,null,4296,null,60190,null,3600,null,18108,null,1914,null,9215,null,1530,null,42082,null,3140,null,25969,null,2555,null,0400000US31,Nebraska,31
496122,null,8644,null,39569,null,3464,null,17177,null,2445,null,12156,null,2005,null,22392,null,2555,null,4973,null,1087,null,3812,null,1099,null,17419,null,2468,null,15535,null,2416,null,456553,null,8542,null,348392,null,6725,null,149550,null,6284,null,108161,null,5954,null,42654,null,3359,null,24096,null,2619,null,65507,null,4613,null,38791,null,3863,null,0400000US32,Nevada,32
322383,null,4691,null,16291,null,2032,null,5518,null,881,null,2610,null,668,null,10773,null,1798,null,1567,null,703,null,1497,null,698,null,9206,null,1796,null,8276,null,1778,null,306092,null,4221,null,255431,null,4971,null,103645,null,4195,null,50661,null,3305,null,17415,null,2025,null,10165,null,1656,null,33246,null,2681,null,21163,null,2003,null,0400000US33,New Hampshire,33
1588628,null,11273,null,79500,null,5049,null,29921,null,2571,null,17359,null,1844,null,49579,null,3907,null,8580,null,1895,null,5957,null,1442,null,40999,null,3599,null,34653,null,3576,null,1509128,null,11203,null,1234712,null,11709,null,543750,null,10031,null,274416,null,6569,null,81055,null,4389,null,36169,null,3344,null,193361,null,5346,null,96440,null,4234,null,0400000US34,New Jersey,34
371206,null,6884,null,41895,null,3233,null,16747,null,2297,null,11124,null,2130,null,25148,null,2546,null,5020,null,1358,null,4116,null,1290,null,20128,null,2353,null,17827,null,2180,null,329311,null,6833,null,258591,null,6098,null,96358,null,4928,null,70720,null,4108,null,21816,null,2466,null,14362,null,2318,null,48904,null,3235,null,29191,null,2717,null,0400000US35,New Mexico,35
3242293,null,14975,null,232421,null,7654,null,97276,null,4862,null,57724,null,3998,null,135145,null,6567,null,25283,null,2645,null,19283,null,2349,null,109862,null,5970,null,91640,null,5321,null,3009872,null,16346,null,2422740,null,16067,null,1018690,null,12361,null,587132,null,12529,null,176380,null,7223,null,81435,null,5516,null,410752,null,9680,null,203668,null,7403,null,0400000US36,New York,36
1784842,null,14528,null,142125,null,6165,null,62392,null,4032,null,37791,null,3405,null,79733,null,4923,null,15285,null,2496,null,11840,null,2112,null,64448,null,4169,null,55609,null,3978,null,1642717,null,14855,null,1387104,null,12803,null,536579,null,9637,null,255613,null,8888,null,84112,null,5420,null,48519,null,4911,null,171501,null,7205,null,97374,null,5295,null,0400000US37,North Carolina,37
159108,null,3449,null,7838,null,1139,null,3080,null,588,null,1659,null,504,null,4758,null,1075,null,770,null,354,null,770,null,354,null,3988,null,986,null,3532,null,969,null,151270,null,3572,null,130433,null,2896,null,50177,null,2281,null,20837,null,2040,null,7677,null,1339,null,4278,null,1000,null,13160,null,1439,null,8247,null,1262,null,0400000US38,North Dakota,38
2544355,null,14261,null,221909,null,8535,null,80421,null,4193,null,51430,null,3436,null,141488,null,6731,null,24305,null,3128,null,19771,null,2788,null,117183,null,5611,null,101730,null,5669,null,2322446,null,14562,null,1907018,null,15835,null,759090,null,11257,null,415428,null,8725,null,131050,null,6390,null,71064,null,4318,null,284378,null,6928,null,155807,null,5689,null,0400000US39,Ohio,39
744736,null,8471,null,71977,null,3849,null,29208,null,2386,null,17403,null,2075,null,42769,null,2967,null,7156,null,1300,null,5394,null,1307,null,35613,null,2805,null,32178,null,2543,null,672759,null,8422,null,554546,null,8962,null,223418,null,6638,null,118213,null,5121,null,40567,null,3328,null,23033,null,2423,null,77646,null,3918,null,44454,null,3342,null,0400000US40,Oklahoma,40
847609,null,9824,null,74094,null,4170,null,30334,null,3107,null,18032,null,2216,null,43760,null,3386,null,9106,null,1612,null,7381,null,1529,null,34654,null,3219,null,30215,null,3115,null,773515,null,10220,null,637779,null,11067,null,239262,null,7055,null,135736,null,5268,null,43359,null,3304,null,23725,null,2661,null,92377,null,4826,null,54592,null,3600,null,0400000US41,Oregon,41
2771803,null,14982,null,178991,null,6486,null,69332,null,3273,null,36252,null,2490,null,109659,null,5751,null,17807,null,2182,null,13613,null,1917,null,91852,null,5104,null,80244,null,5012,null,2592812,null,14088,null,2138798,null,14179,null,831185,null,9555,null,454014,null,10236,null,146427,null,6095,null,70849,null,4423,null,307587,null,8043,null,156166,null,5929,null,0400000US42,Pennsylvania,42
218924,null,5167,null,13100,null,1938,null,4154,null,1061,null,2054,null,701,null,8946,null,1558,null,881,null,511,null,572,null,350,null,8065,null,1447,null,7068,null,1426,null,205824,null,4980,null,164776,null,4788,null,64836,null,3246,null,41048,null,3719,null,11959,null,2046,null,6473,null,1520,null,29089,null,2971,null,16232,null,2267,null,0400000US44,Rhode Island,44
825574,null,8849,null,66791,null,4128,null,30780,null,2711,null,17528,null,2377,null,36011,null,3259,null,6637,null,1291,null,5023,null,1258,null,29374,null,2984,null,25004,null,2831,null,758783,null,8608,null,642233,null,8546,null,238030,null,6719,null,116550,null,4759,null,39820,null,3059,null,23435,null,2776,null,76730,null,4322,null,44855,null,3816,null,0400000US45,South Carolina,45
183732,null,3925,null,10869,null,1764,null,5476,null,1146,null,2962,null,826,null,5393,null,1099,null,1272,null,580,null,991,null,519,null,4121,null,1003,null,3891,null,994,null,172863,null,3724,null,147582,null,3315,null,59652,null,2531,null,25281,null,2292,null,6872,null,1167,null,3906,null,866,null,18409,null,1987,null,12404,null,1598,null,0400000US46,South Dakota,46
1342482,null,11231,null,139794,null,6329,null,65942,null,4370,null,37739,null,3433,null,73852,null,4881,null,13184,null,1946,null,10475,null,1860,null,60668,null,4432,null,50867,null,4199,null,1202688,null,11787,null,1003190,null,11646,null,401145,null,7186,null,199498,null,7677,null,63589,null,4478,null,35358,null,3385,null,135909,null,6195,null,75579,null,4855,null,0400000US47,Tennessee,47
4500109,null,23956,null,520610,null,11124,null,240454,null,8094,null,173578,null,7176,null,280156,null,9418,null,42475,null,3612,null,32235,null,3338,null,237681,null,8923,null,210670,null,8802,null,3979499,null,23597,null,3202081,null,24400,null,1471993,null,17662,null,777418,null,15278,null,250371,null,8307,null,133552,null,6057,null,527047,null,12783,null,321832,null,12287,null,0400000US48,Texas,48
597745,null,6384,null,41438,null,3353,null,22619,null,2246,null,14883,null,1730,null,18819,null,2552,null,3555,null,939,null,2635,null,877,null,15264,null,2283,null,13083,null,2116,null,556307,null,6246,null,474775,null,5720,null,249259,null,5322,null,81532,null,4456,null,26512,null,2322,null,15879,null,1887,null,55020,null,3691,null,34374,null,2784,null,0400000US49,Utah,49
154061,null,3106,null,10394,null,1388,null,3919,null,709,null,2008,null,578,null,6475,null,1111,null,967,null,323,null,877,null,325,null,5508,null,1061,null,5174,null,1065,null,143667,null,3330,null,118187,null,3090,null,45301,null,2406,null,25480,null,1998,null,8592,null,1227,null,5250,null,1006,null,16888,null,1589,null,10587,null,1347,null,0400000US50,Vermont,50
1460994,null,13036,null,77128,null,4662,null,32175,null,3265,null,19138,null,2651,null,44953,null,3246,null,7137,null,1537,null,4965,null,1458,null,37816,null,3310,null,32747,null,3128,null,1383866,null,12782,null,1159864,null,12677,null,482924,null,8314,null,224002,null,7324,null,74895,null,4701,null,43393,null,3394,null,149107,null,5180,null,85639,null,4674,null,0400000US51,Virginia,51
1379046,null,12589,null,95089,null,5389,null,37080,null,2970,null,23651,null,2707,null,58009,null,3970,null,10396,null,1416,null,7622,null,1365,null,47613,null,3679,null,42394,null,3478,null,1283957,null,12343,null,1057952,null,11242,null,426472,null,8740,null,226005,null,7677,null,76889,null,4563,null,46068,null,3635,null,149116,null,6019,null,93670,null,5045,null,0400000US53,Washington,53
470789,null,6742,null,63671,null,3329,null,27789,null,2654,null,15200,null,1910,null,35882,null,2609,null,7100,null,1788,null,4895,null,1295,null,28782,null,2374,null,24334,null,2264,null,407118,null,7068,null,337705,null,7262,null,123051,null,5195,null,69413,null,3540,null,22626,null,2297,null,11466,null,1877,null,46787,null,2892,null,23795,null,2362,null,0400000US54,West Virginia,54
1345597,null,9047,null,87475,null,4142,null,31261,null,2223,null,19898,null,1951,null,56214,null,3789,null,9589,null,1573,null,8170,null,1428,null,46625,null,3263,null,43228,null,3126,null,1258122,null,9792,null,1052071,null,9623,null,414074,null,7136,null,206051,null,5474,null,73769,null,4119,null,42154,null,3699,null,132282,null,4935,null,80077,null,3913,null,0400000US55,Wisconsin,55
133254,null,3530,null,8063,null,1397,null,3604,null,988,null,2078,null,863,null,4459,null,1026,null,627,null,389,null,616,null,395,null,3832,null,960,null,3581,null,902,null,125191,null,3584,null,106268,null,3885,null,42567,null,2657,null,18923,null,1786,null,8005,null,1192,null,5271,null,1016,null,10918,null,1591,null,6812,null,1238,null,0400000US56,Wyoming,56
635151,null,7460,null,247229,null,5616,null,113958,null,3810,null,52701,null,2693,null,133271,null,4480,null,23887,null,2072,null,14614,null,1767,null,109384,null,3933,null,74833,null,3580,null,387922,null,7439,null,276882,null,6358,null,103147,null,4843,null,111040,null,4094,null,22688,null,1933,null,8975,null,1336,null,88352,null,4055,null,38315,null,2939,null,0400000US72,Puerto Rico,72
