B27001G_001E,B27001G_001EA,B27001G_001M,B27001G_001MA,B27001G_002E,B27001G_002EA,B27001G_002M,B27001G_002MA,B27001G_003E,B27001G_003EA,B27001G_003M,B27001G_003MA,B27001G_004E,B27001G_004EA,B27001G_004M,B27001G_004MA,B27001G_005E,B27001G_005EA,B27001G_005M,B27001G_005MA,B27001G_006E,B27001G_006EA,B27001G_006M,B27001G_006MA,B27001G_007E,B27001G_007EA,B27001G_007M,B27001G_007MA,B27001G_008E,B27001G_008EA,B27001G_008M,B27001G_008MA,B27001G_009E,B27001G_009EA,B27001G_009M,B27001G_009MA,B27001G_010E,B27001G_010EA,B27001G_010M,B27001G_010MA,B27001G_011E,B27001G_011EA,B27001G_011M,B27001G_011MA,B27001G_012E,B27001G_012EA,B27001G_012M,B27001G_012MA,B27001G_013E,B27001G_013EA,B27001G_013M,B27001G_013MA,B27001G_014E,B27001G_014EA,B27001G_014M,B27001G_014MA,B27001G_015E,B27001G_015EA,B27001G_015M,B27001G_015MA,B27001G_016E,B27001G_016EA,B27001G_016M,B27001G_016MA,B27001G_017E,B27001G_017EA,B27001G_017M,B27001G_017MA,B27001G_018E,B27001G_018EA,B27001G_018M,B27001G_018MA,B27001G_019E,B27001G_019EA,B27001G_019M,B27001G_019MA,B27001G_020E,B27001G_020EA,B27001G_020M,B27001G_020MA,B27001G_021E,B27001G_021EA,B27001G_021M,B27001G_021MA,B27001G_022E,B27001G_022EA,B27001G_022M,B27001G_022MA,B27001G_023E,B27001G_023EA,B27001G_023M,B27001G_023MA,B27001G_024E,B27001G_024EA,B27001G_024M,B27001G_024MA,B27001G_025E,B27001G_025EA,B27001G_025M,B27001G_025MA,B27001G_026E,B27001G_026EA,B27001G_026M,B27001G_026MA,B27001G_027E,B27001G_027EA,B27001G_027M,B27001G_027MA,B27001G_028E,B27001G_028EA,B27001G_028M,B27001G_028MA,GEO_ID,NAME,state
155647,null,10275,null,33880,null,3348,null,31314,null,3283,null,2566,null,1072,null,47683,null,5098,null,43594,null,4621,null,4089,null,1312,null,15958,null,2235,null,11015,null,1866,null,4943,null,1315,null,19476,null,3143,null,13965,null,2437,null,5511,null,1534,null,15597,null,3143,null,11392,null,1903,null,4205,null,2147,null,11274,null,1514,null,8590,null,1445,null,2684,null,793,null,7193,null,1493,null,5533,null,1142,null,1660,null,845,null,3443,null,894,null,3380,null,895,null,63,null,91,null,1143,null,528,null,1143,null,528,null,0,null,296,null,0400000US13,Georgia,13
297982,null,12962,null,45893,null,3545,null,45037,null,3590,null,856,null,636,null,72184,null,4587,null,70030,null,4573,null,2154,null,1098,null,33491,null,2846,null,28780,null,2603,null,4711,null,1314,null,42706,null,3673,null,38264,null,3442,null,4442,null,1250,null,34798,null,3516,null,32087,null,3310,null,2711,null,795,null,31857,null,2696,null,28724,null,2544,null,3133,null,861,null,20258,null,2079,null,19637,null,2150,null,621,null,329,null,9563,null,1047,null,9563,null,1047,null,0,null,275,null,7232,null,1135,null,7232,null,1135,null,0,null,275,null,0400000US15,Hawaii,15
37620,null,3790,null,9376,null,2095,null,8869,null,1937,null,507,null,433,null,10504,null,1705,null,9333,null,1611,null,1171,null,526,null,4803,null,1268,null,3217,null,1106,null,1586,null,653,null,3270,null,1023,null,2464,null,844,null,806,null,479,null,2917,null,916,null,1952,null,677,null,965,null,522,null,3449,null,980,null,2695,null,772,null,754,null,614,null,2022,null,625,null,1654,null,632,null,368,null,269,null,922,null,421,null,922,null,421,null,0,null,263,null,357,null,207,null,357,null,207,null,0,null,263,null,0400000US16,Idaho,16
229146,null,12435,null,58310,null,4827,null,56108,null,4900,null,2202,null,1059,null,70151,null,5908,null,67561,null,5955,null,2590,null,1090,null,24745,null,3063,null,19573,null,2802,null,5172,null,1208,null,24007,null,2603,null,19044,null,2190,null,4963,null,1315,null,19415,null,2468,null,16280,null,2145,null,3135,null,890,null,13685,null,1779,null,11450,null,1572,null,2235,null,816,null,10779,null,1494,null,8580,null,1291,null,2199,null,732,null,5337,null,1144,null,5133,null,1085,null,204,null,274,null,2717,null,914,null,2625,null,872,null,92,null,145,null,0400000US17,Illinois,17
115351,null,6834,null,23783,null,2622,null,21536,null,2480,null,2247,null,741,null,39305,null,3867,null,35651,null,3148,null,3654,null,1889,null,13408,null,1969,null,9726,null,1729,null,3682,null,1017,null,11861,null,1987,null,8835,null,1542,null,3026,null,1077,null,9805,null,1652,null,7602,null,1525,null,2203,null,802,null,7736,null,1426,null,6079,null,1314,null,1657,null,587,null,4916,null,917,null,4081,null,808,null,835,null,390,null,2702,null,831,null,2702,null,831,null,0,null,269,null,1835,null,653,null,1835,null,653,null,0,null,269,null,0400000US18,Indiana,18
53514,null,4619,null,11828,null,1889,null,11381,null,1846,null,447,null,467,null,19746,null,2437,null,18713,null,2405,null,1033,null,537,null,4922,null,1162,null,3644,null,870,null,1278,null,645,null,7496,null,1631,null,5178,null,1365,null,2318,null,894,null,3286,null,966,null,2447,null,788,null,839,null,657,null,2983,null,848,null,2609,null,769,null,374,null,295,null,1857,null,715,null,1475,null,564,null,382,null,360,null,806,null,479,null,806,null,479,null,0,null,228,null,590,null,359,null,590,null,359,null,0,null,228,null,0400000US19,Iowa,19
79366,null,6043,null,17460,null,2474,null,15854,null,2324,null,1606,null,623,null,25371,null,2670,null,23137,null,2388,null,2234,null,905,null,8809,null,1804,null,5823,null,1399,null,2986,null,1096,null,6937,null,1559,null,4988,null,1226,null,1949,null,898,null,8046,null,1661,null,6227,null,1498,null,1819,null,803,null,6609,null,1238,null,5178,null,1010,null,1431,null,596,null,3371,null,832,null,3038,null,786,null,333,null,178,null,1750,null,585,null,1638,null,579,null,112,null,134,null,1013,null,447,null,1013,null,447,null,0,null,244,null,0400000US20,Kansas,20
69922,null,5562,null,18360,null,2267,null,17289,null,2181,null,1071,null,716,null,21594,null,2632,null,19851,null,2848,null,1743,null,854,null,6967,null,1669,null,3839,null,1296,null,3128,null,1014,null,5035,null,1301,null,2916,null,900,null,2119,null,932,null,4767,null,1114,null,3583,null,955,null,1184,null,542,null,5043,null,1036,null,3857,null,1016,null,1186,null,537,null,3286,null,791,null,2822,null,697,null,464,null,340,null,3319,null,1055,null,3319,null,1055,null,0,null,273,null,1551,null,751,null,1551,null,751,null,0,null,273,null,0400000US21,Kentucky,21
61521,null,5926,null,14888,null,2742,null,14316,null,2732,null,572,null,593,null,16792,null,2797,null,15687,null,2709,null,1105,null,563,null,7074,null,1699,null,4251,null,1341,null,2823,null,1174,null,5605,null,1213,null,4136,null,995,null,1469,null,613,null,3824,null,1189,null,2602,null,899,null,1222,null,653,null,5838,null,1383,null,4498,null,1200,null,1340,null,578,null,4101,null,903,null,2964,null,733,null,1137,null,599,null,1671,null,667,null,1671,null,667,null,0,null,281,null,1728,null,632,null,1728,null,632,null,0,null,281,null,0400000US22,Louisiana,22
25937,null,2914,null,4907,null,1322,null,4505,null,1215,null,402,null,402,null,5682,null,1213,null,5381,null,1193,null,301,null,269,null,4472,null,1124,null,2984,null,906,null,1488,null,817,null,3006,null,909,null,2047,null,653,null,959,null,644,null,2339,null,833,null,1925,null,755,null,414,null,313,null,2761,null,942,null,2231,null,855,null,530,null,360,null,1751,null,653,null,1414,null,491,null,337,null,419,null,638,null,318,null,638,null,318,null,0,null,230,null,381,null,231,null,381,null,231,null,0,null,230,null,0400000US23,Maine,23
127743,null,8924,null,26798,null,3938,null,26353,null,3940,null,445,null,373,null,36393,null,4065,null,34741,null,3934,null,1652,null,835,null,15491,null,2169,null,12700,null,1875,null,2791,null,1167,null,15798,null,2500,null,12526,null,2344,null,3272,null,1201,null,10689,null,1853,null,9101,null,1669,null,1588,null,840,null,10485,null,1579,null,9167,null,1459,null,1318,null,630,null,7537,null,1510,null,6312,null,1434,null,1225,null,776,null,2776,null,993,null,2776,null,993,null,0,null,285,null,1776,null,602,null,1776,null,602,null,0,null,285,null,0400000US24,Maryland,24
151818,null,9354,null,30477,null,2810,null,30422,null,2815,null,55,null,92,null,42126,null,3931,null,41709,null,3976,null,417,null,369,null,16277,null,2370,null,14006,null,1955,null,2271,null,899,null,20703,null,2873,null,17746,null,2721,null,2957,null,1181,null,15752,null,2056,null,13957,null,1985,null,1795,null,974,null,12179,null,2099,null,10837,null,1845,null,1342,null,856,null,8874,null,1591,null,8651,null,1554,null,223,null,254,null,3490,null,1169,null,3490,null,1169,null,0,null,283,null,1940,null,661,null,1940,null,661,null,0,null,283,null,0400000US25,Massachusetts,25
194852,null,9932,null,37355,null,3422,null,36211,null,3379,null,1144,null,469,null,61007,null,4571,null,58738,null,4669,null,2269,null,932,null,23558,null,2715,null,17988,null,2379,null,5570,null,1206,null,21475,null,2134,null,15835,null,1748,null,5640,null,1249,null,18842,null,2328,null,14828,null,2092,null,4014,null,912,null,15183,null,1784,null,12683,null,1620,null,2500,null,720,null,10025,null,1299,null,8405,null,1200,null,1620,null,563,null,5270,null,1042,null,5090,null,1034,null,180,null,172,null,2137,null,556,null,2137,null,556,null,0,null,244,null,0400000US26,Michigan,26
103073,null,5437,null,22590,null,2313,null,21447,null,2262,null,1143,null,473,null,37048,null,2838,null,34529,null,2717,null,2519,null,782,null,10886,null,1862,null,7265,null,1379,null,3621,null,1171,null,11385,null,1503,null,8929,null,1541,null,2456,null,901,null,8694,null,1531,null,7078,null,1499,null,1616,null,678,null,6741,null,1279,null,5675,null,1058,null,1066,null,627,null,3328,null,978,null,2712,null,868,null,616,null,252,null,1540,null,513,null,1469,null,511,null,71,null,126,null,861,null,343,null,861,null,343,null,0,null,213,null,0400000US27,Minnesota,27
35929,null,4373,null,7899,null,2040,null,7324,null,1929,null,575,null,431,null,9472,null,2262,null,8301,null,2165,null,1171,null,806,null,4405,null,1246,null,2670,null,965,null,1735,null,737,null,4354,null,1153,null,2897,null,1027,null,1457,null,524,null,2533,null,865,null,1739,null,656,null,794,null,514,null,2287,null,796,null,1670,null,713,null,617,null,403,null,2284,null,715,null,1742,null,544,null,542,null,427,null,1885,null,922,null,1885,null,922,null,0,null,291,null,810,null,417,null,810,null,417,null,0,null,291,null,0400000US28,Mississippi,28
124490,null,7635,null,28177,null,3144,null,26325,null,3059,null,1852,null,876,null,34040,null,3286,null,31363,null,3416,null,2677,null,1034,null,14568,null,1947,null,9137,null,1224,null,5431,null,1418,null,13117,null,2204,null,8940,null,1642,null,4177,null,1181,null,10494,null,1893,null,7387,null,1555,null,3107,null,895,null,11075,null,1787,null,8098,null,1391,null,2977,null,1177,null,6367,null,1070,null,5104,null,932,null,1263,null,524,null,4072,null,870,null,3922,null,847,null,150,null,187,null,2580,null,738,null,2580,null,738,null,0,null,259,null,0400000US29,Missouri,29
21349,null,2452,null,3382,null,878,null,3122,null,830,null,260,null,263,null,8576,null,1246,null,7254,null,1253,null,1322,null,686,null,2304,null,979,null,1643,null,727,null,661,null,548,null,1849,null,723,null,1203,null,584,null,646,null,324,null,1573,null,612,null,1087,null,609,null,486,null,311,null,1709,null,643,null,1362,null,593,null,347,null,209,null,1071,null,466,null,960,null,442,null,111,null,139,null,646,null,353,null,646,null,353,null,0,null,240,null,239,null,200,null,239,null,200,null,0,null,240,null,0400000US30,Montana,30
36467,null,3242,null,7107,null,1710,null,6458,null,1479,null,649,null,870,null,9550,null,1584,null,8900,null,1537,null,650,null,435,null,6519,null,1429,null,3991,null,1124,null,2528,null,1117,null,4062,null,888,null,2172,null,661,null,1890,null,608,null,4113,null,953,null,3192,null,877,null,921,null,451,null,2677,null,828,null,2463,null,839,null,214,null,187,null,1143,null,438,null,1019,null,418,null,124,null,142,null,732,null,400,null,732,null,400,null,0,null,228,null,564,null,382,null,564,null,382,null,0,null,228,null,0400000US31,Nebraska,31
86119,null,7326,null,17654,null,2435,null,15903,null,2350,null,1751,null,749,null,23718,null,3558,null,20576,null,3530,null,3142,null,1041,null,8732,null,1576,null,5011,null,1175,null,3721,null,1101,null,12091,null,2067,null,8584,null,1480,null,3507,null,1414,null,8406,null,1511,null,6522,null,1332,null,1884,null,695,null,6647,null,1427,null,5574,null,1318,null,1073,null,511,null,4338,null,921,null,3103,null,739,null,1235,null,559,null,2456,null,807,null,2300,null,730,null,156,null,255,null,2077,null,882,null,1874,null,838,null,203,null,237,null,0400000US32,Nevada,32
16546,null,2267,null,3529,null,968,null,3519,null,965,null,10,null,15,null,4617,null,877,null,4476,null,859,null,141,null,135,null,2338,null,681,null,1863,null,600,null,475,null,299,null,939,null,415,null,736,null,408,null,203,null,206,null,2071,null,773,null,1759,null,706,null,312,null,356,null,1675,null,602,null,1398,null,596,null,277,null,226,null,1093,null,418,null,985,null,373,null,108,null,125,null,75,null,81,null,75,null,81,null,0,null,255,null,209,null,224,null,209,null,224,null,0,null,255,null,0400000US33,New Hampshire,33
185798,null,11699,null,34194,null,3851,null,31675,null,3759,null,2519,null,985,null,46964,null,4691,null,42659,null,4191,null,4305,null,1540,null,22372,null,3088,null,14547,null,2521,null,7825,null,1828,null,25987,null,3215,null,17064,null,2852,null,8923,null,1857,null,22155,null,2804,null,15352,null,2144,null,6803,null,1550,null,14028,null,1997,null,10979,null,1587,null,3049,null,1024,null,12957,null,1660,null,9943,null,1434,null,3014,null,1012,null,4718,null,989,null,4267,null,994,null,451,null,389,null,2423,null,739,null,2286,null,728,null,137,null,172,null,0400000US34,New Jersey,34
59401,null,6511,null,9631,null,2106,null,9350,null,2026,null,281,null,272,null,16897,null,2815,null,16062,null,2674,null,835,null,506,null,6327,null,1798,null,4005,null,1400,null,2322,null,1118,null,7289,null,1674,null,5252,null,1453,null,2037,null,942,null,6023,null,1655,null,5154,null,1506,null,869,null,530,null,4396,null,929,null,3524,null,902,null,872,null,413,null,4333,null,1024,null,3625,null,882,null,708,null,421,null,2897,null,753,null,2736,null,695,null,161,null,204,null,1608,null,894,null,1608,null,894,null,0,null,283,null,0400000US35,New Mexico,35
385875,null,16018,null,67042,null,5532,null,64246,null,5409,null,2796,null,1050,null,103560,null,6339,null,98149,null,6027,null,5411,null,1604,null,42609,null,4214,null,32512,null,3518,null,10097,null,1862,null,50428,null,4283,null,36462,null,3409,null,13966,null,2543,null,38263,null,3804,null,31003,null,3129,null,7260,null,1798,null,34805,null,3189,null,28929,null,3112,null,5876,null,1434,null,26950,null,2723,null,23325,null,2446,null,3625,null,1052,null,12873,null,1731,null,12821,null,1726,null,52,null,88,null,9345,null,1581,null,9345,null,1581,null,0,null,277,null,0400000US36,New York,36
184717,null,10432,null,41808,null,3972,null,38144,null,3988,null,3664,null,1219,null,56243,null,4755,null,50900,null,4238,null,5343,null,1917,null,23455,null,2879,null,16766,null,2539,null,6689,null,1534,null,18877,null,2882,null,12067,null,2284,null,6810,null,1591,null,16036,null,2436,null,11018,null,1883,null,5018,null,1662,null,13294,null,2515,null,9709,null,2311,null,3585,null,1245,null,9268,null,1554,null,7413,null,1288,null,1855,null,732,null,3512,null,1113,null,3512,null,1113,null,0,null,287,null,2224,null,796,null,2149,null,797,null,75,null,99,null,0400000US37,North Carolina,37
10174,null,1651,null,2750,null,804,null,2712,null,794,null,38,null,70,null,2833,null,872,null,2657,null,847,null,176,null,174,null,835,null,456,null,769,null,413,null,66,null,85,null,1276,null,612,null,790,null,476,null,486,null,425,null,854,null,399,null,827,null,394,null,27,null,59,null,941,null,480,null,706,null,371,null,235,null,257,null,298,null,231,null,298,null,231,null,0,null,208,null,225,null,217,null,225,null,217,null,0,null,208,null,162,null,167,null,162,null,167,null,0,null,208,null,0400000US38,North Dakota,38
201613,null,9132,null,43081,null,3519,null,41375,null,3394,null,1706,null,734,null,67167,null,5073,null,62578,null,4894,null,4589,null,1500,null,22032,null,2635,null,15700,null,2178,null,6332,null,1327,null,18845,null,2084,null,13219,null,1452,null,5626,null,1441,null,18101,null,2150,null,14548,null,1823,null,3553,null,1119,null,14576,null,1892,null,12430,null,1858,null,2146,null,656,null,10371,null,1477,null,8758,null,1408,null,1613,null,622,null,4159,null,1040,null,4159,null,1040,null,0,null,267,null,3281,null,929,null,3281,null,929,null,0,null,267,null,0400000US39,Ohio,39
256158,null,8495,null,41743,null,3429,null,36130,null,3217,null,5613,null,1695,null,65118,null,3573,null,57253,null,3576,null,7865,null,1496,null,34352,null,2917,null,19473,null,2476,null,14879,null,2076,null,31975,null,2325,null,18749,null,1989,null,13226,null,1867,null,24797,null,2208,null,16016,null,1967,null,8781,null,1537,null,22754,null,1893,null,15992,null,1655,null,6762,null,1455,null,19165,null,1586,null,15050,null,1575,null,4115,null,698,null,10237,null,1158,null,10237,null,1158,null,0,null,251,null,6017,null,926,null,6017,null,926,null,0,null,251,null,0400000US40,Oklahoma,40
131511,null,7788,null,24036,null,2673,null,22215,null,2724,null,1821,null,619,null,36594,null,3571,null,33573,null,3417,null,3021,null,1355,null,14575,null,2360,null,9925,null,1793,null,4650,null,1238,null,18176,null,2446,null,13259,null,1994,null,4917,null,1246,null,13766,null,1779,null,11336,null,1749,null,2430,null,777,null,10461,null,1541,null,8273,null,1287,null,2188,null,713,null,7838,null,1368,null,5542,null,1028,null,2296,null,898,null,3401,null,769,null,3386,null,768,null,15,null,27,null,2664,null,809,null,2619,null,813,null,45,null,76,null,0400000US41,Oregon,41
190092,null,9177,null,38094,null,3743,null,36874,null,3650,null,1220,null,648,null,62950,null,4742,null,60510,null,4585,null,2440,null,1202,null,22214,null,2228,null,16910,null,2199,null,5304,null,1232,null,20306,null,2491,null,15774,null,2188,null,4532,null,1225,null,16208,null,2064,null,13565,null,1957,null,2643,null,878,null,14555,null,1878,null,12057,null,1703,null,2498,null,865,null,8379,null,1286,null,7390,null,1259,null,989,null,562,null,4578,null,997,null,4434,null,987,null,144,null,191,null,2808,null,831,null,2666,null,785,null,142,null,261,null,0400000US42,Pennsylvania,42
18665,null,3017,null,4104,null,1174,null,3581,null,1100,null,523,null,514,null,4652,null,1242,null,4420,null,1189,null,232,null,248,null,1923,null,685,null,1556,null,558,null,367,null,351,null,2212,null,850,null,2062,null,800,null,150,null,252,null,1480,null,706,null,1301,null,639,null,179,null,303,null,1614,null,594,null,1408,null,616,null,206,null,184,null,1492,null,722,null,1073,null,604,null,419,null,406,null,681,null,467,null,681,null,467,null,0,null,287,null,507,null,325,null,507,null,325,null,0,null,287,null,0400000US44,Rhode Island,44
64886,null,5698,null,15713,null,2275,null,14262,null,2213,null,1451,null,676,null,21570,null,3379,null,19799,null,3137,null,1771,null,820,null,7495,null,1525,null,4169,null,1099,null,3326,null,1016,null,5293,null,1541,null,3128,null,1096,null,2165,null,1084,null,4952,null,1225,null,3426,null,830,null,1526,null,702,null,4080,null,1138,null,3063,null,1011,null,1017,null,587,null,2964,null,1178,null,2856,null,1122,null,108,null,148,null,1922,null,678,null,1872,null,679,null,50,null,84,null,897,null,514,null,810,null,476,null,87,null,143,null,0400000US45,South Carolina,45
16446,null,2508,null,3560,null,937,null,3415,null,910,null,145,null,162,null,4647,null,1140,null,3840,null,1024,null,807,null,487,null,1661,null,709,null,1193,null,691,null,468,null,368,null,2916,null,939,null,1892,null,759,null,1024,null,614,null,1029,null,434,null,641,null,405,null,388,null,183,null,1369,null,593,null,814,null,429,null,555,null,409,null,476,null,289,null,365,null,236,null,111,null,139,null,441,null,435,null,441,null,435,null,0,null,223,null,347,null,271,null,347,null,271,null,0,null,223,null,0400000US46,South Dakota,46
100010,null,6890,null,21436,null,3128,null,20879,null,3081,null,557,null,530,null,28628,null,3466,null,27517,null,3482,null,1111,null,599,null,9367,null,1836,null,6577,null,1453,null,2790,null,1017,null,11383,null,1781,null,8230,null,1727,null,3153,null,959,null,8155,null,1474,null,6163,null,1335,null,1992,null,684,null,11095,null,2101,null,8518,null,1673,null,2577,null,1096,null,4737,null,985,null,4022,null,833,null,715,null,596,null,2733,null,739,null,2668,null,731,null,65,null,103,null,2476,null,660,null,2476,null,660,null,0,null,283,null,0400000US47,Tennessee,47
521974,null,16862,null,104253,null,5990,null,91148,null,5826,null,13105,null,2059,null,147682,null,7516,null,126764,null,6881,null,20918,null,2995,null,53170,null,5011,null,33993,null,4301,null,19177,null,3261,null,63690,null,4811,null,40137,null,3286,null,23553,null,3558,null,53143,null,3829,null,36372,null,3183,null,16771,null,2579,null,44447,null,3529,null,33760,null,3389,null,10687,null,1871,null,29774,null,2880,null,24527,null,2567,null,5247,null,1167,null,15571,null,2026,null,15352,null,2032,null,219,null,196,null,10244,null,1792,null,10089,null,1819,null,155,null,169,null,0400000US48,Texas,48
