B27001I_001E,B27001I_001EA,B27001I_001M,B27001I_001MA,B27001I_002E,B27001I_002EA,B27001I_002M,B27001I_002MA,B27001I_003E,B27001I_003EA,B27001I_003M,B27001I_003MA,B27001I_004E,B27001I_004EA,B27001I_004M,B27001I_004MA,B27001I_005E,B27001I_005EA,B27001I_005M,B27001I_005MA,B27001I_006E,B27001I_006EA,B27001I_006M,B27001I_006MA,B27001I_007E,B27001I_007EA,B27001I_007M,B27001I_007MA,B27001I_008E,B27001I_008EA,B27001I_008M,B27001I_008MA,B27001I_009E,B27001I_009EA,B27001I_009M,B27001I_009MA,B27001I_010E,B27001I_010EA,B27001I_010M,B27001I_010MA,B27001I_011E,B27001I_011EA,B27001I_011M,B27001I_011MA,B27001I_012E,B27001I_012EA,B27001I_012M,B27001I_012MA,B27001I_013E,B27001I_013EA,B27001I_013M,B27001I_013MA,B27001I_014E,B27001I_014EA,B27001I_014M,B27001I_014MA,B27001I_015E,B27001I_015EA,B27001I_015M,B27001I_015MA,B27001I_016E,B27001I_016EA,B27001I_016M,B27001I_016MA,B27001I_017E,B27001I_017EA,B27001I_017M,B27001I_017MA,B27001I_018E,B27001I_018EA,B27001I_018M,B27001I_018MA,B27001I_019E,B27001I_019EA,B27001I_019M,B27001I_019MA,B27001I_020E,B27001I_020EA,B27001I_020M,B27001I_020MA,B27001I_021E,B27001I_021EA,B27001I_021M,B27001I_021MA,B27001I_022E,B27001I_022EA,B27001I_022M,B27001I_022MA,B27001I_023E,B27001I_023EA,B27001I_023M,B27001I_023MA,B27001I_024E,B27001I_024EA,B27001I_024M,B27001I_024MA,B27001I_025E,B27001I_025EA,B27001I_025M,B27001I_025MA,B27001I_026E,B27001I_026EA,B27001I_026M,B27001I_026MA,B27001I_027E,B27001I_027EA,B27001I_027M,B27001I_027MA,B27001I_028E,B27001I_028EA,B27001I_028M,B27001I_028MA,GEO_ID,NAME,state
801598,null,3130,null,140073,null,2930,null,112984,null,4673,null,27089,null,4261,null,181168,null,3351,null,118872,null,5352,null,62296,null,5485,null,84271,null,3475,null,25344,null,3121,null,58927,null,3583,null,153795,null,3791,null,44287,null,4294,null,109508,null,5386,null,127967,null,3608,null,45497,null,3526,null,82470,null,4152,null,67508,null,3037,null,31871,null,3164,null,35637,null,3414,null,28400,null,2177,null,14717,null,2178,null,13683,null,2133,null,12051,null,1782,null,9499,null,1616,null,2552,null,1200,null,6365,null,1712,null,5196,null,1372,null,1169,null,826,null,0400000US13,Georgia,13
109208,null,1503,null,18167,null,665,null,17878,null,649,null,289,null,355,null,24743,null,792,null,24114,null,954,null,629,null,433,null,12370,null,935,null,10901,null,1054,null,1469,null,589,null,17799,null,1159,null,15355,null,1331,null,2444,null,1056,null,13587,null,1015,null,12040,null,1075,null,1547,null,655,null,10950,null,934,null,9956,null,954,null,994,null,492,null,6252,null,484,null,5630,null,579,null,622,null,342,null,3169,null,678,null,2968,null,629,null,201,null,285,null,2171,null,560,null,2160,null,557,null,11,null,21,null,0400000US15,Hawaii,15
162596,null,521,null,24971,null,1146,null,22354,null,1425,null,2617,null,875,null,44019,null,1300,null,31920,null,2288,null,12099,null,1963,null,19738,null,1499,null,8300,null,1441,null,11438,null,1633,null,24172,null,1673,null,10226,null,1630,null,13946,null,1684,null,22548,null,1581,null,9797,null,1659,null,12751,null,1544,null,13511,null,1777,null,8356,null,1382,null,5155,null,1282,null,9309,null,1428,null,6174,null,1308,null,3135,null,967,null,3154,null,795,null,2996,null,801,null,158,null,216,null,1174,null,591,null,1174,null,591,null,0,null,263,null,0400000US16,Idaho,16
1953312,null,2548,null,260990,null,3517,null,248915,null,4270,null,12075,null,2468,null,441574,null,3702,null,404254,null,5251,null,37320,null,4132,null,218977,null,2486,null,120427,null,4482,null,98550,null,4556,null,345068,null,2738,null,182320,null,6380,null,162748,null,6697,null,291321,null,2766,null,179551,null,6199,null,111770,null,6450,null,197541,null,2432,null,134837,null,4027,null,62704,null,4207,null,113448,null,1406,null,78573,null,3036,null,34875,null,2734,null,53059,null,1560,null,48976,null,2125,null,4083,null,1418,null,31334,null,1560,null,28487,null,1578,null,2847,null,1405,null,0400000US17,Illinois,17
345400,null,1608,null,56328,null,2023,null,50079,null,2664,null,6249,null,1699,null,78703,null,2105,null,63192,null,2986,null,15511,null,2822,null,38438,null,2250,null,20030,null,2057,null,18408,null,1843,null,66052,null,3224,null,32632,null,2583,null,33420,null,3269,null,48617,null,1930,null,30262,null,2266,null,18355,null,2281,null,27467,null,1787,null,19816,null,1877,null,7651,null,1489,null,17877,null,1453,null,13581,null,1533,null,4296,null,1153,null,6596,null,769,null,6322,null,730,null,274,null,238,null,5322,null,781,null,5322,null,781,null,0,null,269,null,0400000US18,Indiana,18
129266,null,1576,null,20561,null,1437,null,18931,null,1542,null,1630,null,784,null,31963,null,1458,null,27537,null,1609,null,4426,null,1026,null,14172,null,1565,null,8259,null,1427,null,5913,null,978,null,26277,null,2249,null,14242,null,1930,null,12035,null,2057,null,17295,null,1771,null,10133,null,1417,null,7162,null,1605,null,9557,null,1489,null,7314,null,1342,null,2243,null,677,null,5094,null,1071,null,3799,null,974,null,1295,null,509,null,2171,null,764,null,2171,null,764,null,0,null,228,null,2176,null,873,null,2176,null,873,null,0,null,228,null,0400000US19,Iowa,19
258131,null,1197,null,40484,null,1681,null,34820,null,2142,null,5664,null,1482,null,61091,null,1510,null,48344,null,2127,null,12747,null,1653,null,28431,null,1551,null,13848,null,1607,null,14583,null,1703,null,44814,null,1944,null,21983,null,2276,null,22831,null,2237,null,36285,null,2328,null,19967,null,2118,null,16318,null,2110,null,23791,null,1762,null,15883,null,1793,null,7908,null,1638,null,12777,null,1547,null,9612,null,1605,null,3165,null,1059,null,6325,null,1346,null,5216,null,1030,null,1109,null,1106,null,4133,null,1005,null,4133,null,1005,null,0,null,244,null,0400000US20,Kansas,20
109589,null,2680,null,21814,null,1628,null,19985,null,1765,null,1829,null,984,null,24722,null,2038,null,19877,null,2311,null,4845,null,1461,null,13711,null,1538,null,4870,null,987,null,8841,null,1270,null,18852,null,1702,null,7293,null,1430,null,11559,null,1796,null,15128,null,1707,null,7609,null,1463,null,7519,null,1400,null,8334,null,1454,null,4428,null,1108,null,3906,null,1056,null,4213,null,864,null,2292,null,796,null,1921,null,546,null,1485,null,580,null,1430,null,580,null,55,null,93,null,1330,null,463,null,1163,null,408,null,167,null,172,null,0400000US21,Kentucky,21
156740,null,2171,null,19209,null,1625,null,18243,null,1523,null,966,null,643,null,30058,null,1871,null,25283,null,2154,null,4775,null,1167,null,17638,null,1406,null,8364,null,1306,null,9274,null,1284,null,23950,null,1958,null,11234,null,1746,null,12716,null,1816,null,25655,null,1909,null,12371,null,1531,null,13284,null,1773,null,16542,null,1610,null,9916,null,1496,null,6626,null,1423,null,11867,null,1323,null,9211,null,1294,null,2656,null,721,null,6923,null,1026,null,6571,null,1037,null,352,null,229,null,4898,null,823,null,4743,null,851,null,155,null,187,null,0400000US22,Louisiana,22
17169,null,386,null,2599,null,738,null,2599,null,738,null,0,null,230,null,3556,null,807,null,3421,null,779,null,135,null,205,null,2941,null,723,null,2151,null,546,null,790,null,534,null,2266,null,669,null,2113,null,661,null,153,null,159,null,1695,null,629,null,1384,null,468,null,311,null,372,null,1870,null,524,null,1617,null,466,null,253,null,239,null,1507,null,520,null,1372,null,505,null,135,null,166,null,495,null,294,null,495,null,294,null,0,null,230,null,240,null,171,null,240,null,171,null,0,null,230,null,0400000US23,Maine,23
407364,null,1911,null,61033,null,1482,null,57477,null,1878,null,3556,null,1130,null,79604,null,1628,null,66875,null,2686,null,12729,null,2279,null,43310,null,1564,null,17507,null,2116,null,25803,null,1715,null,76113,null,1690,null,35007,null,2813,null,41106,null,2776,null,63730,null,1960,null,34453,null,2562,null,29277,null,2898,null,44440,null,1874,null,29795,null,2143,null,14645,null,1973,null,22784,null,1119,null,13794,null,1600,null,8990,null,1526,null,9588,null,767,null,9134,null,730,null,454,null,485,null,6762,null,768,null,6483,null,860,null,279,null,426,null,0400000US24,Maryland,24
572888,null,1350,null,70639,null,1573,null,69468,null,1570,null,1171,null,697,null,123393,null,1584,null,118970,null,1989,null,4423,null,1368,null,73303,null,1009,null,60701,null,2170,null,12602,null,2001,null,99229,null,1731,null,82694,null,3029,null,16535,null,2696,null,84964,null,1887,null,72273,null,2853,null,12691,null,2209,null,63214,null,1963,null,58084,null,2271,null,5130,null,1541,null,33410,null,910,null,30585,null,1054,null,2825,null,830,null,15222,null,931,null,15033,null,945,null,189,null,187,null,9514,null,799,null,9514,null,799,null,0,null,283,null,0400000US25,Massachusetts,25
416783,null,1607,null,57508,null,1747,null,53973,null,2077,null,3535,null,889,null,98069,null,1621,null,88131,null,2466,null,9938,null,2061,null,51596,null,2209,null,30205,null,2606,null,21391,null,2341,null,66650,null,2767,null,39665,null,3299,null,26985,null,2628,null,59190,null,2245,null,38486,null,2659,null,20704,null,2420,null,39625,null,1574,null,27947,null,1934,null,11678,null,1334,null,24780,null,1268,null,19376,null,1541,null,5404,null,1399,null,11910,null,1197,null,11111,null,1127,null,799,null,651,null,7455,null,919,null,7455,null,919,null,0,null,244,null,0400000US26,Michigan,26
221534,null,1014,null,37693,null,1285,null,31850,null,1894,null,5843,null,1530,null,53539,null,1384,null,40984,null,2475,null,12555,null,2257,null,24607,null,1487,null,13943,null,1456,null,10664,null,1659,null,40710,null,1548,null,22687,null,2208,null,18023,null,1963,null,32440,null,1657,null,18318,null,1847,null,14122,null,2188,null,17068,null,1289,null,11681,null,1599,null,5387,null,1313,null,10462,null,1461,null,7141,null,1323,null,3321,null,899,null,3241,null,924,null,2608,null,730,null,633,null,562,null,1774,null,607,null,1774,null,607,null,0,null,213,null,0400000US27,Minnesota,27
65249,null,3097,null,10199,null,1646,null,7578,null,1563,null,2621,null,1274,null,13097,null,1749,null,8999,null,1611,null,4098,null,1095,null,7925,null,1565,null,3665,null,1196,null,4260,null,1036,null,15083,null,2327,null,6235,null,1368,null,8848,null,2223,null,8507,null,1502,null,3554,null,1002,null,4953,null,1308,null,5130,null,1128,null,2835,null,844,null,2295,null,876,null,2887,null,808,null,1933,null,704,null,954,null,428,null,1868,null,750,null,1868,null,750,null,0,null,291,null,553,null,422,null,553,null,422,null,0,null,291,null,0400000US28,Mississippi,28
197846,null,1496,null,33349,null,1611,null,29913,null,1782,null,3436,null,1084,null,45045,null,1694,null,36881,null,2219,null,8164,null,1721,null,24279,null,1732,null,13468,null,1788,null,10811,null,1683,null,32846,null,1789,null,16035,null,1679,null,16811,null,2130,null,26389,null,1668,null,15830,null,1901,null,10559,null,1981,null,17355,null,1591,null,11870,null,1470,null,5485,null,1256,null,9095,null,1001,null,6842,null,1172,null,2253,null,738,null,6375,null,929,null,6176,null,959,null,199,null,232,null,3113,null,779,null,3008,null,768,null,105,null,171,null,0400000US29,Missouri,29
27024,null,749,null,4045,null,1112,null,3731,null,1132,null,314,null,244,null,6075,null,947,null,5227,null,1074,null,848,null,653,null,4122,null,985,null,2603,null,721,null,1519,null,748,null,3540,null,984,null,1745,null,725,null,1795,null,798,null,3617,null,1054,null,2949,null,939,null,668,null,445,null,2760,null,768,null,2014,null,787,null,746,null,355,null,1594,null,380,null,930,null,358,null,664,null,371,null,499,null,260,null,465,null,258,null,34,null,65,null,772,null,328,null,772,null,328,null,0,null,240,null,0400000US30,Montana,30
147491,null,518,null,27371,null,1638,null,24763,null,1941,null,2608,null,1349,null,33954,null,1480,null,28627,null,1857,null,5327,null,1290,null,17150,null,1758,null,8797,null,1532,null,8353,null,1271,null,25448,null,1524,null,9927,null,1382,null,15521,null,1532,null,20475,null,1797,null,11974,null,1871,null,8501,null,1262,null,12467,null,1421,null,9205,null,1375,null,3262,null,1040,null,5284,null,1091,null,3968,null,1015,null,1316,null,510,null,3685,null,1021,null,3342,null,954,null,343,null,427,null,1657,null,744,null,1438,null,725,null,219,null,208,null,0400000US31,Nebraska,31
693984,null,816,null,97063,null,2560,null,72139,null,4152,null,24924,null,3760,null,166753,null,2796,null,122075,null,5357,null,44678,null,5019,null,74786,null,1670,null,29665,null,2626,null,45121,null,2711,null,118600,null,1371,null,55242,null,3850,null,63358,null,3685,null,105861,null,1518,null,64706,null,3674,null,41155,null,3160,null,67021,null,1698,null,41774,null,3302,null,25247,null,3401,null,35001,null,641,null,24175,null,1700,null,10826,null,1852,null,16501,null,769,null,14610,null,973,null,1891,null,818,null,12398,null,826,null,11300,null,1083,null,1098,null,699,null,0400000US32,Nevada,32
36220,null,510,null,4315,null,562,null,4200,null,583,null,115,null,121,null,8911,null,608,null,8248,null,702,null,663,null,575,null,5549,null,927,null,4115,null,1140,null,1434,null,715,null,4081,null,983,null,2714,null,703,null,1367,null,685,null,7036,null,1088,null,4971,null,1254,null,2065,null,926,null,2983,null,749,null,2402,null,698,null,581,null,397,null,2090,null,634,null,1600,null,663,null,490,null,396,null,707,null,401,null,707,null,401,null,0,null,255,null,548,null,332,null,548,null,332,null,0,null,255,null,0400000US33,New Hampshire,33
1437156,null,1670,null,173059,null,2539,null,158583,null,3927,null,14476,null,2530,null,268628,null,2461,null,228593,null,4321,null,40035,null,4281,null,148100,null,1221,null,72194,null,3492,null,75906,null,3433,null,242498,null,1603,null,124622,null,6143,null,117876,null,6236,null,225862,null,1598,null,143594,null,4619,null,82268,null,4845,null,179764,null,1718,null,123769,null,4446,null,55995,null,3941,null,107227,null,1280,null,81541,null,3091,null,25686,null,2840,null,56496,null,1461,null,52381,null,1750,null,4115,null,1124,null,35522,null,1352,null,33784,null,1488,null,1738,null,757,null,0400000US34,New Jersey,34
900672,null,1914,null,100818,null,2366,null,93307,null,2646,null,7511,null,1845,null,181144,null,2362,null,155957,null,4185,null,25187,null,3687,null,101602,null,1985,null,62134,null,3602,null,39468,null,3209,null,136331,null,3049,null,84167,null,3638,null,52164,null,4111,null,114111,null,2450,null,74355,null,3455,null,39756,null,3084,null,108936,null,1980,null,81627,null,3163,null,27309,null,2425,null,77392,null,926,null,60397,null,2187,null,16995,null,1978,null,44828,null,1471,null,43837,null,1494,null,991,null,617,null,35510,null,1513,null,35020,null,1563,null,490,null,411,null,0400000US35,New Mexico,35
3232542,null,2893,null,356963,null,3642,null,337120,null,4856,null,19843,null,3478,null,601685,null,4120,null,562195,null,5366,null,39490,null,3564,null,362888,null,2262,null,233623,null,5715,null,129265,null,5285,null,534401,null,2404,null,307100,null,7593,null,227301,null,7531,null,477754,null,1979,null,326101,null,6935,null,151653,null,6535,null,399959,null,2166,null,308896,null,5232,null,91063,null,5208,null,258913,null,1415,null,217420,null,3966,null,41493,null,3849,null,144194,null,1549,null,138126,null,1993,null,6068,null,1203,null,95785,null,1355,null,94249,null,1672,null,1536,null,912,null,0400000US36,New York,36
700383,null,1779,null,129225,null,2910,null,115302,null,3961,null,13923,null,2504,null,162402,null,2822,null,117689,null,4301,null,44713,null,4222,null,73931,null,3444,null,21514,null,2368,null,52417,null,3703,null,135523,null,3615,null,38347,null,3179,null,97176,null,3484,null,111249,null,3976,null,43739,null,4053,null,67510,null,4785,null,50568,null,3349,null,24842,null,2573,null,25726,null,2896,null,21855,null,2072,null,13536,null,2050,null,8319,null,1952,null,10718,null,1660,null,8568,null,1613,null,2150,null,881,null,4912,null,1192,null,4330,null,1154,null,582,null,423,null,0400000US37,North Carolina,37
12265,null,588,null,1786,null,364,null,1698,null,363,null,88,null,76,null,1604,null,474,null,1443,null,522,null,161,null,176,null,1549,null,600,null,1100,null,496,null,449,null,318,null,2774,null,1006,null,2369,null,877,null,405,null,308,null,1900,null,714,null,1236,null,563,null,664,null,378,null,1539,null,767,null,1078,null,623,null,461,null,391,null,369,null,227,null,303,null,225,null,66,null,104,null,271,null,195,null,271,null,195,null,0,null,208,null,473,null,365,null,473,null,365,null,0,null,208,null,0400000US38,North Dakota,38
316905,null,2008,null,48034,null,2100,null,45627,null,2284,null,2407,null,897,null,74690,null,2147,null,64448,null,2878,null,10242,null,2086,null,37563,null,2205,null,23050,null,1946,null,14513,null,1888,null,51302,null,2052,null,27873,null,2514,null,23429,null,2895,null,45056,null,2377,null,28906,null,2373,null,16150,null,2026,null,28022,null,1699,null,21301,null,1966,null,6721,null,1366,null,17096,null,1047,null,13530,null,1190,null,3566,null,1016,null,9134,null,934,null,8685,null,950,null,449,null,400,null,6008,null,828,null,6008,null,828,null,0,null,267,null,0400000US39,Ohio,39
292858,null,1470,null,51453,null,1775,null,41803,null,2528,null,9650,null,2164,null,69928,null,1615,null,51746,null,2818,null,18182,null,2656,null,33870,null,1904,null,14151,null,1810,null,19719,null,1908,null,51410,null,2146,null,18455,null,2317,null,32955,null,2412,null,37939,null,1864,null,17784,null,1852,null,20155,null,1739,null,24906,null,1722,null,13753,null,2068,null,11153,null,1698,null,13326,null,1079,null,8626,null,1201,null,4700,null,960,null,7507,null,1211,null,6216,null,1164,null,1291,null,744,null,2519,null,461,null,2264,null,478,null,255,null,314,null,0400000US40,Oklahoma,40
423064,null,968,null,67057,null,1912,null,57931,null,2433,null,9126,null,1815,null,105324,null,1928,null,86673,null,3145,null,18651,null,2775,null,46771,null,1771,null,21725,null,2179,null,25046,null,2595,null,78343,null,2696,null,38931,null,3466,null,39412,null,3155,null,60657,null,2753,null,33050,null,3469,null,27607,null,3676,null,34174,null,2202,null,20618,null,2393,null,13556,null,2067,null,18413,null,1402,null,11506,null,1254,null,6907,null,1294,null,8792,null,1400,null,7258,null,1429,null,1534,null,694,null,3533,null,821,null,3065,null,803,null,468,null,388,null,0400000US41,Oregon,41
631358,null,2056,null,95072,null,2498,null,88999,null,3261,null,6073,null,1938,null,145260,null,2554,null,131625,null,3281,null,13635,null,2316,null,78117,null,2234,null,52775,null,2595,null,25342,null,2094,null,100708,null,2222,null,63390,null,3846,null,37318,null,3493,null,87593,null,2608,null,62666,null,2629,null,24927,null,2334,null,63056,null,2254,null,47935,null,2616,null,15121,null,1677,null,35786,null,1499,null,30020,null,1746,null,5766,null,1156,null,16302,null,1205,null,16080,null,1229,null,222,null,223,null,9464,null,1060,null,9260,null,1128,null,204,null,283,null,0400000US42,Pennsylvania,42
124532,null,550,null,15983,null,841,null,14942,null,891,null,1041,null,524,null,28499,null,828,null,24913,null,1612,null,3586,null,1346,null,15104,null,398,null,7026,null,979,null,8078,null,908,null,21220,null,569,null,12657,null,1387,null,8563,null,1481,null,18453,null,586,null,11655,null,1376,null,6798,null,1303,null,12426,null,356,null,8006,null,1018,null,4420,null,1027,null,6953,null,275,null,4147,null,904,null,2806,null,849,null,3562,null,581,null,3279,null,713,null,283,null,414,null,2332,null,632,null,2332,null,632,null,0,null,287,null,0400000US44,Rhode Island,44
197938,null,1653,null,40481,null,1840,null,33126,null,2208,null,7355,null,1773,null,37966,null,2236,null,26798,null,2640,null,11168,null,2258,null,23836,null,2420,null,8822,null,1753,null,15014,null,1852,null,36822,null,2821,null,9507,null,1911,null,27315,null,2576,null,28622,null,2358,null,10024,null,1935,null,18598,null,2679,null,17764,null,2524,null,9650,null,2021,null,8114,null,1958,null,7799,null,1229,null,5212,null,1139,null,2587,null,872,null,3475,null,1003,null,2908,null,853,null,567,null,439,null,1173,null,468,null,1173,null,468,null,0,null,289,null,0400000US45,South Carolina,45
19604,null,1296,null,3118,null,608,null,2399,null,622,null,719,null,571,null,4319,null,714,null,3800,null,773,null,519,null,320,null,3135,null,771,null,1465,null,652,null,1670,null,756,null,3623,null,1112,null,1969,null,814,null,1654,null,733,null,2134,null,536,null,1252,null,550,null,882,null,277,null,2179,null,637,null,1200,null,487,null,979,null,471,null,518,null,372,null,518,null,372,null,0,null,223,null,187,null,225,null,187,null,225,null,0,null,223,null,391,null,324,null,391,null,324,null,0,null,223,null,0400000US46,South Dakota,46
