B11001G_001E,B11001G_001EA,B11001G_001M,B11001G_001MA,B11001G_002E,B11001G_002EA,B11001G_002M,B11001G_002MA,B11001G_003E,B11001G_003EA,B11001G_003M,B11001G_003MA,B11001G_004E,B11001G_004EA,B11001G_004M,B11001G_004MA,B11001G_005E,B11001G_005EA,B11001G_005M,B11001G_005MA,B11001G_006E,B11001G_006EA,B11001G_006M,B11001G_006MA,B11001G_007E,B11001G_007EA,B11001G_007M,B11001G_007MA,B11001G_008E,B11001G_008EA,B11001G_008M,B11001G_008MA,B11001G_009E,B11001G_009EA,B11001G_009M,B11001G_009MA,GEO_ID,NAME,state
4065,null,995,null,2379,null,675,null,1831,null,620,null,548,null,310,null,116,null,136,null,432,null,302,null,1686,null,675,null,921,null,440,null,765,null,495,null,0400000US33,New Hampshire,33
42629,null,3468,null,31310,null,2858,null,17748,null,2424,null,13562,null,1951,null,3243,null,933,null,10319,null,1621,null,11319,null,1813,null,8419,null,1586,null,2900,null,914,null,0400000US34,New Jersey,34
15662,null,1964,null,9750,null,1566,null,6750,null,1253,null,3000,null,897,null,1287,null,727,null,1713,null,601,null,5912,null,1302,null,4975,null,1183,null,937,null,468,null,0400000US35,New Mexico,35
103079,null,5477,null,64235,null,3805,null,35026,null,2543,null,29209,null,2721,null,6334,null,1353,null,22875,null,2679,null,38844,null,3346,null,30047,null,2963,null,8797,null,1400,null,0400000US36,New York,36
43735,null,3704,null,27480,null,2895,null,16925,null,2350,null,10555,null,1858,null,2357,null,849,null,8198,null,1779,null,16255,null,2480,null,12880,null,2189,null,3375,null,1013,null,0400000US37,North Carolina,37
2301,null,722,null,1499,null,562,null,960,null,456,null,539,null,416,null,36,null,53,null,503,null,412,null,802,null,375,null,685,null,353,null,117,null,149,null,0400000US38,North Dakota,38
44906,null,3221,null,27359,null,2567,null,16276,null,1888,null,11083,null,1613,null,2472,null,749,null,8611,null,1530,null,17547,null,2067,null,13893,null,1974,null,3654,null,1024,null,0400000US39,Ohio,39
76884,null,3450,null,50816,null,3170,null,33244,null,2615,null,17572,null,2086,null,6124,null,1243,null,11448,null,1658,null,26068,null,2444,null,21513,null,2205,null,4555,null,1166,null,0400000US40,Oklahoma,40
31518,null,3141,null,18670,null,2407,null,12051,null,1956,null,6619,null,1486,null,1598,null,586,null,5021,null,1341,null,12848,null,1829,null,8427,null,1453,null,4421,null,1047,null,0400000US41,Oregon,41
41313,null,3073,null,24984,null,2413,null,15550,null,1744,null,9434,null,1497,null,1990,null,618,null,7444,null,1337,null,16329,null,2280,null,13057,null,2032,null,3272,null,921,null,0400000US42,Pennsylvania,42
5350,null,1448,null,2741,null,763,null,1605,null,629,null,1136,null,484,null,184,null,177,null,952,null,492,null,2609,null,1054,null,2381,null,1031,null,228,null,230,null,0400000US44,Rhode Island,44
11757,null,1751,null,6950,null,1198,null,4439,null,972,null,2511,null,789,null,609,null,391,null,1902,null,726,null,4807,null,1277,null,3534,null,1089,null,1273,null,636,null,0400000US45,South Carolina,45
3592,null,1046,null,2236,null,771,null,1243,null,588,null,993,null,613,null,202,null,293,null,791,null,517,null,1356,null,694,null,1151,null,578,null,205,null,256,null,0400000US46,South Dakota,46
25434,null,2154,null,16933,null,2122,null,10894,null,1564,null,6039,null,1336,null,1927,null,879,null,4112,null,1087,null,8501,null,1445,null,7099,null,1394,null,1402,null,588,null,0400000US47,Tennessee,47
131056,null,6188,null,88426,null,4634,null,62045,null,3775,null,26381,null,2558,null,6833,null,1408,null,19548,null,2316,null,42630,null,4432,null,33939,null,3372,null,8691,null,2382,null,0400000US48,Texas,48
9235,null,1524,null,6552,null,1197,null,5374,null,1056,null,1178,null,525,null,237,null,220,null,941,null,524,null,2683,null,946,null,1894,null,776,null,789,null,476,null,0400000US49,Utah,49
3877,null,791,null,2350,null,572,null,1285,null,373,null,1065,null,481,null,183,null,136,null,882,null,477,null,1527,null,694,null,866,null,541,null,661,null,398,null,0400000US50,Vermont,50
39452,null,3701,null,23906,null,2671,null,14837,null,1922,null,9069,null,1654,null,2508,null,970,null,6561,null,1407,null,15546,null,2118,null,11102,null,1767,null,4444,null,1152,null,0400000US51,Virginia,51
63406,null,3915,null,39771,null,2670,null,27075,null,2391,null,12696,null,1373,null,3468,null,917,null,9228,null,1334,null,23635,null,2871,null,16150,null,2339,null,7485,null,1539,null,0400000US53,Washington,53
8990,null,1379,null,5034,null,1025,null,3254,null,811,null,1780,null,672,null,741,null,465,null,1039,null,437,null,3956,null,918,null,3027,null,888,null,929,null,491,null,0400000US54,West Virginia,54
18488,null,2074,null,12164,null,1707,null,7377,null,1288,null,4787,null,1069,null,1622,null,580,null,3165,null,884,null,6324,null,1285,null,4617,null,1095,null,1707,null,658,null,0400000US55,Wisconsin,55
4093,null,1032,null,2739,null,836,null,1691,null,790,null,1048,null,500,null,584,null,421,null,464,null,331,null,1354,null,612,null,838,null,463,null,516,null,376,null,0400000US56,Wyoming,56
126599,null,4483,null,98607,null,4122,null,52836,null,3492,null,45771,null,2833,null,10153,null,1618,null,35618,null,2161,null,27992,null,2081,null,24204,null,1954,null,3788,null,798,null,0400000US72,Puerto Rico,72
