B18101I_001E,B18101I_001EA,B18101I_001M,B18101I_001MA,B18101I_002E,B18101I_002EA,B18101I_002M,B18101I_002MA,B18101I_003E,B18101I_003EA,B18101I_003M,B18101I_003MA,B18101I_004E,B18101I_004EA,B18101I_004M,B18101I_004MA,B18101I_005E,B18101I_005EA,B18101I_005M,B18101I_005MA,B18101I_006E,B18101I_006EA,B18101I_006M,B18101I_006MA,B18101I_007E,B18101I_007EA,B18101I_007M,B18101I_007MA,B18101I_008E,B18101I_008EA,B18101I_008M,B18101I_008MA,B18101I_009E,B18101I_009EA,B18101I_009M,B18101I_009MA,B18101I_010E,B18101I_010EA,B18101I_010M,B18101I_010MA,GEO_ID,NAME,state
36220,null,510,null,13226,null,324,null,641,null,414,null,12585,null,539,null,21739,null,660,null,1691,null,723,null,20048,null,899,null,1255,null,538,null,520,null,330,null,735,null,428,null,0400000US33,New Hampshire,33
1437156,null,1670,null,441687,null,482,null,18451,null,2090,null,423236,null,2124,null,903451,null,1882,null,69405,null,4891,null,834046,null,5310,null,92018,null,1470,null,36404,null,2375,null,55614,null,2566,null,0400000US34,New Jersey,34
900672,null,1914,null,281962,null,55,null,10508,null,1845,null,271454,null,1842,null,538372,null,1952,null,64597,null,4041,null,473775,null,4165,null,80338,null,1143,null,40742,null,2336,null,39596,null,2387,null,0400000US35,New Mexico,35
3232542,null,2893,null,958648,null,1600,null,41284,null,3576,null,917364,null,3975,null,2033915,null,2594,null,202223,null,7978,null,1831692,null,8339,null,239979,null,1623,null,101121,null,3691,null,138858,null,3482,null,0400000US36,New York,36
700383,null,1779,null,291627,null,1756,null,9017,null,1937,null,282610,null,2666,null,393126,null,2547,null,22024,null,2920,null,371102,null,3202,null,15630,null,1714,null,6844,null,1393,null,8786,null,1496,null,0400000US37,North Carolina,37
12265,null,588,null,3390,null,422,null,408,null,404,null,2982,null,570,null,8131,null,642,null,786,null,393,null,7345,null,655,null,744,null,404,null,465,null,376,null,279,null,224,null,0400000US38,North Dakota,38
316905,null,2008,null,122724,null,1387,null,8111,null,1556,null,114613,null,2169,null,179039,null,1967,null,21312,null,2574,null,157727,null,3248,null,15142,null,1169,null,6455,null,911,null,8687,null,1276,null,0400000US39,Ohio,39
292858,null,1470,null,121381,null,1383,null,4446,null,1209,null,116935,null,1619,null,161451,null,2024,null,13073,null,2054,null,148378,null,2982,null,10026,null,1127,null,3754,null,877,null,6272,null,1092,null,0400000US40,Oklahoma,40
423064,null,968,null,172381,null,332,null,7102,null,1564,null,165279,null,1646,null,238358,null,1740,null,18366,null,2788,null,219992,null,3319,null,12325,null,1387,null,4178,null,890,null,8147,null,1250,null,0400000US41,Oregon,41
631358,null,2056,null,240332,null,1120,null,19477,null,2284,null,220855,null,2728,null,365260,null,2474,null,56397,null,4185,null,308863,null,4968,null,25766,null,1403,null,11826,null,1174,null,13940,null,1319,null,0400000US42,Pennsylvania,42
124532,null,550,null,44482,null,294,null,1960,null,835,null,42522,null,875,null,74156,null,538,null,8573,null,1884,null,65583,null,1939,null,5894,null,461,null,3198,null,765,null,2696,null,773,null,0400000US44,Rhode Island,44
197938,null,1653,null,78447,null,1318,null,1412,null,577,null,77035,null,1436,null,114843,null,1687,null,6806,null,1517,null,108037,null,2109,null,4648,null,1075,null,1667,null,550,null,2981,null,960,null,0400000US45,South Carolina,45
19604,null,1296,null,7437,null,861,null,258,null,198,null,7179,null,860,null,11589,null,986,null,856,null,385,null,10733,null,1029,null,578,null,401,null,90,null,119,null,488,null,381,null,0400000US46,South Dakota,46
253830,null,2010,null,105776,null,1608,null,3058,null,961,null,102718,null,1797,null,141778,null,2436,null,10052,null,1915,null,131726,null,3142,null,6276,null,1441,null,2451,null,937,null,3825,null,1340,null,0400000US47,Tennessee,47
9004714,null,9114,null,3243350,null,1179,null,124356,null,7591,null,3118994,null,7715,null,5260713,null,7487,null,477635,null,13353,null,4783078,null,13975,null,500651,null,4670,null,241759,null,7287,null,258892,null,6187,null,0400000US48,Texas,48
339872,null,670,null,141692,null,136,null,3994,null,1007,null,137698,null,1023,null,187169,null,1283,null,14032,null,2185,null,173137,null,2534,null,11011,null,1274,null,3255,null,925,null,7756,null,1383,null,0400000US49,Utah,49
8971,null,563,null,3167,null,527,null,250,null,171,null,2917,null,514,null,5155,null,574,null,987,null,503,null,4168,null,606,null,649,null,383,null,283,null,273,null,366,null,243,null,0400000US50,Vermont,50
549066,null,4788,null,194174,null,2124,null,4812,null,1204,null,189362,null,2653,null,335360,null,4004,null,16263,null,2377,null,319097,null,4022,null,19532,null,1507,null,6491,null,1340,null,13041,null,1740,null,0400000US51,Virginia,51
676481,null,1544,null,276264,null,308,null,8533,null,1475,null,267731,null,1530,null,380035,null,2246,null,32317,null,3122,null,347718,null,3916,null,20182,null,1566,null,8827,null,1612,null,11355,null,1816,null,0400000US53,Washington,53
20868,null,1982,null,7857,null,1665,null,90,null,127,null,7767,null,1669,null,11218,null,1883,null,1854,null,938,null,9364,null,1445,null,1793,null,791,null,1059,null,531,null,734,null,412,null,0400000US54,West Virginia,54
293732,null,1404,null,115423,null,668,null,6070,null,1432,null,109353,null,1579,null,168344,null,2011,null,15333,null,1875,null,153011,null,2912,null,9965,null,1061,null,3448,null,1045,null,6517,null,1116,null,0400000US55,Wisconsin,55
43438,null,264,null,15200,null,1095,null,518,null,335,null,14682,null,1182,null,26022,null,1380,null,3063,null,894,null,22959,null,1685,null,2216,null,713,null,1086,null,359,null,1130,null,656,null,0400000US56,Wyoming,56
3888844,null,4305,null,950799,null,1996,null,67111,null,4030,null,883688,null,4576,null,2391160,null,3517,null,433608,null,10202,null,1957552,null,10300,null,546885,null,1947,null,302185,null,5146,null,244700,null,4683,null,0400000US72,Puerto Rico,72
