GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002MA,B20017A_002EA,B20017A_003MA,B20017A_003EA,B20017A_004EA,B20017A_004MA,B20017A_005EA,B20017A_005MA,B20017A_006EA,B20017A_006MA,B20017A_007MA,B20017A_007EA,state
0400000US32,30415,296,34959,803,41555,563,16619,994,25271,622,32101,494,12048,495,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,31100,358,38829,1126,46898,739,15493,1021,24594,744,34017,1018,11574,378,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,39171,603,48719,1040,60067,689,16696,642,30315,381,42051,282,12842,516,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,23891,523,30291,586,40077,971,10786,628,18890,912,28893,1287,9999,601,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,33142,338,40723,264,50709,233,15423,346,26943,270,38766,516,12085,172,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,27200,195,32299,275,40705,274,12485,436,22071,262,31527,278,10684,253,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,24218,508,30814,525,36893,585,12246,1014,19732,779,26074,652,9711,616,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,27493,211,35004,366,43097,463,11794,238,21368,182,31769,244,10027,172,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,24496,396,30655,367,37573,840,11099,523,18811,570,27731,578,8475,365,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,25769,357,31934,406,41813,442,12476,656,20193,340,31982,486,10642,286,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,28386,217,35531,215,43728,404,12215,240,21762,193,31870,232,9976,184,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,32175,631,40307,801,48269,1824,15746,1758,26237,783,36885,955,12459,934,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,27349,292,33316,607,41096,369,12028,380,21959,345,30283,414,10433,324,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,23943,372,29700,876,35786,569,10405,706,19868,526,25927,643,9709,663,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,25824,219,31398,284,39781,718,11776,310,20390,294,28668,531,9882,303,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26551,197,31979,192,41301,218,11695,205,20851,225,31639,238,9264,193,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,23729,396,32165,392,42043,446,11478,382,16242,441,29403,701,7941,421,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,26456,532,31581,555,40552,842,11858,719,21902,580,31154,572,10931,483,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,32844,425,40514,301,49750,750,12709,866,26297,395,36806,422,10987,236,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,30464,260,37485,693,49678,781,15396,521,22927,444,36219,401,11512,243,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,22938,485,29353,884,36968,670,10797,484,17228,468,25011,625,8402,588,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,28216,254,35201,299,42394,324,12469,494,22291,208,31479,204,10792,188,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,24509,857,34389,1843,42807,1788,13932,1436,16366,678,26263,983,8701,703,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,14467,230,14581,317,19894,462,6256,227,14334,329,19538,403,6337,306,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
