B14002_006M,B14002_007E,B14002_007M,B14002_008E,B14002_008M,B14002_009E,B14002_009M,B14002_010E,B14002_010M,B14002_011E,B14002_011M,B14002_012E,B14002_012M,B14002_013E,B14002_013M,B14002_014E,B14002_014M,B14002_015E,B14002_015M,B14002_016E,B14002_016M,B14002_017E,B14002_017M,B14002_018E,B14002_018M,B14002_019E,B14002_019M,B14002_020E,B14002_020M,B14002_021E,B14002_021M,B14002_022E,B14002_022M,B14002_023E,B14002_023M,B14002_024E,B14002_024M,B14002_025E,B14002_025M,B14002_026E,B14002_026M,B14002_027E,B14002_027M,B14002_028E,B14002_028M,B14002_029E,B14002_029M,B14002_030E,B14002_030M,B14002_031E,B14002_031M,B14002_032E,B14002_032M,B14002_033E,B14002_033M,B14002_034E,B14002_034M,B14002_035E,B14002_035M,B14002_036E,B14002_036M,B14002_037E,B14002_037M,B14002_038E,B14002_038M,B14002_039E,B14002_039M,B14002_040E,B14002_040M,B14002_041E,B14002_041M,B14002_042E,B14002_042M,B14002_043E,B14002_043M,B14002_044E,B14002_044M,B14002_045E,B14002_045M,B14002_046E,B14002_046M,B14002_047E,B14002_047M,B14002_048E,B14002_048M,B14002_049E,B14002_049M,GEO_ID,B14002_001E,B14002_001M,B14002_002E,B14002_002M,B14002_003E,B14002_003M,B14002_004E,B14002_004M,B14002_005E,B14002_005M,B14002_006E,B14002_006MA,B14002_007MA,B14002_007EA,B14002_008MA,B14002_008EA,B14002_009EA,B14002_009MA,B14002_010EA,B14002_010MA,B14002_011MA,B14002_011EA,B14002_012MA,B14002_012EA,B14002_013MA,B14002_013EA,B14002_014EA,B14002_014MA,B14002_015EA,B14002_015MA,B14002_016MA,B14002_016EA,B14002_017MA,B14002_017EA,B14002_018MA,B14002_018EA,B14002_019EA,B14002_019MA,B14002_020EA,B14002_020MA,B14002_021EA,B14002_021MA,B14002_022MA,B14002_022EA,B14002_023MA,B14002_023EA,B14002_024EA,B14002_024MA,B14002_025EA,B14002_025MA,B14002_026EA,B14002_026MA,B14002_027MA,B14002_027EA,B14002_028MA,B14002_028EA,B14002_029MA,B14002_029EA,B14002_030EA,B14002_030MA,B14002_031EA,B14002_031MA,B14002_032MA,B14002_032EA,B14002_033MA,B14002_033EA,B14002_034MA,B14002_034EA,B14002_035MA,B14002_035EA,B14002_036EA,B14002_036MA,B14002_037EA,B14002_037MA,B14002_038EA,B14002_038MA,B14002_039MA,B14002_039EA,B14002_040MA,B14002_040EA,B14002_041MA,B14002_041EA,B14002_042EA,B14002_042MA,B14002_043EA,B14002_043MA,B14002_044MA,B14002_044EA,B14002_045EA,B14002_045MA,B14002_046MA,B14002_046EA,B14002_047EA,B14002_047MA,B14002_048EA,B14002_048MA,B14002_049MA,B14002_049EA,NAME,B14002_001EA,B14002_001MA,B14002_002MA,B14002_002EA,B14002_003EA,B14002_003MA,B14002_004EA,B14002_004MA,B14002_005MA,B14002_005EA,B14002_006EA,state
3669,68646,4627,58715,4111,9931,1609,252699,6411,226451,6484,26248,2577,266665,7056,241533,6181,25132,3044,257903,6951,233311,7139,24592,2372,179043,7602,145571,7449,33472,3867,37113,3694,24086,2899,13027,2211,2954686,10930,4291199,6382,1214528,12423,87581,4823,47864,3714,39717,3509,62018,4586,53579,4344,8439,1564,238706,7421,212359,6973,26347,3118,251209,7808,226561,7356,24648,3011,260328,6002,237912,6055,22416,2422,253039,9319,204055,8138,48984,4147,61647,4563,38927,3151,22720,3018,3076671,12158,0400000US13,8402440,7989,4111241,7892,1156555,11317,94486,5753,54536,4326,39950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,13
1639,7432,1336,6253,1200,1179,425,30017,2642,25433,2532,4584,986,35955,2489,29560,2635,6395,1158,37148,1898,30289,2176,6859,1334,29713,2339,21709,1846,8004,1500,5034,1028,3289,755,1745,669,428940,3184,601674,1989,157013,4075,11310,1676,3348,860,7962,1513,6970,1342,5818,1217,1152,404,29854,2184,25420,2181,4434,1026,31124,2184,25349,2051,5775,1274,32246,1583,26378,1888,5868,1022,37281,2956,28859,2721,8422,1561,8228,1664,5236,1388,2992,1049,444661,3825,0400000US15,1186072,2690,584398,2363,155458,3086,10159,1647,2739,853,7420,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,15
898,10275,1615,9368,1565,907,464,38300,2106,35066,2204,3234,808,42712,2662,40487,2654,2225,739,44242,2157,42217,2135,2025,668,31993,2579,24495,2619,7498,1140,5446,1136,4563,1051,883,379,481578,4018,669696,2388,183961,4436,7970,1338,3172,717,4798,989,9398,1225,8384,1129,1014,454,37787,1971,34809,2093,2978,900,40198,2381,38045,2349,2153,678,41495,2147,38756,2156,2739,964,40267,2668,30765,2222,9502,1708,6846,1273,5100,1016,1746,540,485735,4548,0400000US16,1334057,2430,664361,2814,182783,4085,9815,1357,4751,1031,5064,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,16
3051,90542,4526,74557,3856,15985,2281,356336,8295,306942,8278,49394,3470,376460,7961,332282,7320,44178,3031,370390,6583,332007,5992,38383,3137,289561,9083,216629,7222,72932,6004,78181,4590,38625,3784,39556,3582,4136332,11374,6083509,7343,1730729,13607,119111,5822,66685,4808,52426,4485,85664,5140,72607,4699,13057,2044,330094,7957,283650,8017,46444,3245,362419,8792,317983,8456,44436,3621,358753,6246,320018,6478,38735,2657,370128,8633,271996,7830,98132,5192,104560,4480,58266,3673,46294,3153,4352780,12588,0400000US17,11900575,8399,5817066,6931,1680734,11563,119264,5619,73629,4960,45635,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,17
2781,42866,3205,35782,3193,7084,1093,179274,4996,156013,4954,23261,2395,189098,4724,168114,4709,20984,2127,175808,4186,159940,4171,15868,1695,123673,5467,102307,5288,21366,2535,25615,2642,18230,2551,7385,1144,2077460,7236,2976072,4082,802271,6868,49187,3814,22860,2423,26327,2566,42601,3236,35756,3010,6845,1106,175511,4884,152139,4618,23372,2689,172331,4984,151767,4714,20564,2050,166515,3608,149947,3546,16568,1838,162943,4328,132260,4029,30683,2656,33183,2660,24626,2474,8557,1334,2173801,7083,0400000US18,5840875,4853,2864803,5209,787343,8630,51009,4110,24304,2780,26705,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,18
1117,17790,1595,15447,1453,2343,645,69913,2774,61770,2645,8143,1451,76584,3130,69152,3375,7432,975,86257,2526,80973,2457,5284,1029,56682,3657,43525,3088,13157,1881,13422,1569,9167,1349,4255,1110,1007752,4203,1400010,3437,359633,5409,23093,1954,14895,1713,8198,1172,17820,1806,15863,1641,1957,614,66754,3393,58607,3269,8147,1123,72089,3079,65844,3001,6245,1178,82273,2351,75903,2375,6370,1149,78431,3803,61091,3360,17340,1828,19173,2458,13742,2042,5431,1354,1040377,5411,0400000US19,2752744,2896,1352734,3265,344982,4711,24334,2019,15962,1815,8372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,19
1638,18482,1885,16467,1883,2015,497,71301,2762,62472,2588,8829,1453,79046,3349,71760,3427,7286,1096,79489,2679,72605,2928,6884,1183,66788,3856,55475,3662,11313,1826,15966,1960,11834,1659,4132,1025,903095,5557,1290484,3577,357363,5401,22086,2235,13382,1815,8704,1503,19031,2101,16458,2044,2573,699,70242,3023,61793,3133,8449,1349,70240,2798,62518,2870,7722,1096,76467,2238,69165,2364,7302,1324,77099,3469,65345,3181,11754,1548,22198,2537,17606,2250,4592,1079,933121,5097,0400000US20,2550214,3011,1259730,3533,356635,5989,25563,2294,15441,1655,10122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,20
1599,27658,2776,23981,2565,3677,1022,111579,4962,97084,4658,14495,1876,112798,3876,96965,4271,15833,1971,111092,3447,100203,3482,10889,1599,79013,4717,65672,4287,13341,1876,15731,1925,11283,1576,4448,1121,1411182,6851,1995372,4661,499020,6805,26897,2994,16779,2468,10118,1519,27872,2555,23348,2346,4524,1232,98925,3801,84342,3975,14583,1999,105410,4130,92019,4075,13391,1535,108255,3789,96520,3540,11735,1374,107492,5341,91170,5006,16322,2235,24169,2800,18425,2442,5744,1417,1496352,7183,0400000US21,3897108,5487,1901736,4571,490554,7349,32683,3002,21633,2597,11050,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,21
2325,34200,3149,29256,3075,4944,1011,131656,4593,109625,4475,22031,2648,128853,5325,106052,5360,22801,2637,129686,4486,108063,4380,21623,2297,93407,5249,78919,4625,14488,2683,15014,2071,10696,1802,4318,1085,1446921,7554,2179209,4190,604401,8238,40779,3643,24700,3082,16079,2200,32884,2866,27005,2820,5879,1295,114850,4646,94189,4867,20661,2781,128543,5329,102351,5296,26192,2537,129902,4313,109654,3772,20248,2569,131289,5893,107572,5803,23717,3072,26154,2578,19347,2420,6807,1315,1574808,7889,0400000US22,4202321,5202,2023112,5100,576191,7334,43375,3436,26069,3243,17306,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,22
799,7183,1026,6686,970,497,236,29669,1972,27761,2066,1908,554,32992,2058,31528,1964,1464,400,37684,1577,33268,1724,4416,1116,21128,2145,15952,1842,5176,1227,5534,1273,3573,905,1961,900,463737,3371,637339,2157,154361,3624,6788,1154,3790,875,2998,902,7268,1167,6686,1165,582,324,26875,1897,25088,1965,1787,502,33304,1938,30890,1853,2414,840,35796,1667,31973,1838,3823,777,35385,2247,26397,2201,8988,1367,8945,1562,6549,1300,2396,733,482978,2980,0400000US23,1242948,1955,605609,1811,141872,2987,7682,1267,4626,1024,3056,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,23
2286,35160,3202,28443,2956,6717,1312,144772,4986,119450,4561,25322,2727,167242,5096,141481,5647,25761,2792,167747,4387,146179,4760,21568,2193,117367,6037,91282,5316,26085,2796,39889,3638,23007,3013,16882,2120,1797039,8276,2716764,4093,764317,10331,45781,3785,18861,2560,26920,3212,33772,3660,26167,3543,7605,1494,138414,4788,114300,4870,24114,2756,161948,5923,134288,7077,27660,3461,163804,5007,142309,5151,21495,2155,165675,7747,126312,7380,39363,4644,54923,4252,31542,3481,23381,2496,1952447,9411,0400000US24,5233344,5310,2516580,4332,719541,8594,47364,3252,20701,2425,26663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,24
