B16008_034E,B16008_034M,B16008_035E,B16008_035M,B16008_036E,B16008_036M,B16008_037E,B16008_037M,B16008_038E,B16008_038M,B16008_039E,B16008_039M,B16008_040E,B16008_040M,B16008_041E,B16008_041M,GEO_ID,B16008_001E,B16008_001M,B16008_002E,B16008_002M,B16008_003E,B16008_003M,B16008_004E,B16008_004M,B16008_005E,B16008_005M,B16008_006E,B16008_006M,B16008_007E,B16008_007M,B16008_008E,B16008_008M,B16008_009E,B16008_009M,B16008_010E,B16008_010M,B16008_011E,B16008_011M,B16008_012E,B16008_012M,B16008_013E,B16008_013M,B16008_014E,B16008_014M,B16008_015E,B16008_015M,B16008_016E,B16008_016M,B16008_017E,B16008_017M,B16008_018E,B16008_018M,B16008_019E,B16008_019M,B16008_020E,B16008_020M,B16008_021E,B16008_021M,B16008_022E,B16008_022M,B16008_023E,B16008_023M,B16008_024E,B16008_024M,B16008_025E,B16008_025M,B16008_026E,B16008_026M,B16008_027E,B16008_027M,B16008_028E,B16008_028M,B16008_029E,B16008_029M,B16008_030E,B16008_030M,B16008_031E,B16008_031M,B16008_032E,B16008_032M,B16008_033E,B16008_033M,B16008_034EA,B16008_034MA,B16008_035EA,B16008_035MA,B16008_036EA,B16008_036MA,B16008_037MA,B16008_037EA,B16008_038MA,B16008_038EA,B16008_039EA,B16008_039MA,B16008_040EA,B16008_040MA,B16008_041EA,B16008_041MA,NAME,B16008_001EA,B16008_001MA,B16008_002EA,B16008_002MA,B16008_003EA,B16008_003MA,B16008_004EA,B16008_004MA,B16008_005EA,B16008_005MA,B16008_006MA,B16008_006EA,B16008_007MA,B16008_007EA,B16008_008MA,B16008_008EA,B16008_009EA,B16008_009MA,B16008_010EA,B16008_010MA,B16008_011MA,B16008_011EA,B16008_012MA,B16008_012EA,B16008_013MA,B16008_013EA,B16008_014EA,B16008_014MA,B16008_015EA,B16008_015MA,B16008_016MA,B16008_016EA,B16008_017MA,B16008_017EA,B16008_018MA,B16008_018EA,B16008_019EA,B16008_019MA,B16008_020EA,B16008_020MA,B16008_021MA,B16008_021EA,B16008_022MA,B16008_022EA,B16008_023MA,B16008_023EA,B16008_024EA,B16008_024MA,B16008_025EA,B16008_025MA,B16008_026MA,B16008_026EA,B16008_027MA,B16008_027EA,B16008_028MA,B16008_028EA,B16008_029EA,B16008_029MA,B16008_030EA,B16008_030MA,B16008_031EA,B16008_031MA,B16008_032MA,B16008_032EA,B16008_033MA,B16008_033EA,state
6184,1644,2013,1320,476895,13907,63561,5756,264184,8297,72033,6660,56506,4542,20611,3200,0400000US13,8125787,3431,7341218,17211,1584064,6546,1461746,6590,83109,5061,19000,2739,16173,2502,4036,1273,5757154,13450,5581434,14660,115122,7198,43705,3424,11866,2198,5027,1377,784569,17192,244817,10092,10399,1952,3992,1068,3069,1220,1881,871,1158,530,299,276,234418,9406,65985,5629,51658,5728,55987,5495,49393,4418,11395,2097,539752,16982,62857,5900,7615,2070,36147,3423,10898,2829,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
7280,2220,0,264,82890,6685,11651,1868,5561,1835,4127,1283,61333,5984,218,250,0400000US15,1148331,472,937865,9771,196287,2752,172446,4026,3126,963,1229,708,19372,2771,114,189,741578,8137,665325,8399,11024,1802,4918,1207,60025,4318,286,296,210466,9763,118050,5984,2931,841,833,363,84,86,18,30,1996,799,0,264,115119,5759,21123,2635,2049,658,3608,1035,88161,5415,178,228,92416,8391,9526,2516,1824,750,422,589,0,264,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
53,87,294,305,43371,3338,5901,1447,30171,3290,3611,1401,2561,839,1127,769,0400000US16,1289728,1117,1214380,5112,258029,2370,238082,2863,16397,2087,1024,575,1542,702,984,505,956351,4030,912410,4798,31226,3186,6246,1127,2349,684,4120,1123,75348,4984,24862,3616,1886,926,460,309,1231,837,137,131,58,94,0,256,22976,3161,6227,1254,10294,2007,3276,1096,2961,1278,218,155,50486,4578,7115,1924,1903,1362,4476,1410,389,299,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
10485,2580,1755,1010,850876,20449,54720,3731,498204,15640,185947,12481,94955,7005,17050,3469,0400000US17,11541146,1763,9859954,26535,2207781,8317,1825613,11588,288351,9967,62790,4501,18896,2458,12131,3468,7652173,24268,7073466,20490,388847,12781,151076,6269,24220,2639,14564,3028,1681192,26516,732420,15155,26704,3700,7961,1442,7479,1843,7186,1622,3241,1495,837,484,705716,15272,96790,6095,207112,8986,242244,11756,128444,6060,31126,5146,948772,23888,97896,7919,5652,1676,58422,6554,21582,3471,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1593,668,959,985,140794,5330,17486,2588,79093,4434,17379,2688,22964,2625,3872,1376,0400000US18,5663249,2027,5425086,7533,1140031,4036,1068595,5128,43083,3613,21955,3192,4887,1116,1511,865,4285055,6178,4139700,7554,79654,4149,58455,4433,4101,959,3145,834,238163,7480,79403,5033,4896,1226,3028,1064,340,298,730,406,798,569,0,264,74507,4765,21591,2695,17079,1937,18796,2958,13985,2121,3056,1231,158760,6687,17966,2999,1785,795,11374,2132,2255,1017,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
937,411,368,322,60048,4230,8987,2142,26983,2789,11228,2507,10530,1503,2320,832,0400000US19,2679362,1413,2577742,5717,473312,2132,443010,2534,21736,1841,5758,1463,2413,720,395,277,2104430,4657,2049732,4938,30984,2652,19961,2629,2619,1266,1134,683,101620,5357,33166,2665,3029,758,2594,693,214,229,136,132,85,107,0,221,30137,2467,8769,1255,6644,1251,5373,1292,8753,1397,598,404,68454,5103,8406,1587,1102,603,3782,1157,2217,1064,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1573,721,315,342,87526,4640,8381,1843,52286,3570,9931,1964,13149,2168,3779,1402,0400000US20,2474976,1383,2322408,5657,466851,2480,429532,3853,29314,2988,4868,1126,2650,730,487,277,1855557,4872,1791674,5284,42244,3059,17299,1899,2237,824,2103,903,152568,5343,51507,4042,3421,1170,1184,623,1653,939,175,167,365,400,44,73,48086,3677,10437,1464,15407,2338,6804,1569,13723,1881,1715,745,101061,4895,13535,1886,661,425,9479,1637,1507,680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
940,397,441,232,52456,4089,9263,1630,23171,2458,9502,2425,8747,1726,1773,842,0400000US21,3787480,1985,3690269,5618,692844,2576,669253,3761,13928,1731,6818,1894,2171,647,674,476,2997425,4908,2946555,6184,29728,2622,16687,2260,2557,869,1898,884,97211,5004,35501,3218,2860,827,1506,653,372,192,688,447,130,197,164,201,32641,2967,10835,1832,3353,1022,9353,2208,7996,1441,1104,608,61710,4769,9254,1890,1741,1031,4228,1190,1904,1042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1116,574,174,176,54361,4906,7452,1612,23470,3292,9594,2014,10895,2137,2950,1529,0400000US22,4070976,1871,3950672,6589,814835,2658,776461,3796,18940,2429,12926,1524,5242,1301,1266,1091,3135837,6252,2928505,9841,45978,4043,152944,6323,4780,1235,3630,2173,120304,6405,61873,4204,2952,1053,1398,673,856,572,331,295,133,126,234,236,58921,4168,14787,2133,18262,1708,7519,1661,15744,2230,2609,1403,58431,5170,4070,1011,753,469,1312,458,715,385,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
151,188,1160,702,15049,2178,5324,995,924,468,5119,1272,2252,766,1430,793,0400000US23,1216504,715,1177957,3553,205693,1299,196707,1714,2286,589,4578,1025,1809,883,313,188,972264,3121,911905,4608,6982,1509,51187,3451,1013,516,1177,340,38547,3447,20783,1920,642,331,381,291,0,229,223,156,38,67,0,229,20141,1950,9908,1341,315,185,7417,1297,2284,686,217,212,17764,2613,2715,1087,401,355,211,232,792,477,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
6748,1403,4203,1633,311134,10374,53817,5884,117705,6570,58750,6441,50616,4089,30246,4371,0400000US24,5079545,1425,4445183,13694,964294,5242,870750,6445,54410,3992,19847,2653,12827,1715,6460,1754,3480889,11905,3332185,10235,68889,5231,55416,4787,14771,1834,9628,1898,634362,13918,284778,9889,13146,2551,6606,1431,1305,1001,1861,863,2583,966,791,492,271632,9118,74418,5793,39475,4017,65365,4949,70017,4263,22357,3177,349584,12203,38450,4090,6524,1655,11963,2593,9012,2980,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
6429,1545,4320,1764,444672,14865,64671,4959,99646,6457,179288,12557,82916,6213,18151,3861,0400000US25,5787790,985,4906411,19927,995138,5517,841979,8127,82468,4539,44245,4241,22862,3156,3584,1395,3911273,18159,3593808,19565,157507,7798,134092,7056,16372,2926,9494,3358,881379,19780,390979,11337,14735,2140,5831,1145,1717,779,4143,1128,2309,887,735,738,376244,10822,99243,6692,46443,4774,146429,7879,67286,4868,16843,2965,490400,16429,45728,4989,6284,1742,10966,2332,17729,3097,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
6657,1414,5952,2081,273405,11038,53137,5577,64560,4891,67824,4736,57448,4061,30436,4078,0400000US26,9214148,1661,8618635,14657,1801156,5208,1677398,8086,55137,3441,31808,3757,14333,2092,22480,4587,6817479,12275,6577370,14791,111714,5141,92172,3990,10166,1500,26057,3516,595513,14405,281342,9856,19306,2685,8200,1656,1970,940,3115,916,1366,621,4655,1307,262036,9124,71406,4824,25092,3423,76306,3877,36494,2619,52738,5916,314171,13086,40766,4016,8782,2725,11453,1993,7922,1341,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
5377,1257,6530,2319,160267,7403,23713,3499,55059,4129,23240,3641,37040,3221,21215,3298,0400000US27,4652645,1843,4341209,8803,850042,4026,776506,5251,32932,2637,11413,1928,22046,1950,7145,2201,3491167,6865,3371947,6572,50958,3762,44461,3035,12177,1781,11624,1507,311436,8791,125041,6964,13346,2019,7895,1597,1089,647,732,396,2911,890,719,488,111695,6536,31787,2819,11678,2307,19696,2874,37871,3028,10663,2463,186395,9270,26128,3423,3548,1014,7167,1406,3506,1126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
381,326,0,288,20643,3271,2645,878,11624,2268,2356,1007,3714,1096,304,322,0400000US28,2613859,1661,2571180,4682,530507,1796,516793,2381,7399,1521,2621,1259,2332,871,1362,440,2040673,4281,2007949,3914,19091,2223,7580,1367,1995,780,4058,923,42679,4429,19595,2579,701,338,314,188,262,225,76,103,49,97,0,288,18894,2568,5634,1358,5065,1673,3518,1033,4396,1202,281,270,23084,3526,2441,781,358,315,1427,649,275,252,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
2999,908,1185,976,91962,6653,13202,2142,33886,3067,23203,4396,17200,2324,4471,1411,0400000US29,5253164,2150,5062345,10495,969388,3809,928534,3836,23838,2227,10829,2275,5386,1176,801,545,4092957,9086,4005512,9482,49962,4020,30762,3080,5144,1279,1577,593,190819,10286,82258,6123,6411,1361,3549,912,1135,940,1058,516,537,322,132,159,75847,5624,21086,3241,13029,2527,17072,2252,19691,2250,4969,1739,108561,8312,16599,2935,1570,795,5032,1361,5813,2053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
33,75,0,231,6328,1247,3694,993,692,387,1203,559,681,454,58,124,0400000US30,856752,866,840446,2236,148714,1437,143088,1859,2590,776,1841,760,78,70,1117,478,691732,1965,668355,3335,6833,1170,8561,1678,575,344,7408,1346,16306,1953,9567,1524,706,444,608,409,0,231,98,169,0,231,0,231,8861,1406,5058,1072,714,430,2188,741,901,370,0,231,6739,1266,411,310,201,218,13,29,164,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1067,1047,516,386,54112,3211,4838,1254,35184,2528,5294,1642,6343,1469,2453,995,0400000US31,1584316,984,1489349,4606,293929,2282,270063,2550,20234,2090,1840,625,953,541,839,441,1195420,3568,1157036,4283,24368,2361,11318,1657,1154,495,1544,855,94967,4210,32153,2704,3641,835,1801,668,383,255,339,384,604,417,514,392,28512,2520,6803,1235,10169,1589,5084,1394,5264,930,1192,568,62814,4171,8702,1722,524,356,5949,1350,646,494,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
