B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,B10056_012E,B10056_012M,B10056_013E,B10056_013M,B10056_014E,B10056_014M,B10056_015E,B10056_015M,B10056_016E,B10056_016M,B10056_017E,B10056_017M,B10056_018E,B10056_018M,B10056_019E,B10056_019M,GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007MA,B10056_008MA,B10056_008EA,B10056_009EA,B10056_009MA,B10056_010EA,B10056_010MA,B10056_011MA,B10056_011EA,B10056_012MA,B10056_012EA,B10056_013MA,B10056_013EA,B10056_014MA,B10056_014EA,B10056_015EA,B10056_015MA,B10056_016EA,B10056_016MA,B10056_017MA,B10056_017EA,B10056_018MA,B10056_018EA,B10056_019MA,B10056_019EA,NAME,B10056_001MA,B10056_001EA,B10056_002MA,B10056_002EA,B10056_003MA,B10056_003EA,B10056_004EA,B10056_004MA,B10056_005EA,B10056_005MA,B10056_006MA,B10056_006EA,B10056_007EA,state
927,2400,661,1769,676,15641,1613,31471,2534,7883,1263,3160,908,2228,752,932,523,4723,966,3145,847,1578,490,23588,2246,0400000US15,53462,4007,21991,1906,6350,1226,2181,727,1444,622,737,328,4169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,15
950,2160,907,414,205,2881,746,12371,1660,5762,1149,3173,779,1996,614,1177,427,2589,689,1981,613,608,347,6609,1167,0400000US16,19735,2457,7364,1145,4483,1070,1909,532,919,405,990,390,2574,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,16
2336,16052,2099,6820,1114,47730,3898,158064,6273,65887,3761,21635,2066,13183,1875,8452,1196,44252,3448,32610,3100,11642,1739,92177,4947,0400000US17,239281,9398,81217,4728,33487,2813,10615,1578,5249,960,5366,1163,22872,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1545,7624,1412,2989,776,17712,2272,61652,4400,29930,2900,12557,2295,9001,2090,3556,791,17373,1988,13464,1919,3909,957,31722,2994,0400000US18,98394,7031,36742,3328,19030,2361,8417,1754,5051,1310,3366,870,10613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1286,3200,1259,644,282,5045,815,19562,2362,10174,1779,4338,1032,3060,843,1278,455,5836,1278,4872,1246,964,449,9388,1340,0400000US19,31131,3486,11569,1447,6524,1347,2680,655,1378,486,1302,462,3844,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1118,4251,1051,829,500,7597,1188,24209,2094,11407,1622,4245,824,2137,542,2108,690,7162,1483,6042,1311,1120,536,12802,1645,0400000US20,39372,3330,15163,1759,7566,1409,2486,736,1690,567,796,377,5080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1261,4786,1132,2101,649,14339,1796,51579,3324,27891,2483,13746,1858,10066,1673,3680,899,14145,2056,12121,1789,2024,647,23688,2472,0400000US21,82199,5036,30620,2184,16281,1924,9394,1539,4902,1146,4492,1075,6887,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2138,9527,1829,3677,1011,17818,2162,76086,4645,42313,3562,15290,2046,9588,1655,5702,1157,27023,2908,20911,2767,6112,1078,33773,3164,0400000US22,115164,6745,39078,3002,21260,2593,8056,1475,4716,1247,3340,793,13204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,22
333,649,274,182,150,2849,854,8634,1316,3265,849,1775,526,788,420,987,396,1490,581,1239,525,251,201,5369,1097,0400000US23,13410,2045,4776,995,1927,515,1096,433,672,374,424,231,831,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1133,6449,1003,2623,694,24904,3093,78064,5143,29438,2561,11207,1791,5552,1196,5655,1441,18231,2215,13828,2026,4403,1084,48626,4269,0400000US24,117654,7778,39590,3254,14686,1674,5614,1312,2340,769,3274,998,9072,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1390,4091,1244,2360,719,23529,3416,64759,5005,17961,2417,6076,1120,3313,1007,2763,803,11885,2086,8553,2031,3332,961,46798,4525,0400000US25,98304,8122,33545,3963,10016,1509,3565,1098,1813,813,1752,532,6451,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2278,13534,2005,4582,778,26738,2421,100780,5086,42956,3356,15987,1988,9069,1466,6918,1177,26969,2725,20915,2541,6054,1128,57824,3480,0400000US26,154402,7868,53622,3761,26884,2683,8768,1288,4703,989,4065,701,18116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,26
750,3322,735,790,295,11300,1703,31331,2673,12967,1738,5155,1060,3493,966,1662,490,7812,1426,6416,1303,1396,442,18364,2193,0400000US27,49719,4010,18388,1738,7088,990,2976,677,1870,564,1106,381,4112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,27
1980,7889,1709,2768,818,11457,1637,58713,3769,34322,2793,13679,1822,8251,1547,5428,997,20643,2294,16220,2207,4423,1232,24391,2414,0400000US28,89412,5974,30699,2990,19242,2693,8585,1551,5342,1258,3243,867,10657,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1504,6996,1259,2324,714,18264,2395,63336,4443,30861,3287,14433,1762,9281,1664,5152,865,16428,2526,12236,2296,4192,981,32475,2995,0400000US29,99482,6801,36146,3321,17882,2034,8562,1491,4600,1216,3962,774,9320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,29
479,849,369,648,390,1707,592,7830,1212,4243,915,1775,522,1202,403,573,252,2468,715,1697,627,771,411,3587,919,0400000US30,12088,1769,4258,804,2551,581,1054,390,489,246,565,260,1497,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,30
678,1597,632,391,209,3456,749,12244,1477,5551,931,2426,698,1762,636,664,282,3125,730,2556,699,569,287,6693,1004,0400000US31,18818,2297,6574,1060,3118,734,1130,456,685,374,445,233,1988,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,31
1390,3860,1319,1835,628,10415,1589,32648,2783,13088,1708,3982,935,1933,593,2049,789,9106,1459,6238,1184,2868,1074,19560,2253,0400000US32,51473,4210,18825,2140,8410,1484,2715,777,1304,511,1411,565,5695,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,32
522,722,320,529,439,3501,776,11456,1735,3627,938,1084,487,814,462,270,200,2543,863,1851,780,692,451,7829,1488,0400000US33,16732,2317,5276,1038,1775,600,524,257,236,175,288,193,1251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,33
2144,9454,1890,4082,1041,37388,4144,111741,5205,37217,3406,12145,1769,6570,1335,5575,1125,25072,2619,17604,2392,7468,1440,74524,4661,0400000US34,169052,8505,57311,4502,19923,2632,6387,1369,2110,679,4277,1117,13536,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,34
1032,3672,911,1326,525,9114,1468,29530,2824,16552,2283,6985,1293,4705,1032,2280,650,9567,1754,7319,1425,2248,830,12978,1591,0400000US35,48087,4319,18557,2237,9443,1504,4445,1101,2589,826,1856,571,4998,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,35
2756,18240,2468,8829,1632,81301,5326,247750,7836,83971,4804,26472,2703,14212,2038,12260,1736,57499,4022,39132,3693,18367,2791,163779,6634,0400000US36,368942,11536,121192,5705,39891,3537,12822,2202,6511,1742,6311,1541,27069,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,36
2118,11108,2007,3520,852,30006,2900,106092,5435,52902,4315,25728,3099,17133,2364,8595,1660,27174,2812,21603,2577,5571,1310,53190,3617,0400000US37,165345,7705,59253,3311,29247,2934,14619,1998,8474,1402,6145,1323,14628,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,37
387,575,386,54,49,915,378,2958,631,1588,399,719,278,518,263,201,93,869,282,709,263,160,138,1370,561,0400000US38,5083,1096,2125,600,1210,427,581,244,309,190,272,171,629,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1711,11994,1464,5313,1014,33367,2751,123715,5318,55806,3682,26530,2470,17998,2125,8532,1473,29276,2803,22906,2467,6370,1077,67909,4063,0400000US39,189401,8204,65686,4124,32319,2660,15012,1893,9839,1706,5173,896,17307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,39
1209,6516,1040,1890,523,10808,1602,43578,3155,26966,2447,12220,1544,6929,1188,5291,1078,14746,1853,11599,1714,3147,792,16612,1884,0400000US40,71850,4387,28272,2055,17464,1882,9058,1517,5483,1388,3575,675,8406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1083,4560,1017,1674,528,9293,1473,31831,2602,14292,1679,6893,1292,4264,1072,2629,782,7399,1141,5135,1134,2264,700,17539,1956,0400000US41,51852,4240,20021,2168,10728,1462,4494,925,2869,772,1625,560,6234,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,41
1940,13767,1737,5134,1072,39554,3142,128078,6260,47627,3097,19837,2123,11871,1678,7966,1134,27790,2796,21382,2690,6408,1266,80451,5284,0400000US42,197705,9208,69627,3868,30073,2498,11172,1613,5839,1291,5333,920,18901,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,42
377,618,377,0,284,4449,1249,10052,1665,2600,983,731,453,588,392,143,191,1869,775,1759,760,110,128,7452,1446,0400000US44,15705,2586,5653,1267,1204,567,586,479,422,442,164,191,618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,44
1374,6671,1135,2115,747,14225,1844,61333,4118,32237,2600,14651,1625,7374,1431,7277,1161,17586,2175,13625,2066,3961,1038,29096,3210,0400000US45,90978,5706,29645,2532,15420,1728,6634,1030,2940,796,3694,852,8786,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,45
568,1241,477,259,257,1138,394,4660,834,2866,657,1078,393,533,269,545,269,1788,552,1504,490,284,216,1794,545,0400000US46,8132,1397,3472,757,2334,695,834,344,341,221,493,295,1500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1843,10843,1794,2300,538,20638,2382,77394,4764,42047,3693,19238,1933,12791,1829,6447,992,22809,3000,18851,2788,3958,793,35347,2886,0400000US47,124366,7545,46972,3727,26334,2991,13191,2268,8351,2006,4840,1135,13143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,47
5905,55365,5525,17905,2172,111036,6168,362917,10684,168612,6907,58444,3636,36992,3095,21452,2094,110168,5534,87474,5271,22694,2843,194305,7465,0400000US48,584885,18665,221968,9944,110932,7302,37662,3297,21258,2634,16404,1845,73270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,48
1121,4285,972,2078,644,9658,1272,25549,2122,10435,1396,3568,851,1935,687,1633,531,6867,1090,4996,956,1871,540,15114,1555,0400000US49,43998,3725,18449,1992,8791,1370,2428,655,1227,455,1201,480,6363,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,49
258,297,208,158,160,1526,483,3920,646,1272,403,545,311,489,298,56,93,727,312,678,312,49,60,2648,561,0400000US50,6334,1051,2414,559,888,357,433,287,266,240,167,160,455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,50
1573,7796,1470,3366,727,25948,2626,87181,4979,36918,3571,15996,2383,9090,1739,6906,1444,20922,2128,15210,2016,5712,994,50263,3610,0400000US51,132669,7444,45488,3365,19540,2254,8378,1624,4542,1340,3836,873,11162,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,51
1207,5131,1107,2112,611,18288,2033,53384,3720,19588,1840,8745,1325,5100,1052,3645,770,10843,1383,8463,1270,2380,591,33796,3466,0400000US53,85051,5517,31667,2788,13379,1632,6136,1148,3091,968,3045,711,7243,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,53
819,2325,620,1203,517,5283,993,17507,1677,9489,1403,4433,1161,3232,952,1201,530,5056,827,3244,668,1812,672,8018,1068,0400000US54,29718,2883,12211,1466,6928,1142,3400,802,1969,643,1431,452,3528,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,54
1116,5363,1007,1139,396,12600,1460,38015,2870,17289,1886,6442,1232,4516,1100,1926,542,10847,1552,8831,1391,2016,594,20726,2116,0400000US55,61176,4267,23161,1952,10561,1472,4059,917,2589,858,1470,445,6502,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,55
340,498,282,201,167,1212,409,4173,823,2233,637,1251,453,970,444,281,169,982,451,819,394,163,174,1940,477,0400000US56,7045,1330,2872,668,1660,546,961,404,760,392,201,133,699,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,56
1825,9443,1412,7865,1156,22581,2067,83961,4354,41209,2858,11891,1585,7194,1243,4697,1021,29318,2364,20533,1977,8785,1374,42752,2898,0400000US72,131355,6766,47394,3149,24813,2179,7505,1083,3276,729,4229,909,17308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,72
