B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022MA,B17010A_023EA,B17010A_023MA,B17010A_024MA,B17010A_024EA,B17010A_025MA,B17010A_025EA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028EA,B17010A_028MA,B17010A_029MA,B17010A_029EA,B17010A_030MA,B17010A_030EA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033EA,B17010A_033MA,B17010A_034MA,B17010A_034EA,B17010A_035MA,B17010A_035EA,B17010A_036MA,B17010A_036EA,B17010A_037EA,B17010A_037MA,B17010A_038EA,B17010A_038MA,B17010A_039MA,B17010A_039EA,B17010A_040MA,B17010A_040EA,B17010A_041EA,B17010A_041MA,NAME,B17010A_001EA,B17010A_001MA,B17010A_002EA,B17010A_002MA,B17010A_003MA,B17010A_003EA,B17010A_004MA,B17010A_004EA,B17010A_005MA,B17010A_005EA,B17010A_006EA,B17010A_006MA,B17010A_007EA,B17010A_007MA,B17010A_008EA,B17010A_008MA,B17010A_009MA,B17010A_009EA,B17010A_010MA,B17010A_010EA,B17010A_011MA,B17010A_011EA,B17010A_012MA,B17010A_012EA,B17010A_013MA,B17010A_013EA,B17010A_014EA,B17010A_014MA,B17010A_015EA,B17010A_015MA,B17010A_016MA,B17010A_016EA,B17010A_017MA,B17010A_017EA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021EA,B17010A_021MA,B17010A_022EA,state
12604,1195226,12671,546194,9798,121629,5461,99199,5502,325366,7725,649032,10940,211766,6398,70333,3983,39454,2781,7594,1543,4807,1286,27053,2333,30879,3133,141433,5433,82747,4427,10202,1643,9194,1898,63351,3268,58686,3670,0400000US13,1507875,11333,100883,5146,47461,3767,26425,3098,5611,1281,8663,1572,12151,2187,21036,2251,53422,3567,9888,1975,6191,1566,1830,805,1401,738,2960,1087,3697,1098,43534,3360,37107,3217,8161,1637,7718,1864,21228,2729,6427,1178,1406992,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
3908,72901,3457,28847,2575,6496,1202,5690,1171,16661,1996,44054,3033,13102,1731,4712,1184,2501,830,753,503,99,115,1649,613,2211,735,8390,1326,3940,901,401,265,274,229,3265,748,4450,962,0400000US15,90438,3792,4435,1098,1958,686,1042,472,240,324,294,245,508,340,916,473,2477,809,230,225,76,130,0,264,0,264,76,130,154,189,2247,777,2038,777,171,147,899,565,968,552,209,144,86003,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
5291,266682,6001,119686,4416,21048,1919,25400,2255,73238,3703,146996,4252,47937,3971,16141,2237,10144,1814,1900,758,1114,457,7130,1425,5997,1149,31796,3232,19715,2849,2247,843,3259,1224,14209,2234,12081,1686,0400000US16,347410,5548,32791,2693,15648,1886,10692,1619,2041,710,3832,1041,4819,1175,4956,880,17143,2252,1960,645,1675,649,653,477,227,250,795,477,285,294,15183,2107,14513,2108,4502,1304,3149,980,6862,1368,670,319,314619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
15516,1845321,14768,833430,11299,162176,5344,165135,6612,506119,9570,1011891,11323,369490,9027,120097,5596,60863,3756,11939,1589,6244,1364,42680,3365,59234,4077,249393,7863,138979,5693,19220,2295,15743,2367,104016,4871,110414,4946,0400000US17,2350267,15345,135456,6619,58986,4306,35805,3634,8145,1702,11860,2223,15800,2033,23181,2290,76470,5263,10451,1935,8363,1684,3028,1083,1856,813,3479,798,2088,706,66019,4737,57606,4241,15404,2164,13171,1823,29031,3071,8413,1692,2214811,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
12678,1116102,13842,480591,10218,86388,4229,95343,4592,298860,8395,635511,9326,221034,6846,72238,4114,44457,3342,8531,1435,5606,1414,30320,2697,27781,2508,148796,5348,89790,5072,13174,1921,10961,1747,65655,4200,59006,3408,0400000US18,1443380,12046,106244,4704,40131,3153,22999,2444,4668,1449,6906,1312,11425,1717,17132,1673,66113,4427,10333,1561,8482,1498,2244,835,1559,654,4679,1097,1851,649,55780,4006,50852,4098,13222,2289,12345,2339,25285,2595,4928,1042,1337136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
8542,593275,9322,241676,6156,45888,3155,47141,2736,148647,4291,351599,6803,105544,4361,29889,2809,20025,2422,4672,1085,1479,583,13874,2076,9864,1250,75655,3606,48724,3335,8370,1435,5901,1092,34453,2957,26931,2211,0400000US19,748104,8432,49285,2825,19711,1724,10747,1572,2921,916,3207,805,4619,964,8964,1274,29574,2799,4522,1076,3828,1015,1070,432,1411,824,1347,542,694,321,25052,2527,22613,2408,6787,919,4906,1075,10920,1784,2439,723,698819,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
7762,491307,8471,208529,5596,36592,2356,42237,3112,129700,4538,282778,5995,91126,4283,29025,2445,18356,2315,3023,802,1820,705,13513,1942,10669,1360,62101,3627,40875,3408,7141,1732,4046,833,29688,2693,21226,1867,0400000US20,624740,7564,42307,2902,16506,1678,9955,1520,2152,789,4109,974,3694,852,6551,996,25801,2503,3587,964,2814,874,892,490,278,184,1644,603,773,410,22214,2247,19776,2102,6907,1420,4871,1025,7998,1472,2438,702,582433,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
11288,739090,11359,310474,7720,58981,3812,58954,3848,192539,6200,428616,7944,151815,6103,48886,3964,24816,2646,3985,937,2239,816,18592,2335,24070,2710,102929,5522,58263,3936,8543,1759,7015,1647,42705,2867,44666,3295,0400000US21,1020504,10204,129599,5576,61186,4083,35897,3409,7114,1741,10926,2051,17857,2271,25289,2188,68413,4261,8554,1425,7051,1238,1487,615,664,422,4900,977,1503,661,59859,4030,53319,3491,13051,2182,10561,2162,29707,2891,6540,1547,890905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
9715,569747,10729,247497,7038,44597,3188,48042,3929,154858,5208,322250,7962,122330,6216,39974,3250,20709,2080,5304,1572,2376,707,13029,1685,19265,2686,82356,4520,46759,3850,6691,1443,6112,1545,33956,3023,35597,3009,0400000US22,757677,9840,65600,4287,30839,2391,16837,2146,3530,1037,4998,1270,8309,1621,14002,1907,34761,3251,5003,1280,3634,1200,875,568,710,478,2049,789,1369,498,29758,3121,25425,2640,7397,1380,4315,923,13713,2048,4333,1022,692077,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
6115,260576,6335,95631,3762,15258,1570,15405,1854,64968,3089,164945,5006,55429,3613,20575,2037,12864,1772,2897,925,1017,507,8950,1504,7711,1331,34854,3093,21276,2473,2294,802,2437,706,16545,2162,13578,1850,0400000US23,344999,6350,28994,2637,11129,1774,5565,1394,968,661,2152,804,2445,777,5564,1122,17865,2353,3950,977,3445,971,1358,616,246,311,1841,661,505,308,13915,2040,12775,1962,2804,747,2325,814,7646,1628,1140,531,316005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
9033,729818,8864,325477,6917,63379,3610,57562,3686,204536,5029,404341,8351,141483,5596,43496,3254,23531,2784,4552,1330,2777,893,16202,2281,19965,2130,97987,4273,54857,3414,8286,1475,4945,1081,41626,3089,43130,2831,0400000US24,901136,8682,29835,3470,12752,1947,5986,1137,1064,475,2031,765,2891,836,6766,1625,17083,2502,2146,843,1804,784,273,201,284,339,1247,605,342,265,14937,2370,13693,2300,3343,1094,4238,1711,6112,1207,1244,475,871301,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
11659,1012349,13032,458245,9019,93288,4580,81977,4948,282980,7436,554104,10042,247967,7524,72738,5158,35179,3605,6379,1734,2481,1002,26319,3210,37559,3821,175229,6588,92453,5482,13687,2357,7445,1724,71321,4799,82776,4560,0400000US25,1331928,12840,71612,5040,21640,2361,10926,1584,2082,834,2937,986,5907,1154,10714,1866,49972,4155,5479,1333,4206,1235,536,297,559,401,3111,1088,1273,562,44493,3810,40249,3359,7471,1742,9216,2202,23562,2496,4244,1429,1260316,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
15876,1659436,16574,708847,9495,125258,4743,139450,5395,444139,8087,950589,13049,327052,7525,109271,4582,59711,3869,13788,2185,6076,1327,39847,2959,49560,3267,217781,6191,123083,5443,16043,2171,13281,2017,93759,4434,94698,3542,0400000US26,2137820,15481,151332,5155,61630,3268,35525,2403,5224,1064,12508,1821,17793,1842,26105,2182,89702,4388,16979,2469,14144,2388,5322,1476,2376,798,6446,1425,2835,758,72723,4135,64104,4032,14964,2102,15839,2193,33301,2765,8619,1234,1986488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
10671,974947,10523,426317,7160,85576,4276,81252,4243,259489,4572,548630,7664,179454,6032,62396,3424,37445,2999,9158,1392,3481,979,24806,2724,24951,2335,117058,4567,75390,3956,10916,1566,8520,1451,55954,3568,41668,2776,0400000US27,1210386,10222,55985,3992,23079,2071,12270,1506,2879,716,3923,879,5468,1026,10809,1207,32906,3341,5833,1076,4978,1042,1156,495,856,527,2966,657,855,335,27073,3114,24996,2969,7721,1627,4851,1040,12424,2320,2077,635,1154401,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
7557,371467,7915,152512,5580,29922,2540,30122,2623,92468,4610,218955,6120,75250,4512,22924,2865,13070,2153,1964,776,1940,771,9166,1731,9854,1639,52326,3770,30950,3340,3401,1016,4298,1326,23251,2699,21376,2399,0400000US28,487393,7951,40676,3060,19240,2366,11367,1939,2199,823,3242,1107,5926,1374,7873,1230,21436,2813,3105,901,2314,877,431,302,465,381,1418,720,791,421,18331,2603,16050,2593,3570,1033,4536,1508,7944,2060,2281,699,446717,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
12230,1009135,13183,422944,8187,82394,3779,80478,3984,260072,6917,586191,8920,198373,6065,65352,4185,39822,3533,9094,1809,4608,1613,26120,2658,25530,2853,133021,5295,80047,4611,13336,1797,8591,1617,58120,3589,52974,3109,0400000US29,1313333,11256,105825,5617,43110,2998,25572,2427,5609,1303,8267,1265,11696,1848,17538,1993,62715,4359,10519,1712,7861,1527,2304,833,857,459,4700,1186,2658,870,52196,3812,48376,3778,11938,1783,10591,1750,25847,2706,3820,907,1207508,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
4509,171753,4521,64254,2463,11977,1440,10889,1533,41388,2381,107499,4339,27310,2483,9012,1382,4958,1037,917,441,955,619,3086,804,4054,951,18298,1981,12344,1723,2097,794,785,502,9462,1358,5954,1023,0400000US30,218553,4408,19490,2104,9428,1328,5253,995,938,372,1499,666,2816,636,4175,804,10062,1630,1934,777,1379,635,278,296,221,289,880,497,555,453,8128,1466,7685,1444,1908,723,1271,566,4506,1110,443,312,199063,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
