C18003_020M,C18003_021E,C18003_021M,C18003_022E,C18003_022M,C18003_023E,C18003_023M,C18003_024E,C18003_024M,C18003_025E,C18003_025M,C18003_026E,C18003_026M,C18003_027E,C18003_027M,GEO_ID,C18003_001E,C18003_001M,C18003_002E,C18003_002M,C18003_003E,C18003_003M,C18003_004E,C18003_004M,C18003_005E,C18003_005M,C18003_006E,C18003_006M,C18003_007E,C18003_007M,C18003_008E,C18003_008M,C18003_009E,C18003_009M,C18003_010E,C18003_010M,C18003_011E,C18003_011M,C18003_012E,C18003_012M,C18003_013E,C18003_013M,C18003_014E,C18003_014M,C18003_015E,C18003_015M,C18003_016E,C18003_016M,C18003_017E,C18003_017M,C18003_018E,C18003_018M,C18003_019E,C18003_019M,C18003_020E,C18003_020MA,C18003_021MA,C18003_021EA,C18003_022MA,C18003_022EA,C18003_023MA,C18003_023EA,C18003_024EA,C18003_024MA,C18003_025EA,C18003_025MA,C18003_026MA,C18003_026EA,C18003_027MA,C18003_027EA,NAME,C18003_001MA,C18003_001EA,C18003_002EA,C18003_002MA,C18003_003EA,C18003_003MA,C18003_004MA,C18003_004EA,C18003_005MA,C18003_005EA,C18003_006MA,C18003_006EA,C18003_007MA,C18003_007EA,C18003_008EA,C18003_008MA,C18003_009EA,C18003_009MA,C18003_010MA,C18003_010EA,C18003_011MA,C18003_011EA,C18003_012MA,C18003_012EA,C18003_013EA,C18003_013MA,C18003_014EA,C18003_014MA,C18003_015MA,C18003_015EA,C18003_016MA,C18003_016EA,C18003_017MA,C18003_017EA,C18003_018MA,C18003_018EA,C18003_019EA,C18003_019MA,C18003_020EA,state
4793,2919661,7919,260697,2459,26117,2358,234580,2887,209612,2772,50057,2873,159555,3495,0400000US13,8094915,4412,3941892,6200,721328,5120,9210,1754,712118,5279,2879370,5821,93816,4658,2785554,7911,222855,3132,35110,2483,187745,3682,118339,2039,32168,2477,86171,2671,4153023,5229,688010,5570,7700,1530,680310,5695,2994704,6142,75043,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1105,389730,2175,41897,408,2682,810,39215,844,56571,523,10036,1376,46535,1503,0400000US15,1126390,2568,546836,2346,90778,1295,1150,556,89628,1345,385631,2387,10619,1536,375012,2902,35396,657,3698,853,31698,908,35031,349,8698,1047,26333,1057,579554,1848,85665,1360,690,374,84975,1420,395421,1874,5691,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1454,445243,2706,44346,697,4291,923,40055,1139,40953,552,12370,1281,28583,1265,0400000US16,1286091,1388,637323,1903,115611,1859,1726,770,113885,1934,450291,1938,20108,2270,430183,3078,41948,647,7287,1296,34661,1374,29473,541,10802,1113,18671,1195,648768,1758,108336,1615,1307,536,107029,1670,455133,2171,9890,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4789,4027000,7149,416356,1769,30043,2730,386313,2958,421957,1559,83148,4309,338809,4277,0400000US17,11529905,2458,5622985,3747,1009348,4331,11407,1871,997941,4988,4015797,4405,99635,5265,3916162,6648,333268,1389,34165,2941,299103,3010,264572,1252,60680,2972,203892,3116,5906920,3677,962092,4771,11176,2149,950916,5004,4106515,4778,79515,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3733,1937369,5330,208380,1098,16177,1817,192203,2136,212006,1044,45943,2434,166063,2404,0400000US18,5659078,2123,2769945,3085,505238,3610,5964,1257,499274,4021,1957922,3639,67824,4195,1890098,4776,173419,1023,23339,1791,150080,2017,133366,816,35042,2296,98324,2298,2889133,3090,482167,3486,5748,1414,476419,3386,1986580,3967,49211,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2165,912910,3451,110219,1041,7001,1074,103218,1572,121609,597,25904,1501,95705,1548,0400000US19,2677072,1593,1314161,2473,205100,1952,2201,739,202899,2022,938722,2602,32596,3117,906126,4095,89755,632,9933,1049,79822,1226,80584,493,19232,1451,61352,1564,1362911,2188,199488,2082,1655,545,197833,2222,931595,2607,18685,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2280,848186,3346,90381,1004,8789,1536,81592,1655,96433,906,19503,1447,76930,1620,0400000US20,2465776,1816,1211922,2803,209517,2488,2163,669,207354,2488,859091,3181,29954,2679,829137,3896,77300,1108,9756,1335,67544,1379,66014,958,17496,1418,48518,1816,1253854,2489,198880,2488,1639,643,197241,2580,868160,2774,19974,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
3230,1314072,4117,153415,1290,17342,1772,136073,2255,131990,864,36157,1955,95833,1972,0400000US21,3778043,2498,1838635,4000,309390,3028,5960,1301,303430,3101,1318765,3733,73276,4077,1245489,5218,128893,1075,22330,1888,106563,2118,81587,842,25819,1718,55768,1810,1939408,3232,287198,3089,6552,1318,280646,3218,1366805,3023,52733,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
3273,1445349,4999,153039,1665,16603,1867,136436,2494,136636,1608,35480,2141,101156,2532,0400000US22,4056826,3085,1941965,3906,353764,3352,6481,1324,347283,3461,1378993,5049,66009,4791,1312984,6754,124897,1801,19303,1959,105594,2489,84311,1454,23674,1916,60637,2075,2114861,3084,335906,2846,4495,1195,331411,2867,1489280,3373,43931,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
1498,428006,2226,49451,331,3205,636,46246,726,52483,269,10169,1177,42314,1162,0400000US23,1212400,1201,588805,1907,89064,1425,1588,468,87476,1495,420360,2027,18757,1976,401603,3037,44862,382,7694,1077,37168,1120,34519,385,9968,1127,24551,1187,623595,1487,83268,1374,939,461,82329,1443,438393,1516,10387,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
3036,1834547,5052,175673,1269,10870,1785,164803,2240,176784,1232,36339,2978,140445,3267,0400000US24,5054250,2973,2418321,3220,437070,3294,5161,1300,431909,3547,1724258,4187,39897,3493,1684361,5614,146422,1275,13319,1752,133103,2202,110571,1143,23715,1885,86856,2128,2635929,2247,415603,3121,4932,1545,410671,3294,1867869,3826,33322,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
4626,2050253,5549,209906,1260,14436,1850,195470,2097,254948,1041,54415,3502,200533,3699,0400000US25,5781501,1718,2791348,2538,452299,3144,4348,1211,447951,3514,2007115,3892,45892,3455,1961223,4996,173824,1340,17507,1886,156317,1968,158110,1160,35373,2428,122737,2724,2990153,2410,432666,3050,5048,1287,427618,3222,2092633,3230,42380,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
4017,3191834,5414,330923,1465,22681,2199,308242,2516,360045,1167,77371,3222,282674,3217,0400000US26,9208964,1955,4485829,2774,802075,3469,9548,1311,792527,3834,3180220,3632,93388,4895,3086832,6360,271368,1396,33300,2045,238068,2392,232166,1019,55644,2694,176522,2794,4723135,3115,763085,3507,7984,1240,755101,3589,3269082,4009,77248,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
2167,1630812,3774,158103,932,8605,1151,149498,1477,168706,882,36923,1991,131783,2058,0400000US27,4649215,2089,2301954,2908,380830,2744,4309,974,376521,2915,1670615,3251,43720,3204,1626895,4666,138992,883,13219,1069,125773,1352,111517,718,27782,1982,83735,2054,2347261,3029,362197,2586,2777,893,359420,2594,1658255,2949,27443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
3234,909076,4456,108761,1632,13280,1641,95481,2147,88727,1566,25218,1725,63509,1941,0400000US28,2604545,2326,1244373,3621,230805,3227,4117,1146,226688,3428,873594,4137,47939,3652,825655,5112,86334,1824,16817,2175,69517,2235,53640,1555,20740,2004,32900,1783,1360172,2830,217965,2893,3595,1083,214370,2831,944719,2935,35643,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3770,1830769,5396,210433,1327,17919,1813,192514,2246,199207,1009,45275,2511,153932,2559,0400000US29,5243737,2609,2543656,3077,426183,3265,3991,811,422192,3340,1805975,3913,76252,4275,1729723,5630,178973,1085,28603,2420,150370,2706,132525,1113,35728,2139,96797,2187,2700081,3158,409376,2688,3634,806,405742,2668,1881065,3677,50296,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
1429,296889,2296,34443,621,3747,803,30696,793,31526,411,8258,1135,23268,1148,0400000US30,854024,1024,422192,1607,62850,1220,1679,828,61171,1472,304247,1835,16158,2217,288089,2599,32223,541,5683,755,26540,823,22872,291,7750,993,15122,918,431832,1703,60898,1492,399,334,60499,1479,304965,1596,8076,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
1366,540430,2699,59634,580,3910,861,55724,834,64684,645,14775,1336,49909,1512,0400000US31,1577160,1703,776251,2277,131982,1935,1547,544,130435,2022,550670,2375,15927,1538,534743,2906,50196,612,5880,734,44316,883,43403,515,12193,1163,31210,1292,800909,2087,125362,1756,1308,551,124054,1892,551229,2124,10799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
2398,745994,2924,81047,928,5220,1213,75827,1322,61586,757,13898,1628,47688,1599,0400000US32,2203258,1526,1110914,2057,196391,1879,1508,595,194883,1924,789480,2219,17163,2340,772317,3424,78805,865,6394,1202,72411,1336,46238,808,10221,1483,36017,1506,1092344,1785,187192,2205,2271,964,184921,2386,762519,2212,16525,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
1485,423464,2058,42304,422,3092,694,39212,769,42392,321,9069,1049,33323,1040,0400000US33,1196601,1387,587888,1892,98378,1379,801,407,97577,1456,422885,1766,10962,1883,411923,2371,38222,354,4849,927,33373,982,28403,325,6840,1011,21563,1004,608713,1270,92615,1536,1124,496,91491,1585,431402,1591,7938,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3845,2770906,4887,294288,1592,19571,2231,274717,2942,333222,1686,64344,4081,268878,3817,0400000US34,7932031,1974,3835480,2699,678412,3178,5906,1469,672506,3544,2716568,4056,53461,4239,2663107,5679,235359,1569,20177,2186,215182,2760,205141,1212,40163,2624,164978,2869,4096551,2234,649078,3215,5205,1178,643873,3391,2819963,3577,49057,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
2172,606720,3504,69358,1230,6937,1161,62421,1459,57240,1151,14607,1610,42633,1797,0400000US35,1747052,2589,847243,3376,148610,2264,2629,1246,145981,2626,597546,3157,27633,3444,569913,4479,60246,1499,9148,1222,51098,1694,40841,1282,13482,1451,27359,1670,899809,2458,145487,1967,1381,698,144106,1960,627724,2692,21004,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
5553,6184097,8603,670637,1666,54801,3265,615836,3544,725622,1551,150830,5465,574792,5771,0400000US36,17391535,3086,8342351,4498,1410057,4959,16852,2209,1393205,4977,5957680,6774,150327,5870,5807353,7680,527952,1634,51337,3500,476615,3585,446662,1434,98656,4270,348006,4388,9049184,3470,1340777,4937,12880,2377,1327897,5383,6312148,5749,128051,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
4802,2724060,6456,302295,2141,27856,2401,274439,3397,268326,1893,65239,3088,203087,3383,0400000US37,7771820,4550,3770756,6395,670757,4854,9007,1621,661750,5014,2684745,7174,103590,5131,2581155,8690,248531,2198,34259,2706,214272,3068,166723,1813,46424,2374,120299,2814,4001064,5101,629815,4533,6454,1446,623361,4618,2800628,4718,76568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
1001,193584,1576,22398,348,1353,386,21045,552,27059,356,6144,830,20915,838,0400000US38,568876,1127,281226,1169,41808,711,389,252,41419,787,202220,1178,7433,1260,194787,1788,19154,379,2496,580,16658,587,18044,254,5432,602,12612,537,287650,1209,39551,840,566,358,38985,962,198642,1296,5058,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
4616,3616166,6138,399587,1448,31196,2238,368391,2295,431633,1311,90217,4389,341416,4495,0400000US39,10409355,2847,5039192,4116,865351,4342,12210,1756,853141,4744,3574077,4509,117688,5088,3456389,6146,326529,1378,37532,2415,288997,2707,273235,874,65107,2950,208128,3066,5370163,3715,828776,4556,8615,1382,820161,4931,3710167,5174,94001,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
3076,1095893,4897,136381,1629,15727,1420,120654,2010,112915,1299,29199,1891,83716,1849,0400000US40,3176142,2037,1543901,3405,260033,2573,4662,1036,255371,2999,1091401,3320,54314,3211,1037087,4398,115671,1573,19596,1776,96075,2386,76796,1298,23670,1730,53126,1850,1632241,2972,247060,2580,2853,765,244207,2641,1135885,3997,39992,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
3151,1154321,4610,120166,1010,9318,1381,110848,1605,131151,952,28404,2143,102747,2193,0400000US41,3330324,1752,1639622,2829,265295,2513,3749,1029,261546,2670,1178236,3457,44436,3243,1133800,3945,107795,1062,14699,1534,93096,1963,88296,1029,23142,1724,65154,1856,1690702,2277,257643,2372,2548,719,255095,2599,1181742,2915,27421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
5166,3866149,6056,455431,1378,33509,2653,421922,2689,569688,1230,114650,5054,455038,5303,0400000US42,11243861,2084,5419632,3341,882486,4748,13592,1928,868894,4858,3807799,4967,121824,5939,3685975,7062,373469,1235,40850,2691,332619,2943,355878,1158,84835,3748,271043,3656,5824229,2724,846289,3969,10908,1793,835381,4237,3952821,3905,86672,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
1824,337357,2642,34510,567,2465,708,32045,978,48077,572,10562,1369,37515,1465,0400000US44,966125,1341,463448,1456,78742,1383,2605,880,76137,1390,327332,1741,10632,1760,316700,2545,27949,764,2604,705,25345,1012,29425,516,6078,999,23347,1103,502677,1207,73074,1506,485,326,72589,1491,347016,1830,9659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
4156,1347152,4986,158967,1584,15137,1924,143830,2243,132967,1584,32463,2561,100504,2844,0400000US45,3821222,2817,1832891,3813,320490,2932,4145,1024,316345,3097,1298747,3837,52664,4098,1246083,5274,132235,1383,17788,1825,114447,1975,81419,1419,22740,2098,58679,2143,1988331,2974,304742,2837,2751,898,301991,2777,1391655,2745,44503,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
1203,232935,1642,27385,413,1703,473,25682,602,29891,617,6387,836,23504,1038,0400000US46,690349,1175,338996,1344,55850,880,685,358,55165,909,239332,1395,8897,1290,230435,1839,23394,467,3042,597,20352,749,20420,400,6676,876,13744,871,351353,1296,54900,1350,267,175,54633,1345,239177,1332,6242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4975,1900474,5797,223747,1694,22847,2227,200900,2959,184540,1115,43719,2319,140821,2464,0400000US47,5407221,3170,2621474,3824,431306,3509,7972,1581,423334,3867,1889802,4527,88531,5120,1801271,6274,186252,1413,28130,2355,158122,2594,114114,1037,33967,2259,80147,2320,2785747,3434,409950,3392,6828,1515,403122,3496,1967510,3959,67036,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
