GEO_ID,B18020I_001E,B18020I_001M,B18020I_002E,B18020I_002M,B18020I_003E,B18020I_003M,B18020I_004E,B18020I_004M,B18020I_005E,B18020I_005M,B18020I_006E,B18020I_006M,B18020I_007E,B18020I_007M,B18020I_008E,B18020I_008M,B18020I_009E,B18020I_009M,B18020I_010E,B18020I_010M,B18020I_011E,B18020I_011M,B18020I_012E,B18020I_012M,B18020I_013E,B18020I_013M,B18020I_014E,B18020I_014M,B18020I_015E,B18020I_015M,B18020I_016E,B18020I_016M,B18020I_017E,B18020I_017M,B18020I_018E,B18020I_018M,B18020I_019E,B18020I_019M,B18020I_020E,B18020I_020M,B18020I_021E,B18020I_021M,B18020I_022E,B18020I_022M,B18020I_023E,B18020I_023M,B18020I_024E,B18020I_024M,B18020I_025E,B18020I_025M,B18020I_026E,B18020I_026M,B18020I_027E,B18020I_027M,B18020I_028E,B18020I_028M,B18020I_029E,B18020I_029M,B18020I_030E,B18020I_030M,B18020I_031E,B18020I_031M,NAME,B18020I_001MA,B18020I_001EA,B18020I_002MA,B18020I_002EA,B18020I_003MA,B18020I_003EA,B18020I_004MA,B18020I_004EA,B18020I_005EA,B18020I_005MA,B18020I_006EA,B18020I_006MA,B18020I_007MA,B18020I_007EA,B18020I_008MA,B18020I_008EA,B18020I_009MA,B18020I_009EA,B18020I_010EA,B18020I_010MA,B18020I_011EA,B18020I_011MA,B18020I_012MA,B18020I_012EA,B18020I_013MA,B18020I_013EA,B18020I_014MA,B18020I_014EA,B18020I_015MA,B18020I_015EA,B18020I_016MA,B18020I_016EA,B18020I_017EA,B18020I_017MA,B18020I_018EA,B18020I_018MA,B18020I_019EA,B18020I_019MA,B18020I_020MA,B18020I_020EA,B18020I_021MA,B18020I_021EA,B18020I_022EA,B18020I_022MA,B18020I_023EA,B18020I_023MA,B18020I_024EA,B18020I_024MA,B18020I_025MA,B18020I_025EA,B18020I_026MA,B18020I_026EA,B18020I_027EA,B18020I_027MA,B18020I_028EA,B18020I_028MA,B18020I_029EA,B18020I_029MA,B18020I_030MA,B18020I_030EA,B18020I_031MA,B18020I_031EA,state
0400000US24,208669,1844,16503,2997,8564,2215,2646,907,1386,623,1260,637,5918,1892,4518,1618,1400,876,7939,2095,2628,1168,1053,460,1575,1086,5311,1499,2111,739,3200,1184,192166,3333,102438,2344,58112,1546,46935,2302,11177,1987,44326,2023,39138,2536,5188,1560,89728,2596,46460,1857,26699,2213,19761,1987,43268,1953,30745,2472,12523,1910,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,317655,1658,46124,4251,17491,2933,5401,1345,1355,608,4046,1321,12090,2498,2860,1033,9230,2364,28633,2757,8208,1702,1427,620,6781,1600,20425,2087,2417,719,18008,2193,271531,4606,139398,2872,79726,1769,56568,3151,23158,2996,59672,2477,48877,2445,10795,1895,132133,3230,73723,2101,44589,2893,29134,2619,58410,2340,38808,2372,19602,2527,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,236071,1693,25353,2064,14225,1665,4944,1182,2328,854,2616,942,9281,1418,3218,949,6063,1172,11128,1451,3340,853,727,403,2613,710,7788,1242,2715,734,5073,950,210718,2530,111034,1988,61434,1689,40776,2177,20658,2011,49600,1615,43370,1808,6230,1167,99684,1770,53446,1647,29605,1866,23841,2141,46238,1718,31684,2082,14554,1708,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,115984,1891,9891,1721,4060,1089,1471,662,488,347,983,524,2589,784,1410,530,1179,503,5831,1189,2630,844,1480,657,1150,565,3201,727,1043,442,2158,709,106093,2738,59993,2023,37576,1820,30888,2293,6688,1196,22417,1345,18852,1381,3565,1046,46100,1646,26935,1714,17033,1676,9902,1391,19165,1117,13566,1404,5599,1148,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,29630,2512,2547,1034,1362,802,269,319,133,155,136,255,1093,693,689,590,404,324,1185,537,254,249,64,103,190,233,931,473,414,315,517,320,27083,2441,17023,2337,9583,1892,8095,1651,1488,589,7440,1632,6320,1808,1120,595,10060,1191,5774,982,3798,991,1976,561,4286,1041,2965,851,1321,628,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,94309,1725,8468,1586,4414,1031,1335,521,761,445,574,301,3079,876,1877,781,1202,516,4054,1142,1236,597,982,565,254,174,2818,920,919,506,1899,765,85841,1806,46546,1467,27049,1581,21194,1648,5855,1299,19497,1572,17419,1582,2078,735,39295,1559,21154,1543,12771,1377,8383,1164,18141,1403,12558,1510,5583,1101,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,12656,1022,1590,765,692,514,0,231,0,231,0,231,692,514,353,318,339,366,898,526,32,45,14,25,18,34,866,524,151,231,715,450,11066,1320,5076,752,2984,788,2628,774,356,313,2092,626,1900,626,192,170,5990,1097,2818,770,1748,686,1070,546,3172,852,2476,899,696,376,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,73346,1438,6371,1387,2910,921,1190,485,732,421,458,214,1720,735,489,342,1231,586,3461,885,1047,485,302,262,745,403,2414,651,731,378,1683,519,66975,1910,37747,1444,21944,1288,17558,1416,4386,1051,15803,1408,13735,1412,2068,592,29228,1418,16843,1171,9202,1053,7641,1176,12385,1043,7871,1149,4514,972,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,351794,1620,19521,2938,8562,1764,2979,1291,1975,1103,1004,557,5583,1063,2989,641,2594,775,10959,1884,3769,1249,1421,666,2348,1001,7190,1221,3684,1128,3506,880,332273,3419,181112,2073,101295,1956,83592,2839,17703,2527,79817,1638,70612,2060,9205,1561,151161,2384,85580,2186,44521,3695,41059,3672,65581,1647,42051,2118,23530,2530,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,17008,885,2745,1431,1343,802,601,541,101,155,500,509,742,598,688,590,54,118,1402,778,418,469,215,370,203,265,984,591,357,318,627,462,14263,1337,7098,820,3520,827,2867,845,653,434,3578,764,3347,744,231,250,7165,895,3605,634,2713,943,892,864,3560,675,2572,778,988,561,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
