GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002EA,B17014_002MA,B17014_003EA,B17014_003MA,B17014_004EA,B17014_004MA,B17014_005MA,B17014_005EA,B17014_006MA,B17014_006EA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009EA,B17014_009MA,B17014_010EA,B17014_010MA,B17014_011MA,B17014_011EA,B17014_012MA,B17014_012EA,B17014_013EA,B17014_013MA,B17014_014EA,B17014_014MA,B17014_015EA,B17014_015MA,B17014_016MA,B17014_016EA,B17014_017MA,B17014_017EA,B17014_018MA,B17014_018EA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021MA,B17014_021EA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025EA,B17014_025MA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028MA,B17014_028EA,B17014_029EA,B17014_029MA,B17014_030MA,B17014_030EA,B17014_031EA,B17014_031MA,B17014_032EA,B17014_032MA,B17014_033MA,B17014_033EA,B17014_034MA,B17014_034EA,B17014_035MA,B17014_035EA,state
0400000US13,2285356,15485,264016,8042,79343,4630,24973,2633,35812,2738,16909,2508,1649,636,184673,6779,26840,3314,9404,1789,13504,2691,3467,1546,465,427,157833,6562,47274,3327,96953,5739,11721,1919,1885,771,2021340,16632,1564564,16668,144336,4968,369639,9253,861210,14760,189379,7061,456776,10043,129764,6531,7209,1169,67566,4536,42231,4599,12758,2498,327012,8432,20484,2082,189225,6827,94080,5171,23223,3017,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,305789,4989,23445,2364,9595,1321,3005,860,4310,1143,1992,563,288,285,13850,2069,2573,784,717,471,1249,532,558,350,49,83,11277,1994,4127,1199,6208,1407,815,426,127,154,282344,5042,220071,4940,25914,1835,46028,3424,107026,4338,41103,2864,62273,3233,19703,1913,1200,536,9355,1616,5901,995,3247,957,42570,2817,3614,811,21152,2229,11352,1609,6452,1103,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372230,5271,38217,2566,18154,1799,3450,767,7062,1479,6624,1270,1018,470,20063,2392,2637,771,565,338,1671,681,342,303,59,93,17426,2273,3203,959,12398,1908,1587,728,238,244,334013,5371,281313,6461,33526,2225,61449,3250,148238,5292,38100,3138,52700,4228,18533,2297,509,316,10791,1751,5565,1198,1668,745,34167,3368,3147,983,18917,2660,9816,1602,2287,772,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3126131,16885,286603,8945,96041,5509,25616,2678,44126,3947,22043,2216,4256,1077,190562,8102,22471,2679,5517,1193,14457,2426,2251,904,246,205,168091,8036,56592,4350,95877,6143,14038,2183,1584,667,2839528,17258,2234077,17344,235831,5339,489511,10302,1152038,14214,356697,8645,605451,11519,180441,7263,11223,1653,84969,4963,59572,4688,24677,3532,425010,9561,27758,2324,229609,8469,129131,6539,38512,2798,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1639949,14074,148206,6424,49853,3763,14136,1772,18368,2581,15390,2147,1959,686,98353,6005,14102,1646,4056,985,8048,1435,1533,594,465,352,84251,5740,25581,2930,51926,3903,6292,1298,452,326,1491743,15106,1211924,16458,145254,3915,262290,8119,638815,11752,165565,5734,279819,8313,86306,4741,3400,764,51591,3990,26829,3337,4486,992,193513,6592,12590,1777,112574,5515,55932,3357,12417,1612,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,790132,7973,59201,3204,22913,2000,6180,1181,8375,1299,7103,1111,1255,466,36288,2907,5506,1164,1546,830,3518,824,423,213,19,32,30782,2620,8384,1465,19232,2011,2815,747,351,351,730931,8525,615887,9205,74778,2928,108127,3683,347975,7571,85007,3739,115044,4419,32525,2939,1325,525,19500,2063,9666,1819,2034,666,82519,3567,3738,823,46689,2656,27223,2406,4869,924,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,715841,7568,60394,3618,22420,1974,4284,951,9010,1385,8464,1445,662,343,37974,3240,5893,1476,1744,669,4061,1145,88,109,0,240,32081,2801,8498,1516,20718,2402,2521,681,344,266,655447,8112,542284,9566,57318,3220,108410,4131,302234,7547,74322,3507,113163,4831,34751,2636,1814,714,19913,2152,9795,1429,3229,903,78412,4360,4649,852,45449,3952,22973,2019,5341,913,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1119243,11078,149521,6061,65750,4404,26000,2321,22870,2351,14541,2580,2339,800,83771,4697,10271,1524,4165,1041,4893,1028,1124,658,89,96,73500,4491,26883,2816,41238,3854,4731,1216,648,487,969722,11907,786101,11747,109398,4981,189566,5657,397591,8860,89546,4751,183621,6660,54843,4191,4510,1025,31086,3190,16192,2186,3055,973,128778,5720,11994,1521,74461,4157,35935,3402,6388,1161,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1137005,12840,183193,7692,50281,3401,14502,1800,20765,2330,12862,2164,2152,799,132912,6927,13362,2021,4907,1488,6849,1425,1251,696,355,305,119550,6524,33759,3561,73241,5490,10850,2235,1700,738,953812,13268,718470,13862,86731,4435,179331,6613,362468,9905,89940,3173,235342,8418,62015,5057,4685,1250,32741,3666,20362,3213,4227,1132,173327,6723,13472,1619,90512,5284,55016,4317,14327,2074,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,355469,6210,32066,2640,12331,1823,4729,892,5503,1319,1862,591,237,206,19735,2367,4338,1013,1058,407,3015,891,257,270,8,15,15397,2052,5352,1250,9340,1496,705,334,0,229,323403,5989,265744,6294,34517,2141,51433,2743,142789,4592,37005,3010,57659,3754,21250,2030,960,371,11762,1548,7660,1525,868,463,36409,3275,2433,588,20345,2431,11057,1555,2574,696,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
