C08528_005E,C08528_005M,C08528_006E,C08528_006M,C08528_007E,C08528_007M,C08528_008E,C08528_008M,C08528_009E,C08528_009M,C08528_010E,C08528_010M,C08528_011E,C08528_011M,C08528_012E,C08528_012M,C08528_013E,C08528_013M,C08528_014E,C08528_014M,C08528_015E,C08528_015M,C08528_016E,C08528_016M,C08528_017E,C08528_017M,C08528_018E,C08528_018M,C08528_019E,C08528_019M,C08528_020E,C08528_020M,C08528_021E,C08528_021M,C08528_022E,C08528_022M,C08528_023E,C08528_023M,C08528_024E,C08528_024M,C08528_025E,C08528_025M,C08528_026E,C08528_026M,C08528_027E,C08528_027M,C08528_028E,C08528_028M,C08528_029E,C08528_029M,C08528_030E,C08528_030M,C08528_031E,C08528_031M,C08528_032E,C08528_032M,C08528_033E,C08528_033M,C08528_034E,C08528_034M,C08528_035E,C08528_035M,C08528_036E,C08528_036M,C08528_037E,C08528_037M,C08528_038E,C08528_038M,C08528_039E,C08528_039M,C08528_040E,C08528_040M,C08528_041E,C08528_041M,C08528_042E,C08528_042M,C08528_043E,C08528_043M,C08528_044E,C08528_044M,C08528_045E,C08528_045M,C08528_046E,C08528_046M,C08528_047E,C08528_047M,C08528_048E,C08528_048M,GEO_ID,C08528_001E,C08528_001M,C08528_002E,C08528_002M,C08528_003E,C08528_003M,C08528_004E,C08528_004M,C08528_005EA,C08528_005MA,C08528_006EA,C08528_006MA,C08528_007EA,C08528_007MA,C08528_008EA,C08528_008MA,C08528_009MA,C08528_009EA,C08528_010EA,C08528_010MA,C08528_011EA,C08528_011MA,C08528_012EA,C08528_012MA,C08528_013EA,C08528_013MA,C08528_014EA,C08528_014MA,C08528_015MA,C08528_015EA,C08528_016EA,C08528_016MA,C08528_017MA,C08528_017EA,C08528_018MA,C08528_018EA,C08528_019EA,C08528_019MA,C08528_020EA,C08528_020MA,C08528_021EA,C08528_021MA,C08528_022EA,C08528_022MA,C08528_023EA,C08528_023MA,C08528_024EA,C08528_024MA,C08528_025EA,C08528_025MA,C08528_026MA,C08528_026EA,C08528_027EA,C08528_027MA,C08528_028EA,C08528_028MA,C08528_029EA,C08528_029MA,C08528_030EA,C08528_030MA,C08528_031EA,C08528_031MA,C08528_032EA,C08528_032MA,C08528_033EA,C08528_033MA,C08528_034EA,C08528_034MA,C08528_035EA,C08528_035MA,C08528_036EA,C08528_036MA,C08528_037MA,C08528_037EA,C08528_038EA,C08528_038MA,C08528_039EA,C08528_039MA,C08528_040EA,C08528_040MA,C08528_041EA,C08528_041MA,C08528_042EA,C08528_042MA,C08528_043EA,C08528_043MA,C08528_044EA,C08528_044MA,C08528_045EA,C08528_045MA,C08528_046EA,C08528_046MA,C08528_047EA,C08528_047MA,C08528_048MA,C08528_048EA,NAME,C08528_001EA,C08528_001MA,C08528_002EA,C08528_002MA,C08528_003EA,C08528_003MA,C08528_004MA,C08528_004EA,state
175267,8604,151777,7721,258645,9237,8095,1685,3286627,21694,2416783,23316,169222,8062,262839,9648,143614,6424,134239,7425,155389,7952,4541,1170,458753,14342,330960,13070,24491,2862,33299,3732,19322,3366,10893,2019,38865,4126,923,562,91139,6343,71597,5808,3823,1066,5425,1238,5919,1622,2748,883,1627,685,0,268,114182,6046,82579,4889,6054,1358,5842,1503,4440,1122,2794,945,11784,2278,689,395,145988,6413,85131,5138,3936,958,924,524,1972,821,1103,637,50980,4011,1942,750,0400000US13,4096689,20052,2987050,26229,207526,9486,308329,10888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,13
58093,4048,61890,4272,46865,3895,1797,729,400334,7857,246332,7448,25101,2622,15646,2027,40817,3259,49562,3887,22191,2451,685,365,91739,4305,57297,4075,8029,1480,3319,1052,10439,1735,6897,1510,5353,1195,405,279,33096,3109,25004,2620,1579,708,807,509,2385,746,1839,812,1427,649,55,89,33171,3117,20732,2193,2247,622,529,323,3881,998,3329,1569,2214,870,239,299,26676,2873,8778,1427,941,478,30,50,571,370,263,312,15680,2151,413,398,0400000US15,585016,7207,358143,8777,37897,3377,20331,2439,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,15
31296,2924,22540,1715,60027,4068,3068,768,489270,8530,345392,7468,29518,2735,38911,2678,24555,2719,17312,1653,32283,2545,1299,531,77734,4290,52586,3263,6170,1697,5581,1049,4018,981,3153,794,5828,1129,398,277,5579,1274,3811,1146,313,196,239,183,328,289,803,332,85,156,0,268,35541,3843,21470,2859,3225,1013,2169,726,2033,597,815,447,5593,1557,236,238,32339,2911,12357,1610,1205,456,585,444,362,222,457,298,16238,2324,1135,513,0400000US16,640463,8582,435616,7868,40431,3375,47485,3019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,16
185567,7442,121410,6123,313602,12114,11496,1345,4324440,27526,3225517,27856,333101,9361,361321,10066,134917,6408,92247,5613,171844,7188,5493,937,543256,13820,412060,12805,43211,5412,30454,3177,18829,2233,9549,1878,27682,3509,1471,566,479584,13143,360903,11331,48987,3855,23878,2867,17174,2804,15448,2166,13072,2057,122,145,235643,10822,159886,8847,26582,3175,12732,1853,11749,1793,3035,728,20536,2642,1123,459,194830,7714,98372,4842,6631,1324,2043,656,2898,837,1131,470,80468,5030,3287,832,0400000US17,5777753,24231,4256738,28625,458512,13181,430428,12132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,17
94079,3696,42092,2908,151559,5423,6392,1184,2324810,18148,1773920,16536,190848,6524,158823,6720,76379,3283,37437,2730,84411,4149,2992,945,264456,8352,198981,7268,19795,2341,13792,1868,9396,1820,3080,804,18495,2556,917,387,20881,3364,12828,2117,3611,1876,1668,565,1276,742,613,444,885,508,0,268,97425,5987,68819,5583,8850,1626,3230,805,6024,1457,687,393,9135,1775,680,372,86567,5021,40445,3911,3109,715,1298,707,1004,415,275,194,38633,2549,1803,672,0400000US18,2794139,16998,2094993,17372,226213,7644,178811,7153,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,18
67394,3609,26005,2427,115838,4331,6717,1213,1178182,12459,853773,11846,96558,4845,93388,4056,50817,3525,22541,2149,57934,3503,3171,813,147233,5541,107753,5064,10746,1412,10427,1508,6428,1102,1902,488,9539,1414,438,241,11327,1733,4984,1009,1610,652,550,317,3583,1038,503,457,97,115,0,268,69797,4413,40480,3297,5771,1345,5104,872,5920,1254,679,281,10587,1425,1256,717,63634,3067,20421,1947,2154,644,500,260,646,293,380,320,37681,2372,1852,503,0400000US19,1470173,10519,1027411,11279,116839,5206,109969,4759,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,19
64843,4294,41450,2632,96033,4112,4147,843,1110172,12208,788324,12827,80382,4249,98760,5213,50813,3495,36018,2364,53841,2761,2034,623,122320,5726,85114,4977,8471,1592,9291,1567,7566,1177,3697,857,7901,1428,280,203,5122,1166,3180,989,901,491,551,422,317,254,108,127,65,107,0,268,53299,3974,30725,3059,4666,1144,4353,809,5170,1751,1452,517,6691,1027,242,168,52694,4116,20244,2369,1495,502,677,293,977,607,175,137,27535,2929,1591,597,0400000US20,1343607,10976,927587,13004,95915,5181,113632,5507,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,20
104916,4706,58584,4186,115910,4683,5361,1134,1468709,13082,1055387,12796,97079,4683,103054,4362,86661,4607,51608,3600,72434,4153,2486,873,192218,6715,134634,5703,13023,1936,12144,1542,12025,1956,5307,1407,14127,2380,958,456,14417,2377,9681,2021,993,522,1711,629,1457,717,530,419,45,76,0,268,46494,3911,28291,3004,4251,1077,2772,775,3239,1135,988,464,6441,1199,512,365,49002,3169,20268,2139,2140,658,641,423,1534,693,151,185,22863,2445,1405,550,0400000US21,1770840,13867,1248261,13778,117486,5316,120322,4583,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,21
114641,6378,59908,4862,107780,5791,5321,1305,1514556,16158,1077016,16452,94453,5689,127304,5943,92876,5610,50051,4824,69710,4528,3146,1074,209395,9711,150565,7856,9911,1511,14295,2065,13729,2754,7064,1745,13042,2138,789,457,35458,4699,27045,4277,2114,813,2166,769,3047,1131,618,418,468,412,0,268,68728,5576,49275,4563,4235,1521,3162,829,3472,1209,1829,701,6294,1503,461,352,42461,3382,19504,2016,1446,644,457,272,1517,535,346,260,18266,2266,925,422,0400000US22,1870598,14803,1323405,16269,112159,6402,147384,6844,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,22
27459,2820,23426,2335,59594,3569,1320,444,500153,7913,325111,6882,56786,3456,41897,3126,22583,2306,19573,2175,33566,2798,637,313,64017,4291,44512,4058,5496,1147,3503,901,2329,593,2050,591,5885,962,242,168,3929,876,2047,731,668,459,381,229,97,160,300,258,436,407,0,268,30332,3290,18508,2236,2711,831,784,326,2151,1237,1175,736,4813,1122,190,171,29303,2788,12071,1648,1113,432,347,291,299,233,328,298,14894,1935,251,156,0400000US23,627734,6467,402249,7203,66774,3393,46912,3239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,23
105564,5356,203942,9129,145616,7101,5309,1783,1873304,14373,1236499,13910,145627,7323,162866,6723,85944,4674,163776,7901,75879,4438,2713,1506,262939,10074,182065,9022,18316,2026,18917,2987,9743,1707,19200,2675,13504,1895,1194,550,127146,7151,89343,5480,9022,1630,4608,1721,6305,1615,14888,2759,2980,1071,0,268,90585,5662,58521,4343,10917,1683,4666,1363,2708,808,3972,905,9495,2538,306,287,100492,6490,46610,3782,5024,984,1034,514,864,547,2106,845,43758,3871,1096,373,0400000US24,2454466,16186,1613038,14847,188906,7923,192091,8188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,24
107836,5944,64715,4255,210453,9232,5718,1183,2335422,20782,1645155,19578,233678,8280,192706,6974,82699,4881,50391,4066,127028,7411,3765,1076,260776,10472,188838,8973,25253,3297,16049,2098,7345,1538,4134,1269,18493,3439,664,468,252148,9210,180148,7738,40627,3789,5935,1283,12688,2149,7859,1262,4826,1199,65,109,154363,9065,103092,7804,25525,3054,6981,1332,3753,1105,1709,681,13109,1952,194,146,102723,5345,47375,3650,4595,1102,753,362,1351,605,622,563,46997,3007,1030,377,0400000US25,3105432,18785,2164608,21240,329678,10159,222424,7119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,25
139381,6148,65900,4247,256116,8245,9945,1551,3673648,19357,2775293,18841,302926,8216,271733,9099,111957,5453,56599,3816,150560,6493,4580,1073,377830,11035,283403,9189,28838,2817,19912,2078,13261,1809,6685,1285,24140,2553,1591,543,49186,4469,34112,3900,5632,1065,2947,1353,4407,1064,1059,472,1029,491,0,268,121472,4643,81211,3991,11188,1339,5774,1152,7107,1385,1075,427,14523,1728,594,258,136779,5919,57161,3432,5125,1105,2318,649,2649,743,482,231,65864,4187,3180,903,0400000US26,4358915,19377,3231180,21014,353709,9056,302684,9350,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,26
