GEO_ID,B22002_001E,B22002_001M,B22002_002E,B22002_002M,B22002_003E,B22002_003M,B22002_004E,B22002_004M,B22002_005E,B22002_005M,B22002_006E,B22002_006M,B22002_007E,B22002_007M,B22002_008E,B22002_008M,B22002_009E,B22002_009M,B22002_010E,B22002_010M,B22002_011E,B22002_011M,B22002_012E,B22002_012M,B22002_013E,B22002_013M,B22002_014E,B22002_014M,B22002_015E,B22002_015M,B22002_016E,B22002_016M,B22002_017E,B22002_017M,B22002_018E,B22002_018M,B22002_019E,B22002_019M,B22002_020E,B22002_020M,B22002_021E,B22002_021M,B22002_022E,B22002_022M,B22002_023E,B22002_023M,B22002_024E,B22002_024M,B22002_025E,B22002_025M,B22002_026E,B22002_026M,B22002_027E,B22002_027M,NAME,B22002_001EA,B22002_001MA,B22002_002EA,B22002_002MA,B22002_003MA,B22002_003EA,B22002_004MA,B22002_004EA,B22002_005MA,B22002_005EA,B22002_006EA,B22002_006MA,B22002_007EA,B22002_007MA,B22002_008MA,B22002_008EA,B22002_009MA,B22002_009EA,B22002_010MA,B22002_010EA,B22002_011EA,B22002_011MA,B22002_012EA,B22002_012MA,B22002_013MA,B22002_013EA,B22002_014MA,B22002_014EA,B22002_015MA,B22002_015EA,B22002_016EA,B22002_016MA,B22002_017EA,B22002_017MA,B22002_018EA,B22002_018MA,B22002_019MA,B22002_019EA,B22002_020MA,B22002_020EA,B22002_021EA,B22002_021MA,B22002_022EA,B22002_022MA,B22002_023EA,B22002_023MA,B22002_024MA,B22002_024EA,B22002_025MA,B22002_025EA,B22002_026EA,B22002_026MA,B22002_027EA,B22002_027MA,state
0400000US13,3320278,14891,281724,8863,177763,7198,43178,4161,132760,6379,16024,2898,116736,5857,1825,800,103961,5608,14906,2170,24525,3290,5250,1419,19275,2939,64530,4827,3038554,15586,1088094,13415,770447,12771,307772,8165,75466,4819,232306,7138,9875,1949,1950460,14029,815376,13874,176392,6881,59864,4887,116528,5513,958692,14108,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,430007,3658,28485,2668,14919,2155,6053,1152,8771,1695,1298,594,7473,1541,95,132,13566,1541,3873,994,3053,739,546,312,2507,706,6640,1201,401522,4150,136991,4202,101526,4196,34666,2737,9155,1764,25511,2324,799,481,264531,4989,118214,3860,29633,2131,11277,1257,18356,1756,116684,4552,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,532135,3986,39699,3700,24734,2322,10299,1398,14193,1936,2433,907,11760,1912,242,240,14965,2478,1719,606,1325,596,502,359,823,427,11921,2283,492436,5077,173835,4414,133667,4740,38038,3541,11765,1794,26273,3013,2130,693,318601,5182,153782,4456,19207,2195,6470,1194,12737,1687,145612,4750,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4691020,12381,358607,9765,218186,8472,61365,4070,153900,7363,16940,2531,136960,6916,2921,998,140421,6356,18313,2218,29117,2972,7594,1462,21523,2433,92991,5234,4332413,17501,1439966,14364,1067971,14664,362465,10086,95585,5002,266880,8688,9530,1604,2892447,16190,1182469,13867,250531,8299,82793,4649,167738,6665,1459447,16811,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2443010,11121,213201,8534,127912,6608,37134,3708,88357,6066,12136,1882,76221,5506,2421,785,85289,4813,13375,1743,11871,1618,3039,844,8832,1349,60043,3855,2229809,13237,713224,10992,526685,11265,175761,7331,54240,4148,121521,6061,10778,2172,1516585,10810,684583,10080,102183,4523,30993,2720,71190,3953,729819,11281,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1200833,6448,86574,4615,52814,3850,17358,2142,34466,3221,5704,1321,28762,2868,990,407,33760,2371,4273,896,3847,858,630,287,3217,784,25640,2082,1114259,8557,329707,6306,252459,6147,73907,4092,20748,2248,53159,3494,3341,904,784552,8209,364710,6917,39112,2567,10949,1337,28163,2145,380730,7378,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1071938,6448,67309,3642,39745,3127,11287,1909,27528,2532,3813,1114,23715,2286,930,512,27564,2328,3477,859,3410,823,303,195,3107,793,20677,2095,1004629,7299,329382,5392,244722,5708,82097,4420,23253,2843,58844,4023,2563,621,675247,6985,305218,5733,38102,2712,13275,1624,24827,2090,331927,7639,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1653898,9151,208720,6235,116673,4948,43476,3364,71871,4289,9242,1392,62629,4182,1326,702,92047,4514,18203,1945,10344,1607,2945,804,7399,1363,63500,3540,1445178,11054,445357,8848,332102,8104,107961,5213,27896,2912,80065,4773,5294,1300,999821,10493,458070,8086,77216,4224,25031,2714,52185,3812,464535,9911,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1676599,9999,294669,9224,175940,7006,56792,4071,116500,6133,10184,1768,106316,5722,2648,1857,118729,6186,28995,3090,23366,2843,4516,1617,18850,2335,66368,4428,1381930,11425,437174,8153,300127,8390,132301,5180,31017,2767,101284,5037,4746,1142,944756,10109,382837,8873,96087,4985,29660,3144,66427,4174,465832,11286,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,542158,4476,62142,3417,31604,2692,10576,1786,19610,2416,4852,1332,14758,1979,1418,911,30538,2318,5960,1058,3086,783,932,422,2154,646,21492,1822,480016,5048,131693,4244,95276,3873,34322,3276,12208,1734,22114,2520,2095,655,348323,5558,166263,4879,20376,2015,7596,1394,12780,1704,161684,5354,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
