GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002EA,B17020A_002MA,B17020A_003MA,B17020A_003EA,B17020A_004MA,B17020A_004EA,B17020A_005EA,B17020A_005MA,B17020A_006EA,B17020A_006MA,B17020A_007EA,B17020A_007MA,B17020A_008MA,B17020A_008EA,B17020A_009MA,B17020A_009EA,B17020A_010EA,B17020A_010MA,B17020A_011EA,B17020A_011MA,B17020A_012EA,B17020A_012MA,B17020A_013MA,B17020A_013EA,B17020A_014MA,B17020A_014EA,B17020A_015EA,B17020A_015MA,B17020A_016EA,B17020A_016MA,B17020A_017EA,B17020A_017MA,state
0400000US13,5503728,16477,508929,20697,45647,4546,6134,1318,43030,4352,42451,4780,312312,12897,27734,2505,31621,2563,4994799,26711,325295,5267,62261,4514,373464,8607,396888,7934,3264305,15838,342455,3094,230131,3289,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,307664,3812,25797,3402,1153,634,284,239,1098,479,1656,848,19576,2730,1007,330,1023,428,281867,4624,16501,1295,3723,782,14165,1558,13780,1270,195879,3209,18220,462,19599,547,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1275304,5232,165848,9572,18466,2243,3118,768,16645,2405,16158,2519,98922,5768,5609,1157,6930,1311,1109456,9540,74027,2155,13899,1350,85704,3660,99086,3221,697419,6087,77544,1418,61777,1344,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8964535,27165,722415,25392,67742,5975,10050,1679,66605,5566,57209,4619,439948,14595,33611,3531,47250,3620,8242120,33055,495194,6853,103050,5180,612431,9574,675977,8827,5237760,21737,571496,4061,546212,4336,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5221123,9434,530029,18156,51752,4613,8914,1457,53066,4626,49507,4064,314971,10654,21637,1990,30182,2286,4691094,19157,285305,4454,60504,3892,365452,7459,402108,7154,2956109,11024,328381,2084,293235,2355,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2668116,5812,259877,11006,24674,2499,4138,1179,19666,2767,21366,2865,160185,6327,11232,1493,18616,1564,2408239,11278,135507,2796,24420,2255,169178,4708,194312,3756,1521013,6697,182966,1569,180843,1705,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2260900,7909,223493,11140,24596,3365,3250,748,19082,2687,16217,2133,139232,6698,7551,1411,13565,1429,2037407,13374,120998,3727,24614,1795,152011,3493,170452,3870,1281251,7388,146726,1269,141355,1847,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3632907,5847,580143,18554,54671,4727,9574,1953,58443,4853,54246,3727,344734,10539,30117,2782,28358,2559,3052764,19330,173299,4600,34291,2584,212847,5868,232836,4787,1992551,11212,233298,2714,173642,2721,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2785337,5001,324377,16105,24709,2857,3886,878,26333,3552,26414,3379,205833,9836,17948,1647,19254,2068,2460960,16427,144983,3124,27980,2524,172818,5422,195697,4962,1582954,9690,185002,1812,151526,2135,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1232133,2210,148218,8320,12720,2089,1678,531,13478,1868,13473,1890,88227,5108,8271,1580,10371,1343,1083915,8483,49424,2088,10438,1392,68018,2509,83783,2778,711087,5158,84884,1636,76281,1479,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3345566,12354,181298,14229,14823,2920,1427,707,13679,2750,16202,4340,109856,7958,10682,1909,14629,1721,3164268,17109,185698,3979,37807,3038,226994,5484,267058,5794,2014078,9355,219631,1882,213002,1948,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5145117,16729,411669,16433,27800,3537,7778,1762,37019,5074,33065,3421,243385,11202,23386,2499,39236,3211,4733448,19774,269529,4355,52674,3287,325836,6622,371208,6512,3040558,14248,323195,2445,350448,3239,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7866737,9277,774904,20569,68537,4676,13326,1718,70163,4985,72786,4658,476721,13481,29676,2539,43695,3204,7091833,20376,404277,4785,80062,3886,535202,7931,597128,7650,4499023,13996,492078,2656,484063,3266,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4376397,8789,313305,11403,23730,2559,3836,797,23341,2463,24755,2602,193285,7191,15303,1620,29055,1806,4063092,14694,239247,2481,43518,2364,294134,5116,336613,5617,2637280,9497,268674,1567,243626,1950,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1710724,3781,207302,11024,17856,2269,2608,861,17705,2600,20023,3118,122925,6593,12234,1605,13951,1585,1503422,11348,88297,2665,17121,2122,104440,3907,112296,3820,956686,6839,132420,1958,92162,1815,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4741011,6537,524697,18399,50046,3997,7891,1538,50083,5001,48410,4589,313478,11877,23033,2217,31756,2513,4216314,19777,241920,4490,47600,3122,297477,6604,332244,6340,2695734,12587,327989,2263,273350,2644,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,822305,1854,106645,7816,7746,1555,1756,746,9895,1627,10689,1764,66737,4982,4129,794,5693,1005,715660,8118,36583,1731,6537,1215,44442,2262,53502,2200,468045,5166,59204,804,47347,997,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1525763,4353,135536,7637,13714,1723,1921,594,12250,1912,11084,1798,78353,4638,6627,988,11587,1317,1390227,8014,88488,1761,18097,1573,102872,3100,114139,2862,875463,5073,98343,1140,92825,1269,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1799009,14092,171518,14019,16660,3199,3263,1162,17125,3372,11489,2623,104586,7903,9371,1888,9024,1612,1627491,18435,97401,4154,18617,2339,125456,5611,130427,5034,1046960,10276,124143,2039,84487,1764,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1210125,3198,86863,7578,8131,1810,1225,655,6787,1625,8645,1785,51003,4532,4431,929,6641,1317,1123262,7804,58201,2128,10325,1517,86006,3178,100268,3376,729678,4450,75167,920,63617,1329,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5944217,20059,338634,17143,24077,2956,5425,1408,29518,3457,29855,3478,189678,10607,25909,3245,34172,4025,5605583,22206,323575,4692,69971,4529,427153,7881,457024,7805,3493080,15254,394574,3654,440206,4089,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1306153,12558,202371,11409,21736,2794,3095,818,23701,3012,20082,2781,114076,6619,10384,1528,9297,1568,1103782,15379,57267,2717,12331,2215,73810,3965,86374,3955,705888,9527,94402,2275,73710,2123,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12470112,33049,1205152,28765,101286,5872,22899,3200,105252,6666,112361,7344,675908,17574,81874,5444,105572,4852,11264960,42449,620871,8086,122378,4813,770017,12814,856553,11022,7199511,25064,828936,5726,866694,5652,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5985730,15460,633394,21724,53406,4975,11216,1962,60666,4937,59320,4709,373867,11867,30305,2399,44614,2778,5352336,22842,321652,5353,64303,4735,374592,7940,410960,7306,3444087,13288,420213,2790,316529,3021,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
