GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001MA,B14005_001EA,B14005_002EA,B14005_002MA,B14005_003EA,B14005_003MA,B14005_004EA,B14005_004MA,B14005_005MA,B14005_005EA,B14005_006MA,B14005_006EA,B14005_007EA,B14005_007MA,B14005_008EA,B14005_008MA,B14005_009EA,B14005_009MA,B14005_010MA,B14005_010EA,B14005_011MA,B14005_011EA,B14005_012MA,B14005_012EA,B14005_013EA,B14005_013MA,B14005_014EA,B14005_014MA,B14005_015MA,B14005_015EA,B14005_016MA,B14005_016EA,B14005_017MA,B14005_017EA,B14005_018EA,B14005_018MA,B14005_019EA,B14005_019MA,B14005_020MA,B14005_020EA,B14005_021MA,B14005_021EA,B14005_022MA,B14005_022EA,B14005_023EA,B14005_023MA,B14005_024EA,B14005_024MA,B14005_025MA,B14005_025EA,B14005_026MA,B14005_026EA,B14005_027MA,B14005_027EA,B14005_028EA,B14005_028MA,B14005_029EA,B14005_029MA,state
0400000US24,294765,4525,149805,3516,118086,4020,40335,3155,10284,1856,67467,3245,31719,2712,19207,2118,13039,2127,3305,1144,2863,987,12512,2349,5059,1227,4298,1760,3155,1092,144960,3363,121652,4166,47233,3569,8843,1629,65576,4128,23308,2537,14533,2000,10479,1911,1750,606,2304,858,8775,2127,3173,951,1835,1161,3767,1539,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,290427,4377,153720,3359,130760,3549,42105,3127,13052,1976,75603,3894,22960,2712,14483,2191,10676,2081,2106,860,1701,658,8477,1600,3789,1219,2597,727,2091,769,136707,3008,121233,3186,48279,2898,11055,1838,61899,3853,15474,1842,9659,1532,5729,1151,1528,764,2402,793,5815,1290,2624,981,1171,554,2020,834,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,539836,5594,277691,3536,231921,4108,81648,3671,29405,2639,120868,4024,45770,2600,27065,2326,17571,1861,5239,1091,4255,989,18705,2223,6191,1242,4265,919,8249,1579,262145,3826,222615,4043,80157,3662,24368,2475,118090,3901,39530,2991,22995,2434,14381,1778,4416,958,4198,979,16535,2194,4812,1150,3557,880,8166,1708,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,271116,3642,141704,2736,120952,2782,53987,2485,10813,1547,56152,2593,20752,1658,13573,1520,9387,1393,2644,813,1542,487,7179,1024,3726,897,1559,565,1894,614,129412,2764,114470,2908,61338,2737,10419,1426,42713,2734,14942,1485,10763,1395,7513,1129,1522,503,1728,623,4179,745,1576,387,1177,526,1426,514,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,159757,4842,78546,3497,62130,3462,14000,1879,6984,1501,41146,2945,16416,2104,8857,1758,4969,1348,2616,928,1272,518,7559,1699,3585,1232,1166,558,2808,1062,81211,3231,67300,3401,19535,2696,7964,1472,39801,2790,13911,2081,7171,1493,2836,937,1191,536,3144,1174,6740,1553,960,567,2130,1126,3650,1164,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,295484,4874,153952,3573,122419,4416,46894,3186,11440,1542,64085,4157,31533,2394,18089,2048,12907,1751,2767,764,2415,865,13444,1891,6382,1484,3327,903,3735,742,141532,3158,116302,3304,50350,2967,8741,1426,57211,3065,25230,2367,15713,2065,9286,1471,2409,736,4018,1572,9517,1335,2785,735,2228,778,4504,820,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,48819,2030,24956,1251,20529,1421,8444,1146,1481,502,10604,1266,4427,858,2692,686,1854,533,718,417,120,109,1735,619,537,324,544,364,654,481,23863,1395,18086,1400,8509,1238,1569,565,8008,1220,5777,1132,3977,911,3082,903,319,300,576,327,1800,715,744,424,413,252,643,445,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,89930,2548,46990,1731,40001,1753,17849,1339,4762,1103,17390,1574,6989,1104,4046,866,2845,674,606,347,595,353,2943,834,1788,690,665,387,490,273,42940,1787,36954,1801,19971,1531,3334,770,13649,1387,5986,1120,4312,1007,2999,854,518,335,795,385,1674,568,845,405,358,290,471,279,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,118842,3207,62001,2234,45070,3265,13487,2176,4162,1355,27421,2452,16931,2545,11455,2314,9781,2252,579,526,1095,655,5476,1342,3491,1065,739,522,1246,483,56841,2565,42647,2914,15728,1998,2173,715,24746,2559,14194,1928,6906,1363,4341,881,581,468,1984,817,7288,1376,3265,972,568,471,3455,1113,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,65296,2043,33782,1602,28113,1508,12901,1539,2897,864,12315,1374,5669,1209,3681,911,2552,736,820,508,309,232,1988,825,948,487,699,577,341,419,31514,1259,27559,1547,15677,1595,1600,813,10282,1237,3955,964,2182,635,1477,529,433,374,272,215,1773,833,430,342,394,283,949,650,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
