GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,NAME,C17017_001MA,C17017_001EA,C17017_002MA,C17017_002EA,C17017_003EA,C17017_003MA,C17017_004EA,C17017_004MA,C17017_005EA,C17017_005MA,C17017_006MA,C17017_006EA,C17017_007MA,C17017_007EA,C17017_008EA,C17017_008MA,C17017_009EA,C17017_009MA,C17017_010EA,C17017_010MA,C17017_011MA,C17017_011EA,C17017_012MA,C17017_012EA,C17017_013EA,C17017_013MA,C17017_014EA,C17017_014MA,C17017_015EA,C17017_015MA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018MA,C17017_018EA,C17017_019EA,C17017_019MA,state
0400000US13,3745074,16431,528930,14046,279748,11291,96992,7159,182756,8684,26728,3060,156028,8376,249182,8772,101549,5083,147633,6902,3216144,19769,2246035,17534,1691763,17964,554272,11265,151063,7245,403209,9506,970109,14599,458835,10481,511274,10268,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,458078,4221,48426,3532,23547,2448,9084,1261,14463,2094,2544,779,11919,1823,24879,2216,11303,1557,13576,1743,409652,5128,296789,5140,224289,4878,72500,3662,25977,2369,46523,3092,112863,4283,59167,3314,53696,2523,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,625135,5980,79255,4892,36225,3347,17272,2316,18953,2379,2950,918,16003,2134,43030,3431,17822,2795,25208,2411,545880,7205,383549,7091,321153,6567,62396,4543,23983,3061,38413,2788,162331,6500,81167,4911,81164,4553,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4808672,14430,597158,11008,277866,10016,95833,5247,182033,7742,29362,2857,152671,7009,319292,8692,135741,6041,183551,6610,4211514,17998,2805677,18153,2181444,16902,624233,10594,193673,7072,430560,10165,1405837,15914,676118,11590,729719,12139,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2557299,10669,329517,8495,153371,6313,48517,3520,104854,5649,18200,2251,86654,4755,176146,6470,75529,3940,100617,4769,2227782,13028,1506731,12719,1184256,12173,322475,8029,107783,5414,214692,5833,721051,10599,353155,7308,367896,8350,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1257505,6773,135193,4699,53223,3390,21000,2024,32223,2721,5577,1211,26646,2528,81970,3741,35891,2552,46079,2915,1122312,7598,741391,7660,613509,7696,127882,5247,46567,3710,81315,3714,380921,6932,193882,5225,187039,5503,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1128983,6821,134884,5161,58235,3251,22452,2048,35783,2856,5538,1153,30245,2552,76649,4276,34401,3065,42248,3046,994099,8589,675414,7801,549941,7474,125473,5206,44449,3053,81024,4280,318685,7332,159322,4935,159363,4945,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1725034,10346,296424,6954,145997,5304,59391,3950,86606,4009,16044,2349,70562,3747,150427,5647,66146,4048,84281,4425,1428610,11564,983831,12470,778162,11143,205669,6936,65480,4213,140189,5328,444779,8672,217992,6662,226787,6255,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737123,11255,334249,10250,163281,7082,44430,3552,118851,5798,17965,2782,100886,5815,170968,6638,69885,4661,101083,4909,1402874,13498,943964,13522,699581,11475,244383,8047,69374,4688,175009,6927,458910,10378,225910,7986,233000,6913,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,540959,6050,63789,3620,20919,2229,8316,1205,12603,1860,3084,945,9519,1443,42870,2838,18997,1928,23873,2187,477170,6178,309187,6042,255562,6083,53625,3662,18392,1911,35233,2942,167983,5304,76866,3895,91117,3881,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2207343,8135,197146,7472,91780,3816,27300,2544,64480,4082,10183,1806,54297,4002,105366,5477,43128,3518,62238,3791,2010197,10440,1378050,13235,1024997,11798,353053,9293,94516,5059,258537,7658,632147,9830,283256,6447,348891,7409,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2604954,9148,284580,7549,119694,5175,36380,3385,83314,4548,10362,2012,72952,4393,164886,5649,65339,3743,99547,4866,2320374,11274,1532520,14082,1187021,12674,345499,11795,101296,6421,244203,8978,787854,13446,350049,8765,437805,10085,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3930017,12926,525513,10609,244660,6889,81980,4205,162680,5583,33846,2790,128834,4898,280853,8160,124742,5412,156111,5981,3404504,14536,2273343,14494,1774770,14794,498573,8701,155712,5326,342861,8422,1131161,10881,554919,8976,576242,8033,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2162211,7968,204871,5452,80450,4362,29638,2573,50812,3642,10039,1507,40773,3517,124421,3933,54412,2781,70009,3102,1957340,9478,1308292,10634,1077009,9459,231283,6393,79277,4001,152006,5336,649048,10582,312959,6379,336089,7393,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1091980,9693,213486,6980,106921,5365,30033,2981,76888,4418,11038,2219,65850,4236,106565,5375,42087,3953,64478,4347,878494,9330,609530,9658,452651,10313,156879,6252,43843,3364,113036,5603,268964,8356,131913,5737,137051,5958,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2385135,13054,310571,8617,140934,6046,48435,3620,92499,5258,16348,2706,76151,4523,169637,6340,73212,4358,96425,4613,2074564,12566,1386326,14329,1089827,12582,296499,8893,93570,4856,202929,7124,688238,12090,324545,7509,363693,7987,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,423091,4068,53270,3560,20328,2505,10012,1904,10316,1674,2448,712,7868,1455,32942,2708,15011,2036,17931,1876,369821,4993,242398,5204,203106,5915,39292,3369,14671,1962,24621,2524,127423,5233,66932,3570,60491,3597,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,754490,4583,80105,4299,35128,3384,12905,1622,22223,2517,3942,1022,18281,2258,44977,2796,19621,2048,25356,1936,674385,5582,449861,6887,371440,6236,78421,3938,29528,2499,48893,3315,224524,5380,116189,4261,108335,3409,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1094613,6821,133162,6702,63517,3984,23584,2297,39933,3464,7771,1560,32162,3106,69645,5189,33930,3783,35715,3581,961451,8809,636932,10213,467544,9445,169388,6597,59104,3984,110284,5457,324519,8841,175644,6404,148875,5988,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,528700,4349,42023,2961,16962,2241,5864,1356,11098,1690,2684,937,8414,1490,25061,2457,9776,1546,15285,1898,486677,4883,329251,5091,269661,5453,59590,4293,23192,2415,36398,3293,157426,4704,75087,3424,82339,3481,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3218798,8951,326792,9225,163127,6809,61272,4022,101855,5470,16655,2488,85200,5304,163665,6857,62859,4076,100806,5522,2892006,12181,2072104,16546,1592857,16490,479247,10989,146373,6051,332874,8521,819902,14038,373331,8789,446571,9376,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,767705,6614,140391,5970,72629,3999,27618,3200,45011,3566,10511,1701,34500,3030,67762,4240,30483,2422,37279,3335,627314,7887,406463,8204,301970,7615,104493,4400,36095,3789,68398,3676,220851,7106,106403,5284,114448,4987,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
