GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002MA,B11004_002EA,B11004_003MA,B11004_003EA,B11004_004EA,B11004_004MA,B11004_005EA,B11004_005MA,B11004_006EA,B11004_006MA,B11004_007MA,B11004_007EA,B11004_008MA,B11004_008EA,B11004_009MA,B11004_009EA,B11004_010EA,B11004_010MA,B11004_011MA,B11004_011EA,B11004_012EA,B11004_012MA,B11004_013MA,B11004_013EA,B11004_014MA,B11004_014EA,B11004_015MA,B11004_015EA,B11004_016EA,B11004_016MA,B11004_017EA,B11004_017MA,B11004_018EA,B11004_018MA,B11004_019MA,B11004_019EA,B11004_020MA,B11004_020EA,state
0400000US29,1527260,14698,1138262,13259,444991,9312,104251,5023,100995,4426,239745,7062,693271,10269,388998,9299,109918,5312,64236,4052,18118,2412,8728,1859,37390,3084,45682,3756,279080,7091,183048,5331,36719,2706,36419,2757,109910,4828,96032,5162,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,262726,5181,213118,5916,77797,3716,18661,2163,17031,2143,42105,2585,135321,4493,49608,3846,17119,2085,10176,1912,2744,845,1322,607,6110,1408,6943,1130,32489,2951,20213,2266,4491,1139,3954,1156,11768,1621,12276,1811,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,484989,6677,384345,6240,164185,4557,39600,3015,41786,2556,82799,3295,220160,4497,100644,3939,33470,2454,21054,2002,6176,1213,3144,973,11734,1490,12416,1618,67174,3470,49621,3001,10867,1573,10569,1677,28185,2573,17553,1698,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,700449,9375,491128,9256,206358,6307,42896,3525,49602,3696,113860,4826,284770,7100,209321,6947,66875,4178,35940,3446,9087,1805,6946,1648,19907,2241,30935,2725,142446,6016,88450,4821,17340,2243,19393,2785,51717,3835,53996,3308,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,346213,5110,275525,5494,99621,4042,22481,2048,16906,1998,60234,2759,175904,5271,70688,4403,25876,2599,14521,2103,3188,1031,2609,1007,8724,1581,11355,1798,44812,3356,27901,2639,5933,1281,3024,1016,18944,2173,16911,2041,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2235231,15874,1654129,16113,734849,11019,166470,6779,141148,6152,427231,8983,919280,12595,581102,10673,163028,6653,73876,3972,15484,2033,12759,2138,45633,3310,89152,5639,418074,8368,236596,7341,42546,4296,46714,3535,147336,5763,181478,6266,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,479092,8736,329588,8153,125386,5366,26623,2693,26253,2597,72510,4152,204202,6316,149504,5708,46606,3847,26509,2910,5305,1221,4830,1331,16374,2039,20097,2643,102898,4500,66499,3303,12030,1759,13128,2217,41341,2897,36399,3078,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4620008,22062,3210469,22246,1330992,14329,316729,8737,281903,8033,732360,11830,1879477,17751,1409539,15853,372915,10812,175638,7008,46592,4420,25724,2645,103322,4370,197277,7631,1036624,13981,592513,9324,105544,4667,113293,6404,373676,10111,444111,10701,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2590180,17902,1907659,19790,762767,14375,176401,7191,152659,6246,433707,11930,1144892,14155,682521,14312,178850,7456,104097,6037,27929,3183,20511,2582,55657,3800,74753,4747,503671,11482,324690,9590,64382,4501,64262,4300,196046,8220,178981,6642,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,190217,4208,152814,4454,60518,2787,16132,1856,13888,1805,30498,2190,92296,3488,37403,2815,13915,1928,8242,1329,3561,957,1407,647,3274,828,5673,1282,23488,2224,15959,1718,4404,1171,3064,839,8491,1318,7529,1299,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
