GEO_ID,B28009I_001E,B28009I_001M,B28009I_002E,B28009I_002M,B28009I_003E,B28009I_003M,B28009I_004E,B28009I_004M,B28009I_005E,B28009I_005M,B28009I_006E,B28009I_006M,NAME,B28009I_001EA,B28009I_001MA,B28009I_002EA,B28009I_002MA,B28009I_003MA,B28009I_003EA,B28009I_004MA,B28009I_004EA,B28009I_005MA,B28009I_005EA,B28009I_006EA,B28009I_006MA,state
0400000US21,150711,2578,137711,3672,159,272,122939,4959,14613,3722,13000,2894,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,236219,2454,212308,4008,81,96,179312,6380,32915,5613,23911,3434,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,20661,968,19802,1188,264,328,19128,1235,410,331,859,847,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,603185,1418,585869,5101,406,658,529260,8257,56203,7643,17316,4820,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,782663,2420,729129,7543,302,433,668956,11208,59871,8897,53534,7947,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,492168,1551,462412,4829,144,164,419318,7911,42950,6475,29756,4510,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,289565,1495,280490,2951,415,370,254085,4976,25990,4553,9075,2509,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,80997,2755,74885,3658,0,217,64913,4302,9972,2937,6112,1867,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,249325,2608,231417,4738,272,238,203096,7451,28049,5904,17908,4172,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,36619,746,34740,1285,0,174,30053,2101,4687,1894,1879,877,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,206542,941,188383,3628,665,894,164331,5708,23387,4679,18159,3527,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,855479,911,821935,5060,447,359,710422,11569,111066,10698,33544,5192,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,47668,1303,46932,1338,19,36,43689,2244,3224,1574,736,521,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1816452,1858,1733968,7831,734,448,1546232,17555,187002,15631,82484,7997,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,999429,1556,888375,10354,1961,1035,773485,15455,112929,11606,111054,10412,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3719202,3813,3517017,11947,4074,1739,3132920,20961,380023,18614,202185,11868,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,943894,3191,886475,7635,1365,1163,785531,12893,99579,10457,57419,7406,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,25212,545,23923,807,0,161,18657,1892,5266,1822,1289,722,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,424919,2167,401101,4151,374,302,370910,5521,29817,4539,23818,3779,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,405400,1209,384680,3519,417,523,337832,5907,46431,5421,20720,3083,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,528231,1869,509150,4728,760,643,468500,7963,39890,7746,19081,4025,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,907625,2636,849267,7821,1325,1038,761695,12896,86247,10632,58358,7154,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,158932,904,149604,2391,0,217,141309,4009,8295,3491,9328,2357,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,275102,2034,250897,6539,77,171,217100,7714,33720,5537,24205,6367,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,29915,832,27593,1869,55,118,22262,2604,5276,1903,2322,1513,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,354479,2621,330592,5093,190,275,295267,7631,35135,6276,23887,4659,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,10983208,6250,10142527,27566,11579,3801,8779904,50830,1351044,42397,840681,26678,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,427245,1190,412748,3665,313,267,369183,7673,43252,7435,14497,3525,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,10385,897,10154,879,46,101,9603,855,505,426,231,207,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,770785,2707,738785,7028,293,245,670929,12223,67563,9129,32000,6717,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,922294,1832,885382,7671,437,335,824431,11747,60514,8460,36912,7543,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,20602,1717,20257,1681,0,200,18431,1732,1826,936,345,386,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,388860,1233,365348,4476,38,65,326057,5755,39253,4424,23512,4160,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,56209,393,51126,2146,0,201,42909,3475,8217,2971,5083,2136,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3267893,4654,2501918,24598,30572,5434,2149323,29000,322023,17269,765975,23891,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
