B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013MA,B17020H_014EA,B17020H_014MA,B17020H_015EA,B17020H_015MA,B17020H_016MA,B17020H_016EA,B17020H_017MA,B17020H_017EA,NAME,B17020H_001MA,B17020H_001EA,B17020H_002MA,B17020H_002EA,B17020H_003EA,B17020H_003MA,B17020H_004EA,B17020H_004MA,B17020H_005MA,B17020H_005EA,B17020H_006MA,B17020H_006EA,B17020H_007MA,B17020H_007EA,B17020H_008MA,B17020H_008EA,B17020H_009MA,B17020H_009EA,B17020H_010MA,B17020H_010EA,B17020H_011MA,B17020H_011EA,B17020H_012MA,B17020H_012EA,B17020H_013EA,state
6454,3806634,15633,1312789,9482,396405,6306,164829,5808,0400000US17,7669329,6716,676599,21409,50808,4487,51275,3933,47521,4021,386007,12667,91715,5157,31525,2800,17748,1973,6992730,22548,407657,6323,432489,7804,471927,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
6632,2459976,12272,829970,7076,238073,3905,93447,3872,0400000US18,5130400,4307,562397,20487,53955,4806,48418,4773,43947,4514,320396,11029,64666,3669,20629,2470,10386,1711,4568003,21070,292470,5560,309334,7117,344733,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3413,1246018,8145,433153,4880,136174,3146,55804,2844,0400000US19,2617750,3095,233595,9865,18793,2433,14990,2128,14599,2126,140497,6228,29171,2037,9832,1460,5713,876,2384155,10127,160327,3101,170271,4085,182408,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
3850,1027944,6890,357069,4336,102628,3292,45141,2819,0400000US20,2152596,2926,203047,9187,16894,2508,16257,2490,14240,1808,117177,5557,23883,2284,9655,1609,4941,1008,1949549,9997,134594,3480,138594,4415,143579,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
5753,1675060,11719,561314,6212,166510,3501,53819,3284,0400000US21,3662521,3107,584714,19211,57751,4076,51409,4057,47847,3724,326834,11380,73453,4634,19387,1891,8033,1248,3077807,18840,193786,5135,206403,6304,220915,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
5946,1265826,10589,438178,6979,129206,3399,44500,2952,0400000US22,2679547,3946,326172,16886,28186,3731,27057,3970,23931,3527,187348,9683,41263,3980,11694,1736,6693,1362,2353375,16958,147626,4832,160928,5210,167111,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
2989,576171,5683,231826,3864,63477,2317,27394,2373,0400000US23,1218538,1583,124574,7145,7915,1253,9182,1823,6892,1288,71896,4421,19150,2412,6032,1139,3507,933,1093964,7233,58425,1740,65319,2755,71352,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
4496,1527943,8216,533425,5993,161150,3959,65560,3505,0400000US24,3004639,4389,188069,10762,10215,1852,10242,2047,10347,1752,104302,6692,33943,3146,12023,1846,6997,1280,2816570,11632,162978,3464,171219,4712,194295,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
5465,2450842,13166,847897,8054,242045,5228,114173,4795,0400000US25,4748669,9246,322057,12693,16181,3379,16992,2644,19253,2572,183138,8807,54262,4171,20053,2114,12178,1839,4426612,15968,227638,4998,253157,5373,290860,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
7124,3492794,15394,1287257,8905,371676,4831,148638,4198,0400000US26,7328463,5163,794528,18851,66823,4503,63937,4421,60895,4079,457838,12188,96307,4411,31236,2597,17492,1835,6533935,19387,372204,4824,404874,6668,456492,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
4605,2200266,9029,736406,5671,212995,4279,84483,3857,0400000US27,4361492,2981,298839,10117,20225,2168,17342,2042,17873,2308,175206,6193,42386,3082,15897,1639,9910,1381,4062653,10581,265714,3546,275228,4231,287561,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
4362,758797,7933,276862,5415,87574,3184,27965,2444,0400000US28,1645763,2723,195300,9223,13452,2411,16009,1983,15989,2059,108296,6394,25898,2863,11291,1805,4365,1001,1450463,9368,88427,2908,104087,4336,106751,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
6227,2256331,11062,768439,7666,240161,5007,88540,4696,0400000US29,4724368,4992,529689,15751,47300,4283,46881,3653,45799,3653,290725,9915,68156,4073,20912,2072,9916,1723,4194679,16678,268069,5563,273640,6103,299499,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
2543,406474,4994,165751,3168,46873,1917,16688,1926,0400000US30,886069,1627,93451,6904,7656,1903,6661,1606,4702,1078,56737,4780,13279,1974,2998,590,1418,488,792618,7407,49728,2642,51719,2629,55385,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
2416,717726,4886,244641,3146,72030,2265,27275,2044,0400000US31,1475820,2146,119194,6224,11018,1803,8158,1339,7799,1191,68715,3992,13158,1729,5751,804,4595,937,1356626,6649,95322,2639,97926,2250,101706,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
2796,697111,7449,290752,4820,86462,2927,26726,2498,0400000US32,1444606,3349,131455,9224,8388,2046,5896,1719,7163,2012,75903,6043,24023,2623,6892,1214,3190,936,1313151,9685,66965,2239,74796,3166,70339,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
2862,606686,4589,212326,3421,55140,2570,24025,2137,0400000US33,1176693,1928,82616,6401,6748,1713,7193,1929,5301,1578,44422,3258,13131,1847,4227,1041,1594,566,1094077,6716,57125,2209,62865,2968,75910,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
5371,2432209,10777,892908,7831,283557,5893,125151,4951,0400000US34,4856671,4939,285143,13540,21844,3150,22515,2925,22047,3008,141793,8132,46817,3719,16738,2010,13389,1931,4571528,13174,246151,4321,275266,5576,316286,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
2381,320601,5761,177363,3842,54492,2400,21049,1974,0400000US35,764759,1732,92202,6938,5794,1315,4847,1279,4347,1314,55655,5161,17689,2659,2781,708,1089,397,672557,7118,29869,2412,32327,2356,36856,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
7946,5285017,17869,1850912,12326,564292,7537,272836,7590,0400000US36,10669372,6183,995793,22971,89376,6252,81533,5903,74789,5222,524681,13756,137269,6545,57251,3725,30894,3558,9673579,23964,530000,7422,554034,9462,616488,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
8167,3063056,15729,1114239,9871,336599,5261,119715,4152,0400000US37,6323920,5266,644161,22633,43178,4438,47335,4500,45113,5022,375206,13986,93905,4918,28303,2605,11121,1607,5679759,22849,322560,5564,340704,7749,382886,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
1685,310139,3730,95306,2387,29274,1339,10296,1329,0400000US38,616281,1833,48400,4318,3533,971,2925,951,1527,566,27787,3128,7439,1196,2834,688,2355,681,567881,4568,43612,1590,39585,1952,39669,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
9302,4289191,16388,1513699,9007,454014,5401,179842,5091,0400000US39,8971954,5817,960351,23225,88868,6447,85607,5631,77263,5309,545741,15644,112981,4934,33961,2489,15930,1805,8011603,24636,475758,6375,510593,9073,588506,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
4108,1162893,7096,419964,4773,141040,2913,47720,2728,0400000US40,2512739,3135,317209,9382,27381,2546,26894,2615,23483,1993,180650,5494,41920,2630,11501,1528,5380,1094,2195530,10104,135142,3583,139327,3480,149444,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
4340,1456081,9919,574294,6706,162772,3517,61527,3450,0400000US41,3079037,3735,355576,14191,26247,3373,24382,3009,23046,2982,205374,8265,54073,4380,15202,2021,7252,1493,2723461,14691,145246,4062,158746,5566,164795,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
8286,4582172,14885,1726689,11312,526073,6801,241004,6424,0400000US42,9505310,5279,860718,21470,67759,4812,60799,4974,57015,4143,480129,12830,123436,4498,46373,3365,25207,2696,8644592,21657,473652,6107,515039,7838,579963,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
1956,372531,5554,134780,2868,42598,1979,16603,1627,0400000US44,734867,2090,58856,6171,2823,823,2612,1081,3635,1238,32252,3965,11785,1592,3527,862,2222,928,676011,6928,32575,1193,37280,2249,39644,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
4659,1459789,11055,587330,6462,175888,4032,54149,3553,0400000US45,3123948,3854,327305,13594,25443,2927,24719,3344,22717,2968,189195,8677,45950,3498,13395,1994,5886,1109,2796643,14805,158691,3885,174222,4743,186574,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
2167,328960,3482,119790,2625,33765,1283,14048,1216,0400000US46,693437,1979,59907,4555,5402,1426,4394,1243,3887,1167,34372,2836,6710,1143,3523,761,1619,530,633530,4900,45926,1972,45283,2500,45758,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
6199,2309813,14225,811579,7423,241843,5320,79357,4224,0400000US47,4857331,4169,589679,19215,48584,4215,52536,4553,42808,3616,335536,11575,74933,4808,24440,2286,10842,1521,4267652,19949,252415,5195,265063,6069,307582,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
10390,5741086,17173,1976202,13369,589209,8126,205221,7108,0400000US48,11588626,10233,983973,23928,75053,5978,64132,6120,60316,5297,574617,14894,144691,6674,42231,4184,22933,2773,10604653,22919,658740,8520,694765,11062,739430,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
4866,1175671,8909,290661,3793,80177,2420,30501,2305,0400000US49,2395256,3345,192901,12212,19713,2825,17025,2381,15060,2627,115695,7384,16200,2229,7080,1303,2128,676,2202355,12422,198032,3850,217653,3774,209660,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
1737,264302,4720,106347,2382,28224,1291,10307,1228,0400000US50,558978,833,61519,5718,4723,1325,5053,1257,4694,1275,35244,3786,8009,1216,2759,686,1037,316,497459,5830,27152,1653,28499,1739,32628,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
5822,2549272,14772,873217,8891,257662,4879,97242,4423,0400000US51,5092597,4693,417250,18482,27813,3824,28889,3376,27027,3212,249446,11969,57280,4315,17281,1940,9514,1757,4675347,19881,282495,4729,302936,6012,312523,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
5421,2501475,12564,884723,8336,239214,5023,93683,4499,0400000US53,4995695,4057,447341,18151,31195,3942,27753,3736,27032,3307,263209,11351,69196,4552,17533,1948,11423,1972,4548354,18149,267544,5050,284321,6308,277394,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
4426,685471,8926,290128,4343,87044,2732,30075,2546,0400000US54,1630219,3999,296296,13394,30571,2917,26945,3547,19395,2929,170110,8301,35022,2721,10372,1490,3881,944,1333923,14498,70130,3025,80310,3748,90765,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
4996,2263659,9656,798059,5684,232016,4080,93930,3654,0400000US55,4598975,4546,402237,12818,27873,3391,27194,3132,26064,2536,233497,8172,55995,3726,20349,2007,11265,1472,4196738,13513,247446,4252,269505,4752,292123,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
1778,231593,3412,78226,2944,20192,1708,8428,1724,0400000US56,475786,1115,44604,4757,3073,1066,2982,1165,3875,1334,25543,2728,6697,1148,1831,729,603,388,431182,4789,28488,1388,33881,1788,30374,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
1080,8745,2436,2166,787,927,516,287,287,0400000US72,22985,4270,7490,1849,632,595,162,209,817,605,3676,1351,1538,739,428,326,237,277,15495,3615,893,925,902,760,1575,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
